ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6080300543,acura,mdx,Kraków,Małopolskie,315,3664,59900,PLN,Stany Zjednoczone,False,False,,,True,,,2010,2010-01-01 00:00:00,110000,Osoby prywatnej,,Benzyna,,SUV,Biały,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-06 21:34:00,https://www.otomoto.pl/oferta/acura-mdx-honda-acura-mdx-2010-advanced-package-aktywne-zawieszenie-unikat-ID6DujWB.html#e8e336ac4a
6076923955,acura,mdx,Liszki,Małopolskie,300,3500,125000,PLN,Stany Zjednoczone,False,False,,,,,,2014,,118000,Osoby prywatnej,,Benzyna,,SUV,Czarny,Używane,True,4x4 (dołączany automatycznie),Automatyczna,2021-04-07 13:49:00,https://www.otomoto.pl/oferta/acura-mdx-acura-mdx-advance-full-wersja-dvd-7-osobowa-stan-perfekcyjny-ID6Dg9vw.html#e8e336ac4a
6067047079,acura,mdx,Warszawa,Mazowieckie,300,3664,91000,PLN,Stany Zjednoczone,False,False,,,,,,2014,,110000,Osoby prywatnej,,Benzyna,,SUV,Szary,Używane,,4x4 (stały),Automatyczna,2021-04-06 08:10:00,https://www.otomoto.pl/oferta/acura-mdx-ID6CAI63.html#e8e336ac4a
6074131480,acura,mdx,Świątniki Górne,Małopolskie,290,3500,82000,PLN,Stany Zjednoczone,False,False,,,,,,2014,,147000,Osoby prywatnej,,Benzyna,,SUV,Niebieski,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-05 16:25:00,https://www.otomoto.pl/oferta/acura-mdx-acura-honda-ID6D4r4A.html#e8e336ac4a
6082895019,acura,mdx,Łukówiec,Mazowieckie,300,3664,36900,PLN,,False,False,,,,,,2007,,152000,Firmy,,Benzyna,,SUV,Szary,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-05 09:45:00,https://www.otomoto.pl/oferta/acura-mdx-1-rej-11-2009-3-7-awd-pelna-opcja-7-osob-po-malej-stluczce-ID6DFcRZ.html#e8e336ac4a
6068436512,acura,mdx,Kraków,Małopolskie,300,3500,112500,PLN,Stany Zjednoczone,False,False,,,,,,2014,,103000,Osoby prywatnej,,Benzyna,,SUV,Biały,Używane,,4x4 (stały),Automatyczna,2021-04-03 22:38:00,https://www.otomoto.pl/oferta/acura-mdx-acura-mdx-technology-4x4-sh-awd-7-osobowy-biala-perla-ID6CGxyg.html#e8e336ac4a
6009755169,acura,mdx,Kraków,Małopolskie,300,3700,83900,PLN,Stany Zjednoczone,False,False,,,,,,2012,,79000,Osoby prywatnej,,Benzyna,,SUV,Czarny,Używane,,4x4 (stały),Automatyczna,2021-04-03 22:37:00,https://www.otomoto.pl/oferta/acura-mdx-sh-awd-naped-4x4-v6-300km-7-osobowy-ID6yIjQZ.html#e8e336ac4a
6080297020,acura,mdx,Kraków,Małopolskie,300,3664,77900,PLN,Stany Zjednoczone,False,False,,,,,,2013,,100000,Osoby prywatnej,,Benzyna,,SUV,Czarny,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-03 13:49:00,https://www.otomoto.pl/oferta/acura-mdx-acura-mdx-4x4-sh-awd-300km-ID6Duj0M.html#e8e336ac4a
6069168716,acura,mdx,Zofiówka,Lubelskie,300,3664,63900,PLN,,False,False,,,True,,,2012,,154000,Firmy,,Benzyna,,SUV,Czarny,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-03 11:45:00,https://www.otomoto.pl/oferta/acura-mdx-bezpieczny-zakup-pilne-sh-awd-skora-navi-szyberdach-7osobowy-ID6CJC20.html#e8e336ac4a
6083779070,acura,mdx,Grodzisk Mazowiecki,Mazowieckie,300,3664,49500,PLN,Niemcy,False,,True,,,,,2009,2009-12-31 00:00:00,298000,Osoby prywatnej,,Benzyna,,SUV,Biały,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-03-30 00:34:00,https://www.otomoto.pl/oferta/acura-mdx-acura-mdx-3-7-vtec-300km-tech-package-bezwypadkowy-2wlasc-oryg-lakier-ID6DIUQS.html#e8e336ac4a
6078696026,acura,rdx,Zambrów,Podlaskie,270,3500,59900,PLN,Niemcy,False,,True,,,,,2013,,190000,Firmy,,Benzyna,,SUV,Biały,Używane,,Na przednie koła,Automatyczna,2021-04-07 14:57:00,https://www.otomoto.pl/oferta/acura-rdx-bezowe-skorynavikameraele-klapastart-stopbezwypakowy-ID6DnAvi.html#181560a06e
6082993867,acura,rl,Grodzisk Mazowiecki,Mazowieckie,295,3664,52000,PLN,Niemcy,False,False,,,True,,,2010,2010-01-01 00:00:00,122472,Osoby prywatnej,,Benzyna,269,Sedan,Czarny,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-06 09:42:00,https://www.otomoto.pl/oferta/acura-rl-acura-rl-3-7-vtec-classic-305ps-shawd-ksiazka-serwis-nie-honda-legend-ID6DFCAj.html#932119f6c4
