ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania
6046132707,aixam,a721,Koźmin Wielkopolski,Wielkopolskie,5,400,15600,,False,False,,,,,,2006,,83948,Firmy,,Diesel,,Auta małe,Niebieski,Używane,,Na przednie koła,Automatyczna,2021-04-04 10:37:00
6083131127,aixam,a721,Częstochowa,Śląskie,5,400,15900,,False,,,,,,,2007,,71842,Firmy,True,Diesel,,Auta małe,Szary,Używane,,Na przednie koła,Automatyczna,2021-04-03 12:29:00
6082882689,aixam,a721,Rataje,Wielkopolskie,4,400,10900,,False,,,,,,,2008,2008-02-29 00:00:00,13060,Firmy,,Diesel,,Auta małe,Niebieski,Używane,,,Automatyczna,2021-04-02 21:17:00
6083894114,aixam,a721,Żagań,Lubuskie,5,400,12500,,False,False,True,,,,,2008,,63342,Osoby prywatnej,,Diesel,,Coupe,Srebrny,Używane,,,Automatyczna,2021-04-01 22:11:00
6083440976,aixam,a721,Mielec,Podkarpackie,5,400,12900,,False,,,,,,,2005,,55400,Firmy,,Diesel,,Auta małe,Niebieski,Używane,,Na przednie koła,Automatyczna,2021-03-30 16:04:00
6083383938,aixam,a721,Płońsk,Mazowieckie,4,505,13000,,False,,,,,,,2005,,58974,Osoby prywatnej,,Diesel,,Auta małe,Szary,Używane,,,Automatyczna,2021-03-28 16:36:00
6083385398,aixam,a741,Ziębice,Dolnośląskie,5,400,15900,,False,False,,,,,,2007,,49000,Firmy,,Diesel,,Auta małe,Niebieski,Używane,True,,Automatyczna,2021-03-30 17:10:00
6083777323,aixam,a741,Gostyń,Wielkopolskie,5,400,7600,,False,,,,,,,2005,,23000,Firmy,,Diesel,,Auta małe,Szary,Używane,,Na przednie koła,Automatyczna,2021-03-29 22:21:00
6082275800,aixam,a741,Trzemeszno,Wielkopolskie,4,402,10900,,False,,,,,,,2007,,45000,Firmy,,Diesel,,Auta małe,Srebrny,Używane,,,Automatyczna,2021-03-20 00:02:00
6083938408,aixam,city,Żary,Lubuskie,5,505,13999,,False,False,,,,,,2005,,33500,Osoby prywatnej,,Diesel,,Auta małe,Srebrny,Używane,,,Automatyczna,2021-04-04 09:11:00
6083917301,aixam,city,Ziębice,Dolnośląskie,5,400,28900,,False,,,,,,,2018,,8000,Firmy,,Diesel,,Auta małe,Niebieski,Używane,True,,Automatyczna,2021-04-02 17:15:00
6083291676,aixam,city,Bliżyn,Świętokrzyskie,5,538,16500,,False,False,True,,,,,2008,,60000,Firmy,,Diesel,,Auta małe,Szary,Używane,,Na przednie koła,Automatyczna,2021-04-05 09:58:00
6083291663,aixam,city,Bliżyn,Świętokrzyskie,5,523,14500,,False,False,True,,,,,2006,,40000,Firmy,,Diesel,,Auta małe,Niebieski,Używane,,Na przednie koła,Automatyczna,2021-04-05 09:57:00
6083291639,aixam,city,Bliżyn,Świętokrzyskie,5,505,32500,,False,False,True,,True,,,2016,,30000,Firmy,,Diesel,,Auta małe,Biały,Używane,,Na przednie koła,Automatyczna,2021-04-05 09:57:00
6083782411,aixam,city,Ziębice,Dolnośląskie,5,400,8500,,False,False,,,,,,1999,,65000,Firmy,,Diesel,,Auta małe,Biały,Używane,,,Automatyczna,2021-04-05 09:19:00
