ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6080992759,alfa-romeo,145,Blachownia,Śląskie,120,1598,1500,PLN,Polska,False,False,,,,,,1997,,180000,Osoby prywatnej,,Benzyna,,Kompakt,Niebieski,Używane,,Na przednie koła,Manualna,2021-04-06 14:40:00,https://www.otomoto.pl/oferta/alfa-romeo-145-alfa-romeo-145-1-6-tspark-ID6Dxe0n.html#0e0027a245
6083173063,alfa-romeo,146,Tychy,Śląskie,120,1598,3500,PLN,Polska,False,False,True,,,,,1999,2000-04-19 00:00:00,102000,Osoby prywatnej,,Benzyna,,Kompakt,Szary,Używane,True,Na przednie koła,Manualna,2021-03-31 20:51:00,https://www.otomoto.pl/oferta/alfa-romeo-146-sprzedam-alfa-romeo-146-ID6DGncz.html#40df34e9fa
6083836200,alfa-romeo,146,Warszawa,Mazowieckie,103,1370,2900,PLN,Polska,False,False,True,,,,,1999,,140253,Firmy,,Benzyna,,Sedan,Złoty,Używane,True,Na przednie koła,Manualna,2021-03-31 13:33:00,https://www.otomoto.pl/oferta/alfa-romeo-146-109-tys-km-salon-polska1-4-benzyna-wersja-junior-klimatyzacja-ID6DJ9Ik.html#40df34e9fa
6083861392,alfa-romeo,147,Olkusz,Małopolskie,120,1910,11900,PLN,Niemcy,False,,,,True,,,2009,2009-05-07 00:00:00,147000,Osoby prywatnej,,Diesel,,Kompakt,Bordowy,Używane,,Na przednie koła,Manualna,2021-04-07 08:40:00,https://www.otomoto.pl/oferta/alfa-romeo-147-lift-klima-alu-import-niemcy-ID6DJggE.html#7f9c5d1630
6083944553,alfa-romeo,147,Wschowa,Lubuskie,115,1910,6800,PLN,,False,False,True,,,,,2005,2005-05-17 00:00:00,275300,Osoby prywatnej,,Diesel,,Kompakt,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-05 08:23:00,https://www.otomoto.pl/oferta/alfa-romeo-147-lift-1-9-jtd-5d-2005r-klima-technicznie-idealna-ID6DJBTX.html#7f9c5d1630
6083674137,alfa-romeo,147,Ostrów Wielkopolski,Wielkopolskie,105,1598,9800,PLN,Niemcy,False,,,,,,,2008,,123000,Firmy,,Benzyna,,Kompakt,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-07 20:53:00,https://www.otomoto.pl/oferta/alfa-romeo-147-bardzo-ladna-maly-przebieg-ID6DItyp.html#7f9c5d1630
6084041171,alfa-romeo,147,Kraków,Małopolskie,120,1598,3900,PLN,,False,False,,,,,,2003,2003-06-18 00:00:00,155650,Osoby prywatnej,,Benzyna,,Kompakt,Inny kolor,Używane,,Na przednie koła,Manualna,2021-04-07 20:48:00,https://www.otomoto.pl/oferta/alfa-romeo-147-alfa-romeo-147-1-6ts-120km-2003r-ID6DK12j.html#7f9c5d1630
6083389614,alfa-romeo,147,Warszawa,Mazowieckie,150,1910,7700,PLN,,False,False,,,,,,2005,2008-09-03 00:00:00,191300,Osoby prywatnej,,Diesel,,Kompakt,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-07 19:17:00,https://www.otomoto.pl/oferta/alfa-romeo-147-1-9-multijet-150-km-ID6DHhxk.html#7f9c5d1630
6084038453,alfa-romeo,147,Bochnia,Małopolskie,115,1910,1200,PLN,,False,,,,,,,2001,,252000,Osoby prywatnej,,Diesel,,Kompakt,Szary,Używane,,,Manualna,2021-04-07 18:35:00,https://www.otomoto.pl/oferta/alfa-romeo-147-alfa-do-naprawy-pali-jezdzi-ID6DK0kt.html#7f9c5d1630
6084037859,alfa-romeo,147,Morzyczyn,Zachodniopomorskie,120,1910,11900,PLN,Belgia,False,,True,,,,,2008,,113500,Firmy,,Diesel,,Kompakt,Inny kolor,Używane,True,,,2021-04-07 18:35:00,https://www.otomoto.pl/oferta/alfa-romeo-147-ladna-alfa-2-0-jtd-skory-ID6DK0aT.html#7f9c5d1630
6083235721,alfa-romeo,147,Węgorzyno,Zachodniopomorskie,105,1598,9500,PLN,Niemcy,False,,,,,,,2009,2009-05-07 00:00:00,128000,Firmy,,Benzyna,196,Kompakt,Czerwony,Używane,,Na przednie koła,Manualna,2021-04-07 16:11:00,https://www.otomoto.pl/oferta/alfa-romeo-147-1-6-ts-105km-klimatyzacja-lift-ID6DGDwb.html#7f9c5d1630
6083376106,alfa-romeo,147,Warszawa,Mazowieckie,120,1598,6000,PLN,,False,False,True,,,,,2002,2002-06-13 00:00:00,143000,Osoby prywatnej,,Benzyna+LPG,,Kompakt,Czarny,Używane,,Na przednie koła,Manualna,2021-04-07 14:59:00,https://www.otomoto.pl/oferta/alfa-romeo-147-alfa-romeo-147-niski-przebieg-lpg-od-2018-stan-igla-ID6DHe1s.html#7f9c5d1630
6083239863,alfa-romeo,147,Szymbark,Małopolskie,105,1598,3500,PLN,,False,False,True,,,,,2001,2019-08-23 00:00:00,153000,Osoby prywatnej,,Benzyna,,Kompakt,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-07 14:19:00,https://www.otomoto.pl/oferta/alfa-romeo-147-sprzedam-alfa-147-1-6-ts-ID6DGEzZ.html#7f9c5d1630
6083727539,alfa-romeo,147,Lachowice,Małopolskie,105,1598,11500,PLN,,False,False,True,,True,,,2010,,135000,Osoby prywatnej,,Benzyna,,Kompakt,Czarny,Używane,True,Na przednie koła,Manualna,2021-04-07 10:49:00,https://www.otomoto.pl/oferta/alfa-romeo-147-ID6DIHrJ.html#7f9c5d1630
6083107168,alfa-romeo,147,Szamotuły,Wielkopolskie,105,1598,5900,PLN,,False,,,,,,,2006,,195000,Firmy,,Benzyna,,Auta miejskie,Czarny,Używane,,Na przednie koła,Manualna,2021-04-07 09:49:00,https://www.otomoto.pl/oferta/alfa-romeo-147-1-6-16v-105km-lift-klimatyzacja-abs-ID6DG63K.html#7f9c5d1630
6083863402,alfa-romeo,147,Kęty,Małopolskie,120,1900,9999,PLN,,False,,,,,,,2010,,153392,Firmy,,Diesel,,Kompakt,Czarny,Używane,,Na przednie koła,Manualna,2021-04-07 09:28:00,https://www.otomoto.pl/oferta/alfa-romeo-147-1-9-m-jet-120ps-klima-serwis-uszkodzony-icd-kety-ID6DJgN4.html#7f9c5d1630
6084010086,alfa-romeo,147,Bełżec,Lubelskie,116,1910,6200,PLN,,False,False,,,,,,2005,,207000,Osoby prywatnej,,Diesel,,Kompakt,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-07 09:23:00,https://www.otomoto.pl/oferta/alfa-romeo-147-alfa-romeo-147-lift-1-9-jtd-5d-2005r-ID6DJSVV.html#7f9c5d1630
