ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6083227238,aston-martin,db11,Katowice,Śląskie,510,3982,948900,PLN,Niemcy,False,False,True,,True,,,2019,2020-06-29 00:00:00,2650,Firmy,True,Benzyna,,Coupe,Szary,Używane,True,Na tylne koła,Automatyczna,2021-04-06 22:47:00,https://www.otomoto.pl/oferta/aston-martin-db11-db11-v8-510km-coupe-1-rej-2020-bezwypadkowy-gwarancja-ID6DGBim.html#46010bc505
6029741137,aston-martin,db11,Kraków,Małopolskie,608,5204,1267949,PLN,Polska,False,False,,,,,,2018,2018-04-27 00:00:00,17500,Firmy,,Benzyna,265,Coupe,Szary,Używane,True,Na tylne koła,Automatyczna,2021-04-02 17:20:00,https://www.otomoto.pl/oferta/aston-martin-db11-608km-5-2-v12-2018r-salon-polska-ID6A4b7j.html#46010bc505
6083902581,aston-martin,db11,Mława,Mazowieckie,608,5204,490700,PLN,,False,,,,,,,2018,2018-01-01 00:00:00,19757,Firmy,,Benzyna,265,Coupe,Biały,Używane,,Na tylne koła,Automatyczna,2021-04-02 10:53:00,https://www.otomoto.pl/oferta/aston-martin-db11-auto-punkt-ID6DJqYZ.html#46010bc505
6067260152,aston-martin,db7,Kraków,Małopolskie,420,5935,160000,PLN,,False,,,,,,,2000,,77000,Osoby prywatnej,,Benzyna,,Kabriolet,Srebrny,Używane,,Na tylne koła,Automatyczna,2021-03-30 13:56:00,https://www.otomoto.pl/oferta/aston-martin-db7-ID6CBBvI.html#5f74f6bcd2
6077932575,aston-martin,db9,Łódź,Łódzkie,449,5935,145000,PLN,Stany Zjednoczone,False,False,,,,,,2007,,52700,Osoby prywatnej,,Benzyna,,Coupe,Czarny,Używane,,Na tylne koła,Automatyczna,2021-04-06 08:58:00,https://www.otomoto.pl/oferta/aston-martin-db9-aston-martin-db9-ID6DknUz.html#605b944312
6075765366,aston-martin,db9,Gdańsk,Pomorskie,455,5935,299007,PLN,,False,False,True,,True,,,2006,,60000,Firmy,,Benzyna,,Kabriolet,Czarny,Używane,True,Na tylne koła,Automatyczna,2021-04-06 01:50:00,https://www.otomoto.pl/oferta/aston-martin-db9-volante-aston-martin-precious-kolekcjonerski-vat23-v12-ID6Dbi7A.html#605b944312
6083315813,aston-martin,db9,Jaworzno,Śląskie,477,5935,190000,PLN,Stany Zjednoczone,False,,,,,,,2009,,26969,Firmy,,Benzyna,,Coupe,Niebieski,Używane,,,Automatyczna,2021-04-03 17:03:00,https://www.otomoto.pl/oferta/aston-martin-db9-ID6DGYkZ.html#605b944312
6075174227,aston-martin,db9,Ostrów Wielkopolski,Wielkopolskie,455,5935,299000,PLN,,False,False,,,,,,2007,,126055,Firmy,True,Benzyna,,Coupe,Inny kolor,Używane,,,Automatyczna,2021-04-02 14:00:00,https://www.otomoto.pl/oferta/aston-martin-db9-jedyny-db9-dbs-mansory-6-0-v12-48v-455-km-dealer-professional-ID6D8Ol5.html#605b944312
6078816430,aston-martin,db9,Piła,Wielkopolskie,455,6000,227550,PLN,,False,,True,,,,,2007,,122000,Firmy,,Benzyna,,Coupe,Inny kolor,Używane,,Na tylne koła,Automatyczna,2021-04-01 18:31:00,https://www.otomoto.pl/oferta/aston-martin-db9-aston-martin-db9-mansory-ID6Do5Qi.html#605b944312
6081170327,aston-martin,db9,Piekary Śląskie,Śląskie,455,5935,219900,PLN,Niemcy,False,False,,,True,,,2005,2005-06-10 00:00:00,72000,Firmy,,Benzyna,394,Coupe,Czarny,Używane,,Na tylne koła,Automatyczna,2021-03-30 15:10:00,https://www.otomoto.pl/oferta/aston-martin-db9-6-0-v12-455-km-automat-ID6DxYcn.html#605b944312
