ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania
6075806545,audi,100,Czarne,Pomorskie,133,2309,14950,Niemcy,False,,True,,,,C4 (1991-1994),1992,,178236,Osoby prywatnej,,Benzyna,,Sedan,Złoty,Używane,,,Automatyczna,2021-04-03 19:55:00
6073945933,audi,100,Wrocław,Dolnośląskie,174,2771,69000,Niemcy,False,False,True,,True,,C4 (1991-1994),1992,,105000,Osoby prywatnej,,Benzyna,,Sedan,Złoty,Używane,,Na przednie koła,Automatyczna,2021-03-31 20:23:00
6078519083,audi,100,Bytów,Pomorskie,115,2500,13400,Niemcy,False,False,True,,,,C4 (1991-1994),1994,,363000,Osoby prywatnej,,Diesel,,Kombi,Szary,Używane,,Na przednie koła,Manualna,2021-04-05 08:22:00
6083943749,audi,100,Katowice,Śląskie,174,2771,8700,Niemcy,False,False,True,,,,C4 (1991-1994),1991,1991-05-06 00:00:00,385000,Osoby prywatnej,,Benzyna,,Sedan,Czarny,Używane,,Na przednie koła,Automatyczna,2021-04-04 22:27:00
6083941994,audi,100,Pisarzowice,Dolnośląskie,90,1781,1000,,False,,,,,,C3 (1982-1991),1984,2013-04-19 00:00:00,110000,Osoby prywatnej,,Benzyna+LPG,,Sedan,Zielony,Używane,,Na przednie koła,Manualna,2021-04-04 17:37:00
6079536466,audi,100,Siedlce,Mazowieckie,115,1800,10500,,False,,,,,,C3 (1982-1991),1986,,184000,Osoby prywatnej,,Benzyna,,Sedan,Złoty,Używane,,,Automatyczna,2021-04-04 17:24:00
6068138889,audi,100,Żory,Śląskie,136,2300,18900,,False,,True,,True,,C3 (1982-1991),1989,,133000,Firmy,,Benzyna,,Sedan,Czarny,Używane,True,Na przednie koła,Automatyczna,2021-04-04 11:14:00
6083744657,audi,100,Przemyśl,Podkarpackie,174,2771,29900,Niemcy,False,False,,,,,C4 (1991-1994),1991,1991-07-10 00:00:00,190000,Osoby prywatnej,,Benzyna+LPG,,Sedan,Srebrny,Używane,,4x4 (dołączany automatycznie),Manualna,2021-04-03 20:14:00
6080568543,audi,100,Siemiatycze,Podlaskie,133,2309,14900,Belgia,False,,,,,,C4 (1991-1994),1993,,151000,Osoby prywatnej,,Benzyna,,Sedan,Srebrny,Używane,,Na przednie koła,Automatyczna,2021-04-03 11:18:00
6080736169,audi,100,Białystok,Podlaskie,87,1986,5555,,False,,,,,,C3 (1982-1991),1987,,275000,Osoby prywatnej,,Diesel,,Sedan,Czerwony,Używane,,Na przednie koła,Manualna,2021-04-02 18:10:00
6083223082,audi,100,Nowa Wieś Lęborska,Pomorskie,137,2226,14999,Belgia,False,,True,,True,,C3 (1982-1991),1987,,108729,Firmy,,Benzyna,,Sedan,Inny kolor,Używane,True,Na przednie koła,Manualna,2021-04-02 15:51:00
6077228555,audi,100,Słupsk,Pomorskie,115,2000,8500,,False,,,,,,,1991,,213100,Osoby prywatnej,,Benzyna,,Sedan,Czerwony,Używane,,,Automatyczna,2021-04-02 09:59:00
6083854956,audi,100,Wrocław,Dolnośląskie,115,1984,6000,Niemcy,False,False,True,,True,,C4 (1991-1994),1991,,216647,Osoby prywatnej,,Benzyna,,Sedan,Biały,Używane,,Na przednie koła,Automatyczna,2021-03-31 23:36:00
6076750110,audi,100,Poznań,Wielkopolskie,115,1900,50000,,False,,,,,,C1 (1968-1976),1974,,14626,Firmy,,Benzyna,,Sedan,Brązowy,Używane,,,Manualna,2021-03-31 16:32:00
6081687538,audi,100,Olszyna,Dolnośląskie,116,2460,18500,Niemcy,False,,True,,True,,C4 (1991-1994),1992,1992-11-20 00:00:00,362596,Firmy,,Diesel,,Kombi,Srebrny,Używane,,Na przednie koła,Automatyczna,2021-03-31 09:34:00
6081032028,audi,100,Pieszyce,Dolnośląskie,174,2771,14900,Niemcy,False,,,,,,C4 (1991-1994),1992,1992-07-03 00:00:00,136900,Firmy,,Benzyna,,Sedan,Beżowy,Używane,,Na przednie koła,Manualna,2021-03-30 22:45:00
6069450362,audi,100,Bielawa,Dolnośląskie,136,2300,10400,Niemcy,False,False,,,,,C4 (1991-1994),1991,,302000,Firmy,,Benzyna,,Sedan,Biały,Używane,,Na przednie koła,Automatyczna,2021-03-30 19:40:00
6083024917,audi,100,Tczew,Pomorskie,136,2309,11999,,False,False,,,,,C3 (1982-1991),1991,1991-01-01 00:00:00,290000,Osoby prywatnej,,Benzyna,,Sedan,Szary,Używane,,Na przednie koła,Automatyczna,2021-03-29 00:39:00
6083706272,audi,100,Piotrków Trybunalski,Łódzkie,115,2460,8500,,False,,,,,,C4 (1991-1994),1993,,400000,Osoby prywatnej,,Diesel,,Kombi,Inny kolor,Używane,,,Manualna,2021-03-27 16:30:00
6077820701,audi,100,Markuszów,Lubelskie,140,2000,7500,,False,False,,,,,C4 (1991-1994),1993,,311000,Osoby prywatnej,,Benzyna+LPG,,Kombi,Inny kolor,Używane,,4x4 (stały),Manualna,2021-03-27 09:17:00
6078713945,audi,100,Bielsk Podlaski,Podlaskie,116,1994,10500,,False,,True,,,,C3 (1982-1991),1986,,99500,Osoby prywatnej,,Benzyna,,Sedan,Złoty,Używane,,Na przednie koła,Manualna,2021-03-26 21:16:00
6083310139,audi,100,Dobra,Zachodniopomorskie,116,1984,7950,,False,False,,,,,C4 (1991-1994),1993,1993-11-01 00:00:00,187450,Firmy,,Benzyna+LPG,,Sedan,Czerwony,Używane,,Na przednie koła,Manualna,2021-03-26 15:45:00
6082747908,audi,80,Poznań,Wielkopolskie,174,2771,39899,,False,,,,,,B4 (1991-1995),1995,1995-11-19 00:00:00,127000,Osoby prywatnej,,Benzyna,,Kabriolet,Czarny,Używane,,Na przednie koła,Automatyczna,2021-04-04 08:22:00
6083836779,audi,80,Szczebrzeszyn,Lubelskie,300,2300,44900,,False,,,,,,B2 (1978-1986),1978,,2000,Osoby prywatnej,,Benzyna,,Sedan,Bordowy,Używane,,Na przednie koła,Manualna,2021-03-31 13:48:00
6080255255,audi,80,Gryfów Śląski,Dolnośląskie,90,1760,8900,Niemcy,False,,True,,,,B3 (1986-1991),1987,,197000,Firmy,,Benzyna,,Sedan,Biały,Używane,,Na przednie koła,Automatyczna,2021-04-05 08:18:00
6083633008,audi,80,Kalisz,Wielkopolskie,90,1896,2500,,False,False,,,,,B4 (1991-1995),1993,,346000,Osoby prywatnej,,Diesel,,Kombi,Biały,Używane,,Na przednie koła,Manualna,2021-04-04 21:37:00
6079886702,audi,80,Warszawa,Mazowieckie,90,1984,2999,Niemcy,False,False,,,,,B4 (1991-1995),1992,,290500,Osoby prywatnej,,Benzyna,,Sedan,Zielony,Używane,,Na przednie koła,Manualna,2021-04-04 21:31:00
