ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania
6075931889,bentley,arnage,Zgórsko,Świętokrzyskie,405,6750,164000,,False,False,True,,,,,1999,2000-01-01 00:00:00,51000,Osoby prywatnej,,Benzyna,10,Sedan,Czarny,Używane,,Na tylne koła,Automatyczna,2021-04-01 14:07:00
6077254013,bentley,arnage,Poznań,Wielkopolskie,405,6750,189800,,False,,,,True,,,2005,,102000,Firmy,,Benzyna,,Sedan,Niebieski,Używane,,Na tylne koła,Automatyczna,2021-03-31 15:05:00
6077841639,bentley,bentayga,Kraków,Małopolskie,608,5950,659999,Polska,False,,,,,,,2016,,56000,Osoby prywatnej,True,Benzyna,,SUV,Czarny,Używane,,,Automatyczna,2021-04-03 23:17:00
6079517184,bentley,bentayga,Straszyn,Pomorskie,550,4000,1399000,Polska,False,False,True,,True,,,2020,,5400,Firmy,,Benzyna,,SUV,Szary,Używane,True,4x4 (stały),Automatyczna,2021-04-04 18:40:00
6074865496,bentley,bentayga,Straszyn,Pomorskie,608,5950,799000,Polska,False,False,True,,True,,,2016,,93000,Firmy,,Benzyna,296,SUV,Niebieski,Używane,True,4x4 (stały),Automatyczna,2021-04-04 11:50:00
6083926808,bentley,bentayga,Poznań,Wielkopolskie,435,3996,205000,Polska,False,False,,,True,,,2017,,68000,Osoby prywatnej,,Diesel,210,SUV,Szary,Używane,True,4x4 (stały),Automatyczna,2021-04-03 12:14:00
6083565599,bentley,bentayga,Kraków,Małopolskie,608,5950,1019000,,False,,,,,,,2021,,30,Osoby prywatnej,,Benzyna,296,SUV,Inny kolor,Używane,,4x4 (stały),Automatyczna,2021-04-03 11:34:00
6080946700,bentley,bentayga,Warszawa,Mazowieckie,550,3996,899000,Polska,False,False,True,,True,,,2018,,26500,Firmy,,Benzyna,296,SUV,Biały,Używane,True,4x4 (stały),Automatyczna,2021-04-03 08:28:00
6081834207,bentley,bentayga,Warszawa,Mazowieckie,435,3996,825000,Polska,False,,True,,True,,,2018,,66000,Firmy,,Diesel,,SUV,Niebieski,Używane,True,4x4 (dołączany automatycznie),Automatyczna,2021-04-02 17:44:00
6082679101,bentley,bentayga,Warszawa,Mazowieckie,550,3996,1555600,,False,,True,,,,,2021,,5,Firmy,,Benzyna,296,SUV,Czarny,Nowe,,4x4 (stały),Automatyczna,2021-04-02 14:49:00
6079756843,bentley,bentayga,Warszawa,Mazowieckie,,,1388000,Polska,False,,,,,,,2020,2020-10-28 00:00:00,81,Firmy,True,Benzyna,,SUV,Czarny,Używane,,4x4 (stały),Automatyczna,2021-04-02 13:26:00
6082673211,bentley,bentayga,Warszawa,Mazowieckie,550,3996,1442000,,False,,True,,,,,2020,,5,Firmy,,Benzyna,296,SUV,Inny kolor,Nowe,,4x4 (stały),Automatyczna,2021-04-02 11:56:00
6076296827,bentley,bentayga,Starachowice,Świętokrzyskie,608,6000,99999,,False,,,,,,,2016,,119000,Osoby prywatnej,,Benzyna,,SUV,Czarny,Używane,,4x4 (stały),Automatyczna,2021-03-31 21:39:00
6077376442,bentley,bentayga,Kraków,Małopolskie,435,3996,709000,,False,,True,,True,,,2019,2019-01-10 00:00:00,2300,Osoby prywatnej,,Diesel,210,SUV,Biały,Używane,True,4x4 (stały),Automatyczna,2021-03-31 15:48:00
6083059564,bentley,bentayga,Bolszewo,Pomorskie,550,3996,1390000,,False,False,True,,,,,2020,,100,Firmy,True,Benzyna,296,SUV,Czarny,Używane,True,4x4 (stały),Automatyczna,2021-03-29 13:41:00
6083947502,bentley,continental-flying-spur,Warszawa,Mazowieckie,560,5998,123900,Wielka Brytania,False,,True,True,,,,2006,2006-01-26 00:00:00,141782,Osoby prywatnej,,Benzyna,423,Sedan,Zielony,Używane,,4x4 (stały),Automatyczna,2021-04-05 14:38:00
6083362644,bentley,continental-flying-spur,Świętochłowice,Śląskie,528,3993,1730000,,False,,True,,,,,2021,,1,Firmy,,Benzyna,254,Sedan,Szary,Nowe,,4x4 (stały),Automatyczna,2021-04-05 10:43:00
6058959968,bentley,continental-flying-spur,Kraków,Małopolskie,560,5998,219900,,False,False,True,,True,,,2007,,151000,Firmy,True,Benzyna,,Sedan,Czarny,Używane,True,4x4 (stały),Automatyczna,2021-04-03 11:10:00
6058630360,bentley,continental-flying-spur,Kraków,Małopolskie,560,5998,219000,,False,False,True,,,,,2007,,151742,Firmy,,Benzyna,,Sedan,Czarny,Używane,True,,Automatyczna,2021-04-02 23:31:00
6079538742,bentley,continental-flying-spur,Konin,Wielkopolskie,625,5998,477700,Austria,False,False,True,,True,,,2015,,79700,Osoby prywatnej,,Benzyna,,Sedan,Czarny,Używane,,4x4 (stały),Automatyczna,2021-04-02 20:55:00
6083067668,bentley,continental-flying-spur,Racibory,Mazowieckie,560,5998,209100,Polska,False,False,True,,True,,,2005,2005-08-24 00:00:00,89585,Firmy,,Benzyna,410,Sedan,Czarny,Używane,,4x4 (stały),Automatyczna,2021-04-02 08:44:00
6083209173,bentley,continental-flying-spur,Pieńkowo,Zachodniopomorskie,560,5998,211600,,False,False,,,True,,,2008,,103914,Firmy,,Benzyna,423,Sedan,Czarny,Używane,,4x4 (stały),Automatyczna,2021-04-01 22:27:00
6083195395,bentley,continental-flying-spur,Kraków,Małopolskie,635,5998,225000,,False,,,,,,,2021,2021-03-02 00:00:00,50,Osoby prywatnej,,Benzyna,335,Sedan,Niebieski,Używane,,4x4 (stały),Automatyczna,2021-04-01 13:55:00
6077230741,bentley,continental-flying-spur,Białystok,Podlaskie,610,5998,218000,,False,,,,,,,2010,,57098,Osoby prywatnej,,Benzyna,396,Sedan,Biały,Używane,,4x4 (stały),Automatyczna,2021-03-31 13:45:00
