ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania
6076330343,bmw,1m,Września,Wielkopolskie,320,3000,82500,Szwajcaria,False,False,,,,,,2014,,92600,Osoby prywatnej,,Benzyna,,Sedan,Biały,Używane,True,4x4 (stały),Automatyczna,2021-04-05 15:17:00
6080350685,bmw,1m,Warszawa,Mazowieckie,326,2979,109403,Polska,False,False,True,,True,,,2016,,71000,Osoby prywatnej,True,Benzyna,,Kompakt,Biały,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-03 12:35:00
6083909619,bmw,1m,Częstochowa,Śląskie,340,2998,149000,Polska,False,,True,,True,,,2017,,66400,Firmy,,Benzyna,,Kompakt,Niebieski,Używane,True,4x4 (dołączany automatycznie),Automatyczna,2021-04-02 13:47:00
6083869902,bmw,1m,Kwaczała,Małopolskie,320,2979,81900,Szwajcaria,False,,,,True,,,2013,,61027,Osoby prywatnej,,Benzyna,,Kompakt,Biały,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-01 12:06:00
6079522545,bmw,1m,Wrocław,Dolnośląskie,320,3000,78000,Polska,False,False,True,,True,,,2013,,126000,Osoby prywatnej,,Benzyna,,Kompakt,Niebieski,Używane,,4x4 (stały),Automatyczna,2021-03-31 18:46:00
6066317754,bmw,1m,Żywiec,Śląskie,320,2979,29900,Szwajcaria,False,,,,True,,,2012,,88200,Firmy,,Benzyna,,Kompakt,Szary,Używane,,Na tylne koła,Manualna,2021-03-31 15:49:00
6083163020,bmw,1m,Łódź,Łódzkie,340,3000,155000,Polska,False,False,True,,True,,,2017,2017-05-02 00:00:00,51500,Osoby prywatnej,,Benzyna,,Kompakt,Czarny,Używane,True,4x4 (stały),Automatyczna,2021-03-31 15:12:00
6083837903,bmw,1m,Czerniewice,Łódzkie,136,1499,54900,Szwajcaria,False,,,,True,,,2019,,75499,Firmy,,Benzyna,,Kompakt,Czarny,Używane,,Na tylne koła,Manualna,2021-03-31 14:08:00
6076326852,bmw,1m,Wieliczka,Małopolskie,,,119000,,False,,,,,,,2017,,12300,Firmy,,Benzyna,,Coupe,Niebieski,Używane,,,,2021-03-31 13:46:00
6080899416,bmw,1m,Warszawa,Mazowieckie,340,2979,299000,Polska,False,False,,,True,,,2011,,46800,Firmy,,Benzyna,,Coupe,Inny kolor,Używane,,Na tylne koła,Manualna,2021-03-31 10:41:00
6080922993,bmw,1m,Warszawa,Mazowieckie,320,2979,64000,,False,False,True,,,,,2013,2013-09-20 00:00:00,162000,Osoby prywatnej,True,Benzyna,,Kompakt,Biały,Używane,,Na tylne koła,Automatyczna,2021-03-30 19:29:00
6075018742,bmw,1m,Gorzów Wielkopolski,Lubuskie,340,2998,184500,Polska,False,False,True,,True,,,2019,2019-06-26 00:00:00,30000,Osoby prywatnej,True,Benzyna,,Kompakt,Niebieski,Używane,True,4x4 (dołączany automatycznie),Automatyczna,2021-03-30 07:56:00
6078519698,bmw,1m,Poznań,Wielkopolskie,340,3000,114999,Belgia,False,,,,True,,,2017,2017-04-16 00:00:00,40000,Osoby prywatnej,,Benzyna,,Kompakt,Biały,Używane,True,Na tylne koła,Manualna,2021-03-27 21:04:00
