ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania
6073638599,buick,century,Michałów-Reginów,Mazowieckie,258,5272,199000,,False,False,,,,,,1956,,72000,Firmy,,Benzyna,,Auta miejskie,Inny kolor,Używane,,Na tylne koła,Automatyczna,2021-04-03 19:00:00
6083423149,buick,enclave,Warszawa,Mazowieckie,292,3600,50000,,False,,True,,,,,2011,2011-06-30 00:00:00,172000,Firmy,,Benzyna,,SUV,Beżowy,Używane,,Na przednie koła,Automatyczna,2021-04-03 18:29:00
6080555281,buick,enclave,Dzierżoniów,Dolnośląskie,300,3600,99000,Stany Zjednoczone,False,False,,,,,,2014,2015-02-06 00:00:00,123736,Osoby prywatnej,,Benzyna,,SUV,Srebrny,Używane,,Na przednie koła,Automatyczna,2021-04-01 10:47:00
6083423973,buick,lacrosse,Warszawa,Mazowieckie,303,3600,68000,Niemcy,False,,True,,,,,2013,2013-07-07 00:00:00,175000,Firmy,,Benzyna,,Sedan,Biały,Używane,,4x4 (stały),Automatyczna,2021-04-03 18:27:00
6082280282,buick,le-sabre,Ryczówek,Małopolskie,230,5700,32000,,False,,,,,,,1969,1969-01-01 00:00:00,69000,Osoby prywatnej,,Benzyna,,Coupe,Zielony,Używane,,,Automatyczna,2021-04-04 21:16:00
6081333969,buick,le-sabre,Hajnówka,Podlaskie,250,5700,47000,,False,,,,,,,1968,,60000,Osoby prywatnej,,Benzyna,,Coupe,Czarny,Używane,,Na tylne koła,Automatyczna,2021-03-31 08:43:00
6081600821,buick,le-sabre,Szczecin,Zachodniopomorskie,300,6000,129000,,False,,,,,,,1960,,30000,Osoby prywatnej,,Benzyna,,Coupe,Inny kolor,Używane,,Na tylne koła,Automatyczna,2021-03-28 21:38:00
6083171814,buick,other,Darłowo,Zachodniopomorskie,140,1364,59499,Stany Zjednoczone,False,False,,,,True,,2018,,68500,Osoby prywatnej,,Benzyna,,SUV,Niebieski,Używane,,Na przednie koła,Automatyczna,2021-04-04 20:47:00
6082542814,buick,other,Gostyń,Wielkopolskie,140,1364,42000,,False,False,,,,,,2014,2016-12-28 00:00:00,158628,Osoby prywatnej,,Benzyna+LPG,,SUV,Bordowy,Używane,,,Automatyczna,2021-04-03 10:19:00
6083530990,buick,other,Gliwice,Śląskie,340,7000,54900,Stany Zjednoczone,True,,,,,,,1966,,74000,Osoby prywatnej,,Benzyna,,Coupe,Niebieski,Używane,,Na tylne koła,Automatyczna,2021-04-02 16:29:00
