ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania
6080251886,cadillac,ats,Busko-Zdrój,Świętokrzyskie,276,1998,81000,,False,False,,,,,,2018,,23600,Osoby prywatnej,,Benzyna,,Sedan,Srebrny,Używane,,4x4 (stały),Automatyczna,2021-04-05 14:34:00
6083669199,cadillac,ats,Ostrów Wielkopolski,Wielkopolskie,470,3564,76900,Francja,False,,,,True,,,2017,,21404,Osoby prywatnej,,Benzyna,,Sedan,Srebrny,Używane,True,Na tylne koła,Automatyczna,2021-04-05 19:13:00
6057338523,cadillac,ats,Łuków,Lubelskie,284,2000,62500,,False,False,,,True,,,2014,,43000,Osoby prywatnej,,Benzyna,,Sedan,Czarny,Używane,True,,Automatyczna,2021-04-05 14:33:00
6077040780,cadillac,ats,Bydgoszcz,Kujawsko-pomorskie,320,3564,62000,Kanada,False,,,,,,,2013,,58000,Osoby prywatnej,,Benzyna,,Sedan,Beżowy,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-03 15:43:00
6083191235,cadillac,ats,Wyszków,Mazowieckie,276,1998,62900,Stany Zjednoczone,False,False,,,,,,2015,,135350,Firmy,,Benzyna,195,Sedan,Czarny,Używane,,4x4 (stały),Automatyczna,2021-04-01 12:39:00
6069470537,cadillac,ats,Śrem,Wielkopolskie,328,3600,49999,,False,,,,,,,2013,,73015,Firmy,,Benzyna,,Sedan,Czarny,Używane,,Na tylne koła,Automatyczna,2021-03-31 14:30:00
6058033254,cadillac,ats,Siedlce,Mazowieckie,276,2000,69500,,False,,,,,,,2014,,43921,Firmy,,Benzyna,,Sedan,Czarny,Używane,,Na tylne koła,Automatyczna,2021-03-29 18:54:00
6074711298,cadillac,bls,Puławy,Lubelskie,150,1910,13900,Holandia,False,False,True,,,,,2009,,218000,Firmy,,Diesel,,Sedan,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-02 08:47:00
6083795912,cadillac,bls,Myślenice,Małopolskie,150,1910,18000,,False,False,True,,,True,,2006,2006-03-02 00:00:00,280000,Osoby prywatnej,,Diesel,164,Sedan,Srebrny,Używane,,Na przednie koła,Manualna,2021-03-30 13:12:00
6083066757,cadillac,bls,Nasielsk,Mazowieckie,175,1998,17800,Polska,False,False,,,,,,2006,2006-06-14 00:00:00,94900,Firmy,,Benzyna,216,Sedan,Szary,Używane,,Na przednie koła,Automatyczna,2021-03-29 08:17:00
6083359024,cadillac,bls,Radom,Mazowieckie,255,2792,21900,Szwajcaria,False,,True,,True,,,2006,,154321,Firmy,,Benzyna,259,Sedan,Złoty,Używane,,Na przednie koła,Automatyczna,2021-03-28 07:54:00
6083705146,cadillac,bls,Radom,Mazowieckie,255,2792,21900,Szwajcaria,False,,,,True,,,2006,2007-01-31 00:00:00,129000,Osoby prywatnej,,Benzyna,259,Sedan,Czarny,Używane,,Na przednie koła,Automatyczna,2021-03-27 15:35:00
6078700023,cadillac,brougham,Będzin,Śląskie,188,5710,26600,,False,False,,,,,,1993,,297000,Osoby prywatnej,,Benzyna,,Sedan,Szary,Używane,,Na tylne koła,Automatyczna,2021-04-01 12:02:00
6083732744,cadillac,brougham,Ostrołęka,Mazowieckie,200,5000,18000,,False,,,,,,,1988,,180000,Osoby prywatnej,,Benzyna,,Sedan,Biały,Używane,,,Automatyczna,2021-03-28 13:51:00
6083368569,cadillac,ct6,Ciemne,Mazowieckie,417,2997,69950,,False,,,,,,,2017,,61462,Firmy,,Benzyna,218,Sedan,Bordowy,Używane,,4x4 (stały),Automatyczna,2021-04-05 13:26:00
6083512989,cadillac,ct6,Tarnowskie Góry,Śląskie,340,3600,183000,,False,,,,,,,2016,2017-01-17 00:00:00,35000,Osoby prywatnej,,Benzyna,218,Sedan,Czarny,Używane,,4x4 (stały),Automatyczna,2021-04-01 21:25:00
6079272778,cadillac,ct6,Sieraków,Wielkopolskie,335,3600,155000,Stany Zjednoczone,False,False,,,,,,2017,,63000,Osoby prywatnej,,Benzyna,,Sedan,Biały,Używane,,4x4 (stały),Automatyczna,2021-03-31 10:52:00
6083387733,cadillac,cts,Radom,Mazowieckie,180,2600,17900,Niemcy,False,,True,,True,,,2004,,194899,Osoby prywatnej,,Benzyna,,Sedan,Inny kolor,Używane,,Na tylne koła,Automatyczna,2021-04-05 17:49:00
6083203554,cadillac,cts,Warszawa,Mazowieckie,237,2000,124000,,False,,,,,,,2020,,1500,Firmy,,Benzyna,,Sedan,Szary,Używane,,Na tylne koła,Automatyczna,2021-04-05 17:12:00
6082836434,cadillac,cts,Legionowo,Mazowieckie,217,3175,15000,,False,False,,,,,,2003,,229500,Osoby prywatnej,,Benzyna,,Sedan,Inny kolor,Używane,,Na tylne koła,Automatyczna,2021-04-05 16:03:00
6074765959,cadillac,cts,Gdańsk,Pomorskie,306,3600,77900,Stany Zjednoczone,False,False,True,,,,,2011,,191000,Osoby prywatnej,,Benzyna,,Coupe,Bordowy,Używane,,4x4 (stały),Automatyczna,2021-04-04 18:34:00
6052232323,cadillac,cts,Jarosław,Podkarpackie,276,2000,118000,Stany Zjednoczone,False,False,,,,,,2014,2018-08-27 00:00:00,45000,Osoby prywatnej,,Benzyna,,Sedan,Szary,Używane,,4x4 (stały),Automatyczna,2021-04-04 17:53:00
6077526725,cadillac,cts,Radom,Mazowieckie,311,3564,39900,Szwajcaria,False,,True,,True,,,2008,,223554,Osoby prywatnej,,Benzyna,247,Sedan,Bordowy,Używane,,4x4 (stały),Automatyczna,2021-04-04 09:01:00
6081287548,cadillac,cts,Gdańsk,Pomorskie,311,3564,37900,Dania,False,False,,,,,,2010,,287000,Firmy,,Benzyna,275,Sedan,Czarny,Używane,,4x4 (stały),Automatyczna,2021-04-02 15:21:00
6069785459,cadillac,cts,Warszawa,Mazowieckie,270,3000,31900,Stany Zjednoczone,False,False,,,,,,2011,,138000,Osoby prywatnej,,Benzyna,,Sedan,Czarny,Używane,True,4x4 (stały),Automatyczna,2021-04-02 14:19:00
6081802566,cadillac,cts,Ostrowiec Świętokrzyski,Świętokrzyskie,180,2597,24900,,False,False,True,,True,,,2006,,179247,Firmy,,Benzyna,284,Sedan,Szary,Używane,True,Na tylne koła,Manualna,2021-04-01 19:48:00
6083642080,cadillac,cts,Garwolin,Mazowieckie,276,1998,99999,Szwajcaria,False,False,True,,True,,,2014,,31207,Firmy,,Benzyna,195,Sedan,Czarny,Używane,,4x4 (stały),Automatyczna,2021-04-01 08:17:00
6081955924,cadillac,cts,Dobra,Zachodniopomorskie,276,2997,32999,Kanada,False,,True,,,,,2011,,246000,Osoby prywatnej,,Benzyna,249,Sedan,Czarny,Używane,,4x4 (stały),Automatyczna,2021-03-31 20:55:00
