ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania
6074367244,chevrolet,3500,Ostrzeszów,Wielkopolskie,100,995,110700,,False,,,,,,,1952,,30000,Firmy,,Benzyna,,SUV,Niebieski,Używane,,,Manualna,2021-04-03 13:32:00
6081658543,chevrolet,apache,Juszczyn,Małopolskie,205,5616,38888,,False,,,,,,,1958,,999999,Osoby prywatnej,,Benzyna,,SUV,Beżowy,Używane,,Na tylne koła,Manualna,2021-04-05 21:03:00
6076056117,chevrolet,astro,Krzykawka,Małopolskie,190,4300,39975,,False,,True,,,,,1997,,135350,Osoby prywatnej,,Benzyna,,Minivan,Biały,Używane,,4x4 (stały),Automatyczna,2021-04-04 17:08:00
6083597785,chevrolet,astro,Choszczówka Stojecka,Mazowieckie,190,4300,39800,Niemcy,False,,True,,True,,,1998,1998-10-16 00:00:00,180200,Firmy,,Benzyna,,Minivan,Niebieski,Używane,,Na tylne koła,Automatyczna,2021-04-04 10:21:00
6083524674,chevrolet,astro,Sade Budy,Mazowieckie,190,4300,22900,Szwecja,False,,True,,True,,,2003,,163000,Firmy,,Benzyna,,Minivan,Bordowy,Używane,,Na tylne koła,Automatyczna,2021-04-04 10:06:00
6080486581,chevrolet,astro,Brzezie,Małopolskie,165,4300,23800,,False,False,True,,,,,1990,1990-03-20 00:00:00,190000,Firmy,,Benzyna+LPG,,Minivan,Niebieski,Używane,,,Automatyczna,2021-03-30 18:50:00
6066222569,chevrolet,astro,Morzyczyn,Zachodniopomorskie,190,4300,25999,,False,False,True,,,,,1996,1996-01-01 00:00:00,121000,Firmy,,Benzyna+LPG,,Minivan,Srebrny,Używane,,Na tylne koła,Automatyczna,2021-03-30 13:48:00
6080790670,chevrolet,astro,Warszawa,Mazowieckie,180,4300,10000,,False,,,,,,,1992,,315000,Firmy,,Benzyna+LPG,,Minivan,Niebieski,Używane,,Na tylne koła,Automatyczna,2021-03-29 17:24:00
6083606676,chevrolet,avalanche,Białystok,Podlaskie,295,5326,29900,,False,,,,,,,2001,2001-01-01 00:00:00,190978,Firmy,,Benzyna+LPG,,SUV,Zielony,Używane,,4x4 (dołączany ręcznie),Automatyczna,2021-04-04 12:57:00
6080047426,chevrolet,avalanche,Białystok,Podlaskie,295,5328,19900,,False,,,,,,,2006,,161106,Firmy,,Benzyna,,SUV,Niebieski,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-03-29 21:25:00
6083627693,chevrolet,aveo,Radomsko,Łódzkie,115,1598,19900,Belgia,False,False,,,True,,,2012,,153000,Firmy,,Benzyna,141,Sedan,Inny kolor,Używane,,Na przednie koła,Manualna,2021-04-04 19:24:00
6083936810,chevrolet,aveo,Wolbrom,Małopolskie,86,1229,18900,Holandia,False,,,,,,,2012,,113023,Osoby prywatnej,,Benzyna,129,Auta miejskie,Niebieski,Używane,,Na przednie koła,Manualna,2021-04-03 22:57:00
6081158027,chevrolet,aveo,Gdańsk,Pomorskie,86,1229,15900,Dania,False,,True,,,,,2013,,204000,Firmy,,Benzyna,129,Auta miejskie,Czarny,Używane,,Na przednie koła,Manualna,2021-04-05 23:50:00
6082663728,chevrolet,aveo,Kalety,Śląskie,115,1598,21600,Niemcy,False,,True,,True,,,2012,2012-04-23 00:00:00,103000,Osoby prywatnej,,Benzyna,141,Auta miejskie,Niebieski,Używane,,Na przednie koła,Manualna,2021-04-05 23:47:00
6082281593,chevrolet,aveo,Niedary,Małopolskie,84,1206,12299,,False,,,,,,,2012,,73000,Osoby prywatnej,,Benzyna,132,Auta miejskie,Szary,Używane,,Na przednie koła,Manualna,2021-04-05 22:47:00
6083670220,chevrolet,aveo,Wyszki,Wielkopolskie,83,1200,8200,,False,,,,,,,2009,,151000,Osoby prywatnej,,Benzyna,,Auta małe,Żółty,Używane,,,Manualna,2021-04-05 19:43:00
6083320201,chevrolet,aveo,Nysa,Opolskie,100,1398,19900,,False,,True,,True,,,2013,,82600,Osoby prywatnej,,Benzyna,139,Auta miejskie,Biały,Używane,True,Na przednie koła,Manualna,2021-04-05 19:17:00
6083951154,chevrolet,aveo,Zabrze,Śląskie,72,1150,6900,Polska,False,,True,,,,,2007,2008-02-14 00:00:00,151000,Osoby prywatnej,,Benzyna+LPG,152,Auta miejskie,Szary,Używane,,Na przednie koła,Manualna,2021-04-05 18:52:00
6082317710,chevrolet,aveo,Poręba,Śląskie,86,1229,16999,,False,,True,,True,,,2011,2011-12-29 00:00:00,129000,Firmy,,Benzyna,129,Auta miejskie,Niebieski,Używane,,Na przednie koła,Manualna,2021-04-05 18:51:00
6083667467,chevrolet,aveo,Bochnia,Małopolskie,84,1206,14900,Polska,False,False,True,,,,,2011,2011-05-26 00:00:00,63793,Osoby prywatnej,,Benzyna,,Auta miejskie,Czerwony,Używane,True,Na przednie koła,Manualna,2021-04-05 18:23:00
6083949660,chevrolet,aveo,Jaworzno,Śląskie,101,1399,10300,,False,,,,,,,2008,,191913,Osoby prywatnej,,Benzyna+LPG,140,Auta miejskie,Szary,Używane,,Na przednie koła,Manualna,2021-04-05 17:01:00
6083662869,chevrolet,aveo,Kórnik,Wielkopolskie,86,1229,16900,,False,False,True,,,,,2012,,111000,Osoby prywatnej,,Benzyna,,Sedan,Bordowy,Używane,,Na przednie koła,Manualna,2021-04-05 16:27:00
6083661012,chevrolet,aveo,Jastrzębie-Zdrój,Śląskie,84,1206,9900,,False,,True,,,,,2009,2009-06-30 00:00:00,125000,Firmy,,Benzyna,130,Auta miejskie,Bordowy,Używane,True,Na przednie koła,Manualna,2021-04-05 15:37:00
6083947192,chevrolet,aveo,Płock,Mazowieckie,101,1399,16900,,False,False,,,,,,2012,,210000,Osoby prywatnej,,Benzyna,143,Kompakt,Niebieski,Używane,,Na przednie koła,Manualna,2021-04-05 14:22:00
6032002337,chevrolet,aveo,Stare Babice,Mazowieckie,72,1150,5900,Polska,False,False,True,,,,,2004,,230000,Firmy,,Benzyna+LPG,,Auta miejskie,Czerwony,Używane,,Na przednie koła,Manualna,2021-04-05 13:38:00
6083946914,chevrolet,aveo,Gliwice,Śląskie,72,1150,8200,Polska,False,False,,,,,,2007,2007-11-29 00:00:00,52500,Osoby prywatnej,,Benzyna,,Auta małe,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-05 13:31:00
6083797519,chevrolet,aveo,Poznań,Wielkopolskie,70,1229,17900,Polska,False,False,True,,True,,,2011,2011-09-19 00:00:00,98815,Firmy,,Benzyna,,Auta miejskie,Beżowy,Używane,,Na przednie koła,Manualna,2021-04-05 13:26:00
6082023319,chevrolet,aveo,Zamość,Lubelskie,86,1229,18900,,False,,True,,True,,,2012,,129000,Firmy,,Benzyna,,Auta miejskie,Srebrny,Używane,True,Na przednie koła,Manualna,2021-04-05 13:18:00
6083299915,chevrolet,aveo,Błonie,Mazowieckie,84,1206,11700,Niemcy,False,,,,True,,,2009,,129419,Firmy,,Benzyna,130,Auta miejskie,Niebieski,Używane,,Na przednie koła,Manualna,2021-04-05 13:15:00
6083191378,chevrolet,aveo,Katowice,Śląskie,86,1229,18500,,False,False,,,,,,2011,2011-11-21 00:00:00,99104,Firmy,True,Benzyna,,Kompakt,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-05 12:42:00
6083651185,chevrolet,aveo,Binczarowa,Małopolskie,84,1206,8900,,False,,True,,True,,,2010,,195000,Firmy,,Benzyna,130,Auta miejskie,Biały,Używane,,Na przednie koła,Manualna,2021-04-05 12:29:00
6082258219,chevrolet,aveo,Sochaczew,Mazowieckie,72,1150,5900,,False,False,,,,,,2005,,109000,Firmy,,Benzyna,,Auta miejskie,Czerwony,Używane,,Na przednie koła,Manualna,2021-04-05 12:20:00
6082998651,chevrolet,aveo,Izbica Kujawska,Kujawsko-pomorskie,95,1248,8400,Francja,False,,,,,,,2013,2013-04-16 00:00:00,103773,Osoby prywatnej,,Diesel,108,Auta miejskie,Biały,Używane,,Na przednie koła,Manualna,2021-04-05 12:14:00
6066538443,chevrolet,aveo,Budzyń,Wielkopolskie,82,1206,8900,Niemcy,False,False,,,,,,2009,2009-05-29 00:00:00,80000,Firmy,,Benzyna+LPG,,Auta miejskie,Niebieski,Używane,,Na przednie koła,Manualna,2021-04-05 12:00:00
6082063407,chevrolet,aveo,Witaszyce,Wielkopolskie,84,1206,9900,Niemcy,False,,True,,True,,,2009,2009-12-21 00:00:00,111447,Firmy,,Benzyna,132,Auta miejskie,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-05 11:35:00
6083945760,chevrolet,aveo,Częstochowa,Śląskie,101,1399,13300,,False,,True,,True,,,2008,,160100,Osoby prywatnej,,Benzyna+LPG,,Auta miejskie,Czerwony,Używane,,,Manualna,2021-04-05 11:31:00
6083645309,chevrolet,aveo,Wisznice,Lubelskie,101,1399,13500,Belgia,False,False,,,,,,2010,2010-10-06 00:00:00,70624,Firmy,,Benzyna,,Sedan,Szary,Używane,,Na przednie koła,Manualna,2021-04-05 11:21:00
6082252452,chevrolet,aveo,Pobiednik Wielki,Małopolskie,70,1229,19999,,False,False,True,,True,,,2013,,96526,Osoby prywatnej,,Benzyna+LPG,137,Auta miejskie,Czarny,Używane,True,Na przednie koła,Manualna,2021-04-05 10:36:00
6083290198,chevrolet,aveo,Zduńska Wola,Łódzkie,86,1200,13900,,False,,,,True,,,2012,,146000,Firmy,True,Benzyna,,Auta miejskie,Czarny,Używane,,Na przednie koła,Manualna,2021-04-05 10:21:00
6082168872,chevrolet,aveo,Łódź,Łódzkie,72,1150,7500,,False,False,True,,True,,,2008,2008-08-06 00:00:00,126369,Firmy,,Benzyna,,Sedan,Srebrny,Używane,True,Na przednie koła,Manualna,2021-04-05 10:19:00
6082851022,chevrolet,aveo,Warszawa,Mazowieckie,86,1229,19500,Polska,False,False,True,,True,,,2012,,111000,Firmy,,Benzyna,129,Auta miejskie,Niebieski,Używane,True,Na przednie koła,Manualna,2021-04-05 09:10:00
6083779675,chevrolet,aveo,Łódź,Łódzkie,86,1229,19600,Polska,False,False,,,True,,,2011,2011-11-28 00:00:00,78274,Firmy,True,Benzyna,,Kompakt,Inny kolor,Używane,,Na przednie koła,Manualna,2021-04-05 07:27:00
6083185136,chevrolet,aveo,Mosty,Zachodniopomorskie,72,1150,1400,,False,,,,,,,2005,,105621,Firmy,,Benzyna,,Kompakt,Czerwony,Używane,,,Manualna,2021-04-04 21:31:00
6083631915,chevrolet,aveo,Pułtusk,Mazowieckie,84,1206,11300,,False,False,,,,,,2010,,114400,Osoby prywatnej,,Benzyna+LPG,,Auta małe,Czarny,Używane,,Na przednie koła,Manualna,2021-04-04 21:06:00
