ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania
6082816577,chrysler,200,Choroszcz,Podlaskie,300,3600,63000,Stany Zjednoczone,False,False,,,,,,2016,2020-07-01 00:00:00,46578,Osoby prywatnej,,Benzyna+LPG,,Sedan,Czerwony,Używane,,Na przednie koła,Automatyczna,2021-04-05 14:27:00
6083931445,chrysler,200,Łomianki,Mazowieckie,299,3604,57810,,False,False,,,,,,2015,,199000,Osoby prywatnej,,Benzyna,,Sedan,Czarny,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-03 17:43:00
6081348026,chrysler,200,Poznań,Wielkopolskie,300,3600,58500,Stany Zjednoczone,False,False,True,,,,,2015,,98000,Osoby prywatnej,,Benzyna,,Sedan,Czarny,Używane,True,Na przednie koła,Automatyczna,2021-03-31 07:43:00
6083672917,chrysler,200,Kamionki,Wielkopolskie,296,3604,60900,,False,False,,,True,,,2015,,130000,Osoby prywatnej,,Benzyna,,Sedan,Czarny,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-05 20:27:00
6083572318,chrysler,200,Białystok,Podlaskie,184,2348,39237,,False,,,,,,,2015,,163212,Osoby prywatnej,,Benzyna,,Sedan,Biały,Używane,,Na przednie koła,Automatyczna,2021-04-05 14:34:00
6082577230,chrysler,200,Gdańsk,Pomorskie,287,3605,59000,Stany Zjednoczone,False,False,,,,,,2015,,118695,Osoby prywatnej,,Benzyna,,Sedan,Szary,Używane,,Na przednie koła,Automatyczna,2021-04-05 13:14:00
6083360723,chrysler,200,Trzebinia,Małopolskie,175,2400,37500,Stany Zjednoczone,False,,True,,True,True,,2014,,127494,Osoby prywatnej,,Benzyna,,Sedan,Niebieski,Używane,,Na przednie koła,Automatyczna,2021-04-05 09:37:00
6083940975,chrysler,200,Łapy,Podlaskie,298,3600,59000,,False,,,,,,,2016,,87000,Osoby prywatnej,,Benzyna,,Sedan,Biały,Używane,,,Automatyczna,2021-04-04 15:29:00
6083940819,chrysler,200,Łapy,Podlaskie,298,3600,58900,,False,False,,,,,,2015,,91000,Osoby prywatnej,,Benzyna,,Sedan,Brązowy,Używane,,Na przednie koła,Automatyczna,2021-04-04 15:06:00
6077136198,chrysler,200,Gdańsk,Pomorskie,185,2400,49800,Stany Zjednoczone,False,False,,,,,,2015,,72000,Osoby prywatnej,,Benzyna+LPG,,Sedan,Biały,Używane,,Na przednie koła,Automatyczna,2021-04-04 01:51:00
6083937447,chrysler,200,Poznań,Wielkopolskie,184,2400,53300,Stany Zjednoczone,False,False,,,,,,2017,,121200,Osoby prywatnej,,Benzyna,,Sedan,Niebieski,Używane,True,Na przednie koła,Automatyczna,2021-04-04 00:57:00
6083935148,chrysler,200,Daleszynek,Wielkopolskie,300,3604,32000,Stany Zjednoczone,False,,,,,,,2016,,117470,Firmy,,Benzyna,,Sedan,Biały,Używane,,Na przednie koła,Automatyczna,2021-04-03 21:41:00
6079863499,chrysler,200,Warszawa,Mazowieckie,186,2400,39000,,False,,,,,,,2016,,117000,Osoby prywatnej,,Benzyna+LPG,,Sedan,Szary,Używane,,,Automatyczna,2021-04-03 18:13:00
6083478681,chrysler,200,Wołomin,Mazowieckie,182,2400,49900,Stany Zjednoczone,False,False,,,,,,2016,,57000,Osoby prywatnej,,Benzyna+LPG,,Sedan,Niebieski,Używane,,Na przednie koła,Automatyczna,2021-04-03 13:40:00
6083924477,chrysler,200,Poznań,Wielkopolskie,300,3600,33500,Stany Zjednoczone,False,,,,,,,2015,,99000,Osoby prywatnej,,Benzyna,,Sedan,Srebrny,Używane,True,Na przednie koła,Automatyczna,2021-04-03 08:37:00
6083106484,chrysler,200,Mścice,Zachodniopomorskie,175,2400,59900,Stany Zjednoczone,False,,,,,,,2016,2016-10-01 00:00:00,72000,Firmy,,Benzyna,,Sedan,Bordowy,Używane,,Na przednie koła,Automatyczna,2021-04-02 18:47:00
6083105975,chrysler,200,Mścice,Zachodniopomorskie,299,3600,42000,Kanada,False,,,,,,,2015,2015-01-01 00:00:00,187000,Firmy,,Benzyna,,Sedan,Szary,Używane,,Na przednie koła,Automatyczna,2021-04-02 18:31:00
6082245922,chrysler,200,Rawa Mazowiecka,Łódzkie,287,3598,55500,Stany Zjednoczone,False,False,,,True,,,2014,,107000,Firmy,,Benzyna,,Kompakt,Biały,Używane,True,4x4 (stały),Automatyczna,2021-04-02 16:19:00
6083889019,chrysler,200,Bielsko-Biała,Śląskie,300,3604,37900,Stany Zjednoczone,False,,,,,,,2015,,63227,Osoby prywatnej,,Benzyna,,Sedan,Szary,Używane,,4x4 (stały),Automatyczna,2021-04-01 18:29:00
6083853424,chrysler,200,Darłowo,Zachodniopomorskie,299,3600,59901,Stany Zjednoczone,False,False,,,,,,2015,2015-01-01 00:00:00,129500,Osoby prywatnej,,Benzyna,,Sedan,Biały,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-03-31 22:14:00
6082795411,chrysler,200,Białystok,Podlaskie,296,3600,60900,,False,False,,,,,,2015,,74000,Osoby prywatnej,,Benzyna,,Sedan,Biały,Używane,True,4x4 (dołączany automatycznie),Automatyczna,2021-03-31 14:06:00
6083804921,chrysler,200,Warszawa,Mazowieckie,295,3600,33100,Stany Zjednoczone,False,,,,,,,2015,,54200,Firmy,,Benzyna,352,Sedan,Czerwony,Używane,,4x4 (stały),Automatyczna,2021-03-31 13:59:00
6081278689,chrysler,200,Warszawa,Mazowieckie,184,2390,37500,,False,False,,,True,,,2015,2020-12-02 00:00:00,82000,Osoby prywatnej,,Benzyna,,Sedan,Szary,Używane,,Na przednie koła,Automatyczna,2021-03-31 09:09:00
6068203141,chrysler,200,Rabka-Zdrój,Małopolskie,180,2400,42500,,False,,,,,,,2015,,134800,Osoby prywatnej,,Benzyna,,Sedan,Czarny,Używane,,,Automatyczna,2021-03-30 22:28:00
6083444422,chrysler,200,Kąty Wrocławskie,Dolnośląskie,188,2400,48900,Kanada,False,False,,,,,,2015,,147000,Osoby prywatnej,,Benzyna+LPG,,Sedan,Bordowy,Używane,,Na przednie koła,Automatyczna,2021-03-30 18:38:00
6083729640,chrysler,200,Ostrołęka,Mazowieckie,300,3604,59000,Stany Zjednoczone,False,False,,,,True,,2015,,179500,Osoby prywatnej,,Benzyna,,Coupe,Inny kolor,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-03-30 14:24:00
6082370404,chrysler,200,Wiewiórki,Kujawsko-pomorskie,295,3604,42000,,False,,,,,,,2014,,129072,Firmy,,Benzyna,,Sedan,Bordowy,Używane,,Na przednie koła,Automatyczna,2021-03-29 17:44:00
6076810904,chrysler,200,Włocławek,Kujawsko-pomorskie,180,2400,52300,,False,,,,,,,2016,,90000,Osoby prywatnej,,Benzyna,,Sedan,Biały,Używane,,,Automatyczna,2021-03-29 16:07:00
6083393128,chrysler,200,Koszalin,Zachodniopomorskie,300,3200,53900,Stany Zjednoczone,False,False,,,True,,,2015,,78520,Osoby prywatnej,,Benzyna,,Sedan,Szary,Używane,True,Na przednie koła,Automatyczna,2021-03-28 20:45:00
6081237886,chrysler,300,Żarki,Śląskie,253,3518,26000,,False,,,,,,,2005,,130000,Osoby prywatnej,,Benzyna+LPG,283,Sedan,Biały,Używane,,Na tylne koła,Automatyczna,2021-04-05 18:37:00
6083641297,chrysler,300,Bielsk,Mazowieckie,296,3604,79500,Stany Zjednoczone,False,False,,,True,,,2016,2016-08-01 00:00:00,51000,Firmy,,Benzyna,,Sedan,Czarny,Używane,True,Na tylne koła,Automatyczna,2021-04-05 07:05:00
6082273145,chrysler,300,Białystok,Podlaskie,290,3600,51900,Kanada,False,,,,True,,,2016,,124000,Firmy,,Benzyna,,Sedan,Czarny,Używane,True,4x4 (dołączany automatycznie),Automatyczna,2021-04-04 22:15:00
