ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6077576898,citroen,2-cv,Rydzyna,Wielkopolskie,29,602,41500,PLN,,False,False,True,,,,,1983,,64000,Firmy,,Benzyna,,Auta małe,Inny kolor,Używane,,Na przednie koła,Manualna,2021-04-11 17:17:00,https://www.otomoto.pl/oferta/citroen-2-cv-kultowy-model-1983r-od-13-lat-w-jednych-rekach-sciagany-dach-ID6DiTnQ.html#df6719d513
6083437434,citroen,2-cv,Gdynia,Pomorskie,26,602,16000,PLN,,False,,,,,,,1986,,1,Osoby prywatnej,,Benzyna,,Auta miejskie,Szary,Używane,,Na przednie koła,Manualna,2021-04-09 13:05:00,https://www.otomoto.pl/oferta/citroen-2-cv-citroen-2cv-charleston-idealna-baza-ID6DHtYC.html#df6719d513
6082921362,citroen,2-cv,Brodnica,Kujawsko-pomorskie,29,602,45000,PLN,,False,,,,,,,1981,1981-01-01 00:00:00,92000,Osoby prywatnej,,Benzyna,,Auta miejskie,Biały,Używane,,Na przednie koła,Manualna,2021-04-07 19:33:00,https://www.otomoto.pl/oferta/citroen-2-cv-polecam-serdecznie-auto-godne-uwagi-zamiana-ID6DFjIS.html#df6719d513
6083355143,citroen,2-cv,Opole Lubelskie,Lubelskie,26,602,45000,PLN,,False,,,,,,,1970,,10,Osoby prywatnej,,Benzyna,,Auta miejskie,Inny kolor,Używane,,Na przednie koła,Manualna,2021-04-06 21:52:00,https://www.otomoto.pl/oferta/citroen-2-cv-citroen-2cv-ID6DH8zl.html#df6719d513
6082856386,citroen,2-cv,Jędrzejów,Świętokrzyskie,29,602,16900,PLN,,False,False,,,,,,1987,1987-01-09 00:00:00,94103,Firmy,,Benzyna,,Kabriolet,Inny kolor,Używane,,,Manualna,2021-04-05 08:32:00,https://www.otomoto.pl/oferta/citroen-2-cv-ID6DF2OS.html#df6719d513
6083287867,citroen,2-cv,Wrocław,Dolnośląskie,29,597,19000,PLN,,False,,,,,,,1987,,14250,Osoby prywatnej,,Benzyna,,Auta małe,Biały,Używane,,,Manualna,2021-04-05 08:05:00,https://www.otomoto.pl/oferta/citroen-2-cv-dolly-ID6DGR4f.html#df6719d513
6078609715,citroen,ax,Warszawa,Mazowieckie,50,954,1600,PLN,,False,,,,,,,1997,,110000,Firmy,,Benzyna,,Auta miejskie,Czerwony,Używane,,Na przednie koła,Manualna,2021-04-12 10:52:00,https://www.otomoto.pl/oferta/citroen-ax-targowek-1-0-benzyna-1997-rok-produkcji-komis-tysiak-ID6Dne4b.html#b350e10067
6084172796,citroen,berlingo,Jelenia Góra,Dolnośląskie,75,1360,8200,PLN,,False,,,,,,I (1996-2010),2003,2003-06-30 00:00:00,196000,Osoby prywatnej,,Benzyna,,Kombi,Niebieski,Używane,,Na przednie koła,Manualna,2021-04-12 23:08:00,https://www.otomoto.pl/oferta/citroen-berlingo-zadbany-klimatyzacja-ksiazka-serwisowa-rachunki-ID6DKzhi.html#ba21f02a18
6082765184,citroen,berlingo,Ćwiklice,Śląskie,99,1560,38900,PLN,Polska,False,False,,,True,True,III (2018-),2018,2018-06-07 00:00:00,64800,Osoby prywatnej,,Diesel,113,Minivan,Biały,Używane,,Na przednie koła,Manualna,2021-04-12 16:44:00,https://www.otomoto.pl/oferta/citroen-berlingo-citroen-berlingo-1-6-hdi-euro-6-polski-salon-ID6DEF5S.html#ba21f02a18
6083983509,citroen,berlingo,Garbów,Łódzkie,120,1598,23500,PLN,,False,False,True,,,,II (2008-2018),2010,,257561,Osoby prywatnej,,Benzyna,,Kombi,Szary,Używane,True,Na przednie koła,Manualna,2021-04-12 14:44:00,https://www.otomoto.pl/oferta/citroen-berlingo-citroen-berlingo-7-osob-2010-ID6DJM2h.html#ba21f02a18
