ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania
6074424306,dacia,1300,Koszalin,Zachodniopomorskie,54,1289,16900,,False,,,,,,,1991,,54455,Firmy,,Benzyna,,Sedan,Czerwony,Używane,,,Manualna,2021-04-05 11:34:00
6083602063,dacia,dokker,Bielany Wrocławskie,Dolnośląskie,115,1198,39000,Polska,False,False,True,,True,,,2016,2017-01-04 00:00:00,98505,Firmy,True,Benzyna,,Kombi,Biały,Używane,True,Na przednie koła,Manualna,2021-04-06 11:29:00
6083806559,dacia,dokker,Warszawa,Mazowieckie,84,1598,22386,Polska,False,False,True,,,,,2014,2014-08-21 00:00:00,181992,Osoby prywatnej,,Benzyna+LPG,175,Kombi,Biały,Używane,True,Na przednie koła,Manualna,2021-04-05 15:25:00
6076886930,dacia,dokker,Łódź,Łódzkie,90,1461,23900,Polska,False,False,True,,True,,,2015,2015-04-30 00:00:00,208000,Firmy,True,Diesel,,Kombi,Biały,Używane,True,,Manualna,2021-04-02 10:24:00
6083872961,dacia,dokker,Łódź,Łódzkie,90,1461,24900,Polska,False,False,True,,True,,,2014,,192000,Firmy,True,Diesel,118,Minivan,Brązowy,Używane,True,Na przednie koła,Manualna,2021-04-01 13:08:00
6083847746,dacia,dokker,Łódź,Łódzkie,90,1461,37900,,False,,,,,,,2015,2015-06-30 00:00:00,134286,Firmy,True,Diesel,,Kombi,Biały,Używane,,Na przednie koła,Manualna,2021-03-31 17:54:00
6083834523,dacia,dokker,Łódź,Łódzkie,90,1461,38900,Polska,False,False,True,,True,,,2015,2015-06-30 00:00:00,110700,Firmy,True,Diesel,,Kombi,Biały,Używane,True,Na przednie koła,Manualna,2021-03-31 13:06:00
6083807924,dacia,dokker,Aleksandrów Łódzki,Łódzkie,102,1598,44900,Polska,False,False,True,,True,,,2018,2018-08-14 00:00:00,19750,Firmy,True,Benzyna,,Kombi,Biały,Używane,True,Na przednie koła,Manualna,2021-03-30 15:43:00
6083982462,dacia,dokker,Lublin,Lubelskie,90,1461,41900,Polska,False,False,,,True,,,2018,2018-01-30 00:00:00,67040,Firmy,True,Diesel,,Kombi,Biały,Używane,True,Na przednie koła,Manualna,2021-04-06 14:01:00
6083982162,dacia,dokker,Berest,Małopolskie,75,1461,25000,Austria,False,False,True,,,,,2016,,55000,Osoby prywatnej,,Diesel,108,Kompakt,Biały,Używane,,Na przednie koła,Manualna,2021-04-06 13:54:00
6083981776,dacia,dokker,Warszawa,Mazowieckie,90,1461,32900,Polska,False,False,True,,True,,,2017,2018-01-31 00:00:00,195000,Firmy,True,Diesel,108,Kombi,Biały,Używane,True,Na przednie koła,Manualna,2021-04-06 13:30:00
6082385252,dacia,dokker,Gdańsk,Pomorskie,90,1461,35900,Polska,False,False,,,True,,,2017,2017-08-16 00:00:00,165485,Firmy,,Diesel,,Kombi,Srebrny,Używane,True,Na przednie koła,Manualna,2021-04-06 12:10:00
6082952248,dacia,dokker,Wrocław,Dolnośląskie,102,1598,24900,Francja,False,False,,,,,,2016,2016-03-21 00:00:00,266000,Firmy,,Benzyna,,Minivan,Biały,Używane,True,Na przednie koła,Manualna,2021-04-06 11:49:00
6083974048,dacia,dokker,Warszawa,Mazowieckie,95,1461,55900,Polska,False,False,,,True,,,2020,2020-03-30 00:00:00,23000,Firmy,True,Diesel,,Kombi,Szary,Używane,True,Na przednie koła,Manualna,2021-04-06 11:13:00
6083002416,dacia,dokker,Siemianowice Śląskie,Śląskie,90,1461,29900,Polska,False,False,True,,True,,,2016,2016-08-08 00:00:00,138000,Firmy,,Diesel,118,Kombi,Biały,Używane,True,Na przednie koła,Manualna,2021-04-06 10:57:00
6083972878,dacia,dokker,Katowice,Śląskie,102,1598,51899,Polska,False,False,True,,True,,,2018,2018-05-04 00:00:00,73200,Firmy,,Benzyna+LPG,,Kombi,Biały,Używane,True,Na przednie koła,Manualna,2021-04-06 10:55:00
6083212983,dacia,dokker,Łódź,Łódzkie,102,1598,38900,Polska,False,False,True,,True,,,2017,2017-12-15 00:00:00,63000,Firmy,True,Benzyna,140,Kombi,Biały,Używane,True,Na przednie koła,Manualna,2021-04-06 09:53:00
6083212339,dacia,dokker,Łódź,Łódzkie,90,1461,34900,Polska,False,False,True,,True,True,,2016,2016-11-30 00:00:00,63000,Firmy,True,Diesel,108,Kombi,Biały,Używane,True,Na przednie koła,Manualna,2021-04-06 09:28:00
6083573605,dacia,dokker,Kostomłoty Drugie,Świętokrzyskie,102,1598,28900,Polska,False,False,,,,,,2019,2019-03-26 00:00:00,59227,Firmy,,Benzyna+LPG,,Minivan,Inny kolor,Używane,True,Na przednie koła,Manualna,2021-04-06 09:23:00
6081553898,dacia,dokker,Warszawa,Mazowieckie,90,,35485,Polska,False,False,,,True,,,2018,,148000,Firmy,,Diesel,,Kombi,Biały,Używane,True,,,2021-04-06 06:43:00
6083680262,dacia,dokker,Brzeg,Opolskie,75,1461,31900,Polska,False,False,True,,,,,2017,,97429,Osoby prywatnej,,Diesel,,Minivan,Biały,Używane,True,,Manualna,2021-04-06 00:53:00
6083955207,dacia,dokker,Tarnów,Małopolskie,75,1461,22300,Polska,False,False,True,,True,,,2013,2013-10-16 00:00:00,110000,Osoby prywatnej,,Diesel,118,Minivan,Beżowy,Używane,True,Na przednie koła,Manualna,2021-04-05 22:32:00
6083952345,dacia,dokker,Marki,Mazowieckie,75,1461,19065,,False,,,,,,,2012,,252500,Osoby prywatnej,,Diesel,108,Minivan,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-05 20:49:00
6079871043,dacia,dokker,Bytom,Śląskie,102,1598,30900,,False,False,,,True,,,2016,,99000,Firmy,,Benzyna+LPG,,Kombi,Biały,Używane,,Na przednie koła,Manualna,2021-04-05 20:03:00
6082309318,dacia,dokker,Natolin,Mazowieckie,90,1461,33900,Polska,False,False,True,,True,,,2017,2017-10-05 00:00:00,168160,Firmy,True,Diesel,,Kombi,Biały,Używane,True,Na przednie koła,Manualna,2021-04-05 18:22:00
6083203778,dacia,dokker,Gdynia,Pomorskie,95,1461,65600,,False,,True,,,,,2021,,1,Firmy,,Diesel,109,Kombi,Biały,Nowe,,Na przednie koła,Manualna,2021-04-05 17:20:00
6083806196,dacia,dokker,Swarzędz,Wielkopolskie,90,1461,34900,Polska,False,False,True,,True,,,2017,,146654,Firmy,,Diesel,,Kombi,Biały,Używane,True,Na przednie koła,Manualna,2021-04-05 15:13:00
6080872554,dacia,dokker,Zawiercie,Śląskie,90,1461,23900,Polska,False,False,True,,True,,,2016,2016-07-25 00:00:00,93651,Firmy,True,Diesel,108,Kombi,Biały,Używane,True,Na przednie koła,Manualna,2021-04-05 14:29:00
6081047651,dacia,dokker,Biskupice Radłowskie,Małopolskie,84,1598,24000,,False,,,,,,,2014,,120000,Osoby prywatnej,,Benzyna+LPG,175,Kombi,Biały,Używane,,Na przednie koła,Manualna,2021-04-05 13:33:00
6083793080,dacia,dokker,Police,Zachodniopomorskie,90,1460,33000,Niemcy,False,,True,,True,,,2015,,101200,Firmy,,Diesel,,Minivan,Srebrny,Używane,True,Na przednie koła,Manualna,2021-04-05 12:36:00
6083185955,dacia,dokker,Piaseczno,Mazowieckie,115,1198,39000,Polska,False,False,True,,True,,,2016,2017-01-04 00:00:00,98505,Firmy,True,Benzyna,,Kombi,Biały,Używane,True,Na przednie koła,Manualna,2021-04-05 11:12:00
6083945513,dacia,dokker,Konstancin-Jeziorna,Mazowieckie,90,1461,34500,Polska,False,False,True,,True,,,2017,2017-09-01 00:00:00,181000,Firmy,True,Diesel,108,Kombi,Biały,Używane,True,Na przednie koła,Manualna,2021-04-05 11:06:00
6072260966,dacia,dokker,Radom,Mazowieckie,115,1598,39700,,False,False,,,,,,2018,,36148,Firmy,,Benzyna,,Kombi,Niebieski,Używane,,,Manualna,2021-04-05 10:36:00
6083360721,dacia,dokker,Bielsko-Biała,Śląskie,102,1598,49800,Polska,False,False,True,,True,,,2018,2018-08-14 00:00:00,19800,Firmy,,Benzyna,,Kombi,Biały,Używane,True,Na przednie koła,Manualna,2021-04-05 09:36:00
6083558626,dacia,dokker,Łódź,Łódzkie,102,1598,38000,Polska,False,False,True,,True,,,2017,2017-12-15 00:00:00,57682,Firmy,True,Benzyna,,Kombi,Biały,Używane,True,Na przednie koła,Manualna,2021-04-05 07:32:00
6083944426,dacia,dokker,Piaseczno,Mazowieckie,102,1598,32002,Polska,False,False,True,,True,,,2017,2017-07-25 00:00:00,45391,Firmy,True,Benzyna,,Kombi,Biały,Używane,True,Na przednie koła,Manualna,2021-04-05 07:13:00
6083166940,dacia,dokker,Lesznowola,Mazowieckie,75,1461,24900,Polska,False,False,True,,True,,,2013,2013-04-12 00:00:00,110763,Firmy,,Diesel,118,Kombi,Biały,Używane,,Na przednie koła,Manualna,2021-04-04 17:20:00
6083268787,dacia,dokker,Warszawa,Mazowieckie,90,1461,27900,Polska,False,False,True,,True,,,2017,2017-10-04 00:00:00,197208,Firmy,,Diesel,,Kombi,Biały,Używane,True,Na przednie koła,Manualna,2021-04-04 16:07:00
6083161547,dacia,dokker,Wrocław,Dolnośląskie,75,1461,43100,Polska,False,False,True,,True,,,2018,2018-12-11 00:00:00,55651,Firmy,True,Diesel,,Kombi,Biały,Używane,True,Na przednie koła,Manualna,2021-04-04 15:20:00
