ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania
6080520907,daihatsu,charade,Gdańsk,Pomorskie,52,993,2500,Niemcy,False,False,True,,,,,1991,1992-02-10 00:00:00,52839,Osoby prywatnej,,Benzyna,,Auta małe,Czerwony,Używane,True,Na przednie koła,Manualna,2021-03-30 23:22:00
6083893248,daihatsu,copen,Chojnice,Pomorskie,87,1298,18900,Niemcy,False,False,,,True,,,2008,,214000,Firmy,,Benzyna,,Kabriolet,Zielony,Używane,,Na przednie koła,Manualna,2021-04-01 21:33:00
6083839477,daihatsu,cuore,Mochy,Wielkopolskie,58,989,5400,,False,,,,,,,2004,,129000,Firmy,,Benzyna,,Auta małe,Srebrny,Używane,,,Automatyczna,2021-04-06 15:20:00
6083291389,daihatsu,cuore,Sokolniki,Podkarpackie,70,998,7900,Szwajcaria,False,,True,,True,,,2008,,108113,Osoby prywatnej,,Benzyna,104,Auta małe,Czarny,Używane,,Na przednie koła,Manualna,2021-04-05 09:53:00
6083251611,daihatsu,cuore,Słubice,Lubuskie,58,989,2900,,False,,,,,,,2006,,90000,Osoby prywatnej,,Benzyna,,Auta małe,Czerwony,Używane,,,Manualna,2021-04-04 11:27:00
6083249974,daihatsu,cuore,Borek Wielkopolski,Wielkopolskie,,1000,5900,Niemcy,False,,,,,,,2007,,135000,Osoby prywatnej,,Benzyna,,Auta małe,Zielony,Używane,,,Manualna,2021-04-04 11:01:00
6080892694,daihatsu,cuore,Chodzież,Wielkopolskie,70,998,6990,Niemcy,False,,True,,,,,2008,,203763,Firmy,,Benzyna,,Auta małe,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-04 10:43:00
6077533913,daihatsu,cuore,Kraków,Małopolskie,69,998,8900,,False,,True,,,,,2009,,137000,Firmy,,Benzyna,,Auta małe,Czerwony,Używane,,Na przednie koła,Manualna,2021-04-04 09:11:00
6083936891,daihatsu,cuore,Świdwin,Zachodniopomorskie,70,998,9000,Niemcy,False,False,,,,,,2009,,39311,Osoby prywatnej,,Benzyna,104,Auta miejskie,Zielony,Używane,,Na przednie koła,Manualna,2021-04-03 23:20:00
6083934528,daihatsu,cuore,Dębiec,Wielkopolskie,68,998,7500,,False,,True,,True,,,2007,,110507,Firmy,,Benzyna,,Auta miejskie,Zielony,Używane,True,Na przednie koła,Manualna,2021-04-03 21:01:00
6074987260,daihatsu,cuore,Inowrocław,Kujawsko-pomorskie,70,998,8300,Niemcy,False,False,True,,,,,2009,2009-11-30 00:00:00,106000,Firmy,,Benzyna,104,Auta małe,Czarny,Używane,,Na przednie koła,Manualna,2021-04-03 19:32:00
6083238346,daihatsu,cuore,Gdynia,Pomorskie,58,989,3997,,False,False,,,,,,2005,,181331,Osoby prywatnej,,Benzyna,114,Auta małe,Czarny,Używane,,Na przednie koła,Manualna,2021-04-03 19:05:00
6082889480,daihatsu,cuore,Koszalin,Zachodniopomorskie,55,989,1999,,False,,True,,,,,2001,2001-10-23 00:00:00,159000,Osoby prywatnej,,Benzyna,120,Auta małe,Czarny,Używane,,Na przednie koła,Manualna,2021-04-03 17:36:00
6081713871,daihatsu,cuore,Lipno,Kujawsko-pomorskie,58,989,4200,Niemcy,False,,True,,True,,,2006,2007-01-15 00:00:00,156453,Osoby prywatnej,,Benzyna,114,Auta małe,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-02 20:26:00
6083918410,daihatsu,cuore,Knurów,Śląskie,55,989,3900,,False,,,,,,,2002,,117900,Osoby prywatnej,,Benzyna,120,Auta małe,Biały,Używane,,Na przednie koła,Manualna,2021-04-02 17:58:00
6081800774,daihatsu,cuore,Szamotuły,Wielkopolskie,70,998,3900,Niemcy,False,,,,,,,2008,2008-10-16 00:00:00,179000,Firmy,,Benzyna,104,Auta małe,Czerwony,Używane,,Na przednie koła,Manualna,2021-04-02 13:54:00
6083056002,daihatsu,cuore,Bydgoszcz,Kujawsko-pomorskie,70,998,7999,Niemcy,False,,True,,,,,2008,,186000,Firmy,,Benzyna,104,Auta małe,Zielony,Używane,,Na przednie koła,Manualna,2021-04-02 07:42:00
6083651531,daihatsu,cuore,Częstochowa,Śląskie,70,1000,7400,Belgia,False,,True,,True,,,2008,2008-08-25 00:00:00,213779,Firmy,,Benzyna,,Auta małe,Niebieski,Używane,True,Na przednie koła,Manualna,2021-04-01 12:36:00
6063574826,daihatsu,cuore,Wałbrzych,Dolnośląskie,60,989,4999,Niemcy,False,False,,,True,,,2006,,221000,Firmy,,Benzyna,,Auta małe,Szary,Używane,,Na przednie koła,Manualna,2021-04-01 06:43:00
6083423922,daihatsu,cuore,Częstochowa,Śląskie,58,989,1950,Niemcy,False,,,,,,,2005,,100000,Firmy,,Benzyna,114,Auta małe,Czerwony,Używane,,Na przednie koła,Manualna,2021-03-31 18:06:00
6078158424,daihatsu,cuore,Dębno,Zachodniopomorskie,58,989,4000,Niemcy,False,,True,,True,,,2005,,116000,Osoby prywatnej,,Benzyna,114,Auta małe,Czerwony,Używane,,Na przednie koła,Manualna,2021-03-30 22:25:00
