ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6083409533,dodge,avenger,Tomaszewo,Wielkopolskie,140,1968,12500,PLN,,False,,,,,,,2008,,241131,Osoby prywatnej,,Diesel,170,Sedan,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-08 12:23:00,https://www.otomoto.pl/oferta/dodge-avenger-sprzedam-dodge-avanger-ID6DHmIB.html#06f118062c
6082254943,dodge,avenger,Ruda Śląska,Śląskie,140,1968,10947,PLN,Polska,False,False,,,,,,2007,,259710,Firmy,,Diesel,170,Sedan,Szary,Używane,,Na przednie koła,Manualna,2021-04-07 19:25:00,https://www.otomoto.pl/oferta/dodge-avenger-ID6DCvmb.html#06f118062c
6082921425,dodge,avenger,Mielec,Podkarpackie,189,2736,35000,PLN,,False,False,True,,True,,,2008,,136000,Osoby prywatnej,,Benzyna,,Sedan,Czerwony,Używane,,Na przednie koła,Automatyczna,2021-04-03 23:21:00,https://www.otomoto.pl/oferta/dodge-avenger-2-7-flex-fuel-sxt-szyberdach-odpalanie-z-pilota-ID6DFjJT.html#06f118062c
6083907057,dodge,avenger,Łódź,Łódzkie,156,1998,13500,PLN,,False,False,,,,,,2010,,141000,Osoby prywatnej,,Benzyna,,Sedan,Srebrny,Używane,,Na przednie koła,Automatyczna,2021-04-03 19:46:00,https://www.otomoto.pl/oferta/dodge-avenger-nawigacja-automat-klimatyzacja-tempomat-radio-bluetooth-ID6DJs9b.html#06f118062c
6082797371,dodge,avenger,Zawiercie,Śląskie,156,1998,15900,PLN,Niemcy,False,,,,True,,,2005,,180000,Firmy,,Benzyna+LPG,185,Sedan,Srebrny,Używane,True,Na przednie koła,Manualna,2021-03-30 19:43:00,https://www.otomoto.pl/oferta/dodge-avenger-2-0benzyna-lpgskorapelen-serwisprosto-z-niemiec-ID6DENt1.html#06f118062c
6083934393,dodge,caliber,Swarzędz,Wielkopolskie,170,2359,17900,PLN,Niemcy,False,,True,,True,,,2008,2008-07-03 00:00:00,199000,Osoby prywatnej,,Benzyna,4,Kompakt,Czarny,Używane,,Na przednie koła,Manualna,2021-04-03 20:46:00,https://www.otomoto.pl/oferta/dodge-caliber-2-4-benzyna-niski-przebieg-bogata-wersja-perfekcyjny-stan-z-niemiec-ID6DJzg5.html#d96a1a53cd
6083929959,dodge,caliber,Płock,Mazowieckie,156,1998,18900,PLN,,False,False,True,,True,,,2007,,199000,Osoby prywatnej,,Benzyna,192,SUV,Inny kolor,Używane,True,Na przednie koła,Automatyczna,2021-04-03 16:10:00,https://www.otomoto.pl/oferta/dodge-caliber-dodge-caliber-2-0-benzyna-navi-automat-oplacony-ID6DJy6z.html#d96a1a53cd
6084055033,dodge,caliber,Rzeszów,Podkarpackie,149,1798,18900,PLN,,False,False,,,,,,2009,2009-10-29 00:00:00,131000,Osoby prywatnej,,Benzyna+LPG,174,Sedan,Bordowy,Używane,,Na przednie koła,Manualna,2021-04-08 12:17:00,https://www.otomoto.pl/oferta/dodge-caliber-dodge-caliber-1-8-benzyna-gaz-lpg-ID6DK4DT.html#d96a1a53cd
6083400832,dodge,caliber,Ryki,Lubelskie,149,1798,23900,PLN,Niemcy,False,False,True,,True,,,2010,,155500,Osoby prywatnej,,Benzyna,,SUV,Złoty,Używane,,Na przednie koła,Manualna,2021-04-08 11:54:00,https://www.otomoto.pl/oferta/dodge-caliber-1-8-pb-lpg-pierwszy-wlasciciel-w-kraju-100-bezwypadkowy-ID6DHksg.html#d96a1a53cd
6083755797,dodge,caliber,Poznań,Wielkopolskie,156,1998,16500,PLN,Niemcy,False,False,,,,,,2007,,217000,Firmy,,Benzyna,192,Kompakt,Czarny,Używane,,Na przednie koła,Automatyczna,2021-04-08 09:04:00,https://www.otomoto.pl/oferta/dodge-caliber-zamiana-alu-19-chrom-1-wlasc-w-pl-na-osobowe-lub-dostawcze-ID6DIONw.html#d96a1a53cd
