ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania
6080897487,fiat,124-spider,Rogozino,Mazowieckie,160,1368,84000,,False,False,,,,,,2019,,4040,Firmy,,Benzyna,,Kabriolet,Biały,Używane,,Na przednie koła,Automatyczna,2021-04-06 12:25:00
6076350396,fiat,124-spider,Grabów nad Prosną,Wielkopolskie,140,1368,69800,Niemcy,False,,,,True,,,2018,,24500,Firmy,True,Benzyna,,Kabriolet,Biały,Używane,True,Na tylne koła,Manualna,2021-04-06 08:59:00
6073133452,fiat,124-spider,Kraków,Małopolskie,164,1398,79000,Stany Zjednoczone,False,,,,,,,2018,,1969,Osoby prywatnej,,Benzyna,,Kabriolet,Biały,Używane,True,Na tylne koła,Manualna,2021-04-05 11:17:00
6083937442,fiat,124-spider,Stary Dzierzgoń,Pomorskie,170,1368,82900,,False,,,,,,,2017,,14500,Firmy,,Benzyna,148,Kabriolet,Szary,Używane,,Na tylne koła,Manualna,2021-04-04 00:42:00
6083925618,fiat,124-spider,Gdańsk,Pomorskie,140,1368,89124,Polska,False,False,True,,True,,,2018,2019-06-28 00:00:00,4900,Osoby prywatnej,,Benzyna,148,Kabriolet,Czerwony,Używane,True,Na tylne koła,Manualna,2021-04-03 15:22:00
6076463578,fiat,124-spider,Grudziądz,Kujawsko-pomorskie,105,2000,124994,,False,False,True,,,,,1981,,400,Osoby prywatnej,,Benzyna,,Kabriolet,Niebieski,Używane,True,Na tylne koła,Automatyczna,2021-04-03 13:36:00
6083569257,fiat,124-spider,Kobylnica,Pomorskie,140,1368,69000,,False,False,,,,,,2016,2020-06-09 00:00:00,24000,Firmy,,Benzyna,153,Kabriolet,Szary,Używane,,Na tylne koła,Automatyczna,2021-04-03 12:51:00
6083227312,fiat,124-spider,Słupsk,Pomorskie,140,1368,68990,Stany Zjednoczone,False,False,,,,,,2018,,55041,Firmy,,Benzyna,,Kabriolet,Czarny,Używane,,Na tylne koła,Manualna,2021-04-02 23:06:00
6083169527,fiat,124-spider,Swarzędz,Wielkopolskie,140,1368,63900,Stany Zjednoczone,False,False,,,,,,2017,,54000,Osoby prywatnej,,Benzyna,153,Kabriolet,Szary,Używane,,Na tylne koła,Automatyczna,2021-03-31 18:16:00
6058158544,fiat,124-spider,Warszawa,Mazowieckie,118,1800,99000,Stany Zjednoczone,False,False,True,,,,,1978,1978-01-01 00:00:00,146850,Osoby prywatnej,,Benzyna,,Kabriolet,Czerwony,Używane,,Na tylne koła,Manualna,2021-03-30 01:06:00
6081490703,fiat,124-spider,Warszawa,Mazowieckie,140,1368,69500,,False,False,,,,,,2018,,22500,Firmy,,Benzyna,,Kabriolet,Niebieski,Używane,,Na tylne koła,Automatyczna,2021-03-29 09:33:00
6077586133,fiat,124-spider,Tarnów,Małopolskie,101,1995,32000,,False,,,,,,,1979,,90000,Osoby prywatnej,,Benzyna,,Kabriolet,Czerwony,Używane,,Na tylne koła,Manualna,2021-03-27 18:15:00
6083000132,fiat,125p,Gniezno,Wielkopolskie,90,1600,45000,,False,,,,,,,1970,1970-07-01 00:00:00,84000,Osoby prywatnej,,Benzyna,,Sedan,Szary,Używane,,,Manualna,2021-04-05 16:07:00
6074938203,fiat,125p,Leszno,Wielkopolskie,75,1500,34900,Polska,False,False,True,,,,,1977,,63000,Osoby prywatnej,,Benzyna,,Kompakt,Inny kolor,Używane,,Na tylne koła,Manualna,2021-04-02 20:00:00
