ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania
6083593383,ford,b-max,Bielany Wrocławskie,Dolnośląskie,95,1560,36500,,False,False,True,,True,,,2015,2015-06-29 00:00:00,88558,Firmy,True,Diesel,,Kompakt,Szary,Używane,,Na przednie koła,Manualna,2021-04-06 07:22:00
6083356882,ford,b-max,Janki,Mazowieckie,100,998,24900,Szwajcaria,False,,True,,True,,,2012,,145000,Firmy,,Benzyna,,Minivan,Niebieski,Używane,True,Na przednie koła,Manualna,2021-04-07 00:21:00
6083002070,ford,b-max,Miasteczko Śląskie,Śląskie,95,1560,26900,,False,,True,,True,,,2012,,199000,Firmy,,Diesel,104,Kompakt,Czarny,Używane,True,Na przednie koła,Manualna,2021-04-06 21:53:00
6083354634,ford,b-max,Wągrowiec,Wielkopolskie,95,1560,23900,Francja,False,False,True,,,,,2013,,114000,Osoby prywatnej,,Diesel,104,Kompakt,Biały,Używane,,Na przednie koła,Manualna,2021-04-06 21:22:00
6083052859,ford,b-max,Swarzędz,Wielkopolskie,100,998,24900,Niemcy,False,,,,True,,,2014,,141000,Firmy,,Benzyna,114,Minivan,Biały,Używane,,Na przednie koła,Manualna,2021-04-06 20:42:00
6083353379,ford,b-max,Zduńska Wola,Łódzkie,125,999,28600,,False,False,True,,True,,,2013,,130000,Osoby prywatnej,,Benzyna,,Auta miejskie,Beżowy,Używane,True,,Manualna,2021-04-06 20:15:00
6083622102,ford,b-max,Gdańsk,Pomorskie,90,1388,29999,Polska,False,False,True,,True,,,2013,2013-10-17 00:00:00,121924,Firmy,,Benzyna,,Kompakt,Beżowy,Używane,True,Na przednie koła,Manualna,2021-04-06 17:53:00
6083621988,ford,b-max,Świebodzice,Dolnośląskie,95,1560,30950,Niemcy,False,False,True,,True,,,2013,2013-11-29 00:00:00,100000,Firmy,,Diesel,104,Kompakt,Czarny,Używane,True,Na przednie koła,Manualna,2021-04-06 17:51:00
6083619231,ford,b-max,Kościerzyna,Pomorskie,100,998,25900,,False,,,,,,,2013,,174544,Firmy,,Benzyna,114,Kompakt,Czarny,Używane,,Na przednie koła,Manualna,2021-04-06 17:01:00
6078587728,ford,b-max,Kościerzyna,Pomorskie,100,998,25900,,False,,True,,True,,,2013,,106543,Firmy,,Benzyna,114,Auta miejskie,Czarny,Używane,,Na przednie koła,Manualna,2021-04-06 16:30:00
6081868952,ford,b-max,Chorzów,Śląskie,100,998,25300,,False,False,True,,,,,2013,2013-08-15 00:00:00,145000,Firmy,,Benzyna,114,Minivan,Biały,Używane,True,Na przednie koła,Manualna,2021-04-06 15:51:00
6083703040,ford,b-max,Orzech,Śląskie,95,1560,34900,,False,,True,,True,,,2014,,137000,Firmy,,Diesel,,Kompakt,Biały,Używane,True,Na przednie koła,Manualna,2021-04-06 14:28:00
6076250140,ford,b-max,Łódź,Łódzkie,120,999,24900,,False,False,,,,,,2012,2012-12-17 00:00:00,112703,Firmy,,Benzyna,,Kompakt,Szary,Używane,,Na przednie koła,Manualna,2021-04-06 14:07:00
6083701654,ford,b-max,Ponętów Dolny,Wielkopolskie,95,1560,24900,,False,,,,,,,2014,,138400,Firmy,,Diesel,104,Kompakt,Czarny,Używane,,Na przednie koła,Manualna,2021-04-06 13:45:00
6078496668,ford,b-max,Ostrów Wielkopolski,Wielkopolskie,95,1560,24900,Francja,False,False,,,,,,2013,,126000,Osoby prywatnej,,Diesel,,Kompakt,Brązowy,Używane,,Na tylne koła,Manualna,2021-04-06 13:21:00
6083338726,ford,b-max,Dąbrowa,Pomorskie,101,998,25999,,False,,True,,,,,2014,,80352,Firmy,,Benzyna,,Kompakt,Czarny,Używane,,Na przednie koła,Manualna,2021-04-06 12:13:00
6083213133,ford,b-max,Jaktorów,Mazowieckie,75,1499,19500,,False,,,,,,,2012,2014-05-05 00:00:00,111000,Osoby prywatnej,,Diesel,98,Kompakt,Złoty,Używane,,Na przednie koła,Manualna,2021-04-06 10:01:00
6083689749,ford,b-max,Milanówek,Mazowieckie,125,998,29900,,False,,True,,True,True,,2014,,141000,Firmy,,Benzyna,114,Auta miejskie,Biały,Używane,True,Na przednie koła,Manualna,2021-04-06 08:21:00
6083391054,ford,b-max,Nowa Wieś Ełcka,Warmińsko-mazurskie,95,1560,29900,Niemcy,False,,True,,True,True,,2013,2013-06-11 00:00:00,178063,Firmy,,Diesel,104,Kompakt,Czarny,Używane,True,Na przednie koła,Manualna,2021-04-05 19:44:00
6080881902,ford,b-max,Kościerzyna-Wybudowanie,Pomorskie,100,998,27999,Niemcy,False,,,,True,,,2013,2013-08-30 00:00:00,120233,Firmy,,Benzyna,114,Kompakt,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-05 17:28:00
6083946199,ford,b-max,Augustów,Podlaskie,95,1560,20500,,False,,True,,True,True,,2012,2012-11-27 00:00:00,151300,Firmy,,Diesel,104,Kompakt,Czarny,Używane,,Na przednie koła,Manualna,2021-04-05 17:20:00
6082611498,ford,b-max,Szczecin,Zachodniopomorskie,75,1498,25990,Niemcy,False,False,True,,True,,,2013,,152000,Firmy,,Diesel,109,Kompakt,Srebrny,Używane,True,Na przednie koła,Manualna,2021-04-05 15:53:00
6083049128,ford,b-max,Śrem,Wielkopolskie,90,1388,26890,Francja,False,,,,True,,,2014,2014-04-09 00:00:00,128700,Firmy,,Benzyna,139,Minivan,Biały,Używane,,Na przednie koła,Manualna,2021-04-05 14:35:00
6081285563,ford,b-max,Ostrów Wielkopolski,Wielkopolskie,100,999,29900,,False,,,,,,,2015,,27400,Osoby prywatnej,,Benzyna,,Kompakt,Czarny,Używane,,,Manualna,2021-04-05 13:44:00
6080388966,ford,b-max,Żary,Lubuskie,100,998,19800,Niemcy,False,,,,,,,2013,,137700,Osoby prywatnej,,Benzyna,114,Kompakt,Czarny,Używane,,Na przednie koła,Manualna,2021-04-05 13:36:00
6083653261,ford,b-max,Księżyno,Podlaskie,125,998,25999,Francja,False,,True,,True,,,2014,2014-01-31 00:00:00,142000,Firmy,,Benzyna,114,Kompakt,Biały,Używane,,Na przednie koła,Manualna,2021-04-05 13:23:00
6065496215,ford,b-max,Chojnice,Pomorskie,90,1498,23900,,False,,True,,True,,,2013,,125200,Firmy,,Diesel,,Kompakt,Czarny,Używane,True,Na przednie koła,Manualna,2021-04-05 12:52:00
6083641254,ford,b-max,Kościelna Wieś,Wielkopolskie,100,999,25900,Niemcy,False,,,,,,,2013,2013-10-01 00:00:00,70500,Firmy,,Benzyna,,Kompakt,Czarny,Używane,True,Na przednie koła,Manualna,2021-04-05 06:58:00
6083635745,ford,b-max,Leszno,Wielkopolskie,100,998,25800,,False,,,,,,,2012,,107000,Osoby prywatnej,,Benzyna,114,Kompakt,Niebieski,Używane,,Na przednie koła,Manualna,2021-04-04 23:05:00
6083778255,ford,b-max,Tarnobrzeg,Podkarpackie,95,1560,28900,Belgia,False,,True,,True,,,2014,2014-03-26 00:00:00,157000,Firmy,,Diesel,104,Kompakt,Biały,Używane,True,Na przednie koła,Manualna,2021-04-04 22:54:00
6083173502,ford,b-max,Warszawa,Mazowieckie,100,999,28900,Belgia,False,,True,,True,,,2013,,99895,Firmy,,Benzyna,114,Kompakt,Srebrny,Używane,True,Na przednie koła,Manualna,2021-04-04 21:08:00
6082753730,ford,b-max,Kraków,Małopolskie,100,999,39999,Polska,False,False,True,,True,,,2015,2016-02-04 00:00:00,42000,Osoby prywatnej,,Benzyna,114,Kompakt,Biały,Używane,True,Na przednie koła,Manualna,2021-04-04 18:39:00
6083770987,ford,b-max,Biesiekierz,Zachodniopomorskie,100,998,31900,Polska,False,False,True,,,,,2014,2014-03-20 00:00:00,109100,Firmy,,Benzyna,114,Auta miejskie,Brązowy,Używane,,Na przednie koła,Manualna,2021-04-04 17:26:00
6076678080,ford,b-max,Łapy,Podlaskie,100,1000,28000,Szwajcaria,False,False,,,,,,2016,,31200,Osoby prywatnej,,Benzyna,,Kompakt,Inny kolor,Używane,,Na przednie koła,Manualna,2021-04-04 14:49:00
6083342841,ford,b-max,Lipnica Murowana,Małopolskie,100,998,33500,,False,,True,,True,,,2015,2015-07-09 00:00:00,82300,Osoby prywatnej,,Benzyna,114,Kompakt,Inny kolor,Używane,True,Na przednie koła,Manualna,2021-04-04 14:28:00
6083159442,ford,b-max,Maków,Łódzkie,100,998,17000,,False,,,,,,,2013,2020-05-15 00:00:00,54000,Osoby prywatnej,,Benzyna,,Auta małe,Biały,Używane,,,Manualna,2021-04-04 13:32:00
