ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania
6082808840,honda,accord,Elbląg,Warmińsko-mazurskie,201,2354,49500,Niemcy,False,False,True,,True,,VIII (2008-2015),2011,,160000,Osoby prywatnej,,Benzyna+LPG,211,Sedan,Szary,Używane,,Na przednie koła,Automatyczna,2021-04-07 09:58:00
6083141499,honda,accord,Warszawa,Mazowieckie,156,1997,49900,,False,False,True,,True,,,2013,2013-03-01 00:00:00,150737,Firmy,,Benzyna,180,Sedan,Niebieski,Używane,,Na przednie koła,Automatyczna,2021-04-07 09:30:00
6075294359,honda,accord,Wołomin,Mazowieckie,156,1997,31900,Dania,False,False,,,,,VIII (2008-2015),2009,,200000,Osoby prywatnej,,Benzyna,173,Sedan,Szary,Używane,,Na przednie koła,Manualna,2021-04-07 09:01:00
6082120566,honda,accord,Strzegom,Dolnośląskie,240,2997,20000,Stany Zjednoczone,False,False,True,,,,VII (2002-2008),2007,2007-01-01 00:00:00,251773,Osoby prywatnej,,Benzyna,,Sedan,Srebrny,Używane,,Na przednie koła,Automatyczna,2021-04-07 07:03:00
6083854647,honda,accord,Płock,Mazowieckie,155,1998,18888,,False,,True,,True,,VII (2002-2008),2003,,220000,Osoby prywatnej,,Benzyna,,Sedan,Niebieski,Używane,,Na przednie koła,Manualna,2021-04-06 23:16:00
6081254899,honda,accord,Józefosław,Mazowieckie,156,1997,36900,Polska,False,,True,,True,,VIII (2008-2015),2011,2011-04-18 00:00:00,242000,Osoby prywatnej,,Benzyna,162,Kombi,Czarny,Używane,,Na przednie koła,Manualna,2021-04-06 22:28:00
6083852766,honda,accord,Strzegom,Dolnośląskie,140,2204,22900,,False,False,True,,True,,VII (2002-2008),2008,,184000,Osoby prywatnej,,Diesel,153,Sedan,Niebieski,Używane,,Na przednie koła,Manualna,2021-04-06 21:43:00
6083851140,honda,accord,Wrocław,Dolnośląskie,149,2199,38000,Polska,False,False,True,,True,True,VIII (2008-2015),2010,,291000,Osoby prywatnej,,Diesel,155,Sedan,Czarny,Używane,,Na przednie koła,Manualna,2021-04-06 20:33:00
6083849593,honda,accord,Bydgoszcz,Kujawsko-pomorskie,156,1997,35000,,False,,,,,,VIII (2008-2015),2008,,157608,Osoby prywatnej,,Benzyna,178,Sedan,Czarny,Używane,,Na przednie koła,Automatyczna,2021-04-06 19:21:00
6082815034,honda,accord,Kozierów,Małopolskie,156,1997,37700,Niemcy,False,,True,,,,VIII (2008-2015),2010,2010-12-30 00:00:00,151000,Osoby prywatnej,,Benzyna,170,Sedan,Szary,Używane,,Na przednie koła,Manualna,2021-04-06 17:59:00
6079922842,honda,accord,Rokietnica,Wielkopolskie,,,22000,,False,,,,,,VII (2002-2008),2007,,177200,Osoby prywatnej,,Benzyna+LPG,,Kombi,Srebrny,Używane,,,,2021-04-06 14:47:00
6083341956,honda,accord,Kraków,Małopolskie,150,2199,21500,Polska,False,,,,,,VIII (2008-2015),2008,2008-11-13 00:00:00,240000,Osoby prywatnej,,Diesel,148,Sedan,Szary,Używane,,Na przednie koła,Manualna,2021-04-06 14:00:00
6083601979,honda,accord,Bielany Wrocławskie,Dolnośląskie,156,1997,41000,Polska,False,False,,,True,,VIII (2008-2015),2011,2012-04-18 00:00:00,115707,Firmy,True,Benzyna,,Sedan,Bordowy,Używane,,Na przednie koła,Manualna,2021-04-06 11:26:00
6083951383,honda,accord,Bielsko-Biała,Śląskie,201,2354,61000,,False,False,,,,,VIII (2008-2015),2012,2012-06-27 00:00:00,189000,Osoby prywatnej,,Benzyna+LPG,199,Sedan,Biały,Używane,,Na przednie koła,Manualna,2021-04-05 19:25:00
6083949483,honda,accord,Rakszawa,Podkarpackie,156,1997,31800,Niemcy,False,,True,,True,,VIII (2008-2015),2008,,224146,Osoby prywatnej,,Benzyna+LPG,173,Sedan,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-05 16:46:00
6083947097,honda,accord,Zielonki,Małopolskie,155,1998,25900,,False,,True,,True,,VII (2002-2008),2007,2008-04-09 00:00:00,174000,Osoby prywatnej,,Benzyna,190,Sedan,Czarny,Używane,,Na przednie koła,Manualna,2021-04-05 13:53:00
6080856574,honda,accord,Paniówki,Śląskie,156,1997,64000,Niemcy,False,,,,,,VIII (2008-2015),2013,,37000,Firmy,,Benzyna,163,Kombi,Niebieski,Używane,,Na przednie koła,Manualna,2021-04-05 13:15:00
6083788179,honda,accord,Katowice,Śląskie,156,1997,35500,Polska,False,False,,,True,,VIII (2008-2015),2008,2009-02-18 00:00:00,182775,Firmy,True,Benzyna+LPG,,Sedan,Beżowy,Używane,,Na przednie koła,Manualna,2021-04-05 11:25:00
6082566947,honda,accord,Marki,Mazowieckie,150,2199,25900,,False,,,,,,VIII (2008-2015),2010,,236000,Osoby prywatnej,,Diesel,155,Kombi,Inny kolor,Używane,,Na przednie koła,Manualna,2021-04-04 17:27:00
6083762782,honda,accord,Warszawa,Mazowieckie,155,1998,51900,,False,,True,,,,VIII (2008-2015),2013,,114340,Firmy,True,Benzyna,,Sedan,Niebieski,Używane,,Na przednie koła,Manualna,2021-04-04 12:54:00
6083593845,honda,accord,Kraków,Małopolskie,156,1997,34700,Polska,False,False,True,,True,,VIII (2008-2015),2009,,189382,Osoby prywatnej,,Benzyna+LPG,183,Kombi,Srebrny,Używane,,Na przednie koła,Automatyczna,2021-04-04 08:30:00
6082269034,honda,accord,Lisi Ogon,Kujawsko-pomorskie,155,1998,14500,,False,False,,,,,VII (2002-2008),2003,2003-12-04 00:00:00,331200,Osoby prywatnej,,Benzyna,,Sedan,Szary,Używane,,Na przednie koła,Manualna,2021-04-03 18:29:00
6083930258,honda,accord,Łask,Łódzkie,156,1997,41900,Niemcy,False,,True,,True,,VIII (2008-2015),2011,,161000,Firmy,,Benzyna,183,Kombi,Szary,Używane,True,Na przednie koła,Automatyczna,2021-04-03 16:45:00
6083927539,honda,accord,Bydgoszcz,Kujawsko-pomorskie,192,1498,120000,,False,,True,,,,IX (2012-2018),2019,2020-01-01 00:00:00,33000,Osoby prywatnej,,Benzyna,,Sedan,Szary,Używane,,Na przednie koła,Automatyczna,2021-04-03 13:09:00
6083926323,honda,accord,Radom,Mazowieckie,201,2354,53900,,False,,True,,True,,IX (2012-2018),2011,,197000,Osoby prywatnej,,Benzyna,,Kombi,Biały,Używane,,Na przednie koła,Automatyczna,2021-04-03 11:37:00
6083723335,honda,accord,Piaseczno,Mazowieckie,156,1997,47000,Polska,False,False,,,True,,VIII (2008-2015),2012,2012-10-15 00:00:00,116821,Firmy,True,Benzyna,,Sedan,Szary,Używane,,Na przednie koła,Manualna,2021-04-03 07:15:00
6083921796,honda,accord,Siedlce,Mazowieckie,156,1997,34599,,False,,,,,,VIII (2008-2015),2008,2009-04-08 00:00:00,252000,Osoby prywatnej,,Benzyna+LPG,173,Sedan,Biały,Używane,,Na przednie koła,Manualna,2021-04-02 21:29:00
6076185498,honda,accord,Wrocław,Dolnośląskie,180,2199,45990,Niemcy,False,False,True,,,,VIII (2008-2015),2012,2012-03-28 00:00:00,138000,Osoby prywatnej,,Diesel,,Kombi,Szary,Używane,,Na przednie koła,Manualna,2021-04-02 18:49:00
6083913177,honda,accord,Kraków,Małopolskie,180,2199,34000,Polska,False,False,True,,True,True,VIII (2008-2015),2009,2010-02-15 00:00:00,350000,Osoby prywatnej,,Diesel,,Kombi,Czarny,Używane,,Na przednie koła,Automatyczna,2021-04-02 16:11:00
6083905788,honda,accord,Radzyń Podlaski,Lubelskie,140,2204,13900,,False,,,,,,VII (2002-2008),2006,,281000,Osoby prywatnej,,Diesel,153,Sedan,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-02 12:16:00
