ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania
6084032136,infiniti,ex,Kalisz,Wielkopolskie,238,2993,49900,Polska,False,,,,,,,2010,2010-12-10 00:00:00,150000,Firmy,,Diesel,224,SUV,Szary,Używane,True,4x4 (stały),Automatyczna,2021-04-07 15:30:00
6083437511,infiniti,ex,Głogów,Dolnośląskie,238,2993,61377,,False,False,True,,True,,,2010,2010-01-01 00:00:00,152000,Osoby prywatnej,,Diesel,224,SUV,Czarny,Używane,True,4x4 (stały),Automatyczna,2021-04-07 13:10:00
6081657994,infiniti,ex,Konin,Wielkopolskie,320,3696,49900,Polska,False,False,,,,,,2010,2010-06-10 00:00:00,268442,Firmy,,Benzyna+LPG,,Kombi,Bordowy,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-07 10:45:00
6083606378,infiniti,ex,Rybnik,Śląskie,238,2993,49900,Polska,False,False,True,,True,,,2012,,126000,Firmy,,Diesel,224,SUV,Szary,Używane,True,4x4 (stały),Automatyczna,2021-04-06 12:50:00
6076125266,infiniti,ex,Lublin,Lubelskie,297,3498,44900,,False,False,True,,,,,2009,,168000,Osoby prywatnej,,Benzyna,,SUV,Szary,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-04 19:51:00
6082799452,infiniti,ex,Letnica,Lubuskie,297,3498,35000,,False,False,,,,,,2008,,183000,Osoby prywatnej,,Benzyna,,SUV,Czarny,Używane,True,4x4 (dołączany automatycznie),Automatyczna,2021-04-03 20:10:00
6076063871,infiniti,ex,Jastków,Lubelskie,300,3498,21700,,False,,,,,,,2008,,195000,Firmy,,Benzyna,,SUV,Szary,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-03 18:14:00
6083773991,infiniti,ex,Płock,Mazowieckie,238,2993,59900,Polska,False,False,,,True,,,2011,,135669,Osoby prywatnej,,Diesel,224,SUV,Bordowy,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-03-29 19:34:00
6069350293,infiniti,ex,Białystok,Podlaskie,248,2991,49000,,False,False,True,,True,,,2010,,222000,Firmy,,Diesel,,SUV,Biały,Używane,True,4x4 (dołączany automatycznie),Automatyczna,2021-03-29 02:15:00
6080617470,infiniti,fx,Płock,Mazowieckie,303,3498,39800,,False,False,True,,,,I (2003-2009),2007,,135000,Osoby prywatnej,,Benzyna,,SUV,Szary,Używane,True,4x4 (dołączany automatycznie),Automatyczna,2021-04-06 19:49:00
6083841493,infiniti,fx,Warszawa,Mazowieckie,303,3498,74343,,False,,,,,,II (2009-2013),2011,,124000,Osoby prywatnej,,Benzyna,,SUV,Czarny,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-06 15:14:00
6083378999,infiniti,fx,Warszawa,Mazowieckie,280,3498,28500,,False,,,,,,I (2003-2009),2007,,300955,Osoby prywatnej,,Benzyna,,SUV,Czarny,Używane,,Na tylne koła,Automatyczna,2021-04-07 15:30:00
6083613751,infiniti,fx,Warszawa,Mazowieckie,280,3498,31000,,False,,,,,,I (2003-2009),2004,,240000,Osoby prywatnej,,Benzyna+LPG,,SUV,Czarny,Używane,,4x4 (stały),Automatyczna,2021-04-07 11:05:00
6080797676,infiniti,fx,Radom,Mazowieckie,238,2993,65900,Polska,False,False,,,,,II (2009-2013),2010,,171234,Firmy,,Diesel,238,SUV,Czarny,Używane,True,4x4 (dołączany ręcznie),Automatyczna,2021-04-07 09:30:00
6043033327,infiniti,fx,Radom,Mazowieckie,238,2993,76260,,False,False,,,,,II (2009-2013),2010,,124900,Firmy,,Diesel,,SUV,Czarny,Używane,,4x4 (stały),Automatyczna,2021-04-07 08:55:00
6081787252,infiniti,fx,Poznań,Wielkopolskie,390,5026,94000,,False,False,True,,,,II (2009-2013),2011,2012-04-02 00:00:00,125000,Osoby prywatnej,True,Benzyna,307,SUV,Czarny,Używane,,4x4 (dołączany ręcznie),Automatyczna,2021-04-06 22:28:00
6083355302,infiniti,fx,Gdańsk,Pomorskie,390,5026,79000,,False,False,,,True,,II (2009-2013),2010,,130000,Osoby prywatnej,,Benzyna,,SUV,Biały,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-06 21:59:00
6083999632,infiniti,fx,Ostrów Wielkopolski,Wielkopolskie,303,3498,48999,Stany Zjednoczone,False,,,,,,II (2009-2013),2012,,144000,Osoby prywatnej,,Benzyna,,SUV,Czarny,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-06 21:19:00
6083354338,infiniti,fx,Wejherowo,Pomorskie,280,3498,29900,,False,False,True,,True,,I (2003-2009),2005,,148000,Osoby prywatnej,,Benzyna+LPG,,SUV,Inny kolor,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-06 20:57:00
6083613316,infiniti,fx,Międzyrzec Podlaski,Lubelskie,238,2993,52900,,False,,True,,,,II (2009-2013),2011,,345705,Osoby prywatnej,,Diesel,238,SUV,Biały,Używane,,4x4 (dołączany ręcznie),Automatyczna,2021-04-06 15:25:00
6082022581,infiniti,fx,Warszawa,Mazowieckie,280,3498,29999,Stany Zjednoczone,False,False,,,,,I (2003-2009),2005,,185000,Firmy,,Benzyna,,SUV,Szary,Używane,,Na tylne koła,Automatyczna,2021-04-06 12:34:00
6083977203,infiniti,fx,Tarnów,Małopolskie,280,3498,27500,,False,False,,,,,I (2003-2009),2005,2006-03-07 00:00:00,275000,Osoby prywatnej,,Benzyna+LPG,,SUV,Czarny,Używane,,Na tylne koła,Automatyczna,2021-04-06 12:28:00
6082842753,infiniti,fx,Gubin,Lubuskie,303,3498,65900,,False,False,,,True,,II (2009-2013),2012,,168000,Firmy,,Benzyna+LPG,,SUV,Biały,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-06 10:04:00
6077858879,infiniti,fx,Kraków,Małopolskie,320,4494,5900,,False,False,,,,,I (2003-2009),2007,,273000,Firmy,,Benzyna+LPG,,SUV,Czarny,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-06 08:18:00
6083636146,infiniti,fx,Żory,Śląskie,280,3498,39000,Stany Zjednoczone,False,False,,,,,I (2003-2009),2004,2004-01-01 00:00:00,251000,Osoby prywatnej,,Benzyna+LPG,,SUV,Czarny,Używane,,4x4 (stały),Automatyczna,2021-04-04 23:31:00
6081150338,infiniti,fx,Ostrołęka,Mazowieckie,280,3498,28500,Stany Zjednoczone,False,False,True,,,,I (2003-2009),2004,2005-02-03 00:00:00,251000,Osoby prywatnej,,Benzyna+LPG,,SUV,Srebrny,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-04 20:18:00
6083613578,infiniti,fx,Rudnik Wielki,Śląskie,280,3498,30900,Stany Zjednoczone,False,,,,,,I (2003-2009),2005,,212000,Osoby prywatnej,,Benzyna+LPG,,SUV,Szary,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-04 17:15:00
6083933762,infiniti,fx,Konin,Wielkopolskie,238,3000,60900,Polska,False,False,True,,True,,II (2009-2013),2010,,168000,Osoby prywatnej,,Diesel,,SUV,Fioletowy,Używane,,4x4 (dołączany automatycznie),,2021-04-03 20:01:00
6083321074,infiniti,fx,Suwałki,Podlaskie,238,2993,54900,Polska,False,False,True,,,,II (2009-2013),2010,2010-10-27 00:00:00,214000,Osoby prywatnej,,Diesel,,SUV,Czarny,Używane,True,4x4 (dołączany automatycznie),Automatyczna,2021-04-03 19:53:00
6083392633,infiniti,fx,Poznań,Wielkopolskie,280,3498,36500,,False,,,,,,I (2003-2009),2006,,275000,Osoby prywatnej,,Benzyna,,SUV,Czarny,Używane,,4x4 (stały),Automatyczna,2021-04-03 00:22:00
6083459305,infiniti,fx,Olsztyn,Warmińsko-mazurskie,280,3498,37999,,False,False,True,,,,I (2003-2009),2004,,179000,Osoby prywatnej,,Benzyna+LPG,,SUV,Czarny,Używane,,Na tylne koła,Automatyczna,2021-04-02 23:07:00
6081871299,infiniti,fx,Łódź,Łódzkie,320,3696,89790,Polska,False,False,,,True,,,2011,2011-09-20 00:00:00,159000,Osoby prywatnej,,Benzyna,,SUV,Czarny,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-02 22:40:00
6083922166,infiniti,fx,Bydgoszcz,Kujawsko-pomorskie,238,2993,73900,Niemcy,False,False,True,,True,,II (2009-2013),2012,2013-03-06 00:00:00,233607,Firmy,True,Diesel,,SUV,Biały,Używane,,4x4 (dołączany ręcznie),Automatyczna,2021-04-02 21:58:00
6083920879,infiniti,fx,Osjaków,Łódzkie,280,3498,38007,,False,False,True,,,,I (2003-2009),2007,2007-09-30 00:00:00,260000,Osoby prywatnej,,Benzyna+LPG,,SUV,Inny kolor,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-02 20:31:00
6083920657,infiniti,fx,Witnica,Lubuskie,280,3498,27900,,False,False,True,,,,I (2003-2009),2005,2005-01-01 00:00:00,220000,Osoby prywatnej,,Benzyna+LPG,,SUV,Czarny,Używane,,Na tylne koła,Automatyczna,2021-04-02 20:18:00
6083707830,infiniti,fx,Płock,Mazowieckie,238,2993,66900,,False,,True,,True,,II (2009-2013),2013,2014-05-21 00:00:00,267213,Osoby prywatnej,,Diesel,238,SUV,Biały,Używane,True,4x4 (dołączany ręcznie),Automatyczna,2021-04-02 17:01:00
6080993838,infiniti,fx,Piekary Śląskie,Śląskie,238,2993,72900,,False,False,True,,True,True,II (2009-2013),2011,2011-12-06 00:00:00,125868,Firmy,,Diesel,238,SUV,Fioletowy,Używane,,4x4 (dołączany ręcznie),Automatyczna,2021-04-02 16:13:00
6083908521,infiniti,fx,Koszalin,Zachodniopomorskie,320,3696,87900,Polska,False,False,True,,True,,II (2009-2013),2012,,125000,Osoby prywatnej,,Benzyna,282,SUV,Beżowy,Używane,True,4x4 (dołączany ręcznie),Automatyczna,2021-04-02 13:24:00
6083532208,infiniti,fx,Warszawa,Mazowieckie,303,3500,74000,Stany Zjednoczone,False,False,True,,,,II (2009-2013),2009,2008-09-18 00:00:00,105000,Osoby prywatnej,,Benzyna+LPG,,SUV,Czarny,Używane,True,4x4 (dołączany ręcznie),Automatyczna,2021-04-02 13:16:00
6083904140,infiniti,fx,Warszawa,Mazowieckie,303,3498,65000,Polska,False,False,True,,,,II (2009-2013),2008,2008-01-01 00:00:00,89000,Osoby prywatnej,,Benzyna+LPG,,SUV,Czarny,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-02 11:32:00
6051871800,infiniti,fx,Białystok,Podlaskie,284,3498,69900,,False,False,,,,,II (2009-2013),2011,,112000,Firmy,,Benzyna,,SUV,Czarny,Używane,,Na tylne koła,Automatyczna,2021-04-01 16:36:00
6083236062,infiniti,fx,Rokitki,Pomorskie,280,3498,20000,,False,False,,,,,I (2003-2009),2005,2008-07-23 00:00:00,271000,Osoby prywatnej,,Benzyna,,SUV,Srebrny,Używane,,Na tylne koła,Automatyczna,2021-04-01 16:33:00
6081344156,infiniti,fx,Szczecin,Zachodniopomorskie,280,3498,36000,,False,False,,,,,I (2003-2009),2006,2006-12-07 00:00:00,226760,Osoby prywatnej,,Benzyna+LPG,,SUV,Czarny,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-01 14:56:00
6083854717,infiniti,fx,Bielawa,Dolnośląskie,280,3498,29400,,False,False,,,,,I (2003-2009),2008,,150000,Firmy,,Benzyna+LPG,,SUV,Inny kolor,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-03-31 23:19:00
6075764569,infiniti,fx,Bielsko-Biała,Śląskie,238,2993,61900,,False,,,,,,II (2009-2013),2010,,132843,Osoby prywatnej,,Diesel,,SUV,Czarny,Używane,,,Automatyczna,2021-03-31 12:06:00
6080455411,infiniti,fx,Skarżysko-Kamienna,Świętokrzyskie,238,2993,63500,,False,,,,,True,II (2009-2013),2011,,211000,Osoby prywatnej,,Diesel,238,SUV,Czarny,Używane,,4x4 (stały),Automatyczna,2021-03-30 15:56:00
6083440632,infiniti,fx,Lębork,Pomorskie,320,3696,64900,,False,False,True,,,,II (2009-2013),2009,2009-08-18 00:00:00,203050,Osoby prywatnej,,Benzyna,282,SUV,Inny kolor,Używane,,4x4 (dołączany ręcznie),Automatyczna,2021-03-30 15:48:00
6082645358,infiniti,fx,Kraków,Małopolskie,280,3498,16000,Stany Zjednoczone,False,False,,,,,I (2003-2009),2003,2008-06-10 00:00:00,100000,Osoby prywatnej,,Benzyna+LPG,,SUV,Brązowy,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-03-30 14:57:00
6083803900,infiniti,fx,Rossosz,Lubelskie,280,3498,14400,,False,,,,,,I (2003-2009),2004,,154000,Firmy,,Benzyna+LPG,,SUV,Czarny,Używane,,Na tylne koła,Automatyczna,2021-03-30 14:47:00
6083801638,infiniti,fx,Krosno,Podkarpackie,238,2993,62900,Polska,False,False,,,,,II (2009-2013),2011,2011-05-20 00:00:00,163500,Firmy,,Diesel,238,SUV,Czarny,Używane,,4x4 (dołączany ręcznie),Automatyczna,2021-03-30 14:15:00
6025612087,infiniti,fx,Kocmyrzów,Małopolskie,280,3498,12500,,False,False,,,,,I (2003-2009),2004,,245000,Firmy,,Benzyna,,SUV,Czarny,Używane,True,Na tylne koła,Automatyczna,2021-03-30 08:58:00
6072626587,infiniti,fx,Grobia,Wielkopolskie,320,3696,53500,Niemcy,False,,,,,,II (2009-2013),2008,,125000,Osoby prywatnej,,Benzyna,284,SUV,Czarny,Używane,,4x4 (dołączany ręcznie),Automatyczna,2021-03-30 02:47:00
6077719598,infiniti,fx,Pyskowice,Śląskie,390,5019,79999,Inny,False,,,,True,,II (2009-2013),2012,,180000,Firmy,,Benzyna,,SUV,Biały,Używane,True,4x4 (dołączany automatycznie),Automatyczna,2021-03-30 00:02:00
6083429740,infiniti,fx,Oleśnica,Dolnośląskie,275,3498,38000,,False,False,True,,,,I (2003-2009),2008,,148000,Osoby prywatnej,,Benzyna,,SUV,Czarny,Używane,True,4x4 (stały),Automatyczna,2021-03-29 23:35:00
6077746852,infiniti,fx,Wrocław,Dolnośląskie,280,3498,29500,Stany Zjednoczone,False,False,,,,,I (2003-2009),2005,2007-08-25 00:00:00,148675,Firmy,,Benzyna,,SUV,Biały,Używane,,4x4 (stały),Automatyczna,2021-03-29 22:02:00
6083776851,infiniti,fx,Jędrzejów,Świętokrzyskie,390,5019,67000,Szwajcaria,False,False,True,,,,II (2009-2013),2008,,55000,Osoby prywatnej,,Benzyna,,SUV,Złoty,Używane,,4x4 (stały),Automatyczna,2021-03-29 21:49:00
6083758987,infiniti,fx,Radom,Mazowieckie,315,4494,38900,Szwajcaria,False,,True,,True,,I (2003-2009),2004,2004-09-08 00:00:00,140776,Osoby prywatnej,,Benzyna,,SUV,Brązowy,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-03-29 20:55:00
