ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania
6084027190,jaguar,daimler,Środa Wielkopolska,Wielkopolskie,226,3980,20000,,False,False,,,,,,1992,1996-06-24 00:00:00,238000,Firmy,,Benzyna,,Sedan,Niebieski,Używane,,Na tylne koła,Automatyczna,2021-04-07 13:00:00
6083926727,jaguar,daimler,Bielsko-Biała,Śląskie,226,3980,21900,,False,,,True,,,,1994,1994-04-02 00:00:00,102000,Osoby prywatnej,,Benzyna,,Sedan,Inny kolor,Używane,,Na tylne koła,Automatyczna,2021-04-03 12:09:00
6083223649,jaguar,daimler,Poznań,Wielkopolskie,284,3996,18900,Szwajcaria,False,False,,,,,,1998,1998-02-21 00:00:00,492000,Osoby prywatnej,,Benzyna+LPG,,Sedan,Zielony,Używane,,Na tylne koła,Automatyczna,2021-04-02 16:33:00
6078775519,jaguar,daimler,Węgrzce,Małopolskie,264,5345,39000,,False,,,,,,,1992,,172000,Osoby prywatnej,,Benzyna,,Sedan,Czarny,Używane,,,Manualna,2021-04-02 14:28:00
6083892825,jaguar,daimler,Wschowa,Lubuskie,226,3980,34800,,False,False,,,,,,1989,,101000,Osoby prywatnej,,Benzyna,,Sedan,Inny kolor,Używane,,,Automatyczna,2021-04-02 10:51:00
6083494656,jaguar,daimler,Sieradz,Łódzkie,226,3980,26900,,False,,,,,,,1991,,224057,Osoby prywatnej,,Benzyna,,Sedan,Bordowy,Używane,,Na tylne koła,Automatyczna,2021-04-01 15:53:00
6077522754,jaguar,daimler,Świdnik,Lubelskie,265,5300,16999,Wielka Brytania,False,,,True,,,,1978,,100000,Osoby prywatnej,,Benzyna,,Sedan,Srebrny,Używane,,Na tylne koła,Automatyczna,2021-03-29 09:01:00
6080603784,jaguar,e-pace,Gdańsk,Pomorskie,180,1999,170900,Polska,False,,True,,,,,2020,,9,Firmy,True,Diesel,147,SUV,Biały,Nowe,,4x4 (stały),Automatyczna,2021-04-07 13:57:00
6081267008,jaguar,e-pace,Gdańsk,Pomorskie,200,1998,223900,Polska,False,False,True,,True,,,2020,2020-06-17 00:00:00,16000,Firmy,True,Benzyna,186,SUV,Niebieski,Używane,True,4x4 (stały),Automatyczna,2021-04-06 19:45:00
6066616102,jaguar,e-pace,Gdańsk,Pomorskie,150,1999,147500,Polska,False,False,True,,True,,,2019,2019-08-27 00:00:00,33000,Firmy,True,Diesel,147,SUV,Srebrny,Używane,True,4x4 (stały),Automatyczna,2021-04-06 19:43:00
6083842986,jaguar,e-pace,Częstochowa,Śląskie,200,1998,218940,Polska,False,False,True,,True,,,2018,2019-03-15 00:00:00,14000,Osoby prywatnej,,Benzyna,186,SUV,Czerwony,Używane,True,4x4 (stały),Automatyczna,2021-04-06 15:47:00
6072311755,jaguar,e-pace,Długołęka,Dolnośląskie,200,1998,199900,,False,,True,,,,,2020,,5,Firmy,True,Benzyna,186,SUV,Szary,Nowe,,4x4 (stały),Automatyczna,2021-04-06 15:30:00
6080774147,jaguar,e-pace,Gdańsk,Pomorskie,180,1999,190900,Polska,False,,True,,,,,2020,,9,Firmy,True,Diesel,147,SUV,Szary,Nowe,,4x4 (stały),Automatyczna,2021-04-06 11:13:00
6072312493,jaguar,e-pace,Długołęka,Dolnośląskie,200,1998,199900,,False,,True,,,,,2020,,5,Firmy,True,Benzyna,186,SUV,Czarny,Nowe,,4x4 (stały),Automatyczna,2021-04-05 18:20:00
