ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania
6084012719,jeep,cherokee,Kielce,Świętokrzyskie,171,3964,36500,,False,False,,,,,II (1987-2001),1990,,250000,Osoby prywatnej,,Benzyna,,SUV,Czarny,Używane,,4x4 (dołączany ręcznie),Automatyczna,2021-04-07 09:52:00
6083987594,jeep,cherokee,Natolin,Mazowieckie,170,1956,89900,Polska,False,False,True,,True,,V (2014-),2015,2016-06-21 00:00:00,87452,Firmy,True,Diesel,,Kombi,Biały,Używane,True,4x4 (dołączany automatycznie),Automatyczna,2021-04-06 16:10:00
6065112138,jeep,cherokee,Łódź,Łódzkie,177,2400,115000,Stany Zjednoczone,False,False,,,,,V (2014-),2019,,2450,Osoby prywatnej,,Benzyna,,SUV,Biały,Używane,,4x4 (stały),Automatyczna,2021-04-05 22:05:00
6083003049,jeep,cherokee,Szczecin,Zachodniopomorskie,170,1956,75500,Polska,False,False,True,,True,True,V (2014-),2014,2015-01-09 00:00:00,103000,Osoby prywatnej,,Diesel,154,SUV,Czerwony,Używane,True,4x4 (dołączany ręcznie),Automatyczna,2021-04-05 18:08:00
6083877778,jeep,cherokee,Radkowice,Świętokrzyskie,163,2776,21000,Włochy,False,False,True,,,,III (2001-2008),2006,,238000,Osoby prywatnej,,Diesel,,SUV,Srebrny,Używane,,4x4 (dołączany ręcznie),Automatyczna,2021-04-05 15:46:00
6082773168,jeep,cherokee,Piski,Mazowieckie,150,2800,23900,,False,,,,,,III (2001-2008),2005,,398000,Osoby prywatnej,,Diesel,,SUV,Inny kolor,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-03 14:19:00
6075666671,jeep,cherokee,Warszawa,Mazowieckie,282,3239,69500,Stany Zjednoczone,False,False,,,,,V (2014-),2015,2015-01-01 00:00:00,103000,Osoby prywatnej,,Benzyna,,SUV,Czarny,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-02 20:44:00
6083910206,jeep,cherokee,Świątniki,Łódzkie,270,1994,119998,Stany Zjednoczone,False,False,,,,,V (2014-),2019,2019-01-01 00:00:00,4823,Firmy,,Benzyna,,SUV,Biały,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-02 14:04:00
6080201307,jeep,cherokee,Giedlarowa,Podkarpackie,272,3239,79900,Stany Zjednoczone,False,False,,,,,V (2014-),2017,,81300,Osoby prywatnej,,Benzyna+LPG,232,SUV,Czarny,Używane,,Na przednie koła,Automatyczna,2021-04-02 10:28:00
6084032584,jeep,cherokee,Warszawa,Mazowieckie,178,3960,22500,,False,,,,,,II (1987-2001),1997,,206300,Osoby prywatnej,,Benzyna+LPG,,SUV,Czarny,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-07 15:30:00
6059336486,jeep,cherokee,Długołęka,Dolnośląskie,200,2184,159900,Polska,False,False,True,,True,,V (2014-),2019,,15900,Firmy,True,Diesel,160,SUV,Biały,Używane,True,4x4 (dołączany ręcznie),Automatyczna,2021-04-07 15:13:00
6083874980,jeep,cherokee,Warszawa,Mazowieckie,272,3239,72000,,False,,,,,,V (2014-),2018,,36000,Firmy,,Benzyna,289,SUV,Niebieski,Używane,,4x4 (stały),Automatyczna,2021-04-07 14:20:00
6083732362,jeep,cherokee,Zaścianki,Podlaskie,177,2400,59000,Stany Zjednoczone,False,,,,,,V (2014-),2015,,44000,Osoby prywatnej,,Benzyna,,SUV,Szary,Używane,,,Automatyczna,2021-04-07 13:56:00
