ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania
6082153981,kia,carens,Warszawa,Mazowieckie,141,1685,63900,,False,False,True,,True,,IV (2013-),2015,2016-07-01 00:00:00,112300,Firmy,True,Diesel,118,Minivan,Czarny,Używane,,Na przednie koła,Automatyczna,2021-04-07 09:31:00
6083995329,kia,carens,Zabłudów,Podlaskie,145,1998,13999,,False,,True,,True,,III (2006-2012),2007,,166311,Osoby prywatnej,,Benzyna,193,Minivan,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-06 20:49:00
6083571370,kia,carens,Warszawa,Mazowieckie,135,1685,48500,,False,,True,,,True,IV (2013-),2015,,116291,Firmy,True,Diesel,,Minivan,Czarny,Używane,True,Na przednie koła,Automatyczna,2021-04-05 14:01:00
6083757364,kia,carens,Warszawa,Mazowieckie,135,1591,43900,,False,,True,,,,IV (2013-),2013,,108707,Firmy,True,Benzyna,,Minivan,Brązowy,Używane,,Na przednie koła,Manualna,2021-04-04 10:12:00
6083923047,kia,carens,Włoszczowa,Świętokrzyskie,115,1685,39999,,True,False,True,,True,,IV (2013-),2015,2015-08-10 00:00:00,150000,Osoby prywatnej,,Diesel,129,Minivan,Biały,Używane,True,Na przednie koła,Manualna,2021-04-02 23:26:00
6083246211,kia,carens,Warszawa,Mazowieckie,115,1685,33900,,False,,True,,,True,IV (2013-),2013,,139853,Firmy,True,Diesel,,Minivan,Beżowy,Używane,,Na przednie koła,Manualna,2021-04-02 09:36:00
6083381916,kia,carens,Ujście,Wielkopolskie,136,1685,35700,,False,,True,,True,,IV (2013-),2013,,174000,Firmy,,Diesel,159,Minivan,Szary,Używane,True,Na przednie koła,Automatyczna,2021-04-07 16:13:00
6084034087,kia,carens,Zduńska Wola,Łódzkie,136,1685,39900,Niemcy,False,False,True,,True,,IV (2013-),2014,,137000,Firmy,,Diesel,134,Minivan,Czarny,Używane,,Na przednie koła,Manualna,2021-04-07 16:06:00
6078889662,kia,carens,Dragacz,Kujawsko-pomorskie,145,1998,14999,Holandia,False,False,,,True,,III (2006-2012),2007,2007-12-08 00:00:00,232984,Firmy,,Benzyna,,Minivan,Niebieski,Używane,True,Na przednie koła,Manualna,2021-04-07 15:51:00
6083440247,kia,carens,Warszawa,Mazowieckie,135,1591,39900,Belgia,False,,True,,True,,IV (2013-),2013,,118574,Firmy,,Benzyna,159,Minivan,Inny kolor,Używane,True,Na przednie koła,Manualna,2021-04-07 15:18:00
