ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania
6083636780,lada,1117,Łęczna,Lubelskie,90,1390,5000,Rosja,False,False,True,,,,,2009,2016-03-15 00:00:00,80000,Osoby prywatnej,,Benzyna,149,Auta miejskie,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-05 15:10:00
6083177566,lada,1119,Koszalin,Zachodniopomorskie,90,1390,1999,,False,,True,,True,,,2009,,80000,Osoby prywatnej,,Benzyna,149,Kompakt,Srebrny,Używane,True,Na przednie koła,Manualna,2021-04-01 08:42:00
6083273187,lada,2104,Kalno,Dolnośląskie,72,1458,19500,Polska,False,False,True,,,,,1992,1992-08-18 00:00:00,100050,Osoby prywatnej,,Benzyna+LPG,,Kombi,Czerwony,Używane,,Na tylne koła,Manualna,2021-04-04 17:32:00
6083235418,lada,2105,Stawiszyn,Wielkopolskie,69,1300,9900,,False,False,,,,,,1986,1986-09-16 00:00:00,179398,Osoby prywatnej,,Benzyna,,Sedan,Beżowy,Używane,,Na przednie koła,Manualna,2021-04-03 15:52:00
6083974986,lada,kalina,Kościerzyna,Pomorskie,87,1596,7500,Niemcy,False,,,,,,,2009,,51000,Firmy,,Benzyna,150,Auta miejskie,Zielony,Używane,,Na przednie koła,Manualna,2021-04-06 11:31:00
6083673608,lada,kalina,Margonin,Wielkopolskie,90,1400,5950,Niemcy,False,,,,True,,,2009,,87000,Osoby prywatnej,,Benzyna,,Auta miejskie,Inny kolor,Używane,,Na przednie koła,Manualna,2021-04-05 20:39:00
6070679365,lada,kalina,Tarnowskie Góry,Śląskie,,,7500,,False,,,,,,,2011,,84321,Firmy,,Benzyna,,Auta miejskie,Fioletowy,Używane,,,,2021-04-04 17:34:00
6083920183,lada,kalina,Wolsztyn,Wielkopolskie,82,1596,3333,Niemcy,False,,,,,,,2006,,125000,Osoby prywatnej,,Benzyna,,Auta miejskie,Szary,Używane,,Na przednie koła,Manualna,2021-04-02 19:48:00
6083541525,lada,kalina,Józefów,Mazowieckie,90,1390,7800,,False,,,,,,,2010,,217000,Firmy,,Benzyna,,Kompakt,Bordowy,Używane,,Na przednie koła,Manualna,2021-04-02 16:21:00
6082657369,lada,kalina,Bydgoszcz,Kujawsko-pomorskie,82,1596,3999,Niemcy,False,,,,,,,2007,,64000,Firmy,,Benzyna,,Auta miejskie,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-02 07:35:00
6083137545,lada,kalina,Częstochowa,Śląskie,81,1596,7999,,False,,,,,,,2008,,79848,Firmy,,Benzyna,,Auta małe,Bordowy,Używane,,Na przednie koła,Manualna,2021-03-30 15:48:00
6083889933,lada,niva,Rydułtowy,Śląskie,81,1690,19900,Niemcy,False,,True,,True,,,2009,,97000,Firmy,,Benzyna,233,SUV,Bordowy,Używane,True,4x4 (stały),Manualna,2021-04-07 19:16:00
6082063877,lada,niva,Poznań,Wielkopolskie,82,1690,19000,Niemcy,False,False,,,,,,2012,2012-07-20 00:00:00,79000,Firmy,,Benzyna,233,SUV,Zielony,Używane,,4x4 (dołączany automatycznie),Manualna,2021-04-07 15:43:00
6076929685,lada,niva,Warszawa,Mazowieckie,82,1690,58900,,False,False,True,,,,,2021,,1,Firmy,,Benzyna,,SUV,Zielony,Nowe,True,,Manualna,2021-04-07 15:38:00
6083371920,lada,niva,Piła,Wielkopolskie,81,1690,17000,,False,,,,,,,2007,2007-10-16 00:00:00,75000,Osoby prywatnej,,Benzyna,233,SUV,Inny kolor,Używane,,4x4 (dołączany automatycznie),Manualna,2021-04-07 14:15:00
6083337054,lada,niva,Pniewy,Wielkopolskie,82,1690,8199,Niemcy,False,,True,,,,,2003,,51211,Osoby prywatnej,,Benzyna,,SUV,Zielony,Używane,,4x4 (stały),Manualna,2021-04-06 11:23:00
6082942882,lada,niva,Warszawa,Mazowieckie,83,1690,71900,,False,False,True,,,,,2021,,1,Firmy,,Benzyna,,SUV,Srebrny,Nowe,True,4x4 (stały),Manualna,2021-04-06 09:18:00
6082942757,lada,niva,Warszawa,Mazowieckie,83,1690,85900,,False,False,True,,,,,2021,,1,Firmy,,Benzyna,,SUV,Zielony,Nowe,True,4x4 (stały),Manualna,2021-04-06 09:18:00
6081831663,lada,niva,Warszawa,Mazowieckie,82,1690,59900,,False,False,True,,,,,2021,,1,Firmy,,Benzyna,,SUV,Biały,Nowe,True,4x4 (stały),Manualna,2021-04-06 09:16:00
6082026990,lada,niva,Płock,Mazowieckie,76,1568,25000,,False,False,True,,,,,1986,1987-01-30 00:00:00,52000,Osoby prywatnej,,Benzyna+LPG,,SUV,Biały,Używane,,4x4 (stały),Manualna,2021-04-05 21:03:00
6082097727,lada,niva,Będzin,Śląskie,81,1690,13500,,False,,,,,,,2010,2011-03-17 00:00:00,181000,Osoby prywatnej,,Benzyna+LPG,233,SUV,Zielony,Używane,,4x4 (dołączany automatycznie),Manualna,2021-04-05 10:47:00
6082988003,lada,niva,Wrocław,Dolnośląskie,81,1690,11800,,False,,True,,True,,,2007,,51000,Firmy,,Benzyna,233,SUV,Inny kolor,Używane,True,4x4 (dołączany automatycznie),Manualna,2021-04-05 07:31:00
6083245512,lada,niva,Suwałki,Podlaskie,82,1690,8000,,False,False,,,,,,1999,,103000,Osoby prywatnej,,Benzyna+LPG,,SUV,Zielony,Używane,,4x4 (stały),Manualna,2021-04-05 06:46:00
6083943578,lada,niva,Łódź,Łódzkie,80,1690,10900,,False,False,True,,,,,1996,1996-06-04 00:00:00,165000,Osoby prywatnej,,Benzyna+LPG,,SUV,Bordowy,Używane,,4x4 (dołączany ręcznie),Manualna,2021-04-04 21:46:00
6082235124,lada,niva,Warszawa,Mazowieckie,82,1690,73900,,False,False,True,,,,,2021,,1,Firmy,,Benzyna,233,SUV,Biały,Nowe,,4x4 (dołączany automatycznie),Manualna,2021-04-04 09:41:00
6082235293,lada,niva,Warszawa,Mazowieckie,82,1690,62900,,False,False,True,,,,,2021,,1,Firmy,,Benzyna,,SUV,Zielony,Nowe,True,4x4 (stały),Manualna,2021-04-04 09:41:00
6083934477,lada,niva,Pałecznica,Małopolskie,73,1558,9999,,False,,,,,,,1992,,68000,Osoby prywatnej,,Benzyna,,SUV,Zielony,Używane,,4x4 (dołączany ręcznie),Manualna,2021-04-03 20:56:00
6083238953,lada,niva,Chojnice,Pomorskie,82,1690,47900,Niemcy,False,,,,True,,,2019,2019-08-26 00:00:00,23000,Osoby prywatnej,,Benzyna,233,SUV,Bordowy,Używane,,4x4 (stały),Manualna,2021-04-03 19:44:00
6082911962,lada,niva,Lipno,Kujawsko-pomorskie,81,1690,18900,Niemcy,False,,True,,,,,2009,2009-09-11 00:00:00,101227,Osoby prywatnej,,Benzyna,233,SUV,Zielony,Używane,,4x4 (stały),Manualna,2021-04-02 20:24:00
6081018044,lada,niva,Wrocław,Dolnośląskie,75,1900,25000,Francja,False,,,,,,,1994,,90000,Osoby prywatnej,,Diesel,,SUV,Szary,Używane,,4x4 (stały),Manualna,2021-04-02 19:16:00
6083918778,lada,niva,Warszawa,Mazowieckie,82,1690,8200,,False,,,,,,,2000,2000-06-21 00:00:00,73000,Osoby prywatnej,,Benzyna+LPG,264,SUV,Czarny,Używane,,4x4 (dołączany automatycznie),Manualna,2021-04-02 18:13:00
6080870163,lada,niva,Warszawa,Mazowieckie,82,1690,69900,,False,False,True,,True,,,2021,,15,Firmy,,Benzyna,233,SUV,Zielony,Nowe,,4x4 (stały),Manualna,2021-04-02 15:52:00
6083518029,lada,niva,Gorzów Wielkopolski,Lubuskie,82,1690,57990,Polska,False,False,,,True,,,2020,,80,Osoby prywatnej,,Benzyna,233,SUV,Zielony,Używane,True,4x4 (dołączany automatycznie),Manualna,2021-04-02 00:29:00
6079431849,lada,niva,Kłodzko,Dolnośląskie,82,1690,59500,Polska,False,False,True,,,,,2018,2018-01-01 00:00:00,13800,Osoby prywatnej,,Benzyna+LPG,233,SUV,Czarny,Używane,True,4x4 (dołączany automatycznie),Manualna,2021-04-01 10:58:00
6075081330,lada,niva,Warszawa,Mazowieckie,82,1690,79900,Rosja,False,,True,,,,,2021,,1,Firmy,,Benzyna,233,SUV,Zielony,Nowe,,4x4 (dołączany automatycznie),Manualna,2021-04-01 09:13:00
6083455771,lada,niva,Chojnów,Dolnośląskie,81,1690,16000,,False,,,,,,,2009,,91000,Osoby prywatnej,,Benzyna+LPG,233,SUV,Bordowy,Używane,,4x4 (dołączany automatycznie),Manualna,2021-03-31 17:44:00
6083450689,lada,niva,Kłodzko,Dolnośląskie,64,1905,25500,,False,,,,,,,1998,,170000,Osoby prywatnej,,Diesel,,SUV,Zielony,Używane,,4x4 (dołączany automatycznie),Manualna,2021-03-31 12:07:00
6079777689,lada,niva,Warszawa,Mazowieckie,82,1690,80900,,False,False,True,,,,,2021,,1,Firmy,,Benzyna,233,SUV,Inny kolor,Nowe,,4x4 (dołączany automatycznie),Manualna,2021-03-30 13:34:00
6083099333,lada,niva,Warszawa,Mazowieckie,82,1690,65900,,False,False,True,,,,,2021,,1,Firmy,,Benzyna,,SUV,Zielony,Nowe,True,4x4 (stały),Manualna,2021-03-30 09:02:00
6056462823,lada,niva,Wysogotowo,Wielkopolskie,83,1690,85000,Rosja,False,False,True,,True,,,2020,2020-01-01 00:00:00,1,Firmy,True,Benzyna,291,SUV,Niebieski,Nowe,True,4x4 (stały),Manualna,2021-03-29 15:07:00
6075027659,lada,niva,Warszawa,Mazowieckie,82,1690,64900,,False,,True,,,,,2021,,1,Firmy,,Benzyna,233,SUV,Czarny,Nowe,,4x4 (dołączany automatycznie),Manualna,2021-03-29 13:11:00
