ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania
6082417180,lancia,delta,Nowa Sól,Lubuskie,105,1598,21500,Belgia,False,False,True,,,True,,2012,2012-04-08 00:00:00,113000,Osoby prywatnej,,Diesel,120,Kompakt,Szary,Używane,,Na przednie koła,Manualna,2021-04-06 21:26:00
6083945286,lancia,delta,Wola Droszewska,Wielkopolskie,120,1598,22500,Belgia,False,False,,,,True,,2010,2010-10-11 00:00:00,230000,Osoby prywatnej,,Diesel,,Kompakt,Beżowy,Używane,,Na przednie koła,Manualna,2021-04-05 10:52:00
6083022081,lancia,delta,Sandomierz,Świętokrzyskie,149,1368,20900,,False,,True,,,,,2009,,276000,Osoby prywatnej,,Benzyna+LPG,165,Kompakt,Inny kolor,Używane,,Na przednie koła,Manualna,2021-04-03 22:45:00
6082906309,lancia,delta,Żarki,Śląskie,105,1598,23700,Polska,False,False,True,,True,,,2013,2013-10-30 00:00:00,150000,Osoby prywatnej,,Diesel,120,Kompakt,Czarny,Używane,True,Na przednie koła,Manualna,2021-04-02 16:28:00
6077937961,lancia,delta,Poznań,Wielkopolskie,120,1598,13700,,False,,True,,True,,,2009,2009-04-07 00:00:00,174732,Osoby prywatnej,,Diesel,,Kompakt,Srebrny,Używane,,,Manualna,2021-04-01 20:51:00
6083391769,lancia,delta,Fajsławice,Lubelskie,165,1956,22900,Luksemburg,False,,True,,True,,,2011,2011-03-09 00:00:00,230000,Firmy,,Diesel,135,Kompakt,Brązowy,Używane,True,Na przednie koła,Manualna,2021-04-07 20:03:00
6083737063,lancia,delta,Trzebinia,Małopolskie,120,1368,16900,Austria,False,False,True,,True,,,2008,2008-10-09 00:00:00,228470,Firmy,,Benzyna,,Kompakt,Szary,Używane,,Na przednie koła,Manualna,2021-04-07 16:23:00
6083882476,lancia,delta,Wysogotowo,Wielkopolskie,164,1956,18900,Polska,False,False,,,,,,2012,2012-08-14 00:00:00,241318,Firmy,True,Diesel,,Kompakt,Szary,Używane,,Na przednie koła,Manualna,2021-04-07 15:59:00
6083234600,lancia,delta,Raszyn,Mazowieckie,200,1742,31300,,False,,,,,,,2012,,115000,Osoby prywatnej,,Benzyna,185,Kompakt,Brązowy,Używane,,Na przednie koła,Automatyczna,2021-04-07 15:52:00
6082644891,lancia,delta,Sosnowiec,Śląskie,120,1368,22500,,False,False,True,,True,,,2010,,180000,Firmy,,Benzyna,146,Kompakt,Biały,Używane,True,Na przednie koła,Manualna,2021-04-07 15:08:00
6084022526,lancia,delta,Ostrzeszów,Wielkopolskie,150,1368,18500,,False,,True,,True,,,2009,,163147,Firmy,,Benzyna,165,Kompakt,Szary,Używane,True,Na przednie koła,Manualna,2021-04-07 12:14:00
6012826363,lancia,delta,Zamość,Lubelskie,120,1600,22900,Belgia,False,,True,,True,,,2013,,271000,Firmy,,Diesel,,Kompakt,Inny kolor,Używane,,Na przednie koła,Manualna,2021-04-07 12:12:00
6083055657,lancia,delta,Chełm Śląski,Śląskie,120,1598,18600,,False,,True,,True,,,2009,,189000,Firmy,,Diesel,,Kompakt,Inny kolor,Używane,True,Na przednie koła,Manualna,2021-04-07 11:46:00
6083435182,lancia,delta,Katowice,Śląskie,190,1910,18000,,False,False,,,,,,2010,2010-04-07 00:00:00,191433,Firmy,True,Diesel,,Kompakt,Czarny,Używane,,Na przednie koła,Manualna,2021-04-07 11:23:00
