ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6083829655,land-rover,defender,Chorzów,Śląskie,240,1999,304900,PLN,Polska,False,,True,,,,,2020,,1,Firmy,,Diesel,,SUV,Szary,Nowe,,4x4 (dołączany automatycznie),Automatyczna,2021-04-09 15:49:00,https://www.otomoto.pl/oferta/land-rover-defender-2-0-240km-pakiet-cold-climate-hak-lusterko-clearsight-ID6DJ80L.html#c7acfeedb0
6083712522,land-rover,defender,Łódź,Łódzkie,241,1999,319900,PLN,Polska,False,False,True,,True,,,2020,,11900,Firmy,,Diesel,,SUV,Zielony,Używane,True,4x4 (dołączany automatycznie),Automatyczna,2021-04-08 20:20:00,https://www.otomoto.pl/oferta/land-rover-defender-defender-l663-110-2-0d-240-km-hse-panorama-wentylowane-fotele-fv23-ID6DIDxv.html#c7acfeedb0
6083380426,land-rover,defender,Bielsko-Biała,Śląskie,300,1997,350640,PLN,Polska,False,,True,,,,,2021,,20,Firmy,,Benzyna,,SUV,Zielony,Nowe,,4x4 (dołączany automatycznie),Automatyczna,2021-04-07 15:50:00,https://www.otomoto.pl/oferta/land-rover-defender-z-rata-od-3-194-netto-90-2-0-si4-300-km-s-my21-materialowy-dach-ID6DHf98.html#c7acfeedb0
6080598962,land-rover,defender,Gdańsk,Pomorskie,240,1999,310000,PLN,Polska,False,,True,,,,,2020,,10,Firmy,,Diesel,,SUV,Czarny,Nowe,,4x4 (dołączany automatycznie),Automatyczna,2021-04-07 15:16:00,https://www.otomoto.pl/oferta/land-rover-defender-110-2-0-diesel-240-km-awd-auto-s-2020-hak-holowniczy-ID6DwzyO.html#c7acfeedb0
6073664036,land-rover,defender,Katowice,Śląskie,400,2996,427890,PLN,,False,,True,,,True,,2020,,1,Firmy,,Benzyna,,SUV,Zielony,Nowe,,4x4 (stały),Automatyczna,2021-04-09 19:30:00,https://www.otomoto.pl/oferta/land-rover-defender-juz-do-obejrzenia-na-zywo-ID6D2tta.html#c7acfeedb0
6081681688,land-rover,defender,Kraków,Małopolskie,240,1999,379950,PLN,,False,,True,,,,,2021,,20,Firmy,True,Diesel,,SUV,Niebieski,Nowe,,4x4 (stały),Automatyczna,2021-04-09 18:02:00,https://www.otomoto.pl/oferta/land-rover-defender-90-3-0d-i6-250-km-mhev-awd-auto-hse-my21-ID6DA7e8.html#c7acfeedb0
6072646550,land-rover,defender,Poznań,Wielkopolskie,122,2179,159800,PLN,Polska,False,False,True,,True,,,2014,2014-11-27 00:00:00,122996,Firmy,,Diesel,291,SUV,Zielony,Używane,True,4x4 (dołączany automatycznie),Manualna,2021-04-09 17:40:00,https://www.otomoto.pl/oferta/land-rover-defender-110-dlugi-2-2-film-salon-polska-7osobowy-4x4-faktura-vat-23-ID6CYcM6.html#c7acfeedb0
6084115759,land-rover,defender,Wrocław,Dolnośląskie,122,2495,72570,PLN,Polska,False,False,True,,,,,2004,2005-01-10 00:00:00,304700,Osoby prywatnej,,Diesel,299,SUV,Zielony,Używane,,4x4 (dołączany automatycznie),Manualna,2021-04-09 15:56:00,https://www.otomoto.pl/oferta/land-rover-defender-land-rover-defedner-130-z-2005-roku-ID6DKkrl.html#c7acfeedb0
6080887968,land-rover,defender,Środa Śląska,Dolnośląskie,111,2495,49999,PLN,Polska,False,False,True,,,,,1996,,260000,Firmy,,Diesel,,SUV,Biały,Używane,,4x4 (dołączany automatycznie),Manualna,2021-04-09 15:48:00,https://www.otomoto.pl/oferta/land-rover-defender-4x4-wyprawowy-300tdi-ID6DvMKc.html#c7acfeedb0
6035259342,land-rover,defender,Środa Śląska,Dolnośląskie,140,2200,199999,PLN,Polska,False,False,True,,True,,,2015,,900,Firmy,,Diesel,,SUV,Zielony,Używane,True,4x4 (stały),Manualna,2021-04-09 15:46:00,https://www.otomoto.pl/oferta/land-rover-defender-mercedes-g-puma-pick-up-wojskowy-dla-kolekcjonera-4x4-ID6ArkEC.html#c7acfeedb0
6084110904,land-rover,defender,Proszowice,Małopolskie,111,2495,35000,PLN,,False,False,,,,,,1998,1999-03-04 00:00:00,69331,Osoby prywatnej,,Diesel,282,SUV,Zielony,Używane,,4x4 (dołączany automatycznie),Manualna,2021-04-09 14:50:00,https://www.otomoto.pl/oferta/land-rover-defender-uzywany-ID6DKjb2.html#c7acfeedb0
6082942915,land-rover,defender,Długołęka,Dolnośląskie,240,1999,286000,PLN,,False,,,,,,,2020,,11160,Firmy,,Diesel,,SUV,Biały,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-09 14:11:00,https://www.otomoto.pl/oferta/land-rover-defender-110-2-0d-240-km-awd-auto-s-my20-ID6DFpkw.html#c7acfeedb0
6082421402,land-rover,defender,Kraków,Małopolskie,250,2996,410000,PLN,,False,,True,,,,,2021,,20,Firmy,,Diesel,,SUV,Inny kolor,Nowe,,4x4 (dołączany automatycznie),Automatyczna,2021-04-09 14:01:00,https://www.otomoto.pl/oferta/land-rover-defender-3-0-250-km-x-dynamic-se-piekny-2021-ID6DDdF0.html#c7acfeedb0
6083480803,land-rover,defender,Warszawa,Mazowieckie,122,2179,149900,PLN,Polska,False,False,True,,True,,,2015,,110000,Firmy,,Diesel,291,SUV,Zielony,Używane,True,4x4 (dołączany ręcznie),Manualna,2021-04-09 13:38:00,https://www.otomoto.pl/oferta/land-rover-defender-2-2-td4-salon-pl-7-miejsc-fv-23-ID6DHFg7.html#c7acfeedb0
6082418922,land-rover,defender,Kraków,Małopolskie,250,2996,410000,PLN,,False,,True,,,,,2021,,20,Firmy,,Diesel,,SUV,Inny kolor,Nowe,,4x4 (dołączany automatycznie),Automatyczna,2021-04-09 13:11:00,https://www.otomoto.pl/oferta/land-rover-defender-3-0-250-km-x-dynamic-se-piekny-2021-ID6DDd10.html#c7acfeedb0
6084096191,land-rover,defender,Górzno,Mazowieckie,122,2495,69900,PLN,,False,,,,,,,2004,2004-09-21 00:00:00,106000,Firmy,,Diesel,,SUV,Szary,Używane,,,Manualna,2021-04-09 11:11:00,https://www.otomoto.pl/oferta/land-rover-defender-land-rover-defender-110-webasto-bagaznik-dachowy-nowe-opony-ID6DKflJ.html#c7acfeedb0
6079842111,land-rover,defender,Kraków,Małopolskie,50,2300,38800,PLN,,False,,,,,,,1976,,11111,Firmy,,Benzyna,,SUV,Zielony,Używane,,,Manualna,2021-04-08 20:44:00,https://www.otomoto.pl/oferta/land-rover-defender-defender-land-rover-seria-3-francja-cabrio-ID6DsoFx.html#c7acfeedb0
6083048184,land-rover,defender,Grzybowo,Zachodniopomorskie,113,2495,59000,PLN,,False,,,,,,,1998,,178000,Osoby prywatnej,,Diesel,282,SUV,Brązowy,Używane,,4x4 (dołączany automatycznie),Manualna,2021-04-08 18:58:00,https://www.otomoto.pl/oferta/land-rover-defender-sprzedam-ID6DFQIo.html#c7acfeedb0
6082684447,land-rover,defender,Złotów,Wielkopolskie,80,2500,31365,PLN,,False,,,,,,,1987,,11000,Osoby prywatnej,,Diesel,,Minivan,Zielony,Używane,,,Manualna,2021-04-08 17:32:00,https://www.otomoto.pl/oferta/land-rover-defender-land-rover-defender-110-ID6DEk5F.html#c7acfeedb0
6069939807,land-rover,defender,Baranowo,Wielkopolskie,400,3000,421400,PLN,Polska,False,,True,,True,,,2020,,10000,Firmy,,Benzyna,,SUV,Brązowy,Używane,True,4x4 (stały),Automatyczna,2021-04-08 16:55:00,https://www.otomoto.pl/oferta/land-rover-defender-3-0p-i6-400-km-awd-auto-se-my20-5-ID6CMQCX.html#c7acfeedb0
6080033840,land-rover,defender,Wąchock,Świętokrzyskie,122,2402,112000,PLN,Francja,False,,,,,,,2012,0012-10-05 00:00:00,34800,Firmy,,Diesel,,SUV,Biały,Używane,,4x4 (dołączany automatycznie),Manualna,2021-04-08 13:46:00,https://www.otomoto.pl/oferta/land-rover-defender-land-rover-defender-2-4-tdi-4x4-off-road-ID6DtcxV.html#c7acfeedb0
6084044246,land-rover,defender,Lubliniec,Śląskie,111,2495,49000,PLN,,False,,,,,,,1999,2001-08-02 00:00:00,253000,Osoby prywatnej,,Diesel,,SUV,Zielony,Używane,,4x4 (dołączany automatycznie),Manualna,2021-04-08 12:49:00,https://www.otomoto.pl/oferta/land-rover-defender-land-rover-defender-2-5-td5-ID6DK1PU.html#c7acfeedb0
