ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6083925422,lexus,ct,Rybnik,Śląskie,99,1798,33500,PLN,,False,,,,True,,,2011,,71000,Osoby prywatnej,,Hybryda,94,Auta miejskie,Niebieski,Używane,True,Na przednie koła,Automatyczna,2021-04-09 10:19:00,https://www.otomoto.pl/oferta/lexus-ct-lexus-ct-200h-hybryda-okazja-zamiana-ID6DJvWo.html#bd4817d4e5
6084060954,lexus,ct,Radzymin,Mazowieckie,99,1798,81900,PLN,Polska,False,False,True,,True,,,2017,,39000,Osoby prywatnej,,Hybryda,82,Kompakt,Biały,Używane,True,Na przednie koła,Automatyczna,2021-04-08 13:23:00,https://www.otomoto.pl/oferta/lexus-ct-salon-polska-jeden-wlasciciel-pelen-serwis-aso-bazwypadkowy-f-vat23-ID6DK6bo.html#bd4817d4e5
6084029346,lexus,ct,Warszawa,Mazowieckie,136,1798,44900,PLN,Liechtenstein,False,,,,,,,2012,,130000,Firmy,,Hybryda,94,Kompakt,Biały,Używane,,Na przednie koła,Automatyczna,2021-04-07 14:16:00,https://www.otomoto.pl/oferta/lexus-ct-hybrid-led-alcantara-climatronic-biala-perla-ID6DJXXA.html#bd4817d4e5
6083652094,lexus,ct,Otmuchów,Opolskie,99,1798,61700,PLN,,False,,True,,True,,,2017,,125834,Firmy,True,Hybryda,94,Kompakt,Biały,Używane,True,Na przednie koła,Automatyczna,2021-04-07 13:00:00,https://www.otomoto.pl/oferta/lexus-ct-hybryda-parktronik-nawigacja-alkantara-alufelgi-17-biala-perla-vat-23-ID6DInOS.html#bd4817d4e5
6083177111,lexus,ct,Legionowo,Mazowieckie,136,1798,39999,PLN,,False,False,True,,True,,,2012,2012-01-09 00:00:00,199205,Firmy,,Hybryda,94,Kompakt,Czarny,Używane,True,Na przednie koła,Automatyczna,2021-04-05 08:20:00,https://www.otomoto.pl/oferta/lexus-ct-super-stan-gwarancja-ID6DGofR.html#bd4817d4e5
6078438522,lexus,ct,Konin,Wielkopolskie,,1800,56800,PLN,,False,,,,,,,2017,,44000,Osoby prywatnej,,Hybryda,,Auta miejskie,Inny kolor,Używane,,,Automatyczna,2021-04-09 21:01:00,https://www.otomoto.pl/oferta/lexus-ct-ct200-hybrid-alcantara-niski-przebieg-ID6Dmwx0.html#bd4817d4e5
6084125268,lexus,ct,Warszawa,Mazowieckie,99,1798,64800,PLN,Włochy,False,,,,,,,2017,,96000,Firmy,True,Hybryda,94,Kompakt,Szary,Używane,,Na przednie koła,Automatyczna,2021-04-09 18:27:00,https://www.otomoto.pl/oferta/lexus-ct-led-navi-skora-pdc-alu17-keyless-kamera-black-edition-ID6DKmUI.html#bd4817d4e5
6083483518,lexus,ct,Espalion,Languedoc-Roussillon-Midi-Pyrénées,99,1798,9200,EUR,,False,,,,,,,2015,,68641,Firmy,,Hybryda,88,Kompakt,Srebrny,Używane,,Na przednie koła,Automatyczna,2021-04-09 13:44:00,https://www.otomoto.pl/oferta/lexus-ct-ds037-ID6DHFXU.html#bd4817d4e5
6084098137,lexus,ct,Szczecin,Zachodniopomorskie,99,1798,84900,PLN,Polska,False,False,True,,True,,,2017,2018-03-07 00:00:00,45723,Firmy,True,Hybryda,97,Kompakt,Niebieski,Używane,True,Na przednie koła,Automatyczna,2021-04-09 11:36:00,https://www.otomoto.pl/oferta/lexus-ct-ct200h-elegance-salon-polska-rej-2018-fv23-aso-lexus-szczecin-ID6DKfR7.html#bd4817d4e5
6067753927,lexus,ct,Białystok,Podlaskie,136,1798,81000,PLN,,False,False,,,True,,,2016,,27000,Firmy,,Hybryda,,Kompakt,Inny kolor,Używane,True,Na przednie koła,Automatyczna,2021-04-09 09:27:00,https://www.otomoto.pl/oferta/lexus-ct-f-sport-dwukolorowa-tapicerka-pelna-opcja-ID6CDFYP.html#bd4817d4e5
