ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania
6083656248,ligier,ixo,Częstochowa,Śląskie,5,505,25900,,False,,,,,,,2014,,45330,Firmy,True,Diesel,,Auta małe,Niebieski,Używane,,Na przednie koła,Automatyczna,2021-04-07 14:05:00
6083993985,ligier,ixo,Białystok,Podlaskie,20,505,21500,,False,False,,,,,,2011,2011-11-16 00:00:00,69895,Osoby prywatnej,,Benzyna,,Auta małe,Czarny,Używane,,Na przednie koła,Automatyczna,2021-04-06 20:22:00
6083818730,ligier,ixo,Częstochowa,Śląskie,5,505,23900,,False,False,,,,,,2012,2012-11-27 00:00:00,22927,Firmy,True,Diesel,,Auta małe,Srebrny,Używane,,Na przednie koła,Automatyczna,2021-04-05 20:20:00
6081516627,ligier,ixo,Częstochowa,Śląskie,5,440,24900,,False,,,,,,,2012,,14201,Firmy,True,Diesel,,Auta małe,Srebrny,Używane,,Na przednie koła,Automatyczna,2021-04-05 09:04:00
6083115425,ligier,ixo,Zakliczyn,Małopolskie,5,505,18500,,False,,True,,,,,2012,,33000,Osoby prywatnej,,Diesel,,Auta małe,Czarny,Używane,True,,Automatyczna,2021-03-30 20:55:00
6083818664,ligier,ixo,Cząstkowice,Podkarpackie,5,440,18000,,False,,,,,,,2010,2012-09-12 00:00:00,52091,Osoby prywatnej,,Diesel,,Auta małe,Biały,Używane,,,Automatyczna,2021-03-30 20:02:00
6083735763,ligier,js-rc,Włocławek,Kujawsko-pomorskie,5,480,24500,,False,False,,,,,,2014,2014-07-29 00:00:00,37032,Osoby prywatnej,,Diesel,,Auta małe,Niebieski,Używane,,Na przednie koła,Automatyczna,2021-04-07 15:54:00
6081881008,ligier,js-rc,Częstochowa,Śląskie,5,505,26900,,False,,,,,,,2014,,23210,Firmy,True,Diesel,,Auta małe,Szary,Używane,,Na przednie koła,Automatyczna,2021-04-06 16:03:00
6080329973,ligier,js50,Warszawa,Mazowieckie,5,480,39999,Polska,False,False,True,,,,,2016,2016-06-08 00:00:00,32054,Firmy,True,Diesel,,Auta małe,Niebieski,Używane,,,Automatyczna,2021-04-07 18:20:00
6083987316,ligier,js50,Częstochowa,Śląskie,5,490,33900,,False,,,,,,,2016,,22621,Firmy,True,Diesel,,Auta małe,Srebrny,Używane,,Na przednie koła,Automatyczna,2021-04-06 16:02:00
6082801130,ligier,js50,Częstochowa,Śląskie,5,505,26900,,False,,,,,,,2013,,24730,Firmy,True,Diesel,,Auta małe,Biały,Używane,,Na przednie koła,Automatyczna,2021-04-06 07:43:00
6083562535,ligier,js50,Poznań,Wielkopolskie,8,492,80900,,False,,True,,,,,2021,,5,Firmy,,Diesel,,Auta małe,Szary,Nowe,,Na przednie koła,Automatyczna,2021-04-05 10:24:00
6083560029,ligier,js50,Poznań,Wielkopolskie,8,492,74900,,False,,True,,,,,2021,,5,Firmy,,Diesel,,Auta małe,Szary,Nowe,,Na przednie koła,Automatyczna,2021-04-05 09:15:00
6083559952,ligier,js50,Poznań,Wielkopolskie,8,492,74900,,False,,True,,,,,2021,,5,Firmy,,Diesel,,Auta małe,Czarny,Nowe,,Na przednie koła,Automatyczna,2021-04-05 09:10:00
6083256607,ligier,js50,Głubczyce,Opolskie,8,479,49200,,False,,,,,,,2019,,3600,Osoby prywatnej,,Diesel,,Auta małe,Niebieski,Używane,,Na przednie koła,Automatyczna,2021-04-04 15:20:00
6083902183,ligier,js50,Włocławek,Kujawsko-pomorskie,8,478,43900,Francja,False,False,,,,,,2019,2019-07-19 00:00:00,18500,Firmy,,Diesel,,Kompakt,Niebieski,Używane,True,Na przednie koła,Automatyczna,2021-04-02 10:35:00
