ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania
6084028963,lincoln,aviator,Poznań,Wielkopolskie,306,4600,26900,,False,,,,,,,2003,2003-04-07 00:00:00,345000,Osoby prywatnej,,Benzyna,,SUV,Złoty,Używane,,,Automatyczna,2021-04-07 14:10:00
6083888746,lincoln,aviator,Warszawa,Mazowieckie,406,2967,329900,,False,,True,,,,,2019,2021-02-09 00:00:00,2524,Firmy,True,Benzyna,,Kombi,Czarny,Używane,True,4x4 (dołączany automatycznie),Automatyczna,2021-04-07 18:20:00
6083932562,lincoln,continental,Warszawa,Mazowieckie,220,7500,48000,,False,False,,,,,,1976,,52000,Osoby prywatnej,,Benzyna,,Coupe,Złoty,Używane,,Na tylne koła,Automatyczna,2021-04-03 18:29:00
6083656581,lincoln,continental,Jasło,Podkarpackie,211,7536,64000,Stany Zjednoczone,True,False,True,,,,,1976,,60000,Osoby prywatnej,,Benzyna,,Coupe,Inny kolor,Używane,,Na tylne koła,Automatyczna,2021-04-07 14:13:00
6084019474,lincoln,continental,Poznań,Wielkopolskie,158,3797,5950,,False,,,,,,,1991,,110000,Firmy,,Benzyna,,Sedan,Biały,Używane,,,Automatyczna,2021-04-07 10:55:00
6057324584,lincoln,continental,Włoszczowa,Świętokrzyskie,222,7539,95000,Stany Zjednoczone,False,False,True,,,,,1972,,31000,Firmy,,Benzyna,,Sedan,Biały,Używane,,,Automatyczna,2021-04-05 12:30:00
6083837099,lincoln,continental,Gliwice,Śląskie,,,24500,,False,,,,,,,2000,,235000,Osoby prywatnej,,Benzyna,,Sedan,Złoty,Używane,,,,2021-03-31 13:53:00
6081791489,lincoln,continental,Żywiec,Śląskie,380,7500,54000,,False,,,,,,,1969,,77000,Osoby prywatnej,,Benzyna,,Coupe,Bordowy,Używane,,,Automatyczna,2021-03-29 08:17:00
6079283129,lincoln,mark,Toruń,Kujawsko-pomorskie,365,7500,55000,,False,,,,,,,1969,,94000,Osoby prywatnej,,Benzyna,,Coupe,Inny kolor,Używane,,Na tylne koła,Automatyczna,2021-04-07 19:37:00
6069034379,lincoln,mark,Rybnik,Śląskie,227,4942,29000,Niemcy,False,,,,,,,1991,,52200,Firmy,,Benzyna,,Coupe,Czarny,Używane,,Na tylne koła,Automatyczna,2021-04-05 16:45:00
