ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6082582090,maserati,4200,Poznań,Wielkopolskie,390,4244,85800,PLN,,False,False,,,,,,2002,,74800,Firmy,,Benzyna,,Coupe,Niebieski,Używane,,Na tylne koła,Automatyczna,2021-04-06 15:03:00,https://www.otomoto.pl/oferta/maserati-4200-sportowiec-prosto-z-bolonii-ID6DDTsK.html#bd77ed29b0
6078826307,maserati,4200,Warszawa,Mazowieckie,400,4200,74900,PLN,Inny,False,,,,,,,2006,,93754,Firmy,,Benzyna,,Coupe,Biały,Używane,,Na tylne koła,Automatyczna,2021-04-02 13:59:00,https://www.otomoto.pl/oferta/maserati-4200-bezwypadkowy-gcc-automat-przygotowany-do-rejestracji-ID6Do8pB.html#bd77ed29b0
6080584644,maserati,biturbo,Turek,Wielkopolskie,189,2491,29900,PLN,,False,,,,,,,1984,,39000,Firmy,,Benzyna,,Coupe,Srebrny,Używane,,,Manualna,2021-03-29 10:54:00,https://www.otomoto.pl/oferta/maserati-biturbo-ID6DwwPS.html#f9280e9812
6083585937,maserati,biturbo,Kajetany,Mazowieckie,188,2490,27000,PLN,Szwajcaria,False,,,,True,,,1988,,125794,Firmy,,Benzyna,,Coupe,Srebrny,Używane,,Na tylne koła,Manualna,2021-03-24 18:32:00,https://www.otomoto.pl/oferta/maserati-biturbo-wersja-limitowa-si-ID6DI6BP.html#f9280e9812
6084134902,maserati,ghibli,Kraków,Małopolskie,275,2987,137000,PLN,,False,False,,,True,True,,2016,,69000,Osoby prywatnej,,Diesel,158,Sedan,Niebieski,Używane,True,Na tylne koła,Automatyczna,2021-04-09 22:10:00,https://www.otomoto.pl/oferta/maserati-ghibli-stan-idealny-wersja-eu-lift-2017-tylko-69tys-km-w-trakcie-naprawy-ID6DKpq6.html#7449c0348c
6083079972,maserati,ghibli,Poznań,Wielkopolskie,410,2979,113000,PLN,,False,False,,,,,,2014,,114500,Osoby prywatnej,,Benzyna,246,Sedan,Czarny,Używane,True,4x4 (dołączany automatycznie),Automatyczna,2021-04-08 18:07:00,https://www.otomoto.pl/oferta/maserati-ghibli-s-q4-410-km-silnik-ferrari-naped-4x4-okazja-ID6DFYZ6.html#7449c0348c
6083941250,maserati,ghibli,Białystok,Podlaskie,410,2979,134999,PLN,Stany Zjednoczone,False,False,,,True,,,2014,,41000,Osoby prywatnej,,Benzyna,246,Sedan,Czarny,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-04 16:03:00,https://www.otomoto.pl/oferta/maserati-ghibli-faktura-vat-23-czarny-mieniacy-sie-lakier-jasne-skory-serwis-aso-ID6DJB2G.html#7449c0348c
6051273742,maserati,ghibli,Dąbrowa Górnicza,Śląskie,410,2979,205500,PLN,,False,False,True,,True,,,2016,2016-05-01 00:00:00,21986,Firmy,,Benzyna,246,Sedan,Niebieski,Używane,True,4x4 (dołączany automatycznie),Automatyczna,2021-04-10 00:18:00,https://www.otomoto.pl/oferta/maserati-ghibli-3-0-sq4-411ps-max-opcja-stan-idealny-jak-nowy-ID6BvvJo.html#7449c0348c
6083823863,maserati,ghibli,Kraków,Małopolskie,349,2979,221400,PLN,,False,False,,,,,,2018,,15000,Osoby prywatnej,,Benzyna,207,Sedan,Czarny,Używane,,Na tylne koła,Automatyczna,2021-04-09 23:33:00,https://www.otomoto.pl/oferta/maserati-ghibli-maserati-ghibli-180-tys-netto-wersja-polifowa-350-km-ID6DJ6wl.html#7449c0348c
6066073563,maserati,ghibli,Jasło,Podkarpackie,410,3000,156000,PLN,Stany Zjednoczone,False,False,,,,,,2016,,38000,Osoby prywatnej,,Benzyna,,Sedan,Biały,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-09 21:00:00,https://www.otomoto.pl/oferta/maserati-ghibli-maserati-ghibli-sq4-4x4-25000km-ID6CvCQb.html#7449c0348c
