ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6084135197,mazda,2,Zawiercie,Śląskie,90,1500,39900,PLN,Niemcy,False,,,,True,,,2017,,54250,Osoby prywatnej,,Benzyna,,Auta miejskie,Czarny,Używane,,,Manualna,2021-04-09 22:15:00,https://www.otomoto.pl/oferta/mazda-2-stan-jak-nowy-kola-zimowe-gwarancja-ID6DKpuR.html#de8e8cc9b4
6082935147,mazda,2,Zduńska Wola,Łódzkie,86,1349,11500,PLN,,False,,,,,,II (2007-2014),2008,,180000,Osoby prywatnej,,Benzyna,,Auta małe,Inny kolor,Używane,,,Manualna,2021-04-09 18:19:00,https://www.otomoto.pl/oferta/mazda-2-jeden-wlasciciel-zadbana-serwisowana-ID6DFnjd.html#de8e8cc9b4
6084116487,mazda,2,Warszawa,Mazowieckie,80,1388,8450,PLN,Niemcy,False,False,True,,,,I (2003-2007),2006,2006-10-30 00:00:00,185560,Osoby prywatnej,,Benzyna,157,Auta miejskie,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-09 16:12:00,https://www.otomoto.pl/oferta/mazda-2-od-osoby-prywatnej-stan-bardzo-dobry-ID6DKkD5.html#de8e8cc9b4
6084092450,mazda,2,Kowala,Mazowieckie,70,1400,7900,PLN,Niemcy,False,,True,,True,,II (2007-2014),2008,,149000,Firmy,True,Diesel,,Auta miejskie,Biały,Używane,,Na przednie koła,Manualna,2021-04-09 10:42:00,https://www.otomoto.pl/oferta/mazda-2-1-4-70-km-bezwypadkowypisemna-gwarancjaoplacony-ID6DKeno.html#de8e8cc9b4
6082812958,mazda,2,Łódź,Łódzkie,90,1496,75455,PLN,Polska,False,False,True,,True,,III (2015-),2020,2020-04-20 00:00:00,200,Firmy,,Benzyna,,Auta miejskie,Szary,Używane,True,Na przednie koła,Manualna,2021-04-09 10:07:00,https://www.otomoto.pl/oferta/mazda-2-demo-skenergy-1-5-90-km-stan-idealny-dodatki-nowa-cena-ID6DERvq.html#de8e8cc9b4
6084082735,mazda,2,Psary,Dolnośląskie,75,1349,18900,PLN,Niemcy,False,,True,,True,,II (2007-2014),2010,2010-11-30 00:00:00,120524,Firmy,,Benzyna,119,Auta miejskie,Czarny,Używane,,Na przednie koła,Manualna,2021-04-09 07:00:00,https://www.otomoto.pl/oferta/mazda-2-1-4-ben-120tys-km-serwis-aso-do-2020r-absolutnie-bezwypadkowa-ID6DKbQH.html#de8e8cc9b4
6083706350,mazda,2,Zgorzelec,Dolnośląskie,75,1349,21500,PLN,Niemcy,False,False,True,,,,II (2007-2014),2011,,67000,Osoby prywatnej,,Benzyna,,Auta małe,Biały,Używane,,Na przednie koła,Manualna,2021-04-08 16:15:00,https://www.otomoto.pl/oferta/mazda-2-mazda-2-67000tys-przejechane-ID6DIBWY.html#de8e8cc9b4
6083086876,mazda,2,Piaseczno,Mazowieckie,90,1496,49800,PLN,Polska,False,False,True,,True,,III (2015-),2017,2018-01-25 00:00:00,75000,Firmy,,Benzyna,,Kompakt,Biały,Używane,True,Na przednie koła,Manualna,2021-04-08 13:25:00,https://www.otomoto.pl/oferta/mazda-2-1-5-skyenergy-biala-perla-salon-pl-serwis-aso-czujniki-park-fv23-ID6DG0Ms.html#de8e8cc9b4
6077990671,mazda,2,Łomianki,Mazowieckie,86,1349,15600,PLN,Niemcy,False,,True,,True,,II (2007-2014),2008,,150000,Osoby prywatnej,,Benzyna,129,Auta miejskie,Niebieski,Używane,,Na przednie koła,Manualna,2021-04-06 19:40:00,https://www.otomoto.pl/oferta/mazda-2-1-3-86km-benzyna-piekny-super-stan-ID6DkD1B.html#de8e8cc9b4
6083981784,mazda,2,Wronki,Wielkopolskie,,1399,6000,PLN,,False,,,,,,I (2003-2007),2006,,235000,Osoby prywatnej,,Diesel,,Auta miejskie,Czarny,Używane,,,Manualna,2021-04-06 13:33:00,https://www.otomoto.pl/oferta/mazda-2-super-stan-ekonomiczny-1-4-hdi-bez-dwumasy-ID6DJLAs.html#de8e8cc9b4
6083699733,mazda,2,Zduńska Wola,Łódzkie,80,1388,7500,PLN,,False,,,,,,I (2003-2007),2004,,113000,Firmy,,Benzyna,157,Auta miejskie,Niebieski,Używane,,Na przednie koła,Manualna,2021-04-06 12:48:00,https://www.otomoto.pl/oferta/mazda-2-1-4-benzyna-klima-po-oplatach-ID6DIAdf.html#de8e8cc9b4
6083968702,mazda,2,Kargowa,Lubuskie,68,1399,9500,PLN,Niemcy,False,,,,,,II (2007-2014),2008,2008-06-27 00:00:00,186450,Osoby prywatnej,,Diesel,114,Auta miejskie,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-06 10:12:00,https://www.otomoto.pl/oferta/mazda-2-klima-bardzo-oszczedny-100-sprawny-ID6DJIbs.html#de8e8cc9b4
