ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6049878608,mclaren,570-gt,Warszawa,Mazowieckie,570,3800,979000,PLN,,False,False,True,,,,,2018,,2,Firmy,True,Benzyna,,Coupe,Szary,Nowe,,Na tylne koła,Automatyczna,2021-04-07 11:18:00,https://www.otomoto.pl/oferta/mclaren-570-gt-storm-grey-ID6BqFNe.html#70a04123f1
6077081132,mclaren,570-gt,Oświęcim,Małopolskie,570,,760000,PLN,,False,False,True,,True,,,2018,,30000,Osoby prywatnej,,Benzyna,,Coupe,Czerwony,Używane,True,Na tylne koła,Automatyczna,2021-04-03 10:58:00,https://www.otomoto.pl/oferta/mclaren-570-gt-ID6DgOpC.html#70a04123f1
6083604461,mclaren,570s-coupe,Warszawa,Mazowieckie,570,3799,759000,PLN,,False,,,,True,,,2017,,25000,Firmy,,Benzyna,249,Coupe,Srebrny,Używane,,Na tylne koła,Automatyczna,2021-04-06 12:11:00,https://www.otomoto.pl/oferta/mclaren-570s-coupe-mclaren-570s-mso-novitec-ID6DIbqB.html#d82ca3f943
6070857963,mclaren,570s-spider,Warszawa,Mazowieckie,570,3799,959000,PLN,Polska,False,False,True,,True,,,2019,2019-06-26 00:00:00,6500,Firmy,,Benzyna,,Kabriolet,Szary,Używane,True,Na tylne koła,Automatyczna,2021-04-08 11:39:00,https://www.otomoto.pl/oferta/mclaren-570s-spider-570s-spider-mso-carbon-ceramic-spojler-carbon-mso-salon-pl-fv23-ID6CQHtW.html#1cbb5e8ce6
6073829692,mclaren,600lt-coupe,Rzeszów,Podkarpackie,650,3800,701100,PLN,,False,,True,,True,,,2015,,10200,Osoby prywatnej,,Benzyna,,Coupe,Niebieski,Używane,True,Na tylne koła,Automatyczna,2021-04-06 15:00:00,https://www.otomoto.pl/oferta/mclaren-600lt-coupe-mclaren-650s-niebieski-perfekcyjny-ID6D3az2.html#d66c1cf60d
6055708773,mclaren,600lt-spider,Warszawa,Mazowieckie,600,3879,1543994,PLN,,False,,True,,,,,2019,,4,Firmy,,Benzyna,,Kabriolet,Inny kolor,Nowe,,,Automatyczna,2021-04-07 11:18:00,https://www.otomoto.pl/oferta/mclaren-600lt-spider-mclaren-orange-ID6BP8u9.html#a1c08c4b68
6060058738,mclaren,600lt-spider,Warszawa,Mazowieckie,600,3789,1572700,PLN,,False,,True,,,,,2019,,1,Firmy,,Benzyna,,Kabriolet,Czarny,Nowe,,,Automatyczna,2021-04-07 11:18:00,https://www.otomoto.pl/oferta/mclaren-600lt-spider-onyx-black-by-mclaren-design-ID6C7o6S.html#a1c08c4b68
6080366811,mclaren,650s,Warszawa,Mazowieckie,650,3799,619000,PLN,Niemcy,False,False,True,,True,,,2014,2018-07-17 00:00:00,13969,Firmy,,Benzyna,,Coupe,Czarny,Używane,,Na tylne koła,Automatyczna,2021-04-06 10:11:00,https://www.otomoto.pl/oferta/mclaren-650s-salon-niemcy-bezwypadkowy-serwis-aso-fvat23-ID6DuBar.html#4c08909407
6076173425,mclaren,650s,Kraków,Małopolskie,650,3799,119000,EUR,,False,,,,,,,2015,2016-02-01 00:00:00,43000,Osoby prywatnej,,Benzyna,275,Kabriolet,Szary,Używane,,Na tylne koła,Automatyczna,2021-03-31 15:52:00,https://www.otomoto.pl/oferta/mclaren-650s-mclaren-650-s-spider-carbon-ID6Dd0hb.html#4c08909407
6083913375,mclaren,720s-coupe,Lesznowola,Mazowieckie,730,3994,1289000,PLN,Polska,False,False,True,,True,,,2018,,20000,Firmy,,Benzyna,249,Coupe,Biały,Używane,True,Na tylne koła,Automatyczna,2021-04-08 16:11:00,https://www.otomoto.pl/oferta/mclaren-720s-coupe-bezwypadkowy-salon-pl-serwis-aso-f-vat-23-ID6DJtN5.html#a21ab2a4a9
6083238987,mclaren,720s-coupe,Warszawa,Mazowieckie,720,4000,772000,PLN,Polska,False,,True,,True,,,2019,2019-06-26 00:00:00,19000,Firmy,,Benzyna,,Coupe,Czarny,Używane,True,Na tylne koła,Automatyczna,2021-04-07 19:44:00,https://www.otomoto.pl/oferta/mclaren-720s-coupe-mclaren-720s-coupe-ID6DGElR.html#a21ab2a4a9
6074061818,mclaren,720s-coupe,Rzeszów,Podkarpackie,650,3800,824100,PLN,,False,False,True,,True,,,2016,,12300,Osoby prywatnej,,Benzyna,,Coupe,Czarny,Używane,True,Na tylne koła,Automatyczna,2021-04-06 15:00:00,https://www.otomoto.pl/oferta/mclaren-720s-coupe-mclaren-650s-czarny-perfekcyjny-ID6D48X0.html#a21ab2a4a9
