ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6082430421,mitsubishi,3000gt,Warszawa,Mazowieckie,116,1798,35900,PLN,,False,False,True,,True,,,2012,2012-07-01 00:00:00,131351,Firmy,,Diesel,145,SUV,Brązowy,Używane,,Na przednie koła,Manualna,2021-04-10 09:31:00,https://www.otomoto.pl/oferta/mitsubishi-asx-1-8did-116km-multifunkcja-isofix-usb-czujnik-deszczu-komp-podrozy-ID6DDg0t.html#be5d6a49b4
6082382621,mitsubishi,3000gt,Kalisz,Wielkopolskie,150,2268,139890,PLN,,False,,True,,,,,2020,,1,Firmy,,Diesel,,SUV,Srebrny,Nowe,,4x4 (dołączany ręcznie),Manualna,2021-04-10 08:10:00,https://www.otomoto.pl/oferta/mitsubishi-l200-invite-manualna-skrzynia-biegow-ID6DD3zw.html#be5d6a49b4
6083849336,mitsubishi,3000gt,Warszawa,Mazowieckie,143,1798,23499,PLN,Polska,False,False,True,,True,,VIII (2007-),2009,,179900,Osoby prywatnej,,Benzyna,188,Kompakt,Inny kolor,Używane,,Na przednie koła,Manualna,2021-04-10 06:06:00,https://www.otomoto.pl/oferta/mitsubishi-lancer-1-8-140km-z-polskiego-salonu-platinium-metallic-serwisowany-ID6DJd8c.html#be5d6a49b4
6081913614,mitsubishi,3000gt,Mielżyn,Wielkopolskie,102,1870,5900,PLN,,False,,,,,,II (1999-2004),2004,,175000,Osoby prywatnej,,Benzyna,,Kompakt,Niebieski,Używane,,,Manualna,2021-04-10 01:18:00,https://www.otomoto.pl/oferta/mitsubishi-carisma-1-9did-klima-alu-auto-z-niemiec-ID6DB5yS.html#be5d6a49b4
6083936887,mitsubishi,3000gt,Piaseczno,Mazowieckie,143,1800,27000,PLN,Polska,False,False,True,,True,,VIII (2007-),2010,2010-11-29 00:00:00,115860,Firmy,True,Benzyna,,Sedan,Czarny,Używane,True,Na przednie koła,Manualna,2021-04-09 23:12:00,https://www.otomoto.pl/oferta/mitsubishi-lancer-1-8-i-salon-polska-1-wlasciciel-serwis-aso-klimatronic-tempomat-ID6DJzUj.html#be5d6a49b4
6084137407,mitsubishi,3000gt,Stargard Szczeciński,Zachodniopomorskie,95,1332,8900,PLN,Niemcy,False,,,,True,,Z30 (2004-2012),2006,2006-12-21 00:00:00,102468,Osoby prywatnej,,Benzyna,,Auta miejskie,Czarny,Używane,,Na przednie koła,Manualna,2021-04-09 22:33:00,https://www.otomoto.pl/oferta/mitsubishi-colt-1-3-benz-70-km-5drzwi-tylko-102tys-sport-klima-zadbany-oplacony-ID6DKq4w.html#be5d6a49b4
6084134657,mitsubishi,3000gt,Piekoszów,Świętokrzyskie,71,999,22500,PLN,,False,,True,,True,,II (2012-),2017,2017-07-18 00:00:00,34800,Osoby prywatnej,,Benzyna,96,Auta małe,Biały,Używane,True,Na przednie koła,Manualna,2021-04-09 21:25:00,https://www.otomoto.pl/oferta/mitsubishi-space-star-ID6DKpm9.html#be5d6a49b4
6084130593,mitsubishi,3000gt,Ząbki,Mazowieckie,117,1590,38900,PLN,,False,False,True,,True,,,2010,2010-11-25 00:00:00,88000,Osoby prywatnej,,Benzyna,135,SUV,Brązowy,Używane,,Na przednie koła,Manualna,2021-04-09 19:58:00,https://www.otomoto.pl/oferta/mitsubishi-asx-ID6DKoiB.html#be5d6a49b4
6084083542,mitsubishi,3000gt,Ostrów Mazowiecka,Mazowieckie,95,1332,13900,PLN,,False,,True,,True,,Z30 (2004-2012),2009,,158000,Osoby prywatnej,,Benzyna,138,Auta miejskie,Czarny,Używane,,Na przednie koła,Manualna,2021-04-09 19:52:00,https://www.otomoto.pl/oferta/mitsubishi-colt-1-3-benz-95ps-klimatyzacja-czujniki-parkowania-oryginal-z-niemiec-ID6DKc3I.html#be5d6a49b4
6084126479,mitsubishi,3000gt,Toruń,Kujawsko-pomorskie,150,1998,79900,PLN,Polska,False,False,True,,True,,III (2012-),2016,2016-06-06 00:00:00,101000,Osoby prywatnej,,Benzyna,149,SUV,Srebrny,Używane,True,4x4 (dołączany automatycznie),Automatyczna,2021-04-09 19:07:00,https://www.otomoto.pl/oferta/mitsubishi-outlander-2016-automat-pierwszy-wlasciciel-salon-ID6DKnef.html#be5d6a49b4
