ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6084242479,nissan,200-sx,Kampinos,Mazowieckie,200,1998,37900,PLN,,False,,,,,,,1995,,230000,Osoby prywatnej,,Benzyna,,Coupe,Czerwony,Używane,,Na przednie koła,Manualna,2021-04-13 16:33:00,https://www.otomoto.pl/oferta/nissan-200-sx-zenki-s14-turbo-ID6DKRpd.html#5054f628e0
6078704182,nissan,200-sx,Rzeszów,Podkarpackie,270,4000,27000,PLN,Niemcy,False,False,,,,,,1990,,220000,Osoby prywatnej,,Benzyna,,Coupe,Czarny,Używane,,Na tylne koła,Manualna,2021-04-08 01:49:00,https://www.otomoto.pl/oferta/nissan-200-sx-nissan-200sx-v8-1uz-270km-ID6DnCDQ.html#5054f628e0
6027273887,nissan,200-sx,Rumia,Pomorskie,170,1804,44900,PLN,Polska,False,False,True,,,,,1993,,147000,Firmy,,Benzyna,,Coupe,Czarny,Używane,True,Na tylne koła,Manualna,2021-04-04 21:23:00,https://www.otomoto.pl/oferta/nissan-200-sx-stan-kolekcjonerski-ID6zTPgX.html#5054f628e0
6077524950,nissan,240-sx,Warszawa,Mazowieckie,150,2400,44000,PLN,,False,,,,,,,1972,,80000,Osoby prywatnej,,Benzyna,,Coupe,Czerwony,Używane,,,Manualna,2021-04-06 17:18:00,https://www.otomoto.pl/oferta/nissan-240-sx-datsun-240z-manual-ID6DiFRY.html#4c87a6b98a
6083659746,nissan,280-zx,Grudziądz,Kujawsko-pomorskie,200,2700,38000,PLN,,False,,,,,,,1982,,232391,Firmy,,Benzyna,,Sedan,Bordowy,Używane,,Na tylne koła,Manualna,2021-04-05 15:13:00,https://www.otomoto.pl/oferta/nissan-280-zx-datsun-280zx-280-zx-amer-auto-ID6DIpOi.html#b67b91f7ec
6073396603,nissan,300-zx,Mysłowice,Śląskie,268,2960,64900,PLN,,False,,,,,,,1994,,171000,Osoby prywatnej,,Benzyna,,Kabriolet,Czarny,Używane,,Na tylne koła,Automatyczna,2021-04-13 16:51:00,https://www.otomoto.pl/oferta/nissan-300-zx-cabrio-ID6D1lTJ.html#2a7b9b6011
6071358758,nissan,300-zx,Chełm,Lubelskie,230,2959,65000,PLN,Szwajcaria,False,False,,,True,,,1994,1994-06-01 00:00:00,202350,Firmy,,Benzyna,,Kabriolet,Bordowy,Używane,,Na tylne koła,Manualna,2021-04-13 11:54:00,https://www.otomoto.pl/oferta/nissan-300-zx-cabrio-szwajcaria-ID6CSNLg.html#2a7b9b6011
6079165123,nissan,300-zx,Proszówki,Małopolskie,228,2960,29900,PLN,,False,,True,,,,,1985,,89000,Osoby prywatnej,,Benzyna,,Coupe,Czarny,Używane,,Na tylne koła,Manualna,2021-04-13 11:48:00,https://www.otomoto.pl/oferta/nissan-300-zx-turbo-v6-manual-ID6Dpyyn.html#2a7b9b6011
6082022986,nissan,300-zx,Warszawa,Mazowieckie,228,3000,46900,PLN,,False,False,,,,,,1990,,144000,Osoby prywatnej,,Benzyna,,Coupe,Srebrny,Używane,,Na tylne koła,Manualna,2021-04-12 21:58:00,https://www.otomoto.pl/oferta/nissan-300-zx-ID6DBy0V.html#2a7b9b6011
6065475111,nissan,300-zx,Łódź,Łódzkie,283,2960,49900,PLN,Stany Zjednoczone,False,,True,,,,,1990,,182000,Osoby prywatnej,,Benzyna,,Coupe,Czarny,Używane,,Na tylne koła,Manualna,2021-04-11 16:34:00,https://www.otomoto.pl/oferta/nissan-300-zx-300zx-biturbo-283km-bezwypadkowy-super-stan-doinwestowany-ID6Cu79J.html#2a7b9b6011
