ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6083586428,oldsmobile,alero,Pcim,Małopolskie,149,2392,3900,PLN,,False,,,,,,,2001,,313000,Osoby prywatnej,,Benzyna,,Sedan,Beżowy,Używane,,,Automatyczna,2021-04-03 19:06:00,https://www.otomoto.pl/oferta/oldsmobile-alero-oldsmobile-alero-2001-r-ID6DI6JK.html#ffc8255fa1
6067220093,oldsmobile,aurora,Sulechów,Lubuskie,250,3998,13800,PLN,,False,False,,,,,,1995,,149800,Osoby prywatnej,,Benzyna,,Sedan,Bordowy,Używane,,Na tylne koła,Automatyczna,2021-04-05 10:03:00,https://www.otomoto.pl/oferta/oldsmobile-aurora-4-0-v8-255-km-unikat-jedyny-zamiana-ID6CBr6B.html#8badd1b0a3
6056533577,oldsmobile,bravada,Lublin,Lubelskie,273,4157,27900,PLN,Szwajcaria,False,False,,,,,,2002,,120500,Osoby prywatnej,,Benzyna,,SUV,Niebieski,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-08 17:18:00,https://www.otomoto.pl/oferta/oldsmobile-bravada-oldsmobile-bravada-okazja-super-stan-ID6BSB3r.html#af7a95ae0b
6080494544,oldsmobile,cutlass,Jedlińsk,Mazowieckie,325,5700,94500,PLN,Stany Zjednoczone,False,,,,,,,1969,,155000,Osoby prywatnej,,Benzyna,,Coupe,Niebieski,Używane,,Na tylne koła,Automatyczna,2021-04-09 20:09:00,https://www.otomoto.pl/oferta/oldsmobile-cutlass-rasowy-muscle-car-ID6Dw8oE.html#25b541cc3d
6082168728,oldsmobile,cutlass,Dukla,Podkarpackie,310,5404,48000,PLN,,False,,,,,,,1967,,55000,Firmy,,Benzyna,,Coupe,Niebieski,Używane,,,Automatyczna,2021-04-09 04:08:00,https://www.otomoto.pl/oferta/oldsmobile-cutlass-supreme-sports-coupe-ID6DC9WC.html#25b541cc3d
6069436760,oldsmobile,cutlass,Poznań,Wielkopolskie,116,3791,27900,PLN,Stany Zjednoczone,True,False,True,,,,,1984,,198800,Osoby prywatnej,,Benzyna,,Sedan,Inny kolor,Używane,,Na tylne koła,Automatyczna,2021-04-08 20:28:00,https://www.otomoto.pl/oferta/oldsmobile-cutlass-supreme-ID6CKJLi.html#25b541cc3d
6075983299,oldsmobile,cutlass,Kalisz,Wielkopolskie,162,3331,11000,PLN,Szwajcaria,False,False,,,,,,1992,,362000,Osoby prywatnej,,Benzyna,,Sedan,Bordowy,Używane,,Na przednie koła,Automatyczna,2021-04-08 17:51:00,https://www.otomoto.pl/oferta/oldsmobile-cutlass-ID6DccOD.html#25b541cc3d
6084128872,oldsmobile,delta-88,Zamość,Lubelskie,340,7000,45000,PLN,,False,,True,,,,,1965,,150000,Osoby prywatnej,,Benzyna,,Coupe,Inny kolor,Używane,,Na tylne koła,Automatyczna,2021-04-09 19:27:00,https://www.otomoto.pl/oferta/oldsmobile-delta-88-piekny-muscle-car-ID6DKnQQ.html#01e5d4cd23
6001404289,oldsmobile,delta-88,Warszawa,Mazowieckie,340,7456,79000,PLN,Stany Zjednoczone,False,,True,,,,,1972,,2350,Firmy,,Benzyna,,Kabriolet,Zielony,Używane,,,Automatyczna,2021-04-09 12:21:00,https://www.otomoto.pl/oferta/oldsmobile-delta-88-ID6y9hpn.html#01e5d4cd23
6067466194,oldsmobile,delta-88,Stargard Szczeciński,Zachodniopomorskie,200,3800,22900,PLN,Stany Zjednoczone,False,False,True,,,,,1991,,160000,Firmy,,Benzyna,,Sedan,Czarny,Używane,,Na tylne koła,Automatyczna,2021-04-09 07:24:00,https://www.otomoto.pl/oferta/oldsmobile-delta-88-delta-88-oldmobile-delta-88-royale-ls-moja-wlasnosc-zamiana-ID6CCt7Y.html#01e5d4cd23
