ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6084048567,peugeot,1007,Ostrów Mazowiecka,Mazowieckie,75,1360,7999,PLN,Niemcy,False,,True,,,,,2005,2005-12-28 00:00:00,150000,Osoby prywatnej,,Benzyna,164,Auta małe,Czarny,Używane,,Na przednie koła,Manualna,2021-04-08 13:10:00,https://www.otomoto.pl/oferta/peugeot-1007-peugeot-1007-1-4-benzynka-mega-oszczedny-bardzo-ladne-autko-ID6DK2XB.html#bad84653c6
6083846818,peugeot,1007,Rybnik,Śląskie,109,1587,12345,PLN,Niemcy,False,,True,,True,,,2008,2008-07-29 00:00:00,100807,Firmy,,Benzyna,163,Auta miejskie,Szary,Używane,True,Na przednie koła,Manualna,2021-04-10 17:11:00,https://www.otomoto.pl/oferta/peugeot-1007-sport-okazja-doinwestowany-bezwypadkowy-serwisowany-ID6DJctA.html#bad84653c6
6083842353,peugeot,1007,Chodzież,Wielkopolskie,68,1398,7900,PLN,Niemcy,False,False,True,,,,,2005,,172000,Firmy,,Diesel,124,Auta miejskie,Srebrny,Używane,True,Na przednie koła,Manualna,2021-04-10 15:30:00,https://www.otomoto.pl/oferta/peugeot-1007-slicznyrc-lineclimatronpelna-elektrykaimportkomis-zamiany-ID6DJbjz.html#bad84653c6
6083830583,peugeot,1007,Ostrów Wielkopolski,Wielkopolskie,109,1587,6999,PLN,,False,,,,,,,2005,2005-11-25 00:00:00,146021,Osoby prywatnej,,Benzyna,156,Auta miejskie,Żółty,Używane,,Na przednie koła,Automatyczna,2021-04-10 11:06:00,https://www.otomoto.pl/oferta/peugeot-1007-peugot-1007-automat-ID6DJ8fJ.html#bad84653c6
6078398426,peugeot,1007,Binczarowa,Małopolskie,70,1398,5900,PLN,,False,,True,,True,,,2006,,184000,Firmy,,Diesel,,Auta miejskie,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-10 07:24:00,https://www.otomoto.pl/oferta/peugeot-1007-ID6Dml6i.html#bad84653c6
6084135865,peugeot,1007,Warszawa,Mazowieckie,73,1360,8800,PLN,Polska,False,False,,,True,,,2006,2007-03-28 00:00:00,118000,Firmy,,Benzyna,153,Auta miejskie,Szary,Używane,,Na przednie koła,Manualna,2021-04-09 22:21:00,https://www.otomoto.pl/oferta/peugeot-1007-2007-1-4-benzyna-74-km-elektrycznie-otwierane-drzwi-climatronic-ID6DKpFD.html#bad84653c6
6083137247,peugeot,1007,Góra Kalwaria,Mazowieckie,73,1360,7999,PLN,Niemcy,False,,,,True,,,2006,,70000,Firmy,,Benzyna,155,Auta małe,Czerwony,Używane,,Na przednie koła,Manualna,2021-04-09 16:24:00,https://www.otomoto.pl/oferta/peugeot-1007-maly-przebiegklima-ID6DGdST.html#bad84653c6
6080889143,peugeot,1007,Świdwin,Zachodniopomorskie,75,1360,7900,PLN,,False,False,True,,,,,2006,,158505,Firmy,,Benzyna,,Auta miejskie,Szary,Używane,,Na przednie koła,Manualna,2021-04-09 14:14:00,https://www.otomoto.pl/oferta/peugeot-1007-1-4-benzynaklimatyzacjaelektr-szyby-lusterka-stan-bdb-ID6DvN39.html#bad84653c6
6075475688,peugeot,1007,Środa Wielkopolska,Wielkopolskie,70,1398,9900,PLN,Niemcy,False,False,,,,,,2008,2017-01-26 00:00:00,162000,Firmy,,Diesel,,Kompakt,Czerwony,Używane,,Na przednie koła,Manualna,2021-04-09 11:11:00,https://www.otomoto.pl/oferta/peugeot-1007-1-4-hdi-klima-lub-zamiana-ID6Da4Lm.html#bad84653c6
6083787326,peugeot,1007,Szczecin,Zachodniopomorskie,75,1360,8400,PLN,Polska,False,,True,,,,,2007,2007-06-13 00:00:00,136860,Firmy,,Benzyna,,Auta miejskie,Niebieski,Używane,,Na przednie koła,Manualna,2021-04-09 11:04:00,https://www.otomoto.pl/oferta/peugeot-1007-1-4-75ps-klima-niski-pewny-przebieg-ID6DIX02.html#bad84653c6
