ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6080751000,pontiac,bonneville,Węgrzce,Małopolskie,389,6364,377007,PLN,Stany Zjednoczone,False,False,True,,,,,1964,1964-01-01 00:00:00,9600,Firmy,,Benzyna,,Coupe,Czerwony,Używane,,Na tylne koła,Automatyczna,2021-04-09 15:21:00,https://www.otomoto.pl/oferta/pontiac-bonneville-sports-coupe-6-4-v8-egzemplarz-kolekcjonerski-jedyny-taki-w-ue-ID6Dvd72.html#8e48dabf4a
6083570620,pontiac,bonneville,Tomice,Wielkopolskie,350,6900,69900,PLN,Stany Zjednoczone,False,,,,,,,1968,,999,Firmy,,Benzyna,,Coupe,Inny kolor,Używane,,Na tylne koła,Automatyczna,2021-04-05 13:41:00,https://www.otomoto.pl/oferta/pontiac-bonneville-pontiac-boneville-ID6DI2CM.html#8e48dabf4a
6083337806,pontiac,catalina,Gubin,Lubuskie,155,4885,27990,PLN,Niemcy,False,,,,,,,1980,,90800,Osoby prywatnej,,Benzyna,,Kombi,Brązowy,Używane,,Na tylne koła,Automatyczna,2021-04-06 11:44:00,https://www.otomoto.pl/oferta/pontiac-catalina-4-9-v8-155km-z-niemiec-ID6DH43I.html#4c706888ba
6082631053,pontiac,fiero,Zabrze,Śląskie,99,2474,11990,PLN,Stany Zjednoczone,False,,,,,,,1985,,35155,Osoby prywatnej,,Benzyna,,Coupe,Czerwony,Używane,,Na tylne koła,Automatyczna,2021-04-09 08:48:00,https://www.otomoto.pl/oferta/pontiac-fiero-pontiac-fiero-2-5-99cv-automat-ID6DE6ct.html#4cffbc759c
6072452294,pontiac,fiero,Drawski Młyn,Wielkopolskie,110,2418,15500,PLN,,False,,True,,,,,1987,,90260,Firmy,,Benzyna,,Coupe,Niebieski,Używane,,Na tylne koła,Automatyczna,2021-04-01 19:09:00,https://www.otomoto.pl/oferta/pontiac-fiero-sprowadzony-z-niemiec-po-oplatach-ladna-baza-ID6CXoeV.html#4cffbc759c
6083739339,pontiac,fiero,Ostrów Wielkopolski,Wielkopolskie,137,2837,23000,PLN,,False,False,True,,,,,1988,,118775,Osoby prywatnej,,Benzyna,,Coupe,Niebieski,Używane,True,Na tylne koła,Manualna,2021-03-28 17:28:00,https://www.otomoto.pl/oferta/pontiac-fiero-ID6DIKv3.html#4cffbc759c
6077550651,pontiac,firebird,Lublin,Lubelskie,,,32000,PLN,,False,,,,,,,1992,,123456,Osoby prywatnej,,Benzyna+LPG,,Coupe,Inny kolor,Używane,,,,2021-04-08 23:14:00,https://www.otomoto.pl/oferta/pontiac-firebird-ID6DiMyw.html#af80316706
6083848943,pontiac,firebird,Wieruszów,Łódzkie,196,3791,15000,PLN,,False,False,,,,,,1997,,167000,Osoby prywatnej,,Benzyna,,Coupe,Zielony,Używane,,Na tylne koła,Automatyczna,2021-04-10 18:53:00,https://www.otomoto.pl/oferta/pontiac-firebird-pontiac-firebird-ID6DJd1R.html#af80316706
6083447498,pontiac,firebird,Bydgoszcz,Kujawsko-pomorskie,172,4998,24000,PLN,Szwecja,False,,,,,,,1992,,155000,Osoby prywatnej,,Benzyna,,Coupe,Czarny,Używane,,Na tylne koła,Manualna,2021-04-09 23:31:00,https://www.otomoto.pl/oferta/pontiac-firebird-pontiac-firebird-trans-am-gta-targa-sprawny-jezdzacy-oplacony-ID6DHvAV.html#af80316706
6084070735,pontiac,firebird,Sulechów,Lubuskie,220,5700,49900,PLN,,False,,,,,,,1978,,65000,Firmy,,Benzyna,,Coupe,Niebieski,Używane,,Na tylne koła,Automatyczna,2021-04-08 16:12:00,https://www.otomoto.pl/oferta/pontiac-firebird-pontiac-firebirde-sky-bird-1978-v8-350-promocja-ID6DK8J9.html#af80316706
