ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6074997736,porsche,356,Nowe Miasto Lubawskie,Warmińsko-mazurskie,64,1600,70000,PLN,,False,False,True,,True,,,2020,,200,Osoby prywatnej,,Benzyna,,Kabriolet,Czerwony,Używane,True,Na tylne koła,Manualna,2021-04-08 07:51:00,https://www.otomoto.pl/oferta/porsche-356-ID6D84qs.html#c2e4dcf20e
6083999720,porsche,356,Konin,Wielkopolskie,60,1600,150000,PLN,,False,,,,,,,1965,,2900,Osoby prywatnej,,Benzyna,,Kabriolet,Czarny,Używane,,,Manualna,2021-04-06 21:22:00,https://www.otomoto.pl/oferta/porsche-356-speedster-ID6DJQfK.html#c2e4dcf20e
6082279895,porsche,356,Warszawa,Mazowieckie,60,1582,399000,PLN,Stany Zjednoczone,False,,,,,,,1961,1961-07-01 00:00:00,650,Firmy,,Benzyna,,Coupe,Srebrny,Używane,,Na tylne koła,Manualna,2021-04-06 11:26:00,https://www.otomoto.pl/oferta/porsche-356-b-po-calkowitej-renowacji-ID6DCCQD.html#c2e4dcf20e
6083870708,porsche,356,Mińsk Mazowiecki,Mazowieckie,90,1600,190000,PLN,,False,,,,,,,1965,,98765,Osoby prywatnej,,Benzyna,,Coupe,Szary,Używane,,,Manualna,2021-04-01 21:01:00,https://www.otomoto.pl/oferta/porsche-356-356c-c-coupe-1965-ID6DJiGU.html#c2e4dcf20e
6055554257,porsche,356,Lubiszyn,Lubuskie,100,1600,60500,EUR,,False,,,,,,,1962,,250,Firmy,,Benzyna,,Coupe,Biały,Używane,,,Manualna,2021-04-01 11:16:00,https://www.otomoto.pl/oferta/porsche-356-porsche-356-b-inwestycja-lokata-ID6BOuhX.html#c2e4dcf20e
6083415803,porsche,718-boxster,Sopot,Pomorskie,400,3995,530625,PLN,Polska,False,,True,,,,,2021,,12,Firmy,True,Benzyna,,Kabriolet,Czerwony,Nowe,,4x4 (dołączany automatycznie),Automatyczna,2021-04-06 14:41:00,https://www.otomoto.pl/oferta/porsche-718-boxster-gts-4-0-ID6DHolJ.html#810818902d
6080969584,porsche,718-boxster,Strobice,Opolskie,300,1988,259990,PLN,Polska,False,False,,,True,,,2018,,15000,Firmy,,Benzyna,158,Kabriolet,Czarny,Używane,True,Na tylne koła,Automatyczna,2021-04-10 19:17:00,https://www.otomoto.pl/oferta/porsche-718-boxster-2018r-cabrio-aktywny-wydech-bose-salon-pl-f-vat-leasing-ID6Dx7YA.html#810818902d
6083337675,porsche,718-boxster,Chorzów,Śląskie,400,3995,476900,PLN,Polska,False,,True,,,,,2021,,1,Firmy,,Benzyna,,Coupe,Biały,Nowe,,Na tylne koła,Manualna,2021-04-10 11:38:00,https://www.otomoto.pl/oferta/porsche-718-boxster-boxster-718-gts-4-0-400km-zadzwon-i-zarezerwuj-juz-dzis-ID6DH41B.html#810818902d
6077168816,porsche,718-boxster,Łódź,Łódzkie,300,1988,249900,PLN,Polska,False,False,True,,True,,,2017,2017-10-12 00:00:00,22000,Firmy,True,Benzyna,,Kabriolet,Czerwony,Używane,True,Na tylne koła,Manualna,2021-04-09 19:12:00,https://www.otomoto.pl/oferta/porsche-718-boxster-porsche-718-boxster-salon-polska-i-wlasciciel-fv-23-ID6DhbdS.html#810818902d
6081544211,porsche,718-boxster,Wrocław,Dolnośląskie,365,2497,324900,PLN,,False,False,,,True,,,2018,,12300,Osoby prywatnej,,Benzyna,186,Kabriolet,Szary,Używane,True,Na tylne koła,Automatyczna,2021-04-08 19:33:00,https://www.otomoto.pl/oferta/porsche-718-boxster-gts-365-km-296km-h-ideal-rejestracja-01-2021-ID6DzxsL.html#810818902d
6077424341,porsche,718-boxster,Daleszyce,Świętokrzyskie,300,1988,217200,PLN,Polska,False,False,True,,True,,,2016,2016-05-01 00:00:00,16146,Firmy,,Benzyna,,Kabriolet,Biały,Używane,True,,Automatyczna,2021-04-08 15:25:00,https://www.otomoto.pl/oferta/porsche-718-boxster-tylko-10-szt-w-plsce-ID6DifHf.html#810818902d
6080661285,porsche,718-boxster,Sopot,Pomorskie,300,1988,349999,PLN,Polska,False,,True,,True,,,2020,2020-07-01 00:00:00,6500,Firmy,True,Benzyna,,Kabriolet,Szary,Używane,True,Na tylne koła,Automatyczna,2021-04-08 12:40:00,https://www.otomoto.pl/oferta/porsche-718-boxster-cesja-leasingu-salon-pl-gwarancja-fabryczna-ID6DwPM1.html#810818902d
6083244535,porsche,718-boxster,Łódź,Łódzkie,400,3995,488878,PLN,Polska,False,,True,,,,,2021,,,Firmy,True,Benzyna,,Coupe,Niebieski,Nowe,,Na tylne koła,Automatyczna,2021-04-08 08:42:00,https://www.otomoto.pl/oferta/porsche-718-boxster-porsche-718-boxster-gts-pdk-ID6DGFNl.html#810818902d
6080421349,porsche,718-boxster,Łódź,Łódzkie,420,3995,499900,PLN,Polska,False,False,True,,True,,,2020,,4000,Firmy,True,Benzyna,249,Kabriolet,Czerwony,Używane,True,Na tylne koła,Manualna,2021-04-07 16:31:00,https://www.otomoto.pl/oferta/porsche-718-boxster-porsche-718-boxster-spyder-salon-polska-i-wlasciciel-fv-23-ID6DuPm5.html#810818902d
6083969381,porsche,718-boxster,Słupsk,Pomorskie,300,1988,229990,PLN,Stany Zjednoczone,False,False,,,,True,,2018,,23622,Firmy,,Benzyna,,Kabriolet,Szary,Używane,,Na tylne koła,Automatyczna,2021-04-06 10:19:00,https://www.otomoto.pl/oferta/porsche-718-boxster-2-0-turbo-300-km-led-skora-lopatki-kamera-cofania-navi-bluetooth-ID6DJImp.html#810818902d
