ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6080570647,ram,1500,Janowice,Śląskie,244,2988,220000,PLN,Stany Zjednoczone,False,False,True,,,,,2018,,56200,Osoby prywatnej,,Diesel,258,SUV,Inny kolor,Używane,True,4x4 (dołączany ręcznie),Automatyczna,2021-04-08 13:14:00,https://www.otomoto.pl/oferta/ram-1500-ram-1500-limited-ID6Dwsc7.html#31f3cddc9d
6083547116,ram,1500,Warszawa,Mazowieckie,399,5654,221400,PLN,Stany Zjednoczone,False,False,,,,,,2019,2019-01-01 00:00:00,27000,Osoby prywatnej,,Benzyna+LPG,332,SUV,Czarny,Używane,True,Na tylne koła,Automatyczna,2021-04-12 18:07:00,https://www.otomoto.pl/oferta/ram-1500-laramie-bardzo-bogaty-ID6DHVwG.html#31f3cddc9d
6082168501,ram,1500,Gliwice,Śląskie,401,5654,375000,PLN,Polska,False,,True,,,,,2018,,3705,Firmy,,Benzyna,298,SUV,Czarny,Używane,True,4x4 (dołączany ręcznie),Automatyczna,2021-04-12 16:44:00,https://www.otomoto.pl/oferta/ram-1500-longhorn-crew-cab-4x4-ID6DC9RX.html#31f3cddc9d
6084172288,ram,1500,Nysa,Opolskie,244,2988,79999,PLN,,False,False,,,,,,2015,,164686,Firmy,,Diesel,258,SUV,Czarny,Używane,,4x4 (dołączany ręcznie),Automatyczna,2021-04-12 16:39:00,https://www.otomoto.pl/oferta/ram-1500-laramie-8hp-prywatny-okazja-uszkodzony-silnik-1wszy-wlasciciel-ID6DKz96.html#31f3cddc9d
6083799234,ram,1500,Warszawa,Mazowieckie,399,5654,74900,PLN,Stany Zjednoczone,False,,,,,,,2017,,44160,Firmy,,Benzyna,332,SUV,Czarny,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-12 13:59:00,https://www.otomoto.pl/oferta/ram-1500-2017-rebel-5-7-v8-4x4-ID6DJ066.html#31f3cddc9d
6083802968,ram,1500,Warszawa,Mazowieckie,399,5654,156400,PLN,Stany Zjednoczone,False,,,,,,,2020,,18700,Firmy,,Benzyna,332,SUV,Czarny,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-12 13:59:00,https://www.otomoto.pl/oferta/ram-1500-2020-limited-5-7-v8-ID6DJ14k.html#31f3cddc9d
6083830421,ram,1500,Warszawa,Mazowieckie,401,5654,108500,PLN,Stany Zjednoczone,False,,,,,,,2020,,2360,Firmy,,Benzyna,332,SUV,Czerwony,Używane,,4x4 (dołączany ręcznie),Automatyczna,2021-04-12 13:56:00,https://www.otomoto.pl/oferta/ram-1500-4x4-2020-laramie-5-7-v8-ID6DJ8d7.html#31f3cddc9d
6083836890,ram,1500,Wrocław,Dolnośląskie,401,5654,275490,PLN,Polska,False,,True,,,,,2020,,6,Firmy,,Benzyna,332,SUV,Czarny,Nowe,,4x4 (dołączany ręcznie),Automatyczna,2021-04-12 13:45:00,https://www.otomoto.pl/oferta/ram-1500-classic-polskiego-pochodzenia-okno-dachowe-grzane-fotele-nawigacja-ID6DJ9Ts.html#31f3cddc9d
6081371764,ram,1500,Sulejówek,Mazowieckie,401,5654,387450,PLN,Polska,False,,True,,,,,2021,,1,Firmy,True,Benzyna,332,SUV,Czarny,Nowe,,4x4 (dołączany ręcznie),Automatyczna,2021-04-12 13:44:00,https://www.otomoto.pl/oferta/ram-1500-2021-laramie-night-od-reki-wyswietlacz-head-up-dealer-dodge-i-ram-ID6DyOBm.html#31f3cddc9d
6083413154,ram,1500,Sulejówek,Mazowieckie,401,5654,424350,PLN,Polska,False,,True,,,,,2021,,1,Firmy,True,Benzyna,332,SUV,Czerwony,Nowe,,4x4 (dołączany ręcznie),Automatyczna,2021-04-12 13:41:00,https://www.otomoto.pl/oferta/ram-1500-2021-laramie-night-pneumatyka-head-up-dzielona-klapa-dealer-ram-ID6DHnF0.html#31f3cddc9d
6082383551,ram,1500,Radzymin,Mazowieckie,401,5654,234500,PLN,,False,False,,,,,,2019,2019-01-01 00:00:00,38000,Osoby prywatnej,,Benzyna,298,SUV,Inny kolor,Używane,True,4x4 (dołączany ręcznie),Automatyczna,2021-04-12 13:31:00,https://www.otomoto.pl/oferta/ram-1500-dodge-ram-1500-full-4x4-5-7l-hemi-v8-laramie-zarejetrowany-ID6DD3Ow.html#31f3cddc9d
6083595817,ram,1500,Wejherowo,Pomorskie,401,5700,378000,PLN,Polska,False,,True,,,,,2019,,21000,Firmy,,Benzyna+LPG,,SUV,Czarny,Używane,,4x4 (dołączany ręcznie),Automatyczna,2021-04-12 09:23:00,https://www.otomoto.pl/oferta/ram-1500-laramie-chrom-4x4-5-7-v8-401km-6-os-demo-lpg-od-dealera-ID6DI9bb.html#31f3cddc9d
6081366345,ram,1500,Kłodzko,Dolnośląskie,401,5654,92865,PLN,Austria,False,,,,True,,,2018,,44400,Firmy,,Benzyna,332,SUV,Szary,Używane,True,4x4 (dołączany ręcznie),Automatyczna,2021-04-12 09:16:00,https://www.otomoto.pl/oferta/ram-1500-hemi-wersja-europejska-fv-long-laremie-5-7v8-4x4-401km-ID6DyNbX.html#31f3cddc9d
6072824992,ram,1500,Wrocław,Dolnośląskie,400,5700,109000,PLN,Stany Zjednoczone,False,,,,,,,2019,,14900,Firmy,,Benzyna,,SUV,Czarny,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-12 09:10:00,https://www.otomoto.pl/oferta/ram-1500-dodge-ram-1500-4x4-5-7l-hemi-full-import-usa-ID6CYXcc.html#31f3cddc9d
