ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6078400465,rolls-royce,corniche,Warszawa,Mazowieckie,200,6300,225000,PLN,,False,,,,,,,1969,,96000,Firmy,,Benzyna,,Kabriolet,Złoty,Używane,,,Automatyczna,2021-04-06 14:41:00,https://www.otomoto.pl/oferta/rolls-royce-corniche-rolls-royce-cabrio-1969-ID6DmlDb.html#895a145258
6082317214,rolls-royce,cullinan,Warszawa,Mazowieckie,563,6749,2100000,PLN,Polska,False,False,True,,True,,,2018,2018-11-07 00:00:00,26000,Firmy,,Benzyna,,SUV,Bordowy,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-09 15:17:00,https://www.otomoto.pl/oferta/rolls-royce-cullinan-ID6DCMyy.html#4eb1fb31db
6081276586,rolls-royce,cullinan,Warszawa,Mazowieckie,571,6749,2330000,PLN,,False,,True,,,,,2020,,89,Firmy,,Benzyna,341,SUV,Czarny,Nowe,,4x4 (stały),Automatyczna,2021-03-30 11:26:00,https://www.otomoto.pl/oferta/rolls-royce-cullinan-black-diamond-ID6DypQe.html#4eb1fb31db
6079378142,rolls-royce,ghost,Łódź,Łódzkie,570,6592,1149900,PLN,Polska,False,False,True,,True,,,2017,,22000,Firmy,True,Benzyna,,Sedan,Niebieski,Używane,True,4x4 (dołączany automatycznie),Automatyczna,2021-04-07 15:11:00,https://www.otomoto.pl/oferta/rolls-royce-ghost-rolls-royce-ghost-salon-polska-i-wlasciciel-fv-23-ID6DqrYa.html#26e26c2e6b
6081516477,rolls-royce,ghost,Warszawa,Mazowieckie,570,6592,2370000,PLN,Polska,False,,True,,,True,,2020,,43,Firmy,True,Benzyna,347,Sedan,Niebieski,Nowe,,4x4 (dołączany automatycznie),Automatyczna,2021-04-07 13:28:00,https://www.otomoto.pl/oferta/rolls-royce-ghost-midnight-sapphire-nm-ID6Dzqfr.html#26e26c2e6b
6083847494,rolls-royce,ghost,Warszawa,Mazowieckie,572,6592,519900,PLN,Niemcy,False,,True,,True,,,2010,2010-04-15 00:00:00,49300,Firmy,True,Benzyna,,Sedan,Szary,Używane,,Na tylne koła,Automatyczna,2021-04-06 17:43:00,https://www.otomoto.pl/oferta/rolls-royce-ghost-ghost-faktura-23-customowe-wykonczenie-wnetrza-ID6DJcEu.html#26e26c2e6b
6081228179,rolls-royce,ghost,Warszawa,Mazowieckie,571,6592,1679000,PLN,Polska,False,False,,,True,,,2019,2019-12-20 00:00:00,8500,Firmy,,Benzyna,,Sedan,Czarny,Używane,True,Na tylne koła,Automatyczna,2021-04-03 08:27:00,https://www.otomoto.pl/oferta/rolls-royce-ghost-571km-black-diamond-gwiazdy-gwarancja-salon-pl-fv23-ID6Dydft.html#26e26c2e6b
6075044029,rolls-royce,ghost,Łódź,Łódzkie,570,6592,1129000,PLN,Polska,False,False,True,,True,,,2017,2017-07-20 00:00:00,22100,Osoby prywatnej,,Benzyna,,Sedan,Czarny,Używane,True,4x4 (dołączany automatycznie),Automatyczna,2021-04-01 15:03:00,https://www.otomoto.pl/oferta/rolls-royce-ghost-salon-polska-bezwypadkowy-na-gwarancji-f-vat-c-brutto-zamiana-ID6D8gt7.html#26e26c2e6b
6050117922,rolls-royce,ghost,Warszawa,Mazowieckie,570,6592,1790000,PLN,Polska,False,False,True,,True,,,2018,,1785,Firmy,True,Benzyna,327,Sedan,Niebieski,Używane,True,Na tylne koła,Automatyczna,2021-03-27 13:40:00,https://www.otomoto.pl/oferta/rolls-royce-ghost-midnight-sapphire-ID6BrG38.html#26e26c2e6b
6017514290,rolls-royce,ghost,Warszawa,Mazowieckie,603,6592,1410000,PLN,Wielka Brytania,False,False,True,,True,,,2016,,10705,Firmy,True,Benzyna,333,Sedan,Czarny,Używane,True,Na tylne koła,Automatyczna,2021-03-27 13:40:00,https://www.otomoto.pl/oferta/rolls-royce-ghost-black-badge-ID6zeSm6.html#26e26c2e6b
