ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6084158820,seat,alhambra,Giżycko,Warmińsko-mazurskie,140,1968,10000,PLN,Niemcy,False,False,,,,True,I (1996-2010),2006,2006-07-17 00:00:00,221553,Osoby prywatnej,,Diesel,,Minivan,Niebieski,Używane,,Na przednie koła,Manualna,2021-04-10 14:10:00,https://www.otomoto.pl/oferta/seat-alhambra-ID6DKwDS.html#ff5d7e44c8
6084138028,seat,alhambra,Stargard Szczeciński,Zachodniopomorskie,130,1896,13900,PLN,Niemcy,False,,,,True,,I (1996-2010),2005,2005-11-05 00:00:00,243554,Osoby prywatnej,,Diesel,,Minivan,Czarny,Używane,,Na przednie koła,Manualna,2021-04-09 22:48:00,https://www.otomoto.pl/oferta/seat-alhambra-1-9-tdi-150km-7os-climatronic-alufelgi-navi-unikat-oplacony-ID6DKqev.html#ff5d7e44c8
6084127562,seat,alhambra,Dąbrowa Górnicza,Śląskie,115,1984,23500,PLN,Niemcy,False,False,True,,,,I (1996-2010),2008,2008-06-01 00:00:00,195000,Osoby prywatnej,,Benzyna,223,Minivan,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-09 19:09:00,https://www.otomoto.pl/oferta/seat-alhambra-2-0-benzyna-7-miejsc-full-grzana-szyba-przod-i-fotele-2xpdc-ID6DKnwI.html#ff5d7e44c8
6084101292,seat,alhambra,Kosewo,Mazowieckie,140,1968,17500,PLN,,False,,,,,,I (1996-2010),2008,,250000,Osoby prywatnej,,Diesel,,Minivan,Czarny,Używane,,,Manualna,2021-04-09 12:20:00,https://www.otomoto.pl/oferta/seat-alhambra-140km-7-foteli-nawigacja-ID6DKgG0.html#ff5d7e44c8
6084067921,seat,alhambra,Kłodzko,Dolnośląskie,177,1968,48900,PLN,Niemcy,False,,,,True,,II (2010-),2015,,100800,Firmy,,Diesel,154,Minivan,Biały,Używane,True,Na przednie koła,Automatyczna,2021-04-08 15:19:00,https://www.otomoto.pl/oferta/seat-alhambra-delikatnie-uszkodzona-pelne-wyposazenie-7foteli-dsg-mozliwa-zamiana-ID6DK7ZL.html#ff5d7e44c8
6082387450,seat,alhambra,Choszczno,Zachodniopomorskie,170,1968,44900,PLN,Niemcy,False,False,True,,,,II (2010-),2012,2012-04-13 00:00:00,210000,Osoby prywatnej,,Diesel,154,Minivan,Srebrny,Używane,,Na przednie koła,Automatyczna,2021-04-08 12:47:00,https://www.otomoto.pl/oferta/seat-alhambra-seat-alhambra-2012-170-km-dsg-skora-navi-webasto-ID6DD4Po.html#ff5d7e44c8
6084045079,seat,alhambra,Rudka,Świętokrzyskie,110,1896,3500,PLN,Niemcy,False,False,,,,,I (1996-2010),1997,1997-11-11 00:00:00,767000,Osoby prywatnej,,Diesel,,Minivan,Inny kolor,Używane,,Na przednie koła,Manualna,2021-04-08 09:22:00,https://www.otomoto.pl/oferta/seat-alhambra-seat-alhambra-i-97r-1-9tdi-110km-7osobowy-ID6DK23l.html#ff5d7e44c8
6084040945,seat,alhambra,Mysłowice,Śląskie,184,1968,73900,PLN,Niemcy,False,,True,,True,True,II (2010-),2015,,197800,Firmy,True,Diesel,,Minivan,Czarny,Używane,True,Na przednie koła,Automatyczna,2021-04-07 20:49:00,https://www.otomoto.pl/oferta/seat-alhambra-rodzinny-7-osobowy-2-0-tdci-184km-navi-line-assist-martwe-pola-max-ID6DK0YF.html#ff5d7e44c8
6083665658,seat,alhambra,Przysucha,Mazowieckie,140,1968,49500,PLN,,False,,True,,True,,II (2010-),2015,2015-01-15 00:00:00,187000,Osoby prywatnej,,Diesel,158,Minivan,Srebrny,Używane,True,4x4 (stały),Manualna,2021-04-07 17:33:00,https://www.otomoto.pl/oferta/seat-alhambra-2-0-tdi-zadbany-serwisowany-gwarancja-ID6DIrlE.html#ff5d7e44c8
6083998026,seat,alhambra,Grudziądz,Kujawsko-pomorskie,115,1984,10900,PLN,Niemcy,False,,True,,,,I (1996-2010),2001,2001-06-12 00:00:00,182625,Osoby prywatnej,,Benzyna,,Minivan,Zielony,Używane,,Na przednie koła,Manualna,2021-04-06 21:04:00,https://www.otomoto.pl/oferta/seat-alhambra-2-0-8v-benzyna-115km-sharan-2xkola-niemiec-18-lat-w-1-rekach-bezwyp-ID6DJPOq.html#ff5d7e44c8
