ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6083520942,ssangyong,actyon,Nowy Targ,Małopolskie,178,2157,45000,PLN,,False,,,,,,,2017,,70600,Osoby prywatnej,,Diesel,202,SUV,Czarny,Używane,,4x4 (dołączany ręcznie),Automatyczna,2021-04-02 09:18:00,https://www.otomoto.pl/oferta/ssangyong-actyon-ssangyong-actyon-sports-4x4-ID6DHPHv.html#343fcf6506
6083770143,ssangyong,actyon,Wrocław,Dolnośląskie,155,1998,39237,PLN,,False,,,,,,,2012,2012-06-08 00:00:00,175000,Osoby prywatnej,True,Diesel,212,SUV,Biały,Używane,,4x4 (dołączany ręcznie),Automatyczna,2021-04-10 16:40:00,https://www.otomoto.pl/oferta/ssangyong-actyon-nie-navara-l-200-ranger-salon-polska-1-wlasiciel-automat-ID6DISvT.html#343fcf6506
6083731073,ssangyong,actyon,Warszawa,Mazowieckie,141,1998,19500,PLN,,False,False,,,,,,2007,,116000,Osoby prywatnej,,Diesel,199,SUV,Czarny,Używane,,4x4 (dołączany ręcznie),Manualna,2021-04-07 13:43:00,https://www.otomoto.pl/oferta/ssangyong-actyon-koreanski-mercedes-ssangyong-actyon-4x4-skora-mozliwa-zamiana-ID6DIImJ.html#343fcf6506
6083980213,ssangyong,actyon,Słupsk,Pomorskie,141,2000,13390,PLN,,False,,,,,True,,2007,,198842,Firmy,,Diesel,,SUV,Szary,Używane,,4x4 (dołączany ręcznie),Manualna,2021-04-06 12:58:00,https://www.otomoto.pl/oferta/ssangyong-actyon-2-0-xdi-141-km-skora-klima-bluetooth-usb-aux-4x4-alufelgi-ID6DJLb7.html#343fcf6506
6083978420,ssangyong,actyon,Rumia,Pomorskie,155,1998,27060,PLN,Polska,False,False,True,,,,,2012,2013-09-26 00:00:00,184318,Osoby prywatnej,,Diesel,199,SUV,Czarny,Używane,,4x4 (dołączany ręcznie),Manualna,2021-04-06 12:45:00,https://www.otomoto.pl/oferta/ssangyong-actyon-ssangyong-actyon-sports-2-0-td-pickup-ID6DJKIc.html#343fcf6506
6077906099,ssangyong,actyon,Złotoryja,Dolnośląskie,155,1998,29500,PLN,Polska,False,False,True,,True,,,2012,2012-06-21 00:00:00,169000,Osoby prywatnej,,Diesel,199,SUV,Czarny,Używane,,4x4 (dołączany ręcznie),Manualna,2021-04-05 07:49:00,https://www.otomoto.pl/oferta/ssangyong-actyon-ssangyong-actyon-sport-4-opony-zimowe-ID6Dkh1x.html#343fcf6506
6076855286,ssangyong,actyon,Gielniów,Mazowieckie,141,1998,16499,PLN,Polska,False,False,,,,,,2007,,151000,Firmy,,Diesel,,SUV,Czarny,Używane,,4x4 (dołączany automatycznie),Manualna,2021-04-04 20:56:00,https://www.otomoto.pl/oferta/ssangyong-actyon-kimatronic-skora-4x4-zadbany-kilka-w-ofercie-ID6DfREV.html#343fcf6506
6082570418,ssangyong,actyon,Bielawa,Dolnośląskie,141,1998,12400,PLN,Polska,False,False,,,,,,2007,,157500,Firmy,,Diesel,,SUV,Czarny,Używane,,Na tylne koła,Manualna,2021-04-04 08:43:00,https://www.otomoto.pl/oferta/ssangyong-actyon-2-0-xdi-141km-klimatyzacja-ledy-aux-usb-kamera-zadbany-ID6DDQqu.html#343fcf6506
6083913173,ssangyong,actyon,Dolna Grupa,Kujawsko-pomorskie,155,1998,46500,PLN,Niemcy,False,,,,,,,2016,,153100,Osoby prywatnej,,Diesel,212,SUV,Biały,Używane,,4x4 (dołączany ręcznie),Automatyczna,2021-04-02 16:10:00,https://www.otomoto.pl/oferta/ssangyong-actyon-2-0-d-4x4-pick-up-ID6DJtJP.html#343fcf6506
6083528168,ssangyong,actyon,Stalowa Wola,Podkarpackie,141,1998,15500,PLN,Belgia,False,,True,,,,,2007,,226919,Firmy,,Diesel,217,SUV,Szary,Używane,,4x4 (dołączany automatycznie),Manualna,2021-04-02 11:37:00,https://www.otomoto.pl/oferta/ssangyong-actyon-4x4-zabudowana-paka-od-reki-ID6DHRA4.html#343fcf6506
6080043956,ssangyong,korando,Łomianki,Mazowieckie,175,1998,44700,PLN,Polska,False,False,True,,True,,,2013,2014-01-07 00:00:00,106723,Firmy,True,Diesel,,SUV,Szary,Używane,True,4x4 (dołączany automatycznie),Automatyczna,2021-04-11 14:16:00,https://www.otomoto.pl/oferta/ssangyong-korando-salon-polska-naped-4x4-ID6Dtfb6.html#448ada8d5a
6083491609,ssangyong,korando,Ropczyce,Podkarpackie,175,1998,23900,PLN,,False,,True,,,,,2011,2012-05-01 00:00:00,227000,Firmy,,Diesel,169,SUV,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-11 15:04:00,https://www.otomoto.pl/oferta/ssangyong-korando-ID6DHI4p.html#448ada8d5a
6083945777,ssangyong,korando,Marki,Mazowieckie,163,1497,84990,PLN,Polska,False,,True,,,,,2021,,5,Firmy,,Benzyna,,SUV,Biały,Nowe,,Na przednie koła,Manualna,2021-04-11 11:37:00,https://www.otomoto.pl/oferta/ssangyong-korando-1-5t-gdi-163km-pakiet-crystal-6mt-rok-produkcji-2021-ID6DJCdH.html#448ada8d5a
