ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6083140996,tesla,model-3,Złocieniec,Zachodniopomorskie,476,,79900,PLN,,False,,,,,,,2019,2019-12-10 00:00:00,23000,Osoby prywatnej,,Elektryczny,,Sedan,Biały,Używane,,4x4 (stały),Automatyczna,2021-04-11 15:18:00,https://www.otomoto.pl/oferta/tesla-model-3-dual-motor-ID6DGeRm.html#4b18398146
6083726077,tesla,model-3,Słubice,Lubuskie,482,,239777,PLN,,False,False,True,,True,,,2019,,29400,Firmy,,Elektryczny,,Kompakt,Szary,Używane,True,4x4 (stały),Automatyczna,2021-04-10 08:29:00,https://www.otomoto.pl/oferta/tesla-model-3-performance-3-3s-europa-gwarancja-fv23-ID6DIH49.html#4b18398146
6084140724,tesla,model-3,Niepruszewo,Wielkopolskie,513,,199000,PLN,Niemcy,False,,,,True,,,2019,2019-06-27 00:00:00,25374,Firmy,,Elektryczny,,Sedan,Biały,Używane,True,4x4 (stały),Automatyczna,2021-04-09 23:59:00,https://www.otomoto.pl/oferta/tesla-model-3-performance-3-3-s-0-100-km-h-wersja-europejska-z-niemiec-felgi-bbs-ID6DKqV0.html#4b18398146
6082919553,tesla,model-3,Brzesko,Małopolskie,306,,120000,PLN,Stany Zjednoczone,False,,,,,,,2020,,5000,Osoby prywatnej,,Elektryczny,,Sedan,Biały,Używane,True,Na tylne koła,Automatyczna,2021-04-09 15:40:00,https://www.otomoto.pl/oferta/tesla-model-3-tesla-model-3-ID6DFjfH.html#4b18398146
6083099816,tesla,model-3,Gdańsk,Pomorskie,512,,52500,EUR,,False,,True,,,,,2021,,1,Osoby prywatnej,True,Elektryczny,,Sedan,Biały,Używane,True,4x4 (stały),Automatyczna,2021-04-09 13:24:00,https://www.otomoto.pl/oferta/tesla-model-3-performance-fabrycznie-nowy-2021-wersja-eu-gwarancja-od-reki-ID6DG49a.html#4b18398146
6054799873,tesla,model-3,Nowy Sącz,Małopolskie,372,,48700,EUR,,False,,True,,,,,2021,,25,Firmy,True,Elektryczny,,Sedan,Biały,Nowe,,4x4 (dołączany automatycznie),Automatyczna,2021-04-09 13:15:00,https://www.otomoto.pl/oferta/tesla-model-3-tesla-model-3-biala-long-range-ID6BLk2t.html#4b18398146
6054751259,tesla,model-3,Nowy Sącz,Małopolskie,351,,61131,EUR,,False,,True,,,,,2021,,25,Firmy,,Elektryczny,,Sedan,Czerwony,Nowe,,4x4 (dołączany automatycznie),Automatyczna,2021-04-09 13:04:00,https://www.otomoto.pl/oferta/tesla-model-3-long-range-awd-ID6BL7on.html#4b18398146
6077558445,tesla,model-3,Dębica,Podkarpackie,300,,153000,PLN,Stany Zjednoczone,False,False,,,,,,2018,2020-01-01 00:00:00,29000,Osoby prywatnej,,Elektryczny,,Sedan,Czarny,Używane,,Na tylne koła,Automatyczna,2021-04-09 08:14:00,https://www.otomoto.pl/oferta/tesla-model-3-tesla-model-3-long-range-fsd-premium-ID6DiOAd.html#4b18398146
6067514126,tesla,model-3,Mroków,Mazowieckie,480,,50700,EUR,,False,,True,,,,,2021,,1,Firmy,,Elektryczny,,Sedan,Biały,Nowe,,,Automatyczna,2021-04-08 22:31:00,https://www.otomoto.pl/oferta/tesla-model-3-long-range-dual-motor-ID6CCFB4.html#4b18398146
6067514032,tesla,model-3,Mroków,Mazowieckie,372,,52750,EUR,,False,,True,,,,,2021,,1,Firmy,,Elektryczny,,Sedan,Biały,Nowe,,,Automatyczna,2021-04-08 22:31:00,https://www.otomoto.pl/oferta/tesla-model-3-standard-range-plus-autopilot-ID6CCFzy.html#4b18398146
6067514199,tesla,model-3,Mroków,Mazowieckie,480,,55400,EUR,,False,,True,,,,,2021,,1,Firmy,,Elektryczny,,Sedan,Biały,Nowe,,,Automatyczna,2021-04-08 15:07:00,https://www.otomoto.pl/oferta/tesla-model-3-performance-autopilot-ID6CCFCf.html#4b18398146
6080868158,tesla,model-3,Modlnica,Małopolskie,351,,202000,PLN,,False,False,,,,,,2018,,46225,Firmy,,Elektryczny,,Sedan,Srebrny,Używane,,4x4 (stały),Automatyczna,2021-04-08 12:22:00,https://www.otomoto.pl/oferta/tesla-model-3-tesla-model-3-ev-ID6DvHAG.html#4b18398146
6083668929,tesla,model-3,Warszawa,Mazowieckie,306,,148000,PLN,,False,,,,,,,2019,,27000,Firmy,,Elektryczny,168,Sedan,Niebieski,Używane,,Na tylne koła,Automatyczna,2021-04-07 19:03:00,https://www.otomoto.pl/oferta/tesla-model-3-2019-tesla-model-3-uszkodzony-tyl-ID6DIscp.html#4b18398146
6080291434,tesla,model-3,Warszawa,Mazowieckie,479,,220000,PLN,,False,False,,,True,,,2019,,27000,Osoby prywatnej,,Elektryczny,,Sedan,Biały,Używane,True,4x4 (dołączany automatycznie),Automatyczna,2021-04-07 14:51:00,https://www.otomoto.pl/oferta/tesla-model-3-lr-2019-eu-wesela-wynajem-ID6DuhyG.html#4b18398146
