ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6082584492,toyota,4-runner,Warszawa,Mazowieckie,236,3999,84777,PLN,Stany Zjednoczone,False,False,,,True,,,2011,2011-01-01 00:00:00,116800,Firmy,,Benzyna+LPG,,SUV,Szary,Używane,True,4x4 (dołączany automatycznie),Automatyczna,2021-04-11 17:59:00,https://www.otomoto.pl/oferta/toyota-4-runner-toyota-4-runner-4-0-v6-lpg-mod-2011-serwisowana-7-osobowa-ID6DDU5u.html#4077fd3567
6083803266,toyota,4-runner,Warszawa,Mazowieckie,270,4000,132000,PLN,,False,,,,,,,2020,,24000,Firmy,,Benzyna,145,SUV,Zielony,Używane,,4x4 (stały),Automatyczna,2021-04-11 14:33:00,https://www.otomoto.pl/oferta/toyota-4-runner-2020-toyota-4runner-sr5-uszkodzony-tyl-ID6DJ198.html#4077fd3567
6083827502,toyota,4-runner,Dąbrowa Tarnowska,Małopolskie,90,2446,20900,PLN,Włochy,False,False,,,,,,1992,,312000,Firmy,,Diesel,,SUV,Niebieski,Używane,,4x4 (dołączany ręcznie),Manualna,2021-04-10 08:42:00,https://www.otomoto.pl/oferta/toyota-4-runner-2-4td-4x4-klimatyzacja-bez-rdzy-zarejestrowany-ID6DJ7s2.html#4077fd3567
6074803194,toyota,4-runner,Przemyśl,Podkarpackie,152,3000,10000,PLN,,False,False,,,,,,1997,1997-10-07 00:00:00,402963,Firmy,,Benzyna,,SUV,Srebrny,Używane,,4x4 (dołączany ręcznie),Automatyczna,2021-04-09 15:58:00,https://www.otomoto.pl/oferta/toyota-4-runner-klimatyzacja-hak-4x4-ID6D7fOG.html#4077fd3567
6083771230,toyota,4-runner,Warszawa,Mazowieckie,150,2999,12900,PLN,,False,False,,,,,,1991,,269897,Osoby prywatnej,,Benzyna+LPG,,SUV,Czarny,Używane,,4x4 (dołączany ręcznie),Manualna,2021-04-08 17:38:00,https://www.otomoto.pl/oferta/toyota-4-runner-ID6DISOq.html#4077fd3567
6071779531,toyota,4-runner,Opole,Opolskie,245,4000,72900,PLN,Stany Zjednoczone,False,False,True,,True,,,2008,2009-04-01 00:00:00,82000,Osoby prywatnej,,Benzyna+LPG,,SUV,Czarny,Używane,,4x4 (dołączany ręcznie),Automatyczna,2021-04-08 16:38:00,https://www.otomoto.pl/oferta/toyota-4-runner-serwisowany-w-aso-bezwypadkowy-stan-idealny-ID6CUzdW.html#4077fd3567
6083912062,toyota,4-runner,Psary Wieś,Świętokrzyskie,245,4000,29000,PLN,,False,,,,,,,2007,,222932,Firmy,,Benzyna,,SUV,Biały,Używane,,4x4 (dołączany ręcznie),Automatyczna,2021-04-08 10:45:00,https://www.otomoto.pl/oferta/toyota-4-runner-4-0-idealny-do-lasu-4x4-ID6DJtrU.html#4077fd3567
6083441043,toyota,4-runner,Warszawa,Mazowieckie,270,4000,110000,PLN,,False,,,,,,,2018,,54600,Firmy,,Benzyna,,SUV,Szary,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-07 16:06:00,https://www.otomoto.pl/oferta/toyota-4-runner-2018-4-0l-4x4-porysowany-lakier-ID6DHuUP.html#4077fd3567
6082374428,toyota,4-runner,Gryfino,Zachodniopomorskie,279,3956,117834,PLN,Stany Zjednoczone,False,False,,,,True,,2014,2014-01-01 00:00:00,165000,Osoby prywatnej,,Benzyna,,SUV,Inny kolor,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-07 13:41:00,https://www.otomoto.pl/oferta/toyota-4-runner-toyota-4-runner-wersja-limitowana-full-opcja-ID6DD1rm.html#4077fd3567
6084016472,toyota,4-runner,Secemin,Świętokrzyskie,270,4000,59900,PLN,,False,,,,,,,2016,,33600,Firmy,,Benzyna,,SUV,Niebieski,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-07 10:26:00,https://www.otomoto.pl/oferta/toyota-4-runner-sr5-270-hp-4-0-l-full-opcja-ID6DJUBV.html#4077fd3567
