ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6074841591,wartburg,13,Józefów,Mazowieckie,58,1272,5400,PLN,,False,False,,,,,,1990,,31000,Osoby prywatnej,,Benzyna,,Sedan,Szary,Używane,,Na przednie koła,Manualna,2021-04-03 17:27:00,https://www.otomoto.pl/oferta/wartburg-1-3-zadbany-sprawny-garazowany-oplaty-na-rok-ID6D7pNZ.html#e2f55c2b3c
6066389854,wartburg,311,Pabianice,Łódzkie,38,900,12500,EUR,Finlandia,False,False,True,,,,,1960,,96000,Osoby prywatnej,,Benzyna,,Sedan,Inny kolor,Używane,,Na przednie koła,Manualna,2021-04-08 08:22:00,https://www.otomoto.pl/oferta/wartburg-311-wartburg-311-de-luxe-wersja-exportowa-na-rynek-finski-auto-w-oryginale-ID6CxX7E.html#2c5e28811e
6075023597,wartburg,311,Koszalin,Zachodniopomorskie,1,1111,9900,PLN,,False,,,,,,,1960,,3898,Firmy,,Benzyna,,Sedan,Niebieski,Używane,,,Manualna,2021-04-05 11:55:00,https://www.otomoto.pl/oferta/wartburg-311-ddroska-motoryzacja-15-ID6D8b9z.html#2c5e28811e
6084184497,wartburg,353,Pisz,Warmińsko-mazurskie,50,993,18500,PLN,,False,,,,,,,1988,1988-07-14 00:00:00,47986,Osoby prywatnej,,Benzyna,,Sedan,Żółty,Używane,,,Manualna,2021-04-12 11:40:00,https://www.otomoto.pl/oferta/wartburg-353-sprzedam-wartburg-353-s-ID6DKCk1.html#467881f1aa
6084171797,wartburg,353,Stogniowice,Małopolskie,50,992,22000,PLN,,False,,,,,,,1978,,57514,Osoby prywatnej,,Benzyna,,Sedan,Żółty,Używane,,,Manualna,2021-04-11 15:52:00,https://www.otomoto.pl/oferta/wartburg-353-wartburg-353-w-de-lux-ID6DKz1b.html#467881f1aa
6083458448,wartburg,353,Biała Podlaska,Lubelskie,7,992,5000,PLN,,False,,,,,,,1983,1983-04-01 00:00:00,75689,Osoby prywatnej,,Benzyna,,Sedan,Zielony,Używane,,,Manualna,2021-04-10 21:21:00,https://www.otomoto.pl/oferta/wartburg-353-sprzedam-wartburga-ID6DHzry.html#467881f1aa
6080262530,wartburg,353,Siedlce,Mazowieckie,45,992,6999,PLN,,False,False,,,,,,1983,,77557,Osoby prywatnej,,Benzyna,,Sedan,Żółty,Używane,,Na przednie koła,Manualna,2021-04-08 13:35:00,https://www.otomoto.pl/oferta/wartburg-353-de-lux-1983-jezdzacy-wazne-oplaty-1-wlasciciel-od-nowosci-ID6Dua2u.html#467881f1aa
6082587755,wartburg,353,Wola Zarczycka,Podkarpackie,58,1272,15000,PLN,Polska,False,False,True,,,,,1991,1991-07-11 00:00:00,10600,Osoby prywatnej,,Benzyna,,Sedan,Szary,Używane,,Na przednie koła,Manualna,2021-04-07 18:15:00,https://www.otomoto.pl/oferta/wartburg-353-ID6DDUV7.html#467881f1aa
6083951654,wartburg,353,Przasnysz,Mazowieckie,50,993,24500,PLN,Polska,False,,True,,,,,1987,1988-01-04 00:00:00,89700,Osoby prywatnej,,Benzyna,,Sedan,Szary,Używane,,Na przednie koła,Manualna,2021-04-05 19:55:00,https://www.otomoto.pl/oferta/wartburg-353-sprzedam-wartburga-353s-stan-kolekcjonerski-87r-ogloszenie-prywatne-ID6DJDKu.html#467881f1aa
6076776740,wartburg,353,Koszalin,Zachodniopomorskie,50,992,22900,PLN,,False,,,,,,,1978,,50478,Firmy,,Benzyna,,Sedan,Biały,Używane,,,Manualna,2021-04-05 11:44:00,https://www.otomoto.pl/oferta/wartburg-353-super-stan-ID6Dfxe4.html#467881f1aa
