ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6083383938,aixam,a721,Płońsk,Mazowieckie,4,505,13000,PLN,,False,,,,,,,2005,,58974,Osoby prywatnej,,Diesel,,Auta małe,Szary,Używane,,,Automatyczna,2021-04-07 16:36:00,https://www.otomoto.pl/oferta/aixam-a721-bez-prawa-jazdy-gotowe-do-rejestracji-w-polsce-gotowy-do-jazdy-ID6DHg3M.html#e5b0fb691d
6084002491,aixam,a721,Bliżyn,Świętokrzyskie,7,490,6500,PLN,,False,False,True,,,,,2003,2003-03-03 00:00:00,17500,Osoby prywatnej,,Benzyna,,Auta małe,Czerwony,Używane,True,Na przednie koła,Automatyczna,2021-04-06 22:41:00,https://www.otomoto.pl/oferta/aixam-a721-bellier-divane-nie-aixam-ligier-microcar-l6e-benzyna-49cm3-ID6DJQYr.html#e5b0fb691d
6046132707,aixam,a721,Koźmin Wielkopolski,Wielkopolskie,5,400,15600,PLN,,False,False,,,,,,2006,,83948,Firmy,,Diesel,,Auta małe,Niebieski,Używane,,Na przednie koła,Automatyczna,2021-04-04 10:37:00,https://www.otomoto.pl/oferta/aixam-a721-2006r-kubota-l6e-am-salon-serwis-ID6BaXjt.html#e5b0fb691d
6083131127,aixam,a721,Częstochowa,Śląskie,5,400,15900,PLN,,False,,,,,,,2007,,71842,Firmy,True,Diesel,,Auta małe,Szary,Używane,,Na przednie koła,Automatyczna,2021-04-03 12:29:00,https://www.otomoto.pl/oferta/aixam-a721-kubota-400-duzy-wybor-autoryzowany-dealer-i-serwis-cz-wa-ID6DGcib.html#e5b0fb691d
6082882689,aixam,a721,Rataje,Wielkopolskie,4,400,10900,PLN,,False,,,,,,,2008,2008-02-29 00:00:00,13060,Firmy,,Diesel,,Auta małe,Niebieski,Używane,,,Automatyczna,2021-04-02 21:17:00,https://www.otomoto.pl/oferta/aixam-a721-ID6DF9F7.html#e5b0fb691d
6083894114,aixam,a721,Żagań,Lubuskie,5,400,12500,PLN,,False,False,True,,,,,2008,,63342,Osoby prywatnej,,Diesel,,Coupe,Srebrny,Używane,,,Automatyczna,2021-04-01 22:11:00,https://www.otomoto.pl/oferta/aixam-a721-aixam-a721-zadbany-dlugie-oplaty-ID6DJoMq.html#e5b0fb691d
6083440976,aixam,a721,Mielec,Podkarpackie,5,400,12900,PLN,,False,,,,,,,2005,,55400,Firmy,,Diesel,,Auta małe,Niebieski,Używane,,Na przednie koła,Automatyczna,2021-03-30 16:04:00,https://www.otomoto.pl/oferta/aixam-a721-l6e-auto-bez-prawa-jazdy-kat-b-od-16-lat-aluminiowe-felgi-ID6DHuTK.html#e5b0fb691d
6084019818,aixam,a741,Płońsk,Mazowieckie,4,400,14800,PLN,,False,,,,,,,2005,,57894,Osoby prywatnej,,Diesel,,Auta małe,Srebrny,Używane,,,Automatyczna,2021-04-07 10:58:00,https://www.otomoto.pl/oferta/aixam-a741-bez-prawa-jazdy-gotowe-do-rejestracji-w-polsce-gotowy-do-jazdy-ID6DJWtU.html#099668b329
6083385398,aixam,a741,Ziębice,Dolnośląskie,5,400,15900,PLN,,False,False,,,,,,2007,,49000,Firmy,,Diesel,,Auta małe,Niebieski,Używane,True,,Automatyczna,2021-04-05 17:10:00,https://www.otomoto.pl/oferta/aixam-a741-bez-prawa-jazdy-b-czterokolowiec-lekki-l6e-transport-gratis-ID6DHgrk.html#099668b329
6083777323,aixam,a741,Gostyń,Wielkopolskie,5,400,7600,PLN,,False,,,,,,,2005,,23000,Firmy,,Diesel,,Auta małe,Szary,Używane,,Na przednie koła,Automatyczna,2021-03-29 22:21:00,https://www.otomoto.pl/oferta/aixam-a741-czterokolowiec-lekki-l6e-ligier-microcar-ID6DIUoH.html#099668b329
