ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6075806545,audi,100,Czarne,Pomorskie,133,2309,14950,PLN,Niemcy,False,,True,,,,C4 (1991-1994),1992,,178236,Osoby prywatnej,,Benzyna,,Sedan,Złoty,Używane,,,Automatyczna,2021-04-03 19:55:00,https://www.otomoto.pl/oferta/audi-100-2-3-benzyna-klimatronic-ID6DbsPL.html#dd711a5629
6084041336,audi,100,Chróścielów,Opolskie,116,1984,3900,PLN,,False,,,,,,C4 (1991-1994),1993,1993-10-04 00:00:00,286000,Osoby prywatnej,,Benzyna,,Sedan,Czarny,Używane,,Na przednie koła,Manualna,2021-04-07 21:05:00,https://www.otomoto.pl/oferta/audi-100-sprzedam-sprawne-audi-100-c4-sedan-2-0-abk-ID6DK14Y.html#dd711a5629
6073945933,audi,100,Wrocław,Dolnośląskie,174,2771,69000,PLN,Niemcy,False,False,True,,True,,C4 (1991-1994),1992,,105000,Osoby prywatnej,,Benzyna,,Sedan,Złoty,Używane,,Na przednie koła,Automatyczna,2021-04-06 20:23:00,https://www.otomoto.pl/oferta/audi-100-2-8e-aut-92-105-tys-km-wklad-11-tys-ost-3-5-roku-pelna-dok-ID6D3ENT.html#dd711a5629
6076750110,audi,100,Poznań,Wielkopolskie,115,1900,50000,PLN,,False,,,,,,C1 (1968-1976),1974,,14626,Firmy,,Benzyna,,Sedan,Brązowy,Używane,,,Manualna,2021-04-06 16:32:00,https://www.otomoto.pl/oferta/audi-100-audi-100gl-1900-stan-kolekcjonerski-ID6Dfqiy.html#dd711a5629
6083706272,audi,100,Piotrków Trybunalski,Łódzkie,115,2460,8500,PLN,,False,,,,,,C4 (1991-1994),1993,,400000,Osoby prywatnej,,Diesel,,Kombi,Inny kolor,Używane,,,Manualna,2021-04-06 16:30:00,https://www.otomoto.pl/oferta/audi-100-ID6DIBUI.html#dd711a5629
6083000759,audi,100,Ruda,Wielkopolskie,90,1781,6500,PLN,,False,False,True,,,,C3 (1982-1991),1987,1987-07-31 00:00:00,320116,Firmy,,Benzyna+LPG,,Sedan,Beżowy,Używane,True,Na przednie koła,Manualna,2021-04-06 11:44:00,https://www.otomoto.pl/oferta/audi-100-auto-dla-konesera-ID6DFEnt.html#dd711a5629
6078713945,audi,100,Bielsk Podlaski,Podlaskie,116,1994,10500,PLN,,False,,True,,,,C3 (1982-1991),1986,,99500,Osoby prywatnej,,Benzyna,,Sedan,Złoty,Używane,,Na przednie koła,Manualna,2021-04-05 21:16:00,https://www.otomoto.pl/oferta/audi-100-2-0-benzyna-5-cylindrow-stan-bardzo-dobry-mozliwy-transport-do-klienta-ID6DnFbj.html#dd711a5629
6083310139,audi,100,Dobra,Zachodniopomorskie,116,1984,7950,PLN,,False,False,,,,,C4 (1991-1994),1993,1993-11-01 00:00:00,187450,Firmy,,Benzyna+LPG,,Sedan,Czerwony,Używane,,Na przednie koła,Manualna,2021-04-05 15:45:00,https://www.otomoto.pl/oferta/audi-100-2-0-115km-youngtimer-bez-rdzy-dobrze-utrzmana-rej-pl-ID6DGVRt.html#dd711a5629
6078519083,audi,100,Bytów,Pomorskie,115,2500,13400,PLN,Niemcy,False,False,True,,,,C4 (1991-1994),1994,,363000,Osoby prywatnej,,Diesel,,Kombi,Szary,Używane,,Na przednie koła,Manualna,2021-04-05 08:22:00,https://www.otomoto.pl/oferta/audi-100-audi-100-c4-2-5tdi-avant-94-ID6DmQun.html#dd711a5629
6083943749,audi,100,Katowice,Śląskie,174,2771,8700,PLN,Niemcy,False,False,True,,,,C4 (1991-1994),1991,1991-05-06 00:00:00,385000,Osoby prywatnej,,Benzyna,,Sedan,Czarny,Używane,,Na przednie koła,Automatyczna,2021-04-04 22:27:00,https://www.otomoto.pl/oferta/audi-100-c4-v6-174hp-klasyczny-youngtimer-ID6DJBGZ.html#dd711a5629
6079536466,audi,100,Siedlce,Mazowieckie,115,1800,15500,PLN,,False,,,,,,C3 (1982-1991),1986,,184000,Osoby prywatnej,,Benzyna,,Sedan,Złoty,Używane,,,Automatyczna,2021-04-04 17:24:00,https://www.otomoto.pl/oferta/audi-100-ID6Dr79M.html#dd711a5629
