ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6080251886,cadillac,ats,Busko-Zdrój,Świętokrzyskie,276,1998,81000,PLN,,False,False,,,,,,2018,,23600,Osoby prywatnej,,Benzyna,,Sedan,Srebrny,Używane,,4x4 (stały),Automatyczna,2021-04-05 14:34:00,https://www.otomoto.pl/oferta/cadillac-ats-cadillac-ats-4x4-full-ID6Du7gO.html#32630e3a92
6084040217,cadillac,ats,Warszawa,Mazowieckie,272,2000,76000,PLN,,False,,,,,,,2018,,23000,Firmy,,Benzyna,,Sedan,Czarny,Używane,,Na tylne koła,Automatyczna,2021-04-07 19:47:00,https://www.otomoto.pl/oferta/cadillac-ats-2018-2-0l-porysowany-lakier-ID6DK0MW.html#32630e3a92
6083669199,cadillac,ats,Ostrów Wielkopolski,Wielkopolskie,470,3564,76900,PLN,Francja,False,,,,True,,,2017,,21404,Osoby prywatnej,,Benzyna,,Sedan,Srebrny,Używane,True,Na tylne koła,Automatyczna,2021-04-05 19:13:00,https://www.otomoto.pl/oferta/cadillac-ats-ats-v-atsv-470km-europa-full-opcja-unikat-okazja-ID6DIsgL.html#32630e3a92
6057338523,cadillac,ats,Łuków,Lubelskie,284,2000,62500,PLN,,False,False,,,True,,,2014,,43000,Osoby prywatnej,,Benzyna,,Sedan,Czarny,Używane,True,,Automatyczna,2021-04-05 14:33:00,https://www.otomoto.pl/oferta/cadillac-ats-2-0-284-km-zarejestrowany-wzorowy-ID6BWYsr.html#32630e3a92
6077040780,cadillac,ats,Bydgoszcz,Kujawsko-pomorskie,320,3564,62000,PLN,Kanada,False,,,,,,,2013,,58000,Osoby prywatnej,,Benzyna,,Sedan,Beżowy,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-03 15:43:00,https://www.otomoto.pl/oferta/cadillac-ats-ats-4-niski-przebieg-ID6DgDUM.html#32630e3a92
6083191235,cadillac,ats,Wyszków,Mazowieckie,276,1998,62900,PLN,Stany Zjednoczone,False,False,,,,,,2015,,135350,Firmy,,Benzyna,195,Sedan,Czarny,Używane,,4x4 (stały),Automatyczna,2021-04-01 12:39:00,https://www.otomoto.pl/oferta/cadillac-ats-2-0-turbo-awd-276-km-bose-niski-przebieg-piekny-ID6DGrWF.html#32630e3a92
6069470537,cadillac,ats,Śrem,Wielkopolskie,328,3600,49999,PLN,,False,,,,,,,2013,,73015,Firmy,,Benzyna,,Sedan,Czarny,Używane,,Na tylne koła,Automatyczna,2021-03-31 14:30:00,https://www.otomoto.pl/oferta/cadillac-ats-automat-jak-nowy-ID6CKSy5.html#32630e3a92
6058033254,cadillac,ats,Siedlce,Mazowieckie,276,2000,69500,PLN,,False,,,,,,,2014,,43921,Firmy,,Benzyna,,Sedan,Czarny,Używane,,Na tylne koła,Automatyczna,2021-03-29 18:54:00,https://www.otomoto.pl/oferta/cadillac-ats-ID6BYTbM.html#32630e3a92
6083359024,cadillac,bls,Radom,Mazowieckie,255,2792,21900,PLN,Szwajcaria,False,,True,,True,,,2006,,154321,Firmy,,Benzyna,259,Sedan,Złoty,Używane,,Na przednie koła,Automatyczna,2021-04-07 07:54:00,https://www.otomoto.pl/oferta/cadillac-bls-2-8v6-255km-bixenon-skora-dvd-serwis-szwajcar-po-oplatach-ID6DH9zV.html#bc972755f6
6083705146,cadillac,bls,Radom,Mazowieckie,255,2792,21900,PLN,Szwajcaria,False,,,,True,,,2006,2007-01-31 00:00:00,129000,Osoby prywatnej,,Benzyna,259,Sedan,Czarny,Używane,,Na przednie koła,Automatyczna,2021-04-06 15:34:00,https://www.otomoto.pl/oferta/cadillac-bls-2-8t-v6-ID6DIBCy.html#bc972755f6
6083795912,cadillac,bls,Myślenice,Małopolskie,150,1910,18000,PLN,,False,False,True,,,True,,2006,2006-03-02 00:00:00,280000,Osoby prywatnej,,Diesel,164,Sedan,Srebrny,Używane,,Na przednie koła,Manualna,2021-03-30 13:12:00,https://www.otomoto.pl/oferta/cadillac-bls-1-9-tid-chiptuning-170-km-blizniak-vectra-saab-ID6DIZev.html#bc972755f6
6083732744,cadillac,brougham,Ostrołęka,Mazowieckie,200,5000,18000,PLN,,False,,,,,,,1988,,180000,Osoby prywatnej,,Benzyna,,Sedan,Biały,Używane,,,Automatyczna,2021-04-07 13:50:00,https://www.otomoto.pl/oferta/cadillac-brougham-cadillac-ID6DIING.html#98a96d8520
6083988847,cadillac,brougham,Duczki,Mazowieckie,100,3000,40000,PLN,,False,,,,,,,1950,,5000,Osoby prywatnej,,Benzyna,,Coupe,Bordowy,Używane,,,Automatyczna,2021-04-06 16:41:00,https://www.otomoto.pl/oferta/cadillac-brougham-packard-super-eight-ID6DJNqn.html#98a96d8520
6078700023,cadillac,brougham,Będzin,Śląskie,188,5710,26600,PLN,,False,False,,,,,,1993,,297000,Osoby prywatnej,,Benzyna,,Sedan,Szary,Używane,,Na tylne koła,Automatyczna,2021-04-01 12:02:00,https://www.otomoto.pl/oferta/cadillac-brougham-5-7-benzyna-188km-doinwestowany-klima-automat-welur-elektryka-ID6DnByL.html#98a96d8520
6083368569,cadillac,ct6,Ciemne,Mazowieckie,417,2997,69950,PLN,,False,,,,,,,2017,,61462,Firmy,,Benzyna,218,Sedan,Bordowy,Używane,,4x4 (stały),Automatyczna,2021-04-05 13:26:00,https://www.otomoto.pl/oferta/cadillac-ct6-lekko-uszkodzony-piekny-srodek-silnik-3-6-4x4-ID6DHc3T.html#1735807862
6083512989,cadillac,ct6,Tarnowskie Góry,Śląskie,340,3600,183000,PLN,,False,,,,,,,2016,2017-01-17 00:00:00,35000,Osoby prywatnej,,Benzyna,218,Sedan,Czarny,Używane,,4x4 (stały),Automatyczna,2021-04-01 21:25:00,https://www.otomoto.pl/oferta/cadillac-ct6-cadillac-ct6-3-0-v6-twin-turbo-awd-ID6DHNDf.html#1735807862
6079272778,cadillac,ct6,Sieraków,Wielkopolskie,335,3600,155000,PLN,Stany Zjednoczone,False,False,,,,,,2017,,63000,Osoby prywatnej,,Benzyna,,Sedan,Biały,Używane,,4x4 (stały),Automatyczna,2021-03-31 10:52:00,https://www.otomoto.pl/oferta/cadillac-ct6-3-6-awd-zarejestrowny-ID6Dq0yK.html#1735807862
6081802566,cadillac,cts,Ostrowiec Świętokrzyski,Świętokrzyskie,180,2597,24900,PLN,,False,False,True,,True,,,2006,,179247,Firmy,,Benzyna,284,Sedan,Szary,Używane,True,Na tylne koła,Manualna,2021-04-07 19:48:00,https://www.otomoto.pl/oferta/cadillac-cts-perfekt-2-6b-180km-skory-gwarancja-12m-ID6DACFM.html#65b09c8ddf
