ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6083939196,chevrolet,1500,Rzezawa,Małopolskie,240,5700,29500,PLN,,False,,,,,,,1989,,90000,Firmy,,Benzyna,,SUV,Niebieski,Używane,,4x4 (dołączany ręcznie),Automatyczna,2021-04-04 11:51:00,https://www.otomoto.pl/oferta/chevrolet-1500-pickup-v8-5-7l-ID6DJAwy.html#2619b5465c
6074367244,chevrolet,3500,Ostrzeszów,Wielkopolskie,100,995,110700,PLN,,False,,,,,,,1952,,30000,Firmy,,Benzyna,,SUV,Niebieski,Używane,,,Manualna,2021-04-03 13:32:00,https://www.otomoto.pl/oferta/chevrolet-3500-ID6D5qpe.html#4fb0000b99
6081658543,chevrolet,apache,Juszczyn,Małopolskie,205,5616,38888,PLN,,False,,,,,,,1958,,999999,Osoby prywatnej,,Benzyna,,SUV,Beżowy,Używane,,Na tylne koła,Manualna,2021-04-05 21:03:00,https://www.otomoto.pl/oferta/chevrolet-apache-zabytek-chevi-3100-oldtimer-1958-pick-up-v8-ID6DA1cP.html#04394c79f5
6076056117,chevrolet,astro,Krzykawka,Małopolskie,190,4300,39975,PLN,,False,,True,,,,,1997,,135350,Osoby prywatnej,,Benzyna,,Minivan,Biały,Używane,,4x4 (stały),Automatyczna,2021-04-04 17:08:00,https://www.otomoto.pl/oferta/chevrolet-astro-chevrolet-astro-4-3-benzyna-1997-4x4-ID6DcwL7.html#a843ca3bbb
6083597785,chevrolet,astro,Choszczówka Stojecka,Mazowieckie,190,4300,39800,PLN,Niemcy,False,,True,,True,,,1998,1998-10-16 00:00:00,180200,Firmy,,Benzyna,,Minivan,Niebieski,Używane,,Na tylne koła,Automatyczna,2021-04-04 10:21:00,https://www.otomoto.pl/oferta/chevrolet-astro-4-3-v6-wersja-transcar-serwisowany-bezwypadkowy-zadbany-ID6DI9GW.html#a843ca3bbb
6083524674,chevrolet,astro,Sade Budy,Mazowieckie,190,4300,22900,PLN,Szwecja,False,,True,,True,,,2003,,163000,Firmy,,Benzyna,,Minivan,Bordowy,Używane,,Na tylne koła,Automatyczna,2021-04-04 10:06:00,https://www.otomoto.pl/oferta/chevrolet-astro-ID6DHQFI.html#a843ca3bbb
6080486581,chevrolet,astro,Brzezie,Małopolskie,165,4300,23800,PLN,,False,False,True,,,,,1990,1990-03-20 00:00:00,190000,Firmy,,Benzyna+LPG,,Minivan,Niebieski,Używane,,,Automatyczna,2021-03-30 18:50:00,https://www.otomoto.pl/oferta/chevrolet-astro-zobacz-film-chevrolet-fajny-woz-salonka-6-osob-4-3-gaz-ew-zamiana-ID6Dw6kd.html#a843ca3bbb
6066222569,chevrolet,astro,Morzyczyn,Zachodniopomorskie,190,4300,25999,PLN,,False,False,True,,,,,1996,1996-01-01 00:00:00,121000,Firmy,,Benzyna+LPG,,Minivan,Srebrny,Używane,,Na tylne koła,Automatyczna,2021-03-30 13:48:00,https://www.otomoto.pl/oferta/chevrolet-astro-4-3-190km-lpg-skory-klimatyzacja-8-osob-ID6CxfBw.html#a843ca3bbb
6080790670,chevrolet,astro,Warszawa,Mazowieckie,180,4300,10000,PLN,,False,,,,,,,1992,,315000,Firmy,,Benzyna+LPG,,Minivan,Niebieski,Używane,,Na tylne koła,Automatyczna,2021-03-29 17:24:00,https://www.otomoto.pl/oferta/chevrolet-astro-gmc-safari-targowek-4-3-benzyna-lpg-1992-rok-komis-tysiak-ID6DvnqS.html#a843ca3bbb
6083606676,chevrolet,avalanche,Białystok,Podlaskie,295,5326,29900,PLN,,False,,,,,,,2001,2001-01-01 00:00:00,190978,Firmy,,Benzyna+LPG,,SUV,Zielony,Używane,,4x4 (dołączany ręcznie),Automatyczna,2021-04-04 12:57:00,https://www.otomoto.pl/oferta/chevrolet-avalanche-chevrolet-avalanche-i-gmt-800-ID6DIc0k.html#1412c00fc1
