ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6074424306,dacia,1300,Koszalin,Zachodniopomorskie,54,1289,16900,PLN,,False,,,,,,,1991,,54455,Firmy,,Benzyna,,Sedan,Czerwony,Używane,,,Manualna,2021-04-05 11:34:00,https://www.otomoto.pl/oferta/dacia-1300-piekny-oryginal-126-ID6D5FfA.html#9589dcadba
6083905422,dacia,dokker,Natolin,Mazowieckie,90,1461,32900,PLN,Polska,False,False,True,,True,,,2017,2017-10-04 00:00:00,175436,Firmy,True,Diesel,,Kombi,Biały,Używane,True,Na przednie koła,Manualna,2021-04-08 12:05:00,https://www.otomoto.pl/oferta/dacia-dokker-1-5-dci-laureate-ID6DJrIO.html#11fb027972
6083872961,dacia,dokker,Łódź,Łódzkie,90,1461,24900,PLN,Polska,False,False,True,,True,,,2014,,192000,Firmy,True,Diesel,118,Minivan,Brązowy,Używane,True,Na przednie koła,Manualna,2021-04-07 13:08:00,https://www.otomoto.pl/oferta/dacia-dokker-salonpl-nawigacja-iwlasciciel-gwarancja12m-fv23-ID6DJjhf.html#11fb027972
6083985593,dacia,dokker,Kielce,Świętokrzyskie,102,1598,30800,PLN,Polska,False,False,,,True,,,2016,2016-08-12 00:00:00,108100,Osoby prywatnej,,Benzyna+LPG,,Minivan,Srebrny,Używane,True,Na przednie koła,Manualna,2021-04-06 15:47:00,https://www.otomoto.pl/oferta/dacia-dokker-salon-pl-1-wl-1-6sce-lpg-serwis-aso-start-stop-laureate-ID6DJMzT.html#11fb027972
6083602063,dacia,dokker,Bielany Wrocławskie,Dolnośląskie,115,1198,39000,PLN,Polska,False,False,True,,True,,,2016,2017-01-04 00:00:00,98505,Firmy,True,Benzyna,,Kombi,Biały,Używane,True,Na przednie koła,Manualna,2021-04-06 11:29:00,https://www.otomoto.pl/oferta/dacia-dokker-1-2-tce-salon-polska-1-wlasciciel-serwis-aso-vat-23-navi-ID6DIaNW.html#11fb027972
6082309318,dacia,dokker,Natolin,Mazowieckie,90,1461,31900,PLN,Polska,False,False,True,,True,,,2017,2017-10-05 00:00:00,168160,Firmy,True,Diesel,,Kombi,Biały,Używane,True,Na przednie koła,Manualna,2021-04-05 18:22:00,https://www.otomoto.pl/oferta/dacia-dokker-dokker-1-5-dci-laureate-ID6DCKwc.html#11fb027972
6083847746,dacia,dokker,Łódź,Łódzkie,90,1461,37900,PLN,,False,,,,,,,2015,2015-06-30 00:00:00,134286,Firmy,True,Diesel,,Kombi,Biały,Używane,,Na przednie koła,Manualna,2021-03-31 17:54:00,https://www.otomoto.pl/oferta/dacia-dokker-1-5-90km-dci-laureate-ID6DJcIy.html#11fb027972
6084058531,dacia,dokker,Tarnowskie Góry,Śląskie,102,1598,54999,PLN,Polska,False,False,,,True,,,2019,2019-07-02 00:00:00,44000,Firmy,,Benzyna+LPG,140,Kombi,Szary,Używane,True,Na przednie koła,Manualna,2021-04-08 12:48:00,https://www.otomoto.pl/oferta/dacia-dokker-instalacja-lpg-polski-salon-i-wlasciciel-fv-vat-ID6DK5yj.html#11fb027972
6084057382,dacia,dokker,Tarnowskie Góry,Śląskie,102,1598,54999,PLN,Polska,False,False,,,True,,,2019,2019-07-02 00:00:00,44000,Firmy,,Benzyna+LPG,140,Minivan,Szary,Używane,True,Na przednie koła,Manualna,2021-04-08 12:31:00,https://www.otomoto.pl/oferta/dacia-dokker-wersja-osobowa-instalacja-lpg-polski-salon-fv-vat-ID6DK5fM.html#11fb027972
6083876059,dacia,dokker,Jasło,Podkarpackie,115,1197,21900,PLN,Francja,False,,,,,,,2017,,44962,Firmy,,Benzyna,130,Minivan,Niebieski,Używane,,Na przednie koła,Manualna,2021-04-08 10:32:00,https://www.otomoto.pl/oferta/dacia-dokker-ID6DJk5d.html#11fb027972
6084047676,dacia,dokker,Siedlce,Mazowieckie,102,1598,32900,PLN,Polska,False,False,True,,True,,,2017,2018-01-19 00:00:00,289257,Firmy,,Benzyna+LPG,140,Minivan,Brązowy,Używane,True,Na przednie koła,Manualna,2021-04-08 10:05:00,https://www.otomoto.pl/oferta/dacia-dokker-1-6-sce-laureate-klima-salon-polska-1-wl-2kpl-opon-vat23-ID6DK2Je.html#11fb027972
6082640648,dacia,dokker,Strzelno,Kujawsko-pomorskie,83,1598,20910,PLN,,False,,,,,,,2015,2015-06-09 00:00:00,235000,Firmy,,Benzyna,168,Minivan,Biały,Używane,,Na przednie koła,Manualna,2021-04-08 08:51:00,https://www.otomoto.pl/oferta/dacia-dokker-samochod-z-polskiego-salonu-pierwszy-wlasciciel-ID6DE8He.html#11fb027972
6084042245,dacia,dokker,Września,Wielkopolskie,90,1461,22999,PLN,Francja,False,,,,,,,2014,,127784,Firmy,,Diesel,118,Kombi,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-07 22:16:00,https://www.otomoto.pl/oferta/dacia-dokker-1-5-dci-90-ps-02-2014r-127-tys-km-bdb-stan-ID6DK1jD.html#11fb027972
6083394047,dacia,dokker,Wisła Wielka,Śląskie,75,1461,11700,PLN,Polska,False,False,,,,,,2013,2013-08-01 00:00:00,129000,Firmy,,Diesel,108,Kombi,Szary,Używane,True,Na przednie koła,Manualna,2021-04-07 21:30:00,https://www.otomoto.pl/oferta/dacia-dokker-1-5dci-75km-ID6DHiGP.html#11fb027972
6084040341,dacia,dokker,Żory,Śląskie,90,1461,46900,PLN,Polska,False,False,True,,True,,,2016,2016-05-25 00:00:00,58000,Osoby prywatnej,,Diesel,108,Minivan,Niebieski,Używane,True,Na przednie koła,Manualna,2021-04-07 20:03:00,https://www.otomoto.pl/oferta/dacia-dokker-stapway-1-5dci-90km-serwis-aso-gwarancja-vat23-kraj-pl-ID6DK0OW.html#11fb027972
6082669937,dacia,dokker,Ząbki,Mazowieckie,75,1461,27900,PLN,Polska,False,False,True,,True,,,2016,,155000,Firmy,,Diesel,108,Kombi,Biały,Używane,True,Na przednie koła,Manualna,2021-04-07 16:12:00,https://www.otomoto.pl/oferta/dacia-dokker-1-5dci-75km-salon-pl-1wl-gwarancja-serwis-klima-alufelgi-hak-vat23-ID6DEgjD.html#11fb027972
6083044799,dacia,dokker,Libertów,Małopolskie,75,1461,27200,PLN,,False,,,,True,,,2013,2013-10-16 00:00:00,91392,Firmy,True,Diesel,,Kombi,Szary,Używane,True,Na przednie koła,Manualna,2021-04-07 15:55:00,https://www.otomoto.pl/oferta/dacia-dokker-1-5-dci-ambiance-ID6DFPPN.html#11fb027972
6084030033,dacia,dokker,Wysogotowo,Wielkopolskie,84,1598,14065,PLN,Polska,False,False,,,True,,,2014,,88000,Firmy,,Benzyna+LPG,175,Minivan,Srebrny,Używane,True,Na przednie koła,Manualna,2021-04-07 15:20:00,https://www.otomoto.pl/oferta/dacia-dokker-salon-pl-klima-pali-jezdzi-instalacja-lpg-osobowy-ID6DJY8F.html#11fb027972
6082857099,dacia,dokker,Libertów,Małopolskie,75,1461,24800,PLN,Polska,False,False,,,True,,,2013,2014-01-30 00:00:00,88450,Firmy,,Diesel,,Kombi,Biały,Używane,True,Na przednie koła,Manualna,2021-04-07 14:55:00,https://www.otomoto.pl/oferta/dacia-dokker-1-5-dci-ambiance-ID6DF30n.html#11fb027972
6083876145,dacia,dokker,Espalion,Languedoc-Roussillon-Midi-Pyrénées,95,1461,9900,EUR,,False,,,,,True,,2020,,3371,Firmy,,Diesel,,SUV,Niebieski,Używane,,,Manualna,2021-04-07 14:11:00,https://www.otomoto.pl/oferta/dacia-dokker-ft952-ID6DJk6B.html#11fb027972
