ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6083875221,daewoo,espero,Dzierżoniów,Dolnośląskie,90,1498,4800,PLN,,False,False,True,,,,,1996,,73513,Osoby prywatnej,,Benzyna,,Sedan,Zielony,Używane,True,Na przednie koła,Manualna,2021-04-01 13:57:00,https://www.otomoto.pl/oferta/daewoo-espero-daewoo-espero-zadbany-od-starszej-osoby-ID6DJjRH.html#10386e09b8
6084032561,daewoo,kalos,Oględa,Mazowieckie,72,1150,2400,PLN,Niemcy,False,,,,,,,2004,,222222,Osoby prywatnej,,Benzyna,,Auta miejskie,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-07 15:29:00,https://www.otomoto.pl/oferta/daewoo-kalos-5drzwi-klima-niemcy-ID6DJYNr.html#376c15a144
6083951727,daewoo,kalos,Słupca,Wielkopolskie,94,1399,5900,PLN,Niemcy,False,False,,,,,,2003,,149000,Firmy,,Benzyna,171,Auta miejskie,Czerwony,Używane,,Na przednie koła,Manualna,2021-04-05 19:54:00,https://www.otomoto.pl/oferta/daewoo-kalos-z-niemiec-juz-zarej-mocny-silnik-16v-94km-klima-2xkola-gwarancja-ID6DJDLF.html#376c15a144
6082057394,daewoo,kalos,Tarnowskie Góry,Śląskie,83,1399,5900,PLN,,False,,,,,,,2003,,137321,Firmy,,Benzyna,,Auta małe,Srebrny,Używane,,,Manualna,2021-04-08 07:06:00,https://www.otomoto.pl/oferta/daewoo-kalos-sprzedam-pieknego-kalosa-rok-2003-1-4benz-klima-przeb-137tys-zadbany-ID6DBGXU.html#376c15a144
6082980220,daewoo,kalos,Poznań,Wielkopolskie,94,1399,3599,PLN,,False,,,,,,,2004,,156800,Osoby prywatnej,,Benzyna,,Auta miejskie,Czerwony,Używane,,,Manualna,2021-04-06 23:39:00,https://www.otomoto.pl/oferta/daewoo-kalos-klima-zadbany-maly-przebieg-ID6DFz2c.html#376c15a144
6079265392,daewoo,kalos,Wilkanowo,Mazowieckie,72,1150,6900,PLN,Niemcy,False,False,True,,True,,,2003,,55000,Osoby prywatnej,,Benzyna,159,Auta miejskie,Szary,Używane,,Na przednie koła,Manualna,2021-04-06 18:21:00,https://www.otomoto.pl/oferta/daewoo-kalos-kalos-1-2-tylko-55tys-km-przebiegu-bez-korozji-1-wlasciciel-z-niemiec-ID6DpYDC.html#376c15a144
6083981868,daewoo,kalos,Warszawa,Mazowieckie,94,1399,6300,PLN,,False,,,,,,,2003,2004-03-25 00:00:00,125000,Firmy,,Benzyna,,Auta miejskie,Zielony,Używane,,,Manualna,2021-04-06 13:34:00,https://www.otomoto.pl/oferta/daewoo-kalos-ID6DJLBO.html#376c15a144
6080873468,daewoo,kalos,Zawiercie,Śląskie,72,1200,7700,PLN,Niemcy,False,,,,True,,,2007,,140000,Firmy,,Benzyna,,Auta miejskie,Czarny,Używane,,Na przednie koła,Manualna,2021-04-05 23:38:00,https://www.otomoto.pl/oferta/daewoo-kalos-benzyna-gaz-lpg-klimatyzacja-5-drzwi-bezwypadkowy-ID6DvIYk.html#376c15a144
6083671586,daewoo,kalos,Gryfów Śląski,Dolnośląskie,83,1399,5750,PLN,Niemcy,False,,True,,True,,,2003,,70189,Firmy,,Benzyna,175,Auta miejskie,Niebieski,Używane,,Na przednie koła,Manualna,2021-04-05 20:01:00,https://www.otomoto.pl/oferta/daewoo-kalos-klima-70-tys-przebiegu-po-oplatach-256-zl-rejestracja-ID6DIsTg.html#376c15a144
6083200886,daewoo,kalos,Sierakowice,Pomorskie,72,1150,6450,PLN,,False,,True,,,,,2004,,104862,Firmy,,Benzyna,159,Auta miejskie,Zielony,Używane,,Na przednie koła,Manualna,2021-04-05 15:59:00,https://www.otomoto.pl/oferta/daewoo-kalos-1-2-benzyna-5-drzwi-zwykly-prosty-tani-w-utrzymaniu-ID6DGurk.html#376c15a144
6083944087,daewoo,kalos,Bydgoszcz,Kujawsko-pomorskie,72,1150,3999,PLN,Niemcy,False,,True,,True,,,2004,,164000,Osoby prywatnej,,Benzyna,,Auta miejskie,Niebieski,Używane,,Na przednie koła,Manualna,2021-04-04 23:53:00,https://www.otomoto.pl/oferta/daewoo-kalos-niemiec-1-2-ben-164-tys-km-se-klimaelektrykawspomaganie-ID6DJBMr.html#376c15a144
6081268176,daewoo,kalos,Wola Aleksandra,Mazowieckie,83,1399,6999,PLN,Niemcy,False,,,,,,,2003,2003-10-01 00:00:00,86000,Osoby prywatnej,,Benzyna,175,Auta miejskie,Szary,Używane,,Na przednie koła,Manualna,2021-04-04 17:49:00,https://www.otomoto.pl/oferta/daewoo-kalos-ID6DynEA.html#376c15a144
6076685926,daewoo,kalos,Budzyń,Wielkopolskie,72,1150,4900,PLN,Niemcy,False,False,,,,,,2004,2004-06-24 00:00:00,152000,Firmy,,Benzyna,,Auta miejskie,Niebieski,Używane,,Na przednie koła,Manualna,2021-04-04 14:40:00,https://www.otomoto.pl/oferta/daewoo-kalos-gwarancja-1-2benzyna-72ps-klimatyzacja-sprawdz-budzyn200aut-zamiana-ID6Df9Bk.html#376c15a144
