ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6080520907,daihatsu,charade,Gdańsk,Pomorskie,52,993,1900,PLN,Niemcy,False,False,True,,,,,1991,1992-02-10 00:00:00,52839,Osoby prywatnej,,Benzyna,,Auta małe,Czerwony,Używane,True,Na przednie koła,Manualna,2021-03-30 23:22:00,https://www.otomoto.pl/oferta/daihatsu-charade-charade-daihatsu-1-0-pierwszy-wlasciciel-niewielki-przebieg-ID6DwffR.html#f0d7bbb356
6083893248,daihatsu,copen,Chojnice,Pomorskie,87,1298,18900,PLN,Niemcy,False,False,,,True,,,2008,,214000,Firmy,,Benzyna,,Kabriolet,Zielony,Używane,,Na przednie koła,Manualna,2021-04-01 21:33:00,https://www.otomoto.pl/oferta/daihatsu-copen-1-3-87km-kabriolet-zarejestrowany-w-polsce-ID6DJoys.html#4e4a0c14a1
6081849653,daihatsu,cuore,Komorniki,Wielkopolskie,58,989,1480,PLN,,False,,,,,,,2003,,171365,Firmy,,Benzyna,114,Auta małe,Czerwony,Używane,,Na przednie koła,Manualna,2021-04-08 13:05:00,https://www.otomoto.pl/oferta/daihatsu-cuore-daihatsu-cuore-1-0-ID6DAOWf.html#253dff9ef9
6077659240,daihatsu,cuore,Jaworzno,Śląskie,59,989,7000,PLN,Niemcy,False,False,,,,,,2004,2004-04-08 00:00:00,68000,Firmy,,Benzyna,,Auta małe,Czerwony,Używane,,Na przednie koła,Manualna,2021-04-08 10:23:00,https://www.otomoto.pl/oferta/daihatsu-cuore-tylko-68-tys-km-zwinny-bezawaryjny-japonczyk-oplacony-ID6DjeNV.html#253dff9ef9
6084045705,daihatsu,cuore,Sandomierz,Świętokrzyskie,56,989,4300,PLN,,False,,,,,,,2003,2010-05-31 00:00:00,200000,Osoby prywatnej,,Benzyna,120,Auta małe,Inny kolor,Używane,,Na przednie koła,Manualna,2021-04-08 09:28:00,https://www.otomoto.pl/oferta/daihatsu-cuore-daihatsu-cuore-b1-ID6DK2dr.html#253dff9ef9
6083399880,daihatsu,cuore,Bydgoszcz,Kujawsko-pomorskie,70,998,8990,PLN,Niemcy,False,,,,,,,2009,,155000,Firmy,,Benzyna,,Auta miejskie,Niebieski,Używane,,Na przednie koła,Manualna,2021-04-08 07:31:00,https://www.otomoto.pl/oferta/daihatsu-cuore-5-drzwi-klimatyzacja-import-niemcy-oplacony-ID6DHkcU.html#253dff9ef9
6083651531,daihatsu,cuore,Częstochowa,Śląskie,70,1000,7400,PLN,Belgia,False,,True,,True,,,2008,2008-08-25 00:00:00,213779,Firmy,,Benzyna,,Auta małe,Niebieski,Używane,True,Na przednie koła,Manualna,2021-04-07 12:36:00,https://www.otomoto.pl/oferta/daihatsu-cuore-oplacony-bezwypadkowy-klimaserwisvip-gwarancja24miesiace-ID6DInFN.html#253dff9ef9
6084012158,daihatsu,cuore,Drezdenko,Lubuskie,58,989,3999,PLN,Niemcy,False,,True,,,,,2005,,147000,Firmy,,Benzyna,114,Auta małe,Czerwony,Używane,,Na przednie koła,Manualna,2021-04-07 09:41:00,https://www.otomoto.pl/oferta/daihatsu-cuore-klima-nr-na-placu-109-ID6DJTum.html#253dff9ef9
6083708488,daihatsu,cuore,Częstochowa,Śląskie,58,989,3900,PLN,Niemcy,False,,True,,True,,,2005,,177582,Firmy,,Benzyna,,Auta małe,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-06 17:21:00,https://www.otomoto.pl/oferta/daihatsu-cuore-5-drzwi-bez-korozji-super-stan-z-niemiec-po-oplatach-ID6DICus.html#253dff9ef9
6083839477,daihatsu,cuore,Mochy,Wielkopolskie,58,989,5400,PLN,,False,,,,,,,2004,,129000,Firmy,,Benzyna,,Auta małe,Srebrny,Używane,,,Automatyczna,2021-04-06 15:20:00,https://www.otomoto.pl/oferta/daihatsu-cuore-daihatsu-coure-automat-1-0-5-drzwi-129tys-km-klimatyzacja-po-oplatach-ID6DJazb.html#253dff9ef9
6083291389,daihatsu,cuore,Sokolniki,Podkarpackie,70,998,7900,PLN,Szwajcaria,False,,True,,True,,,2008,,108113,Osoby prywatnej,,Benzyna,104,Auta małe,Czarny,Używane,,Na przednie koła,Manualna,2021-04-05 09:53:00,https://www.otomoto.pl/oferta/daihatsu-cuore-1-0-benzyna-klima-2008-rok-szwajcaria-serwis-klima-108-tkm-2x-kola-ID6DGRZ3.html#253dff9ef9
6083251611,daihatsu,cuore,Słubice,Lubuskie,58,989,2900,PLN,,False,,,,,,,2006,,90000,Osoby prywatnej,,Benzyna,,Auta małe,Czerwony,Używane,,,Manualna,2021-04-04 11:27:00,https://www.otomoto.pl/oferta/daihatsu-cuore-1-0-benzyna-2006-niski-przebieg-ID6DGHDt.html#253dff9ef9
6083249974,daihatsu,cuore,Borek Wielkopolski,Wielkopolskie,,1000,5900,PLN,Niemcy,False,,,,,,,2007,,135000,Osoby prywatnej,,Benzyna,,Auta małe,Zielony,Używane,,,Manualna,2021-04-04 11:01:00,https://www.otomoto.pl/oferta/daihatsu-cuore-super-stan-ID6DGHd4.html#253dff9ef9
6080892694,daihatsu,cuore,Chodzież,Wielkopolskie,70,998,6990,PLN,Niemcy,False,,True,,,,,2008,,203763,Firmy,,Benzyna,,Auta małe,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-04 10:43:00,https://www.otomoto.pl/oferta/daihatsu-cuore-po-oplatach-ekonomiczny-silnik-dobry-stan-importer-ID6DvNYq.html#253dff9ef9
6077533913,daihatsu,cuore,Kraków,Małopolskie,69,998,8900,PLN,,False,,True,,,,,2009,,137000,Firmy,,Benzyna,,Auta małe,Czerwony,Używane,,Na przednie koła,Manualna,2021-04-04 09:11:00,https://www.otomoto.pl/oferta/daihatsu-cuore-mira-charade-zadbane-bezwypadkowe-ID6DiIcx.html#253dff9ef9
6083936891,daihatsu,cuore,Świdwin,Zachodniopomorskie,70,998,9000,PLN,Niemcy,False,False,,,,,,2009,,39311,Osoby prywatnej,,Benzyna,104,Auta miejskie,Zielony,Używane,,Na przednie koła,Manualna,2021-04-03 23:20:00,https://www.otomoto.pl/oferta/daihatsu-cuore-daihatsu-cuore-1-0-z-pewnym-przebiegiem-okazja-ID6DJzUn.html#253dff9ef9
6083934528,daihatsu,cuore,Dębiec,Wielkopolskie,68,998,7500,PLN,,False,,True,,True,,,2007,,110507,Firmy,,Benzyna,,Auta miejskie,Zielony,Używane,True,Na przednie koła,Manualna,2021-04-03 21:01:00,https://www.otomoto.pl/oferta/daihatsu-cuore-1-0-68-km-klimatyzacja-isofix-z-niemiec-1-wlasciciel-ID6DJzig.html#253dff9ef9
6074987260,daihatsu,cuore,Inowrocław,Kujawsko-pomorskie,70,998,8300,PLN,Niemcy,False,False,True,,,,,2009,2009-11-30 00:00:00,106000,Firmy,,Benzyna,104,Auta małe,Czarny,Używane,,Na przednie koła,Manualna,2021-04-03 19:32:00,https://www.otomoto.pl/oferta/daihatsu-cuore-1-0l-70km-klima-2-kpl-kol-zadbany-ID6D81Hu.html#253dff9ef9
6083238346,daihatsu,cuore,Gdynia,Pomorskie,58,989,3997,PLN,,False,False,,,,,,2005,,181331,Osoby prywatnej,,Benzyna,114,Auta małe,Czarny,Używane,,Na przednie koła,Manualna,2021-04-03 19:05:00,https://www.otomoto.pl/oferta/daihatsu-cuore-daihatsu-cuore-1-0-plus-ID6DGEbv.html#253dff9ef9
6082889480,daihatsu,cuore,Koszalin,Zachodniopomorskie,55,989,1999,PLN,,False,,True,,,,,2001,2001-10-23 00:00:00,159000,Osoby prywatnej,,Benzyna,120,Auta małe,Czarny,Używane,,Na przednie koła,Manualna,2021-04-03 17:36:00,https://www.otomoto.pl/oferta/daihatsu-cuore-bezwypadkowy-super-stan-100-sprawny-ID6DFbqE.html#253dff9ef9
6081713871,daihatsu,cuore,Lipno,Kujawsko-pomorskie,58,989,4200,PLN,Niemcy,False,,True,,True,,,2006,2007-01-15 00:00:00,156453,Osoby prywatnej,,Benzyna,114,Auta małe,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-02 20:26:00,https://www.otomoto.pl/oferta/daihatsu-cuore-oplacony-koszt-rej-256-zl-ekonomiczny-spalanie-4-5-litra-ID6DAfBd.html#253dff9ef9
6083918410,daihatsu,cuore,Knurów,Śląskie,55,989,3900,PLN,,False,,,,,,,2002,,117900,Osoby prywatnej,,Benzyna,120,Auta małe,Biały,Używane,,Na przednie koła,Manualna,2021-04-02 17:58:00,https://www.otomoto.pl/oferta/daihatsu-cuore-ID6DJw6i.html#253dff9ef9
6081800774,daihatsu,cuore,Szamotuły,Wielkopolskie,70,998,3900,PLN,Niemcy,False,,,,,,,2008,2008-10-16 00:00:00,179000,Firmy,,Benzyna,104,Auta małe,Czerwony,Używane,,Na przednie koła,Manualna,2021-04-02 13:54:00,https://www.otomoto.pl/oferta/daihatsu-cuore-1-0-z-niemiec-5-drzwi-klima-okazja-ID6DACcS.html#253dff9ef9
6063574826,daihatsu,cuore,Wałbrzych,Dolnośląskie,60,989,4999,PLN,Niemcy,False,False,,,True,,,2006,,221000,Firmy,,Benzyna,,Auta małe,Szary,Używane,,Na przednie koła,Manualna,2021-04-01 06:43:00,https://www.otomoto.pl/oferta/daihatsu-cuore-oplacone-1-0benz-5drzwi-klima-wsp-kier-centralny-zamek-rm-2kpl-kol-ID6Cm8NY.html#253dff9ef9
6078158424,daihatsu,cuore,Dębno,Zachodniopomorskie,58,989,4000,PLN,Niemcy,False,,True,,True,,,2005,,116000,Osoby prywatnej,,Benzyna,114,Auta małe,Czerwony,Używane,,Na przednie koła,Manualna,2021-03-30 22:25:00,https://www.otomoto.pl/oferta/daihatsu-cuore-1-0-benzyna-klima-z-niemiec-super-stan-ID6DlkFi.html#253dff9ef9
6083443213,daihatsu,cuore,Bolesławiec,Dolnośląskie,58,989,1799,PLN,Niemcy,False,,True,,,,,2003,,143300,Osoby prywatnej,,Benzyna,114,Auta małe,Srebrny,Używane,,Na przednie koła,Manualna,2021-03-30 17:53:00,https://www.otomoto.pl/oferta/daihatsu-cuore-1-0benzynasprowadzonybezwypadkowy-ID6DHwtP.html#253dff9ef9
6083799922,daihatsu,cuore,Żary,Lubuskie,55,989,1990,PLN,Niemcy,False,,,,,,,2001,,105000,Osoby prywatnej,,Benzyna,120,Auta małe,Srebrny,Używane,,Na przednie koła,Manualna,2021-03-30 13:57:00,https://www.otomoto.pl/oferta/daihatsu-cuore-daihatsu-cuore-klima-ID6DJ0hc.html#253dff9ef9
6082718307,daihatsu,cuore,Płońsk,Mazowieckie,58,989,5900,PLN,,False,,,,,,,2005,2005-06-03 00:00:00,140000,Firmy,,Benzyna,114,Auta małe,Srebrny,Używane,,Na przednie koła,Manualna,2021-03-30 09:56:00,https://www.otomoto.pl/oferta/daihatsu-cuore-sprowadzony-gotowy-do-rejestracji-ID6DEsTN.html#253dff9ef9
6083596498,daihatsu,cuore,Chełm,Lubelskie,58,1000,5800,PLN,Niemcy,False,,True,,,,,2004,,186000,Firmy,,Benzyna,,Auta małe,Czerwony,Używane,,Na przednie koła,Manualna,2021-03-29 21:20:00,https://www.otomoto.pl/oferta/daihatsu-cuore-super-stan-prosto-z-niemiec-klima-ID6DI9ma.html#253dff9ef9
6082403261,daihatsu,cuore,Żary,Lubuskie,58,989,6900,PLN,,False,False,True,,,,,2006,,67892,Osoby prywatnej,,Benzyna,114,Auta małe,Srebrny,Używane,,Na przednie koła,Manualna,2021-03-29 20:50:00,https://www.otomoto.pl/oferta/daihatsu-cuore-mocno-doinwestowane-z-niskim-przebiegiem-ID6DD8Vp.html#253dff9ef9
6084037993,daihatsu,feroza,Garwolin,Mazowieckie,95,1589,11900,PLN,,False,,True,,,,,1997,,97045,Osoby prywatnej,,Benzyna,,SUV,Inny kolor,Używane,True,4x4 (dołączany automatycznie),Manualna,2021-04-07 19:35:00,https://www.otomoto.pl/oferta/daihatsu-feroza-1-6-95-km-nowe-sprzeglo-zadbana-bez-rdzy-zobacz-ID6DK0d3.html#2afe5e2fd5
6083942500,daihatsu,feroza,Ołpiny,Małopolskie,95,1589,7450,PLN,,False,,,,,,,1989,1989-08-02 00:00:00,48645,Osoby prywatnej,,Benzyna+LPG,,Auta miejskie,Czarny,Używane,,4x4 (dołączany automatycznie),Manualna,2021-04-04 18:56:00,https://www.otomoto.pl/oferta/daihatsu-feroza-daihatsu-feroza-pierwszy-wlasciciel-w-kraju-ID6DJBmQ.html#2afe5e2fd5
6083276093,daihatsu,feroza,Kęty,Małopolskie,101,1600,9999,PLN,Francja,False,,,,,,,1989,,85000,Firmy,,Benzyna,,SUV,Szary,Używane,,Na przednie koła,Manualna,2021-04-02 18:34:00,https://www.otomoto.pl/oferta/daihatsu-feroza-ID6DGO0l.html#2afe5e2fd5
6082228144,daihatsu,feroza,Batorz Pierwszy,Lubelskie,95,1589,8900,PLN,,False,False,,,,,,1989,,14000,Osoby prywatnej,,Benzyna,,Auta małe,Czerwony,Używane,,4x4 (dołączany ręcznie),Manualna,2021-04-02 12:13:00,https://www.otomoto.pl/oferta/daihatsu-feroza-4x4-1-6-rama-dzwon-ID6DCpnV.html#2afe5e2fd5
6083887530,daihatsu,feroza,Obryte,Mazowieckie,95,1590,8700,PLN,,False,False,,,,,,1992,,59700,Osoby prywatnej,,Benzyna+LPG,,SUV,Bordowy,Używane,,4x4 (dołączany automatycznie),Manualna,2021-04-01 17:38:00,https://www.otomoto.pl/oferta/daihatsu-feroza-feroza-lpg-swiatla-led-ID6DJn4e.html#2afe5e2fd5
6083937061,daihatsu,materia,Elbląg,Warmińsko-mazurskie,103,1495,15900,PLN,Niemcy,False,,,,,,,2009,,120000,Osoby prywatnej,,Benzyna,,Minivan,Czarny,Używane,,Na przednie koła,Manualna,2021-04-03 23:52:00,https://www.otomoto.pl/oferta/daihatsu-materia-09-1-5-benzyna-103km-alu-klima-ksiazka-serwis-ID6DJzX7.html#3d10e41adf
6078897264,daihatsu,materia,Komorniki,Wielkopolskie,91,1298,13900,PLN,,False,False,,,,,,2007,,173840,Firmy,,Benzyna+LPG,,Minivan,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-08 10:14:00,https://www.otomoto.pl/oferta/daihatsu-materia-lpg-relingi-dachowe-klimatyzacja-ID6DoqS4.html#3d10e41adf
6083209541,daihatsu,materia,Kraków,Małopolskie,103,1495,13000,PLN,Niemcy,False,,,,,,,2007,,142000,Osoby prywatnej,,Benzyna,172,Minivan,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-06 14:59:00,https://www.otomoto.pl/oferta/daihatsu-materia-sport-1-5-benzyna-ID6DGvGW.html#3d10e41adf
6081786048,daihatsu,materia,Warszawa,Mazowieckie,91,1298,15950,PLN,Niemcy,False,,True,,True,,,2010,2010-05-31 00:00:00,152000,Osoby prywatnej,,Benzyna,156,Minivan,Bordowy,Używane,,Na przednie koła,Manualna,2021-04-06 10:49:00,https://www.otomoto.pl/oferta/daihatsu-materia-daihatsu-materia-1-3-benzyna-ID6DAynm.html#3d10e41adf
