ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6081490703,fiat,124-spider,Warszawa,Mazowieckie,140,1368,69500,PLN,,False,False,,,,,,2018,,22500,Firmy,,Benzyna,,Kabriolet,Niebieski,Używane,,Na tylne koła,Automatyczna,2021-04-08 09:33:00,https://www.otomoto.pl/oferta/fiat-124-spider-fiat-124-spider-polmotor-warszawa-ID6DzjxJ.html#1c7deaf7c9
6080897487,fiat,124-spider,Rogozino,Mazowieckie,160,1368,84000,PLN,,False,False,,,,,,2019,,4040,Firmy,,Benzyna,,Kabriolet,Biały,Używane,,Na przednie koła,Automatyczna,2021-04-06 12:25:00,https://www.otomoto.pl/oferta/fiat-124-spider-cabrio-turbo-automat-biala-perla-tylko-4000km-ID6DvPdJ.html#1c7deaf7c9
6076350396,fiat,124-spider,Grabów nad Prosną,Wielkopolskie,140,1368,69800,PLN,Niemcy,False,,,,True,,,2018,,24500,Firmy,True,Benzyna,,Kabriolet,Biały,Używane,True,Na tylne koła,Manualna,2021-04-06 08:59:00,https://www.otomoto.pl/oferta/fiat-124-spider-lusso-1-4-multiair-140km-benzyna-2018-ID6DdKjy.html#1c7deaf7c9
6073133452,fiat,124-spider,Kraków,Małopolskie,164,1398,79000,PLN,Stany Zjednoczone,False,,,,,,,2018,,1969,Osoby prywatnej,,Benzyna,,Kabriolet,Biały,Używane,True,Na tylne koła,Manualna,2021-04-05 11:17:00,https://www.otomoto.pl/oferta/fiat-124-spider-full-wersja-abarth-skrzynia-manual-164km-record-monza-przebieg-1969km-ID6D0frm.html#1c7deaf7c9
6083937442,fiat,124-spider,Stary Dzierzgoń,Pomorskie,170,1368,82900,PLN,,False,,,,,,,2017,,14500,Firmy,,Benzyna,148,Kabriolet,Szary,Używane,,Na tylne koła,Manualna,2021-04-04 00:42:00,https://www.otomoto.pl/oferta/fiat-124-spider-abarth-rt-classic-garage-ID6DJA3g.html#1c7deaf7c9
6083925618,fiat,124-spider,Gdańsk,Pomorskie,140,1368,89124,PLN,Polska,False,False,True,,True,,,2018,2019-06-28 00:00:00,4900,Osoby prywatnej,,Benzyna,148,Kabriolet,Czerwony,Używane,True,Na tylne koła,Manualna,2021-04-03 15:22:00,https://www.otomoto.pl/oferta/fiat-124-spider-fiat-124-spider-ID6DJvYy.html#1c7deaf7c9
6076463578,fiat,124-spider,Grudziądz,Kujawsko-pomorskie,105,2000,124994,PLN,,False,False,True,,,,,1981,,400,Osoby prywatnej,,Benzyna,,Kabriolet,Niebieski,Używane,True,Na tylne koła,Automatyczna,2021-04-03 13:36:00,https://www.otomoto.pl/oferta/fiat-124-spider-fiat-spider-2000-zjawiskowy-ID6DedL4.html#1c7deaf7c9
6083569257,fiat,124-spider,Kobylnica,Pomorskie,140,1368,69000,PLN,,False,False,,,,,,2016,2020-06-09 00:00:00,24000,Firmy,,Benzyna,153,Kabriolet,Szary,Używane,,Na tylne koła,Automatyczna,2021-04-03 12:51:00,https://www.otomoto.pl/oferta/fiat-124-spider-ID6DI2gN.html#1c7deaf7c9
6083227312,fiat,124-spider,Słupsk,Pomorskie,140,1368,68990,PLN,Stany Zjednoczone,False,False,,,,,,2018,,55041,Firmy,,Benzyna,,Kabriolet,Czarny,Używane,,Na tylne koła,Manualna,2021-04-02 23:06:00,https://www.otomoto.pl/oferta/fiat-124-spider-1-4-turbo-140-km-nawigacja-bluetooth-klimatyzacja-alufelgi-usb-ID6DGBjy.html#1c7deaf7c9
6083169527,fiat,124-spider,Swarzędz,Wielkopolskie,140,1368,63900,PLN,Stany Zjednoczone,False,False,,,,,,2017,,54000,Osoby prywatnej,,Benzyna,153,Kabriolet,Szary,Używane,,Na tylne koła,Automatyczna,2021-03-31 18:16:00,https://www.otomoto.pl/oferta/fiat-124-spider-jak-nowy-54tys-km-automat-160km-roadster-nie-mazda-mx-5-ID6DGmhx.html#1c7deaf7c9
6058158544,fiat,124-spider,Warszawa,Mazowieckie,118,1800,99000,PLN,Stany Zjednoczone,False,False,True,,,,,1978,1978-01-01 00:00:00,146850,Osoby prywatnej,,Benzyna,,Kabriolet,Czerwony,Używane,,Na tylne koła,Manualna,2021-03-30 01:06:00,https://www.otomoto.pl/oferta/fiat-124-spider-piekny-klasyk-fiat-124-spider-stylizacja-abarth-jak-nowy-ID6BZpMA.html#1c7deaf7c9
6078556858,fiat,125p,Stary Sącz,Małopolskie,75,1500,39900,PLN,Polska,True,False,True,,,,,1983,,28000,Osoby prywatnej,,Benzyna,,Sedan,Szary,Używane,,Na tylne koła,Manualna,2021-04-07 18:51:00,https://www.otomoto.pl/oferta/fiat-125p-fso-fiat-125p-1-5l-zabytek-lokata-kapitalu-idealny-prezent-ID6Dn0jE.html#d0e4a5ab9c
6083000132,fiat,125p,Gniezno,Wielkopolskie,90,1600,45000,PLN,,False,,,,,,,1970,1970-07-01 00:00:00,84000,Osoby prywatnej,,Benzyna,,Sedan,Szary,Używane,,,Manualna,2021-04-05 16:07:00,https://www.otomoto.pl/oferta/fiat-125p-1-wlasciciel-pelna-historia-ID6DFEdm.html#d0e4a5ab9c
6074938203,fiat,125p,Leszno,Wielkopolskie,75,1500,34900,PLN,Polska,False,False,True,,,,,1977,,63000,Osoby prywatnej,,Benzyna,,Kompakt,Inny kolor,Używane,,Na tylne koła,Manualna,2021-04-02 20:00:00,https://www.otomoto.pl/oferta/fiat-125p-uwaga-do-sprzedania-piekny-fiat-125-p-z-fabrycznym-lakierem-ID6D7OVf.html#d0e4a5ab9c
6081182496,fiat,125p,Piastów,Mazowieckie,75,1481,15500,PLN,Polska,False,False,True,,,,,1987,,69556,Osoby prywatnej,,Benzyna,,Sedan,Szary,Używane,True,,Manualna,2021-04-08 12:02:00,https://www.otomoto.pl/oferta/fiat-125p-fiat-125p-pierwszy-wlasciciel-orginal-ID6Dy1mE.html#d0e4a5ab9c
6079811932,fiat,125p,Wyszków,Mazowieckie,103,1400,29999,PLN,,False,False,True,,,,,1987,1998-01-06 00:00:00,65000,Osoby prywatnej,,Benzyna,,Sedan,Inny kolor,Używane,,Na tylne koła,Manualna,2021-04-07 10:10:00,https://www.otomoto.pl/oferta/fiat-125p-fiat-125p-1-4-rover-jedyny-taki-ID6DsgOM.html#d0e4a5ab9c
6083341714,fiat,125p,Bolesławiec,Dolnośląskie,70,1500,8500,PLN,,False,False,,,,,,1980,,50000,Osoby prywatnej,,Benzyna,,Sedan,Czerwony,Używane,,Na przednie koła,Manualna,2021-04-06 13:53:00,https://www.otomoto.pl/oferta/fiat-125p-1980r-1-5-benz-ladny-zadbany-fajny-stan-zobacz-ID6DH54K.html#d0e4a5ab9c
6083978577,fiat,125p,Krzemieniewo,Wielkopolskie,57,1481,13000,PLN,,False,,,,,,,1976,1976-11-16 00:00:00,75000,Osoby prywatnej,,Benzyna,,Auta miejskie,Brązowy,Używane,,,Manualna,2021-04-06 12:49:00,https://www.otomoto.pl/oferta/fiat-125p-fiat-125p-ID6DJKKJ.html#d0e4a5ab9c
6083338979,fiat,125p,Słomniki,Małopolskie,80,1481,21900,PLN,,False,False,,,,,,1990,1991-07-29 00:00:00,68000,Osoby prywatnej,,Benzyna,,Sedan,Niebieski,Używane,,,Manualna,2021-04-06 12:24:00,https://www.otomoto.pl/oferta/fiat-125p-fiat-125p-1-5me-niebieski-1990r-ID6DH4mD.html#d0e4a5ab9c
6081564083,fiat,125p,Mszana Dolna,Małopolskie,75,1500,19900,PLN,,False,,,,,,,1979,,35249,Osoby prywatnej,,Benzyna,,Sedan,Zielony,Używane,,,Manualna,2021-04-04 19:48:00,https://www.otomoto.pl/oferta/fiat-125p-fiat-125p-zastava-pezejac-sprowadzony-z-jugoslawii-ID6DzCDh.html#d0e4a5ab9c
6083233886,fiat,125p,Rumia,Pomorskie,75,1300,17900,PLN,,False,,,,,,,1975,,11693,Osoby prywatnej,,Benzyna,,Sedan,Niebieski,Używane,,,Manualna,2021-04-03 14:17:00,https://www.otomoto.pl/oferta/fiat-125p-fiat-125p-ID6DGD1A.html#d0e4a5ab9c
6083926210,fiat,125p,Radom,Mazowieckie,60,1295,12900,PLN,,False,,,,,,,1987,1977-05-10 00:00:00,54553,Osoby prywatnej,,Benzyna,,Sedan,Beżowy,Używane,,Na przednie koła,Manualna,2021-04-03 11:28:00,https://www.otomoto.pl/oferta/fiat-125p-1-3-ID6DJx86.html#d0e4a5ab9c
6083727982,fiat,125p,Przemyśl,Podkarpackie,106,1600,48000,PLN,,False,,True,,,,,1969,1969-05-20 00:00:00,85364,Osoby prywatnej,,Benzyna,,Sedan,Beżowy,Używane,,Na tylne koła,Manualna,2021-04-03 11:09:00,https://www.otomoto.pl/oferta/fiat-125p-fiat-125-sport-wloski-1600ccm-oryginalne-alufelgi-ID6DIHyS.html#d0e4a5ab9c
6083920561,fiat,125p,Kwileń,Wielkopolskie,60,1295,32500,PLN,Niemcy,False,,True,,,,,1970,,9500,Firmy,,Benzyna,,Sedan,Inny kolor,Używane,,Na tylne koła,Manualna,2021-04-02 20:12:00,https://www.otomoto.pl/oferta/fiat-125p-125p-1970r-stary-model-z-niemiec-super-stan-mozna-wracac-na-kolach-ID6DJwEZ.html#d0e4a5ab9c
6083906839,fiat,125p,Częstochowa,Śląskie,82,1598,27000,PLN,Polska,False,False,True,,,,,1986,1987-04-22 00:00:00,3200,Osoby prywatnej,,Benzyna,,Sedan,Inny kolor,Używane,,Na tylne koła,Manualna,2021-04-02 12:52:00,https://www.otomoto.pl/oferta/fiat-125p-fiat-125p-ID6DJs5F.html#d0e4a5ab9c
6082376896,fiat,125p,Gdańsk,Pomorskie,,1500,27500,PLN,,False,False,True,,,,,1976,,4000,Osoby prywatnej,,Benzyna,,Sedan,Biały,Używane,True,Na tylne koła,Manualna,2021-04-02 09:35:00,https://www.otomoto.pl/oferta/fiat-125p-fiat-125p-stare-rejestracje-od-pierwszego-wlasciciela-ID6DD25a.html#d0e4a5ab9c
6075059270,fiat,125p,Suliszewo,Zachodniopomorskie,85,1481,25900,PLN,Polska,False,False,True,,,,,1985,,104000,Osoby prywatnej,,Benzyna,,Sedan,Żółty,Używane,True,Na tylne koła,Manualna,2021-03-31 21:05:00,https://www.otomoto.pl/oferta/fiat-125p-polski-fiat-po-kompletnej-renowacji-ID6D8kqV.html#d0e4a5ab9c
