ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6082628442,gmc,acadia,Lipówki,Mazowieckie,279,3564,55900,PLN,Holandia,False,False,,,True,,,2010,2010-03-16 00:00:00,285757,Firmy,,Benzyna,,SUV,Czarny,Używane,True,4x4 (dołączany automatycznie),Automatyczna,2021-04-07 19:56:00,https://www.otomoto.pl/oferta/gmc-acadia-jak-nowy-bardzo-ladna-ID6DE5vm.html#c5658a071a
6083657108,gmc,acadia,Pruszków,Mazowieckie,288,3600,185000,PLN,Stany Zjednoczone,False,False,,,,,,2019,2019-01-01 00:00:00,33000,Osoby prywatnej,,Benzyna,,SUV,Niebieski,Używane,True,4x4 (dołączany automatycznie),Automatyczna,2021-04-05 14:27:00,https://www.otomoto.pl/oferta/gmc-acadia-gmc-acadia-ID6DIp7K.html#c5658a071a
6083746488,gmc,other,Szczecin,Zachodniopomorskie,250,3497,9500,PLN,,False,,True,,True,,,2005,,118000,Firmy,,Benzyna,,SUV,Srebrny,Używane,,4x4 (stały),Automatyczna,2021-04-07 21:20:00,https://www.otomoto.pl/oferta/gmc-gmc-saturn-vue-250-koni-silnik-hondy-ID6DIMnm.html#60479ea5ab
6083894350,gmc,safari,Gliwice,Śląskie,192,4300,59900,PLN,,False,False,True,,,,,1996,,68050,Firmy,,Benzyna,,Minivan,Srebrny,Używane,True,,Automatyczna,2021-04-07 22:18:00,https://www.otomoto.pl/oferta/gmc-safari-68-tys-km-4-3-vortec-salonka-japonia-vat-23-ID6DJoQe.html#e5d726504d
6080811556,gmc,savana,Łódź,Łódzkie,325,5300,60000,PLN,,False,,,,,,,2010,,175000,Osoby prywatnej,,Benzyna,,Minivan,Biały,Używane,True,Na tylne koła,Automatyczna,2021-04-02 21:37:00,https://www.otomoto.pl/oferta/gmc-savana-gmc-savana-2010-ID6DvsRK.html#18a00f94d7
6083830917,gmc,sierra,Warszawa,Mazowieckie,355,5298,132500,PLN,Stany Zjednoczone,False,,,,,,Mk2 (1987-1993),2020,,19709,Firmy,,Benzyna,352,SUV,Brązowy,Używane,,4x4 (stały),Automatyczna,2021-04-06 13:56:00,https://www.otomoto.pl/oferta/gmc-sierra-2020-k1500-slt-5-3-v8-ID6DJ8l7.html#3778013eef
6081344766,gmc,sierra,Kórnik,Wielkopolskie,280,6200,69900,PLN,Holandia,False,,True,,,,Mk1 (1982-1986),1986,,185300,Osoby prywatnej,,Diesel,,SUV,Szary,Używane,,Na tylne koła,Automatyczna,2021-04-05 17:36:00,https://www.otomoto.pl/oferta/gmc-sierra-gmc-sierra-3500-chevrolet-c-k-hummer-jedyny-taki-6-2-v8-diesel-ID6DyHzU.html#3778013eef
6083201306,gmc,sierra,Sulejówek,Mazowieckie,355,5300,119000,PLN,,False,,,,,,Mk2 (1987-1993),2020,,20650,Firmy,,Benzyna,,SUV,Czerwony,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-05 16:07:00,https://www.otomoto.pl/oferta/gmc-sierra-2020-5-3l-4x4-od-ubezpieczalni-ID6DGuy6.html#3778013eef
6081175034,gmc,sierra,Włodawa,Lubelskie,315,5300,67000,PLN,Stany Zjednoczone,False,False,,,,,Mk2 (1987-1993),2012,,386000,Osoby prywatnej,,Benzyna,,SUV,Biały,Używane,,4x4 (dołączany ręcznie),Automatyczna,2021-04-05 08:39:00,https://www.otomoto.pl/oferta/gmc-sierra-gmc-sierra-1500-z71-5-3-v8-4x4-fv-ID6DxZqi.html#3778013eef
6076568788,gmc,sierra,Łódź,Łódzkie,355,5300,199000,PLN,,False,False,,,,,,2018,,20000,Osoby prywatnej,,Benzyna,,Auta małe,Bordowy,Używane,True,4x4 (stały),Automatyczna,2021-04-02 11:44:00,https://www.otomoto.pl/oferta/gmc-sierra-5-3-v8-automat-pakiet-z71-ID6DeF80.html#3778013eef
6083664019,gmc,terrain,Załuże,Łódzkie,182,2409,60000,PLN,,False,False,,,,,,2012,,142000,Osoby prywatnej,,Benzyna+LPG,,SUV,Czarny,Używane,,Na przednie koła,Automatyczna,2021-04-05 16:47:00,https://www.otomoto.pl/oferta/gmc-terrain-gmc-terrain-opel-grandland-lpg-zamiana-berlingo-dokker-partner-ID6DIqWd.html#d3b04f996b
6081281831,gmc,terrain,Września,Wielkopolskie,182,2389,52500,PLN,,False,False,True,,,,,2012,,152000,Firmy,,Benzyna,,SUV,Inny kolor,Używane,,Na przednie koła,Automatyczna,2021-04-04 09:34:00,https://www.otomoto.pl/oferta/gmc-terrain-gmc-terrain-2-4-benz-182km-bezwypadek-gwarancja-zamiana-zarejestr-ID6DyrcP.html#d3b04f996b
6083457636,gmc,yukon,Warszawa,Mazowieckie,420,6200,135000,PLN,,False,,,,,,,2017,,130000,Firmy,,Benzyna,,SUV,Czarny,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-08 19:56:00,https://www.otomoto.pl/oferta/gmc-yukon-2017-6-2l-4x4-porysowany-lakier-ID6DHzes.html#05e76a55bc
6081569850,gmc,yukon,Marki,Mazowieckie,320,5300,47000,PLN,Stany Zjednoczone,False,,,,,,,2013,,118500,Osoby prywatnej,,Benzyna,,SUV,Czarny,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-06 15:19:00,https://www.otomoto.pl/oferta/gmc-yukon-ID6DzE8i.html#05e76a55bc
6079722176,gmc,yukon,Warszawa,Mazowieckie,255,5700,34500,PLN,Stany Zjednoczone,False,False,True,,,,,1997,,268000,Osoby prywatnej,,Benzyna,,SUV,Niebieski,Używane,,Na tylne koła,Automatyczna,2021-04-04 14:11:00,https://www.otomoto.pl/oferta/gmc-yukon-gmc-yukon-chevrolet-tahoe-v8-rwd-zamiana-ID6DrTt6.html#05e76a55bc
6056771548,gmc,yukon,Poznań,Wielkopolskie,385,6162,85999,PLN,,False,False,,,,,,2007,,223814,Firmy,,Benzyna+LPG,,SUV,Szary,Używane,,4x4 (stały),Automatyczna,2021-04-04 13:46:00,https://www.otomoto.pl/oferta/gmc-yukon-denali-vat-23-gwarancja-3-m-ce-ID6BTAXG.html#05e76a55bc
6083933657,gmc,yukon,Radom,Mazowieckie,340,5967,58000,PLN,Szwajcaria,False,False,True,,True,,,2004,,251000,Osoby prywatnej,,Benzyna,223,SUV,Biały,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-03 21:07:00,https://www.otomoto.pl/oferta/gmc-yukon-6-0-vortech-340km-4x4-awd-kamery-skory-europa-full-opcja-ID6DJz4d.html#05e76a55bc
