ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6083921796,honda,accord,Siedlce,Mazowieckie,156,1997,34599,PLN,,False,,,,,,VIII (2008-2015),2008,2009-04-08 00:00:00,252000,Osoby prywatnej,,Benzyna+LPG,173,Sedan,Biały,Używane,,Na przednie koła,Manualna,2021-04-08 21:28:00,https://www.otomoto.pl/oferta/honda-accord-honda-accord-exe-navi-salon-polska-2009-biala-perla-full-opcja-lpg-ID6DJwYU.html#fe0a394daf
6076185498,honda,accord,Wrocław,Dolnośląskie,180,2199,45990,PLN,Niemcy,False,False,True,,,,VIII (2008-2015),2012,2012-03-28 00:00:00,138000,Osoby prywatnej,,Diesel,,Kombi,Szary,Używane,,Na przednie koła,Manualna,2021-04-08 18:49:00,https://www.otomoto.pl/oferta/honda-accord-2-2-d-type-s-2-wlasciciel-stan-bezwypadkowy-pewne-auto-ID6Dd3pU.html#fe0a394daf
6083102820,honda,accord,Pruszcz Gdański,Pomorskie,156,1997,32900,PLN,,False,,True,,True,,VIII (2008-2015),2009,,149103,Osoby prywatnej,,Benzyna,,Kombi,Czarny,Używane,,Na przednie koła,Manualna,2021-04-08 17:58:00,https://www.otomoto.pl/oferta/honda-accord-super-stan-serwisowany-do-konca-ID6DG4WC.html#fe0a394daf
6064872705,honda,accord,Kraków,Małopolskie,201,2400,40900,PLN,Niemcy,False,False,True,,True,,VIII (2008-2015),2010,,125500,Osoby prywatnej,,Benzyna,,Sedan,Czerwony,Używane,,,Automatyczna,2021-04-08 16:38:00,https://www.otomoto.pl/oferta/honda-accord-full-opcja-executive-2-4-vtec-201-km-automat-serwisowana-ID6CrArw.html#fe0a394daf
6084068234,honda,accord,Mikołajowice,Małopolskie,150,2254,11000,PLN,Polska,False,False,True,,,,VI (1998-2002),1999,1999-01-01 00:00:00,174000,Osoby prywatnej,,Benzyna+LPG,,Sedan,Biały,Używane,,Na przednie koła,Automatyczna,2021-04-08 15:32:00,https://www.otomoto.pl/oferta/honda-accord-honda-accord-2-3-unikat-usa-ID6DK84O.html#fe0a394daf
6084066309,honda,accord,Elbląg,Warmińsko-mazurskie,155,1998,14900,PLN,Niemcy,False,,True,,,,,2005,,260000,Osoby prywatnej,,Benzyna,,Kombi,Czarny,Używane,,Na przednie koła,Manualna,2021-04-08 14:48:00,https://www.otomoto.pl/oferta/honda-accord-stan-bdb-ksenon-skora-po-oplatach-ID6DK7zL.html#fe0a394daf
6083634535,honda,accord,Lubin,Dolnośląskie,150,2199,27600,PLN,Polska,False,False,True,,True,,VIII (2008-2015),2008,2009-02-23 00:00:00,289000,Osoby prywatnej,,Diesel,148,Kombi,Czarny,Używane,,Na przednie koła,Manualna,2021-04-08 14:25:00,https://www.otomoto.pl/oferta/honda-accord-2-2-i-dtec-150km-elegance-navi-salon-polska-grill-aero-ID6DIjfF.html#fe0a394daf
6084058704,honda,accord,Stargard Szczeciński,Zachodniopomorskie,156,1997,32900,PLN,,False,,True,,True,,VIII (2008-2015),2009,,129000,Osoby prywatnej,,Benzyna,170,Sedan,Niebieski,Używane,True,Na przednie koła,Manualna,2021-04-08 12:51:00,https://www.otomoto.pl/oferta/honda-accord-accord-2-0-i-vtec-156ps-xenon-led-pdc-serwis-ID6DK5B6.html#fe0a394daf
6084057235,honda,accord,Gdańsk,Pomorskie,155,1998,24000,PLN,,False,,,,,,VII (2002-2008),2003,,250000,Osoby prywatnej,,Benzyna+LPG,,Sedan,Szary,Używane,,,Manualna,2021-04-08 12:32:00,https://www.otomoto.pl/oferta/honda-accord-honda-accord-vii-ID6DK5dp.html#fe0a394daf
6083905788,honda,accord,Radzyń Podlaski,Lubelskie,140,2204,13900,PLN,,False,,,,,,VII (2002-2008),2006,,281000,Osoby prywatnej,,Diesel,153,Sedan,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-08 12:16:00,https://www.otomoto.pl/oferta/honda-accord-lift-2-2-diesel-140-km-okazja-piekne-auto-ID6DJrOI.html#fe0a394daf
