ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6076655741,hummer,h1,Białystok,Podlaskie,150,6217,290000,PLN,,True,False,True,,,,,1989,,40000,Osoby prywatnej,,Diesel,,SUV,Czarny,Używane,,4x4 (dołączany ręcznie),Automatyczna,2021-04-07 12:40:00,https://www.otomoto.pl/oferta/hummer-h1-hummer-h1-ID6Df1Kt.html#66c60c04bf
6083247162,hummer,h1,Toruń,Kujawsko-pomorskie,109,6217,115000,PLN,Stany Zjednoczone,True,False,,,,,,1986,,76000,Osoby prywatnej,,Diesel,,SUV,Zielony,Używane,,4x4 (stały),Automatyczna,2021-04-04 10:38:00,https://www.otomoto.pl/oferta/hummer-h1-hummer-h1-m998-hmmwv-ID6DGGtI.html#66c60c04bf
6076138546,hummer,h1,Karnin,Lubuskie,150,6500,135500,PLN,Polska,False,,,,,,,2000,,68044,Osoby prywatnej,,Diesel,,SUV,Zielony,Używane,,,Automatyczna,2021-04-04 09:17:00,https://www.otomoto.pl/oferta/hummer-h1-2000-am-general-humvee-6-5-diesel-4x4-hummer-h1-slantback-ID6DcRcC.html#66c60c04bf
6081336237,hummer,h2,Grzmiąca,Zachodniopomorskie,325,5967,82000,PLN,Stany Zjednoczone,False,False,,,,,,2005,,195000,Osoby prywatnej,,Benzyna,,SUV,Szary,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-07 09:06:00,https://www.otomoto.pl/oferta/hummer-h2-hummer-h2-ID6DyFml.html#6dea332d7a
6082988155,hummer,h2,Bydgoszcz,Kujawsko-pomorskie,325,5967,99999,PLN,,False,False,True,,True,,,2007,,203000,Osoby prywatnej,,Benzyna,,SUV,Czarny,Używane,,4x4 (stały),Automatyczna,2021-04-05 16:16:00,https://www.otomoto.pl/oferta/hummer-h2-hummer-h2-mocno-doinwestowany-konkretny-tuning-ID6DFB6b.html#6dea332d7a
6082559289,hummer,h2,Suków,Świętokrzyskie,325,5967,96000,PLN,,False,False,True,,,,,2003,2003-01-01 00:00:00,189500,Osoby prywatnej,,Benzyna+LPG,,SUV,Biały,Używane,,4x4 (stały),Automatyczna,2021-04-03 21:49:00,https://www.otomoto.pl/oferta/hummer-h2-h-2-hummer-bialy-benzyna-ID6DDNvZ.html#6dea332d7a
6082181946,hummer,h2,Lublin,Lubelskie,329,5967,98000,PLN,,False,False,True,,,,,2003,2020-11-27 00:00:00,315000,Osoby prywatnej,,Benzyna,,SUV,Biały,Używane,True,4x4 (dołączany automatycznie),Automatyczna,2021-04-03 16:27:00,https://www.otomoto.pl/oferta/hummer-h2-hummer-h2-ID6DCdmO.html#6dea332d7a
6070153860,hummer,h2,Lublin,Lubelskie,325,5967,129000,PLN,,False,,True,,,,,2005,,135000,Osoby prywatnej,,Benzyna,,SUV,Biały,Używane,,,Automatyczna,2021-03-31 17:58:00,https://www.otomoto.pl/oferta/hummer-h2-ID6CNKjq.html#6dea332d7a
6082353289,hummer,h2,Ruda Śląska,Śląskie,400,6000,135000,PLN,Stany Zjednoczone,False,,True,,,,,2003,,148000,Firmy,,Benzyna,,SUV,Czarny,Używane,True,,Automatyczna,2021-03-31 15:45:00,https://www.otomoto.pl/oferta/hummer-h2-limo-limuzyna-party-car-vip-2003-r-ID6DCWVp.html#6dea332d7a
6082685514,hummer,h2,Warszawa,Mazowieckie,329,5967,85000,PLN,,False,False,,,,,,2006,,215900,Osoby prywatnej,,Benzyna,,SUV,Niebieski,Używane,,4x4 (stały),Automatyczna,2021-03-28 16:48:00,https://www.otomoto.pl/oferta/hummer-h2-bardzo-ladny-i-zadbany-super-stan-ID6DEkmS.html#6dea332d7a
6083708291,hummer,h2,Węgorzewo,Warmińsko-mazurskie,325,5967,76000,PLN,,False,False,,,,,,2006,2007-04-16 00:00:00,162000,Osoby prywatnej,,Benzyna+LPG,,SUV,Szary,Używane,,4x4 (stały),Automatyczna,2021-03-27 17:20:00,https://www.otomoto.pl/oferta/hummer-h2-ID6DICrh.html#6dea332d7a
6084080861,hummer,h3,Legionowo,Mazowieckie,220,3500,54900,PLN,Stany Zjednoczone,False,False,True,,True,,,2006,2006-01-02 00:00:00,145000,Osoby prywatnej,,Benzyna,,SUV,Czarny,Używane,True,4x4 (dołączany automatycznie),Automatyczna,2021-04-08 21:04:00,https://www.otomoto.pl/oferta/hummer-h3-hummer-h3-3-5v6-automat-4x4-klima-ID6DKbmt.html#42d6d23ca2
6069476180,hummer,h3,Koszalin,Zachodniopomorskie,223,3460,59900,PLN,,False,False,,,,,,2007,,164000,Firmy,,Benzyna+LPG,,SUV,Inny kolor,Używane,,4x4 (dołączany automatycznie),Manualna,2021-04-08 15:00:00,https://www.otomoto.pl/oferta/hummer-h3-3-5-b-lpg-ID6CKU16.html#42d6d23ca2
6078817417,hummer,h3,Bielsko-Biała,Śląskie,,3700,110000,PLN,,False,,,,,,,2007,,92200,Osoby prywatnej,,Benzyna,,SUV,Żółty,Używane,,4x4 (stały),Automatyczna,2021-04-08 08:27:00,https://www.otomoto.pl/oferta/hummer-h3-wersja-adventure-ID6Do66d.html#42d6d23ca2
6082999644,hummer,h3,Krynica-Zdrój,Małopolskie,245,3653,16000,PLN,Stany Zjednoczone,False,False,,,,,,2008,2008-02-11 00:00:00,167000,Osoby prywatnej,,Benzyna+LPG,346,SUV,Czarny,Używane,,4x4 (stały),Automatyczna,2021-04-07 13:55:00,https://www.otomoto.pl/oferta/hummer-h3-hummer-h3-ID6DFE5u.html#42d6d23ca2
