ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6083773991,infiniti,ex,Płock,Mazowieckie,238,2993,59900,PLN,Polska,False,False,,,True,,,2011,,135669,Osoby prywatnej,,Diesel,224,SUV,Bordowy,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-08 19:34:00,https://www.otomoto.pl/oferta/infiniti-ex-infiniti-ex30d-salon-polska-komfort-i-elegancja-w-jednym-ID6DITvX.html#163ad24298
6069350293,infiniti,ex,Białystok,Podlaskie,248,2991,49000,PLN,,False,False,True,,True,,,2010,,222000,Firmy,,Diesel,,SUV,Biały,Używane,True,4x4 (dołączany automatycznie),Automatyczna,2021-04-08 02:15:00,https://www.otomoto.pl/oferta/infiniti-ex-ID6CKngF.html#163ad24298
6084032136,infiniti,ex,Kalisz,Wielkopolskie,238,2993,49900,PLN,Polska,False,,,,,,,2010,2010-12-10 00:00:00,150000,Firmy,,Diesel,224,SUV,Szary,Używane,True,4x4 (stały),Automatyczna,2021-04-07 15:30:00,https://www.otomoto.pl/oferta/infiniti-ex-salon-polska-1-wlasciciel-ID6DJYGA.html#163ad24298
6083437511,infiniti,ex,Głogów,Dolnośląskie,238,2993,61377,PLN,,False,False,True,,True,,,2010,2010-01-01 00:00:00,152000,Osoby prywatnej,,Diesel,224,SUV,Czarny,Używane,True,4x4 (stały),Automatyczna,2021-04-07 13:10:00,https://www.otomoto.pl/oferta/infiniti-ex-nowy-silnik-na-gwarancji-zadbany-bezwypadkowy-4x4-kamery-360-salon-pl-ID6DHtZR.html#163ad24298
6081657994,infiniti,ex,Konin,Wielkopolskie,320,3696,49900,PLN,Polska,False,False,,,,,,2010,2010-06-10 00:00:00,268442,Firmy,,Benzyna+LPG,,Kombi,Bordowy,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-07 10:45:00,https://www.otomoto.pl/oferta/infiniti-ex-ex37-gt-premium-ID6DA13Y.html#163ad24298
6083606378,infiniti,ex,Rybnik,Śląskie,238,2993,49900,PLN,Polska,False,False,True,,True,,,2012,,126000,Firmy,,Diesel,224,SUV,Szary,Używane,True,4x4 (stały),Automatyczna,2021-04-06 12:50:00,https://www.otomoto.pl/oferta/infiniti-ex-3-0d-250km-4x4-automat-2xklima-skora-grzanefotele-kamera-gwarancja-ID6DIbWv.html#163ad24298
6076125266,infiniti,ex,Lublin,Lubelskie,297,3498,44900,PLN,,False,False,True,,,,,2009,,168000,Osoby prywatnej,,Benzyna,,SUV,Szary,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-04 19:51:00,https://www.otomoto.pl/oferta/infiniti-ex-infiniti-ex35-awd-journey-300km-ID6DcNKq.html#163ad24298
6082799452,infiniti,ex,Letnica,Lubuskie,297,3498,35000,PLN,,False,False,,,,,,2008,,183000,Osoby prywatnej,,Benzyna,,SUV,Czarny,Używane,True,4x4 (dołączany automatycznie),Automatyczna,2021-04-03 20:10:00,https://www.otomoto.pl/oferta/infiniti-ex-ex-35-do-poprawek-lakierniczych-ID6DEO0A.html#163ad24298
6076063871,infiniti,ex,Jastków,Lubelskie,300,3498,21700,PLN,,False,,,,,,,2008,,195000,Firmy,,Benzyna,,SUV,Szary,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-03 18:14:00,https://www.otomoto.pl/oferta/infiniti-ex-35-3-5-ccm-benz-automat-4x4-clo-vat-akcyza-oplacona-ID6DcxMb.html#163ad24298
6083202423,infiniti,fx,Kielce,Świętokrzyskie,238,2993,57700,PLN,Polska,False,False,True,,True,,II (2009-2013),2010,,240000,Osoby prywatnej,,Diesel,,SUV,Szary,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-07 16:55:00,https://www.otomoto.pl/oferta/infiniti-fx-infiniti-fx-30d-s-polski-salon-ID6DGuQ7.html#697c51e383
