ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6076974278,isuzu,d-max,Wrocław,Dolnośląskie,163,1898,167280,PLN,,False,,True,,,,,2020,,900,Firmy,,Diesel,,SUV,Szary,Nowe,,4x4 (dołączany ręcznie),Automatyczna,2021-03-30 11:16:00,https://www.otomoto.pl/oferta/isuzu-d-max-nowy-isuzu-d-max-2020-wersje-lse-automat-ID6DgmCa.html#7a2e688c2c
6080324039,isuzu,d-max,Marki,Mazowieckie,163,1898,159777,PLN,,False,,True,,,,,2020,,1,Firmy,True,Diesel,205,SUV,Czarny,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-08 22:11:00,https://www.otomoto.pl/oferta/isuzu-d-max-isuzu-d-max-lsx-automat-dostepny-od-reki-ID6Duq2z.html#7a2e688c2c
6082579895,isuzu,d-max,Dąbrowa Górnicza,Śląskie,163,2999,40000,PLN,,False,False,,,,,,2011,,230000,Osoby prywatnej,,Diesel,237,SUV,Biały,Używane,,4x4 (dołączany ręcznie),Automatyczna,2021-04-08 17:39:00,https://www.otomoto.pl/oferta/isuzu-d-max-sprzedam-isuzu-d-max-rocznik-2011-ID6DDSTl.html#7a2e688c2c
6083417968,isuzu,d-max,Bydgoszcz,Kujawsko-pomorskie,163,2499,77900,PLN,Polska,False,False,True,,True,,,2014,2015-02-02 00:00:00,117000,Osoby prywatnej,,Diesel,,SUV,Biały,Używane,True,4x4 (dołączany ręcznie),Manualna,2021-04-08 15:50:00,https://www.otomoto.pl/oferta/isuzu-d-max-polski-salon-2015-serwis-117tys-super-stan-ID6DHoUE.html#7a2e688c2c
6079513462,isuzu,d-max,Radom,Mazowieckie,163,1898,142100,PLN,Polska,False,,True,,,,,2020,,12,Firmy,,Diesel,,SUV,Szary,Nowe,,4x4 (dołączany ręcznie),Automatyczna,2021-04-08 15:01:00,https://www.otomoto.pl/oferta/isuzu-d-max-nowy-model-2020-wersja-lsx-1-9-163km-4x4-automat-ID6Dr1aK.html#7a2e688c2c
6075890227,isuzu,d-max,Radom,Mazowieckie,163,1898,89777,PLN,Polska,False,False,True,,True,,,2018,2019-01-09 00:00:00,13300,Firmy,True,Diesel,,SUV,Biały,Używane,True,4x4 (dołączany ręcznie),Manualna,2021-04-08 15:01:00,https://www.otomoto.pl/oferta/isuzu-d-max-ciezarowy-vat-23-dluga-paka-niski-przebieg-hak-ID6DbOBt.html#7a2e688c2c
6077690393,isuzu,d-max,Mogilany,Małopolskie,163,1898,176505,PLN,,False,,True,,,True,,2020,,1,Firmy,,Diesel,,SUV,Biały,Nowe,,4x4 (dołączany ręcznie),Automatyczna,2021-04-08 14:01:00,https://www.otomoto.pl/oferta/isuzu-d-max-isuzu-d-max-nowy-model-isuzu-2020-2021-lse-ID6DjmUp.html#7a2e688c2c
6081454670,isuzu,d-max,Warszawa,Mazowieckie,163,1898,116950,PLN,Polska,False,,True,,,,,2020,,10,Firmy,True,Diesel,180,SUV,Biały,Nowe,,4x4 (dołączany automatycznie),Manualna,2021-04-08 11:15:00,https://www.otomoto.pl/oferta/isuzu-d-max-nowe-isuzu-dmax-ec-ls-4wd-mt-1-9-163km-ID6Dzaay.html#7a2e688c2c
6079544526,isuzu,d-max,Czosnów,Mazowieckie,163,1898,164820,PLN,,False,False,True,,True,,,2020,,5,Firmy,,Diesel,190,SUV,Biały,Używane,True,4x4 (dołączany automatycznie),Automatyczna,2021-04-08 10:54:00,https://www.otomoto.pl/oferta/isuzu-d-max-isuzu-d-max-2020r-dc-lse-dostepny-od-reki-ID6Dr9fM.html#7a2e688c2c
6079630716,isuzu,d-max,Wejherowo,Pomorskie,163,1898,178227,PLN,,False,,,,,True,,2020,,2000,Firmy,,Diesel,,SUV,Niebieski,Używane,,4x4 (dołączany ręcznie),Automatyczna,2021-04-08 08:20:00,https://www.otomoto.pl/oferta/isuzu-d-max-lse-automat-4wd-demo-nowa-generacja-ID6DrwFV.html#7a2e688c2c
6080282300,isuzu,d-max,Błonie,Mazowieckie,163,1898,105999,PLN,Polska,False,,True,,,,,2020,,10,Firmy,,Diesel,183,SUV,Biały,Nowe,,4x4 (dołączany ręcznie),Manualna,2021-04-07 22:42:00,https://www.otomoto.pl/oferta/isuzu-d-max-odlicz-pelny-vat-klima-hak-nowy-model-4x4-ID6Dufbm.html#7a2e688c2c
6081980003,isuzu,d-max,Jaworznia,Świętokrzyskie,163,1898,35900,PLN,,False,,,,,,,2019,,28000,Firmy,,Diesel,,SUV,Inny kolor,Używane,,4x4 (dołączany ręcznie),Manualna,2021-04-07 19:07:00,https://www.otomoto.pl/oferta/isuzu-d-max-przebieg-tylko-28000-tys-ID6DBmPF.html#7a2e688c2c
6080775719,isuzu,d-max,Błonie,Mazowieckie,163,1898,189999,PLN,Polska,False,,True,,,,,2020,,10,Firmy,,Diesel,190,SUV,Biały,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-07 18:22:00,https://www.otomoto.pl/oferta/isuzu-d-max-l-s-e-pelna-opcja-automat-najwyzszy-model-od-reki-ID6DvjxJ.html#7a2e688c2c
6079486287,isuzu,d-max,Błonie,Mazowieckie,163,1898,98999,PLN,Francja,False,False,True,,True,,,2018,,41800,Firmy,,Diesel,205,SUV,Niebieski,Używane,True,4x4 (dołączany ręcznie),Automatyczna,2021-04-07 15:43:00,https://www.otomoto.pl/oferta/isuzu-d-max-lsx-automat-kam-cof-el-fotel-klima-alufelgi-18-bezwypadkowy-od-reki-ID6DqU6r.html#7a2e688c2c
6082381850,isuzu,d-max,Marki,Mazowieckie,163,1898,130257,PLN,Polska,False,,True,,True,,,2021,,1,Firmy,True,Diesel,,SUV,Biały,Nowe,True,4x4 (dołączany ręcznie),Manualna,2021-04-07 14:37:00,https://www.otomoto.pl/oferta/isuzu-d-max-isuzu-d-max-1-9-l-pojedyncza-kabina-nowy-model-ID6DD3n4.html#7a2e688c2c
6084029951,isuzu,d-max,Łomianki,Mazowieckie,163,2499,24900,PLN,,False,,,,,,,2013,2013-10-22 00:00:00,120964,Osoby prywatnej,,Diesel,220,SUV,Czarny,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-07 14:34:00,https://www.otomoto.pl/oferta/isuzu-d-max-isuzu-d-max-po-wypadku-ID6DJY7l.html#7a2e688c2c
