ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6077522754,jaguar,daimler,Świdnik,Lubelskie,265,5300,16999,PLN,Wielka Brytania,False,,,True,,,,1978,,100000,Osoby prywatnej,,Benzyna,,Sedan,Srebrny,Używane,,Na tylne koła,Automatyczna,2021-04-08 09:01:00,https://www.otomoto.pl/oferta/jaguar-daimler-jaguar-daimler-double-six-5-3-v12-1978r-ID6DiFiy.html#303d5a8d82
6084027190,jaguar,daimler,Środa Wielkopolska,Wielkopolskie,226,3980,20000,PLN,,False,False,,,,,,1992,1996-06-24 00:00:00,238000,Firmy,,Benzyna,,Sedan,Niebieski,Używane,,Na tylne koła,Automatyczna,2021-04-07 13:00:00,https://www.otomoto.pl/oferta/jaguar-daimler-auto-zadbane-z-niewielkim-przebiegiem-ID6DJXoO.html#303d5a8d82
6083926727,jaguar,daimler,Bielsko-Biała,Śląskie,226,3980,21900,PLN,,False,,,True,,,,1994,1994-04-02 00:00:00,102000,Osoby prywatnej,,Benzyna,,Sedan,Inny kolor,Używane,,Na tylne koła,Automatyczna,2021-04-03 12:09:00,https://www.otomoto.pl/oferta/jaguar-daimler-daimler-jaguar-xj-1200-limousine-wilcox-ID6DJxgr.html#303d5a8d82
6083223649,jaguar,daimler,Poznań,Wielkopolskie,284,3996,15900,PLN,Szwajcaria,False,False,,,,,,1998,1998-02-21 00:00:00,492000,Osoby prywatnej,,Benzyna+LPG,,Sedan,Zielony,Używane,,Na tylne koła,Automatyczna,2021-04-02 16:33:00,https://www.otomoto.pl/oferta/jaguar-daimler-oryginal-lpg-ID6DGAmt.html#303d5a8d82
6078775519,jaguar,daimler,Węgrzce,Małopolskie,264,5345,39000,PLN,,False,,,,,,,1992,,172000,Osoby prywatnej,,Benzyna,,Sedan,Czarny,Używane,,,Manualna,2021-04-02 14:28:00,https://www.otomoto.pl/oferta/jaguar-daimler-jagua-ID6DnWcr.html#303d5a8d82
6083892825,jaguar,daimler,Wschowa,Lubuskie,226,3980,34800,PLN,,False,False,,,,,,1989,,101000,Osoby prywatnej,,Benzyna,,Sedan,Inny kolor,Używane,,,Automatyczna,2021-04-02 10:51:00,https://www.otomoto.pl/oferta/jaguar-daimler-daimler-xj6-3-6i-automat-podgrzewane-elek-fotele-klima-szyberdach-ID6DJorD.html#303d5a8d82
6083494656,jaguar,daimler,Sieradz,Łódzkie,226,3980,26900,PLN,,False,,,,,,,1991,,224057,Osoby prywatnej,,Benzyna,,Sedan,Bordowy,Używane,,Na tylne koła,Automatyczna,2021-04-01 15:53:00,https://www.otomoto.pl/oferta/jaguar-daimler-4-0-six-xj40-ID6DHIRy.html#303d5a8d82
6080601429,jaguar,e-pace,Gdańsk,Pomorskie,180,1999,193900,PLN,Polska,False,,True,,,,,2020,,9,Firmy,True,Diesel,147,SUV,Czerwony,Nowe,,4x4 (stały),Automatyczna,2021-04-08 10:10:00,https://www.otomoto.pl/oferta/jaguar-e-pace-2-0-diesel-180km-awd-auto-r-dynamic-s-r-2020-ID6DwAcB.html#9c0f63c38c
6080603784,jaguar,e-pace,Gdańsk,Pomorskie,180,1999,170900,PLN,Polska,False,,True,,,,,2020,,9,Firmy,True,Diesel,147,SUV,Biały,Nowe,,4x4 (stały),Automatyczna,2021-04-07 13:57:00,https://www.otomoto.pl/oferta/jaguar-e-pace-2-0-diesel-i4-180km-awd-automat-ID6DwAOA.html#9c0f63c38c
6081267008,jaguar,e-pace,Gdańsk,Pomorskie,200,1998,223900,PLN,Polska,False,False,True,,True,,,2020,2020-06-17 00:00:00,16000,Firmy,True,Benzyna,186,SUV,Niebieski,Używane,True,4x4 (stały),Automatyczna,2021-04-06 19:45:00,https://www.otomoto.pl/oferta/jaguar-e-pace-r-dynamic-se-pierwszy-wlasciciel-serwis-aso-gwarancja-auto-demo-ID6DynlK.html#9c0f63c38c
