ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6075666671,jeep,cherokee,Warszawa,Mazowieckie,282,3239,69500,PLN,Stany Zjednoczone,False,False,,,,,V (2014-),2015,2015-01-01 00:00:00,103000,Osoby prywatnej,,Benzyna,,SUV,Czarny,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-08 20:44:00,https://www.otomoto.pl/oferta/jeep-cherokee-jeep-trailhavk-cherokee-2015-ID6DaSrJ.html#b6ff9a6886
6073729558,jeep,cherokee,Pieńsk,Dolnośląskie,187,,63000,PLN,Stany Zjednoczone,False,False,,,,,V (2014-),2014,,62000,Osoby prywatnej,,Benzyna,,SUV,Szary,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-08 19:27:00,https://www.otomoto.pl/oferta/jeep-cherokee-jeep-cherokee-kl-2-4-latitude-ID6D2KwY.html#b6ff9a6886
6080201307,jeep,cherokee,Giedlarowa,Podkarpackie,272,3239,79900,PLN,Stany Zjednoczone,False,False,,,,,V (2014-),2017,,81300,Osoby prywatnej,,Benzyna+LPG,232,SUV,Czarny,Używane,,Na przednie koła,Automatyczna,2021-04-08 10:28:00,https://www.otomoto.pl/oferta/jeep-cherokee-jeep-cherokee-2017-limited-ID6DtU71.html#b6ff9a6886
6084012719,jeep,cherokee,Kielce,Świętokrzyskie,171,3964,38000,PLN,,False,False,,,,,II (1987-2001),1990,,250000,Osoby prywatnej,,Benzyna,,SUV,Czarny,Używane,,4x4 (dołączany ręcznie),Automatyczna,2021-04-07 09:52:00,https://www.otomoto.pl/oferta/jeep-cherokee-jeep-cherooke-4-0-skyjacker-odbudowany-od-podstaw-ID6DJTDp.html#b6ff9a6886
6083987594,jeep,cherokee,Natolin,Mazowieckie,170,1956,89900,PLN,Polska,False,False,True,,True,,V (2014-),2015,2016-06-21 00:00:00,87452,Firmy,True,Diesel,,Kombi,Biały,Używane,True,4x4 (dołączany automatycznie),Automatyczna,2021-04-06 16:10:00,https://www.otomoto.pl/oferta/jeep-cherokee-2-0-mjd-active-drive-i-limited-aut-ID6DJN6a.html#b6ff9a6886
6065112138,jeep,cherokee,Łódź,Łódzkie,177,2400,115000,PLN,Stany Zjednoczone,False,False,,,,,V (2014-),2019,,2450,Osoby prywatnej,,Benzyna,,SUV,Biały,Używane,,4x4 (stały),Automatyczna,2021-04-05 22:05:00,https://www.otomoto.pl/oferta/jeep-cherokee-jeep-cherokee-latitude-2-4-multi-air-177km-4x4-ID6CsAJk.html#b6ff9a6886
6083003049,jeep,cherokee,Szczecin,Zachodniopomorskie,170,1956,75500,PLN,Polska,False,False,True,,True,True,V (2014-),2014,2015-01-09 00:00:00,103000,Osoby prywatnej,,Diesel,154,SUV,Czerwony,Używane,True,4x4 (dołączany ręcznie),Automatyczna,2021-04-05 18:08:00,https://www.otomoto.pl/oferta/jeep-cherokee-jeep-cherokee-2-0-limited-rejestracja-2015-1-wlasciciel-stan-idealny-ID6DFEYp.html#b6ff9a6886
6083385391,jeep,cherokee,Chojnice,Pomorskie,173,3960,59000,PLN,,False,,,,,,II (1987-2001),1999,2020-06-30 00:00:00,210000,Osoby prywatnej,,Benzyna,,SUV,Niebieski,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-05 17:12:00,https://www.otomoto.pl/oferta/jeep-cherokee-xj-limited-edition-skora-klima-4-0l-automat-ID6DHgrd.html#b6ff9a6886
6083877778,jeep,cherokee,Radkowice,Świętokrzyskie,163,2776,21000,PLN,Włochy,False,False,True,,,,III (2001-2008),2006,,238000,Osoby prywatnej,,Diesel,,SUV,Srebrny,Używane,,4x4 (dołączany ręcznie),Automatyczna,2021-04-05 15:46:00,https://www.otomoto.pl/oferta/jeep-cherokee-jeep-cherokee-2-8-crd-limited-ID6DJkvV.html#b6ff9a6886
6082773168,jeep,cherokee,Piski,Mazowieckie,150,2800,23900,PLN,,False,,,,,,III (2001-2008),2005,,398000,Osoby prywatnej,,Diesel,,SUV,Inny kolor,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-03 14:19:00,https://www.otomoto.pl/oferta/jeep-cherokee-ID6DEHaE.html#b6ff9a6886
6083910206,jeep,cherokee,Świątniki,Łódzkie,270,1994,119998,PLN,Stany Zjednoczone,False,False,,,,,V (2014-),2019,2019-01-01 00:00:00,4823,Firmy,,Benzyna,,SUV,Biały,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-02 14:04:00,https://www.otomoto.pl/oferta/jeep-cherokee-niski-przebieg-bogate-wyposazenie-ID6DJsXY.html#b6ff9a6886
6083729567,jeep,cherokee,Łódź,Łódzkie,177,2768,37900,PLN,Polska,False,False,True,,True,,IV (2008-2013),2010,,143000,Osoby prywatnej,,Diesel,,SUV,Czarny,Używane,True,4x4 (dołączany ręcznie),Automatyczna,2021-03-28 12:18:00,https://www.otomoto.pl/oferta/jeep-cherokee-salon-polska-i-wlasciciel-ID6DIHYr.html#b6ff9a6886
6084079524,jeep,cherokee,Łukówiec,Mazowieckie,200,2184,48500,PLN,,False,False,,,,,V (2014-),2015,,103000,Firmy,,Diesel,160,SUV,Czarny,Używane,,4x4 (dołączany ręcznie),Automatyczna,2021-04-09 06:09:00,https://www.otomoto.pl/oferta/jeep-cherokee-2-2-200km-limited-bogate-wyposazenie-lekko-uszkodzony-rej-pl-ID6DKb0U.html#b6ff9a6886
6084084036,jeep,cherokee,Białystok,Podlaskie,272,3239,69900,PLN,Kanada,False,,,,True,,V (2014-),2019,,6640,Firmy,,Benzyna,,SUV,Biały,Używane,,4x4 (stały),Automatyczna,2021-04-08 23:21:00,https://www.otomoto.pl/oferta/jeep-cherokee-3-2-v6-trailhawk-6640-km-przebiegu-kanada-najbogatsza-wersja-ID6DKcbG.html#b6ff9a6886
6083678291,jeep,cherokee,Zabrze,Śląskie,140,1956,59400,PLN,Francja,False,,,,,,V (2014-),2014,,180000,Firmy,,Diesel,147,SUV,Szary,Używane,True,4x4 (dołączany ręcznie),Manualna,2021-04-08 20:04:00,https://www.otomoto.pl/oferta/jeep-cherokee-2-0-mjd-4x4-longitude-xenon-skora-panorama-kamera-ID6DIuDp.html#b6ff9a6886
6084079262,jeep,cherokee,Będzin,Śląskie,163,2776,31900,PLN,Niemcy,False,,True,,True,,III (2001-2008),2008,,171000,Osoby prywatnej,,Diesel,246,SUV,Srebrny,Używane,,4x4 (stały),Manualna,2021-04-08 19:53:00,https://www.otomoto.pl/oferta/jeep-cherokee-2-8-diesel-163-km-limited-4x4-manual-skora-hak-elektryka-ID6DKaVG.html#b6ff9a6886
