ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6082153981,kia,carens,Warszawa,Mazowieckie,141,1685,63900,PLN,,False,False,True,,True,,IV (2013-),2015,2016-07-01 00:00:00,112300,Firmy,True,Diesel,118,Minivan,Czarny,Używane,,Na przednie koła,Automatyczna,2021-04-09 09:31:00,https://www.otomoto.pl/oferta/kia-carens-1-7crdi-141km-fv23-kamera-czujniki-bluetooth-isofix-podgrz-fotele-ID6DC65L.html#d683134aab
6083923047,kia,carens,Włoszczowa,Świętokrzyskie,115,1685,39999,PLN,,True,False,True,,True,,IV (2013-),2015,2015-08-10 00:00:00,150000,Osoby prywatnej,,Diesel,129,Minivan,Biały,Używane,True,Na przednie koła,Manualna,2021-04-08 23:25:00,https://www.otomoto.pl/oferta/kia-carens-model-2016-7os-100-orginal-aso-fv-23-jeden-wlasciciel-ID6DJvj5.html#d683134aab
6082567406,kia,carens,Kłodawa,Wielkopolskie,140,1991,7000,PLN,,False,False,True,,,True,III (2006-2012),2006,2006-11-01 00:00:00,225000,Osoby prywatnej,,Diesel,,Minivan,Czarny,Używane,,Na przednie koła,Manualna,2021-04-08 17:51:00,https://www.otomoto.pl/oferta/kia-carens-ID6DDPDU.html#d683134aab
6083246211,kia,carens,Warszawa,Mazowieckie,115,1685,33900,PLN,,False,,True,,,True,IV (2013-),2013,,139853,Firmy,True,Diesel,,Minivan,Beżowy,Używane,,Na przednie koła,Manualna,2021-04-08 09:36:00,https://www.otomoto.pl/oferta/kia-carens-darmowa-dostawa-klima-auto-kierownica-wielofunkcyjna-ID6DGGen.html#d683134aab
6084005548,kia,carens,Katowice,Śląskie,136,1685,41000,PLN,Polska,False,False,,,True,,IV (2013-),2013,2013-04-30 00:00:00,136944,Firmy,True,Diesel,,Minivan,Brązowy,Używane,,Na przednie koła,Manualna,2021-04-06 23:19:00,https://www.otomoto.pl/oferta/kia-carens-1-7-crdi-salon-polska-serwis-aso-7-miejsc-klimatronic-tempomat-ID6DJRLK.html#d683134aab
6083995329,kia,carens,Zabłudów,Podlaskie,145,1998,13999,PLN,,False,,True,,True,,III (2006-2012),2007,,166311,Osoby prywatnej,,Benzyna,193,Minivan,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-06 20:49:00,https://www.otomoto.pl/oferta/kia-carens-2-0ex-145km-klima-esp-2007r-oplacony-ID6DJP6W.html#d683134aab
6083993159,kia,carens,Łódź,Łódzkie,135,1591,42000,PLN,,False,False,,,True,,IV (2013-),2015,2015-10-30 00:00:00,95136,Firmy,True,Benzyna,,Minivan,Szary,Używane,,Na przednie koła,Manualna,2021-04-06 19:34:00,https://www.otomoto.pl/oferta/kia-carens-1-6-gdi-serwis-aso-klima-tempomat-ID6DJOxW.html#d683134aab
6083571370,kia,carens,Warszawa,Mazowieckie,135,1685,48500,PLN,,False,,True,,,True,IV (2013-),2015,,116291,Firmy,True,Diesel,,Minivan,Czarny,Używane,True,Na przednie koła,Automatyczna,2021-04-05 14:01:00,https://www.otomoto.pl/oferta/kia-carens-darmowa-dostawa-automat-skora-panorama-kam-cofania-i-wlasciciel-ID6DI2OS.html#d683134aab
6083757364,kia,carens,Warszawa,Mazowieckie,135,1591,43900,PLN,,False,,True,,,,IV (2013-),2013,,108707,Firmy,True,Benzyna,,Minivan,Brązowy,Używane,,Na przednie koła,Manualna,2021-04-04 10:12:00,https://www.otomoto.pl/oferta/kia-carens-darmowa-dostawa-led-pdc-grzane-fotele-kierownica-wielofunkcyjna-ID6DIPcM.html#d683134aab
6083198342,kia,carens,Pszczyna,Śląskie,145,1998,14900,PLN,,False,False,True,,True,,III (2006-2012),2009,,148000,Firmy,,Benzyna,193,Minivan,Czarny,Używane,True,Na przednie koła,Manualna,2021-04-01 15:11:00,https://www.otomoto.pl/oferta/kia-carens-bardzo-ladny-stan-rodzinny-van-mozliwosc-montazu-lpg-ID6DGtMi.html#d683134aab
