ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6083636780,lada,1117,Łęczna,Lubelskie,90,1390,5000,PLN,Rosja,False,False,True,,,,,2009,2016-03-15 00:00:00,80000,Osoby prywatnej,,Benzyna,149,Auta miejskie,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-05 15:10:00,https://www.otomoto.pl/oferta/lada-1117-lada-kalina-2009-ID6DIjPS.html#05c811e5f5
6083177566,lada,1119,Koszalin,Zachodniopomorskie,90,1390,1999,PLN,,False,,True,,True,,,2009,,80000,Osoby prywatnej,,Benzyna,149,Kompakt,Srebrny,Używane,True,Na przednie koła,Manualna,2021-04-01 08:42:00,https://www.otomoto.pl/oferta/lada-1119-lada-kalina-1119-maly-przebieg-z-niemiec-ID6DGonc.html#53340714ae
6083273187,lada,2104,Kalno,Dolnośląskie,72,1458,19500,PLN,Polska,False,False,True,,,,,1992,1992-08-18 00:00:00,100050,Osoby prywatnej,,Benzyna+LPG,,Kombi,Czerwony,Używane,,Na tylne koła,Manualna,2021-04-04 17:32:00,https://www.otomoto.pl/oferta/lada-2104-lada-waz-2104-youngtimer-zlombol-unikat-jedna-taka-marusia-ID6DGNft.html#0eabab8966
6083235418,lada,2105,Stawiszyn,Wielkopolskie,69,1300,9900,PLN,,False,False,,,,,,1986,1986-09-16 00:00:00,179398,Osoby prywatnej,,Benzyna,,Sedan,Beżowy,Używane,,Na przednie koła,Manualna,2021-04-03 15:52:00,https://www.otomoto.pl/oferta/lada-2105-lada-2105-zakonserwowana-16-lat-jeden-wlasciciel-ID6DGDqi.html#7f966d0c5f
6084121482,lada,kalina,Częstochowa,Śląskie,81,1596,7999,PLN,,False,,,,,,,2008,,79848,Firmy,,Benzyna,,Auta małe,Bordowy,Używane,,Na przednie koła,Manualna,2021-04-09 17:25:00,https://www.otomoto.pl/oferta/lada-kalina-lada-kalina-ID6DKlWE.html#a34f46c0e6
6082657369,lada,kalina,Bydgoszcz,Kujawsko-pomorskie,82,1596,3999,PLN,Niemcy,False,,,,,,,2007,,64000,Firmy,,Benzyna,,Auta miejskie,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-08 07:51:00,https://www.otomoto.pl/oferta/lada-kalina-1-6-benzyna-bez-rdzy-ID6DEd2W.html#a34f46c0e6
6083974986,lada,kalina,Kościerzyna,Pomorskie,87,1596,7500,PLN,Niemcy,False,,,,,,,2009,,51000,Firmy,,Benzyna,150,Auta miejskie,Zielony,Używane,,Na przednie koła,Manualna,2021-04-06 11:31:00,https://www.otomoto.pl/oferta/lada-kalina-1-4-90km-51-tys-km-super-stan-ID6DJJOO.html#a34f46c0e6
6083673608,lada,kalina,Margonin,Wielkopolskie,90,1400,5950,PLN,Niemcy,False,,,,True,,,2009,,87000,Osoby prywatnej,,Benzyna,,Auta miejskie,Inny kolor,Używane,,Na przednie koła,Manualna,2021-04-05 20:39:00,https://www.otomoto.pl/oferta/lada-kalina-wyjatkowa-1-4-90km-benzyna-bogata-oryginal-2010r-niski-przebieg-serwis-ID6DItpS.html#a34f46c0e6
6070679365,lada,kalina,Tarnowskie Góry,Śląskie,,,7500,PLN,,False,,,,,,,2011,,84321,Firmy,,Benzyna,,Auta miejskie,Fioletowy,Używane,,,,2021-04-04 17:34:00,https://www.otomoto.pl/oferta/lada-kalina-lada-kalina-1wlasc-84tys-klimatyzacja-idealna-ID6CPX1j.html#a34f46c0e6
6083920183,lada,kalina,Wolsztyn,Wielkopolskie,82,1596,2999,PLN,Niemcy,False,,,,,,,2006,,125000,Osoby prywatnej,,Benzyna,,Auta miejskie,Szary,Używane,,Na przednie koła,Manualna,2021-04-02 19:48:00,https://www.otomoto.pl/oferta/lada-kalina-klimatyzacja-sprowadzony-z-niemiec-ID6DJwyT.html#a34f46c0e6
