ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6053669624,lamborghini,aventador,Straszyn,Pomorskie,750,6498,2300000,PLN,Polska,False,False,True,,True,,,2016,,5500,Firmy,,Benzyna,,Coupe,Czarny,Używane,True,4x4 (stały),Automatyczna,2021-04-09 07:30:00,https://www.otomoto.pl/oferta/lamborghini-aventador-750-4-sv-1-z-600-salon-polska-faktura-vat-23-ID6BGA0E.html#63bd52dc7d
6081296698,lamborghini,aventador,Kraków,Małopolskie,700,6498,189000,EUR,,False,,,,,,,2013,,38000,Osoby prywatnej,,Benzyna,370,Coupe,Biały,Używane,,4x4 (stały),Automatyczna,2021-03-31 15:44:00,https://www.otomoto.pl/oferta/lamborghini-aventador-lamborghini-aventador-lp-700-4-ID6Dyw4C.html#63bd52dc7d
6079183428,lamborghini,aventador,Warszawa,Mazowieckie,700,6498,1490000,PLN,Polska,False,False,True,,True,,,2014,,37500,Firmy,True,Benzyna,370,Kabriolet,Czarny,Używane,True,4x4 (stały),Automatyczna,2021-03-31 14:23:00,https://www.otomoto.pl/oferta/lamborghini-aventador-roadster-lp-700-4-pakiet-performance-750km-salon-pl-2014r-vat-23-ID6DpDjC.html#63bd52dc7d
6077813219,lamborghini,aventador,Bielsko-Biała,Śląskie,,,360000,EUR,,False,,,,,,,2016,,19999,Osoby prywatnej,,Benzyna,,Kabriolet,Czarny,Używane,,,,2021-03-30 13:26:00,https://www.otomoto.pl/oferta/lamborghini-aventador-pierwszy-wlasciciel-bezwypadkowy-serwis-w-aso-ID6DjSRt.html#63bd52dc7d
6080385763,lamborghini,diablo,Warszawa,Mazowieckie,492,5707,1049900,PLN,,False,False,,,,,,1993,,32164,Firmy,,Benzyna,,Coupe,Czerwony,Używane,,Na tylne koła,Manualna,2021-04-08 17:12:00,https://www.otomoto.pl/oferta/lamborghini-diablo-diablo-v12-ID6DuG67.html#67cee5d5e2
6077244669,lamborghini,gallardo,Urzędów,Lubelskie,519,5198,419000,PLN,Niemcy,False,,,,,,,2007,,19500,Osoby prywatnej,,Benzyna,,Kabriolet,Żółty,Używane,,4x4 (stały),Automatyczna,2021-04-09 10:17:00,https://www.otomoto.pl/oferta/lamborghini-gallardo-lamborghini-galardo-spider-wiele-dodatkow-ID6DhuXj.html#2a8fbd3c6f
6078747215,lamborghini,gallardo,Gdańsk,Pomorskie,500,4961,449520,PLN,,False,False,True,,True,,,2006,,25000,Firmy,,Benzyna,450,Coupe,Niebieski,Używane,True,4x4 (stały),Automatyczna,2021-04-01 16:03:00,https://www.otomoto.pl/oferta/lamborghini-gallardo-1-of-2-verde-artemis-40th-anniversary-lamborghini-edition-ID6DnNPW.html#2a8fbd3c6f
6083745550,lamborghini,huracan,Katowice,Śląskie,640,5204,1353000,PLN,Polska,False,False,True,,True,,,2018,2018-10-10 00:00:00,13600,Firmy,True,Benzyna,,Coupe,Inny kolor,Używane,True,4x4 (dołączany automatycznie),Automatyczna,2021-04-09 20:29:00,https://www.otomoto.pl/oferta/lamborghini-huracan-performante-spyder-lp640-4-bezwypadkowy-salon-pl-gwarancja-ID6DIM8e.html#f6b5834ba2
6080276317,lamborghini,huracan,Warszawa,Mazowieckie,610,5204,840000,PLN,Polska,False,False,True,,True,,,2014,,50700,Firmy,,Benzyna,,Coupe,Biały,Używane,,4x4 (stały),Automatyczna,2021-04-09 10:45:00,https://www.otomoto.pl/oferta/lamborghini-huracan-salon-polska-aso-bezwypadkowy-r-cars-warszawa-ID6DudCR.html#f6b5834ba2
6081822469,lamborghini,huracan,Warszawa,Mazowieckie,640,5204,1561000,PLN,Polska,False,,,,,,,2020,2021-01-19 00:00:00,589,Firmy,True,Benzyna,,Coupe,Żółty,Używane,,4x4 (stały),Automatyczna,2021-04-08 13:11:00,https://www.otomoto.pl/oferta/lamborghini-huracan-lamborghini-huracan-evo-ID6DAHQN.html#f6b5834ba2
6079755537,lamborghini,huracan,Warszawa,Mazowieckie,610,5204,890000,PLN,,False,,,,,,,2016,,12144,Firmy,,Benzyna,,Coupe,Biały,Używane,,,Automatyczna,2021-04-08 12:31:00,https://www.otomoto.pl/oferta/lamborghini-huracan-huracan-lp610-4-coupe-ID6Ds29b.html#f6b5834ba2
6046801632,lamborghini,huracan,Kraków,Małopolskie,610,5204,140000,EUR,,False,,True,,True,,,2016,2017-01-10 00:00:00,21000,Osoby prywatnej,,Benzyna,290,Coupe,Inny kolor,Używane,,4x4 (stały),Automatyczna,2021-04-08 10:46:00,https://www.otomoto.pl/oferta/lamborghini-huracan-lamborghini-lp-610-4-huracan-carbon-pneumatyka-przod-ID6BdLkA.html#f6b5834ba2
6084010082,lamborghini,huracan,Wrocław,Dolnośląskie,610,5204,539000,PLN,Kanada,False,,,,,,,2017,,7000,Osoby prywatnej,,Benzyna,290,Coupe,Zielony,Używane,,4x4 (stały),Automatyczna,2021-04-07 21:32:00,https://www.otomoto.pl/oferta/lamborghini-huracan-lp610-4-ID6DJSVS.html#f6b5834ba2
6080235763,lamborghini,huracan,Warszawa,Mazowieckie,640,5204,1349000,PLN,Polska,False,False,True,,True,,,2018,2018-09-14 00:00:00,6500,Firmy,,Benzyna,,Coupe,Zielony,Używane,True,4x4 (stały),Automatyczna,2021-04-07 13:22:00,https://www.otomoto.pl/oferta/lamborghini-huracan-performante-lift-ala-salon-polska-stan-idealny-fv23-ID6Du34L.html#f6b5834ba2
