ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6082242700,lancia,dedra,Łódź,Łódzkie,105,1756,16900,PLN,,True,False,True,,,,,1992,1995-05-04 00:00:00,141800,Osoby prywatnej,,Benzyna,,Sedan,Bordowy,Używane,,Na przednie koła,Manualna,2021-04-04 08:10:00,https://www.otomoto.pl/oferta/lancia-dedra-lancia-dedra-zarejestrowana-na-zabytek-cala-oryginal-ID6DCtaI.html#2d03d99bf6
6083022081,lancia,delta,Sandomierz,Świętokrzyskie,149,1368,20900,PLN,,False,,True,,,,,2009,,276000,Osoby prywatnej,,Benzyna+LPG,165,Kompakt,Inny kolor,Używane,,Na przednie koła,Manualna,2021-04-09 22:45:00,https://www.otomoto.pl/oferta/lancia-delta-lancia-delta-1-4-150-km-benz-lpg-polecam-ID6DFJWn.html#de301bd59f
6082906309,lancia,delta,Żarki,Śląskie,105,1598,23700,PLN,Polska,False,False,True,,True,,,2013,2013-10-30 00:00:00,150000,Osoby prywatnej,,Diesel,120,Kompakt,Czarny,Używane,True,Na przednie koła,Manualna,2021-04-09 20:46:00,https://www.otomoto.pl/oferta/lancia-delta-piekna-legenda-motoryzacji-stan-perfekcyjny-ID6DFfO5.html#de301bd59f
6083945286,lancia,delta,Wola Droszewska,Wielkopolskie,120,1598,21000,PLN,Belgia,False,False,,,,True,,2010,2010-10-11 00:00:00,230000,Osoby prywatnej,,Diesel,,Kompakt,Beżowy,Używane,,Na przednie koła,Manualna,2021-04-05 10:52:00,https://www.otomoto.pl/oferta/lancia-delta-lancia-delta-platino-1-6-ID6DJC5M.html#de301bd59f
6057962766,lancia,delta,Olkusz,Małopolskie,120,1600,17300,PLN,Niemcy,False,False,True,,True,,,2009,,199683,Firmy,True,Diesel,,Kompakt,Niebieski,Używane,True,Na przednie koła,Automatyczna,2021-04-09 22:10:00,https://www.otomoto.pl/oferta/lancia-delta-1-6-mj-120-km-bezwypadkowy-alcantara-automat-ID6BYAQS.html#de301bd59f
6084126805,lancia,delta,Garwolin,Mazowieckie,140,1368,27500,PLN,,False,,,,,,,2012,2012-03-12 00:00:00,89700,Osoby prywatnej,,Benzyna,,Kompakt,Szary,Używane,,,Manualna,2021-04-09 19:00:00,https://www.otomoto.pl/oferta/lancia-delta-lancia-delta-1-4-ID6DKnjw.html#de301bd59f
6083116490,lancia,delta,Miechów,Małopolskie,200,,16900,PLN,Austria,False,,True,,True,,,2011,,131253,Firmy,,Benzyna,,Kompakt,Fioletowy,Używane,True,Na przednie koła,Automatyczna,2021-04-09 16:32:00,https://www.otomoto.pl/oferta/lancia-delta-lancia-delta-1-8turbo-200km-skora-navi-klimatronik-piekna-ID6DG8u6.html#de301bd59f
6083804194,lancia,delta,Lublin,Lubelskie,120,1598,17900,PLN,,False,,True,,True,,,2009,,215000,Osoby prywatnej,,Diesel,117,Kompakt,Czarny,Używane,True,Na przednie koła,Manualna,2021-04-09 14:45:00,https://www.otomoto.pl/oferta/lancia-delta-1-6-120km-panorama-ledy-bezwypadkowy-ID6DJ1o6.html#de301bd59f
6079274357,lancia,delta,Wejherowo,Pomorskie,120,1598,22000,PLN,Polska,False,,True,,,,,2009,2009-10-01 00:00:00,85500,Osoby prywatnej,,Diesel,130,Kompakt,Bordowy,Używane,,Na przednie koła,Manualna,2021-04-09 14:45:00,https://www.otomoto.pl/oferta/lancia-delta-lancia-dalta-1-6-diesel-bezwypadkowa-garazowane-drugi-wlasciciel-ID6Dq0Yd.html#de301bd59f
6054854259,lancia,delta,Mszana Dolna,Małopolskie,205,1995,79900,EUR,,False,,True,,True,,,1992,,106000,Firmy,,Benzyna,,Kompakt,Czerwony,Używane,True,4x4 (dołączany automatycznie),Manualna,2021-04-09 14:32:00,https://www.otomoto.pl/oferta/lancia-delta-hf-integrale-evo-i-matrini-racing-stan-kolekcjonerski-ID6BLybF.html#de301bd59f
6083924164,lancia,delta,Piaseczno,Mazowieckie,140,1368,25000,PLN,Polska,False,False,,,True,,,2012,2013-05-15 00:00:00,137544,Firmy,True,Benzyna,,Kompakt,Szary,Używane,,Na przednie koła,Manualna,2021-04-09 07:20:00,https://www.otomoto.pl/oferta/lancia-delta-1-4-multiair-salon-polska-serwis-aso-xenon-klimatronic-ID6DJvB6.html#de301bd59f
6083115190,lancia,delta,Zabrze,Śląskie,120,1598,21800,PLN,Włochy,False,False,True,,,,,2010,,205000,Osoby prywatnej,,Diesel,130,Kompakt,Bordowy,Używane,,Na przednie koła,Manualna,2021-04-08 23:22:00,https://www.otomoto.pl/oferta/lancia-delta-platino-1-6-m-jet-120-km-panorama-navi-skora-zarejestrowany-w-pl-ID6DG898.html#de301bd59f
6083714581,lancia,delta,Przysucha,Mazowieckie,150,1368,21900,PLN,Austria,False,,True,,True,,,2009,,206000,Firmy,,Benzyna,165,Kompakt,Beżowy,Używane,True,Na przednie koła,Manualna,2021-04-08 20:32:00,https://www.otomoto.pl/oferta/lancia-delta-2-lata-gwarancji-1-4tb-150km-panorama-led-pdc-polskora-alu-17-ID6DIE4J.html#de301bd59f
6083427297,lancia,delta,Agatówka,Podkarpackie,120,1598,16900,PLN,,False,,,,,True,,2008,2009-01-16 00:00:00,220000,Osoby prywatnej,,Diesel,120,Kompakt,Szary,Używane,,Na przednie koła,Automatyczna,2021-04-08 20:23:00,https://www.otomoto.pl/oferta/lancia-delta-lancia-delta-1-6-multijetl-automat-ID6DHrl7.html#de301bd59f
6083425761,lancia,delta,Radom,Mazowieckie,150,1368,19900,PLN,,False,,,,True,,,2009,,143000,Firmy,,Benzyna,165,Kompakt,Czarny,Używane,True,Na przednie koła,Manualna,2021-04-08 19:16:00,https://www.otomoto.pl/oferta/lancia-delta-1-4t-150km-led-alcantara-city-parktronic-klimatronic-tempomat-serwis-ID6DHqVl.html#de301bd59f
6083918814,lancia,delta,Kraków,Małopolskie,190,1910,31900,PLN,Włochy,False,,,,,True,,2010,2010-10-01 00:00:00,145300,Firmy,,Diesel,,Kompakt,Czarny,Używane,True,Na przednie koła,Manualna,2021-04-08 18:20:00,https://www.otomoto.pl/oferta/lancia-delta-1-9-mj-tb-wersja-hard-black-z-fabrycznym-matowym-lakierem-ID6DJwcO.html#de301bd59f
6083270130,lancia,delta,Wrocław,Dolnośląskie,150,1398,18000,PLN,Niemcy,False,False,True,,True,,,2008,,190700,Firmy,,Benzyna,,Kompakt,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-08 16:35:00,https://www.otomoto.pl/oferta/lancia-delta-lancia-delta-1-4-turbo-2008-ID6DGMsa.html#de301bd59f
6083769580,lancia,delta,Jaworzno,Śląskie,120,1598,17900,PLN,Polska,False,False,True,,True,,,2011,2011-05-18 00:00:00,182179,Osoby prywatnej,,Diesel,117,Kompakt,Fioletowy,Używane,,Na przednie koła,Manualna,2021-04-08 16:19:00,https://www.otomoto.pl/oferta/lancia-delta-ii-wl-salon-pl-bezwypadkowy-ID6DISnO.html#de301bd59f
6077124776,lancia,delta,Koło,Wielkopolskie,120,1598,11900,PLN,,False,,,,,,,2009,,195422,Firmy,,Diesel,,Kompakt,Inny kolor,Używane,,Na przednie koła,Manualna,2021-04-08 15:22:00,https://www.otomoto.pl/oferta/lancia-delta-jtd-argento-po-oplatach-ID6DgZLy.html#de301bd59f
6080184474,lancia,delta,Grudziądz,Kujawsko-pomorskie,150,1368,16900,PLN,Szwajcaria,False,False,True,,,,,2008,,232000,Osoby prywatnej,,Benzyna,165,Kompakt,Szary,Używane,,Na przednie koła,Manualna,2021-04-08 14:11:00,https://www.otomoto.pl/oferta/lancia-delta-bezwypadkowy-zadbany-plus-komplet-kol-zimowych-ID6DtPJv.html#de301bd59f
6083411633,lancia,delta,Czyżów,Małopolskie,120,1598,15900,PLN,,False,,,,,,,2010,,210678,Firmy,,Diesel,,Kompakt,Srebrny,Używane,,,Manualna,2021-04-08 13:21:00,https://www.otomoto.pl/oferta/lancia-delta-z-wloch-ID6DHngt.html#de301bd59f
6083451349,lancia,delta,Tarnów,Małopolskie,120,1598,22000,PLN,Włochy,False,False,,,,,,2013,,100000,Osoby prywatnej,,Diesel,122,Kompakt,Biały,Używane,,Na przednie koła,Manualna,2021-04-08 12:52:00,https://www.otomoto.pl/oferta/lancia-delta-ID6DHxB3.html#de301bd59f
6084057802,lancia,delta,Kraśnik,Lubelskie,102,1995,11900,PLN,,False,,,,,,,1996,,150000,Firmy,,Benzyna,,Kompakt,Bordowy,Używane,,Na przednie koła,Manualna,2021-04-08 12:38:00,https://www.otomoto.pl/oferta/lancia-delta-2-0-16v-hpe-zadbana-niski-przebieg-ID6DK5my.html#de301bd59f
6081342517,lancia,delta,Zamość,Lubelskie,120,1598,19900,PLN,,False,,,,True,,,2009,,186000,Firmy,,Diesel,130,Kompakt,Szary,Używane,,Na przednie koła,Manualna,2021-04-08 09:39:00,https://www.otomoto.pl/oferta/lancia-delta-1-6d-120km-2009r-klimatyzacja-czujniki-parkowania-alufelgi-ID6DyGZD.html#de301bd59f
6076082030,lancia,delta,Ostrów Wielkopolski,Wielkopolskie,105,1598,24900,PLN,Francja,False,False,,,,True,,2013,2013-03-04 00:00:00,149000,Osoby prywatnej,,Diesel,120,Kompakt,Czarny,Używane,,Na przednie koła,Manualna,2021-04-08 08:59:00,https://www.otomoto.pl/oferta/lancia-delta-1-6-multijet-skora-otwierany-dach-ID6DcCw4.html#de301bd59f
6083690712,lancia,delta,Puławy,Lubelskie,120,1600,17900,PLN,Holandia,False,,True,,,,,2010,,258000,Firmy,,Diesel,,Kompakt,Niebieski,Używane,,Na przednie koła,Automatyczna,2021-04-08 08:43:00,https://www.otomoto.pl/oferta/lancia-delta-diesel-120-koni-2010-styczen-piekna-bogata-opcja-zobacz-ID6DIxRK.html#de301bd59f
6080614577,lancia,delta,Bodzanów,Małopolskie,120,1598,16900,PLN,Włochy,False,,True,,True,True,,2009,,193000,Firmy,,Diesel,130,Kompakt,Szary,Używane,,Na przednie koła,Manualna,2021-04-08 08:26:00,https://www.otomoto.pl/oferta/lancia-delta-1-6-mjet-120km-6bieg-argento-klima-led-city-asr-ID6DwDCF.html#de301bd59f
6080396443,lancia,delta,Legnica,Dolnośląskie,120,1368,19900,PLN,,False,,,,,,,2010,,127000,Osoby prywatnej,,Benzyna,146,Kompakt,Czarny,Używane,,Na przednie koła,Manualna,2021-04-08 08:25:00,https://www.otomoto.pl/oferta/lancia-delta-1-4-t-jet-benzyna-ID6DuISn.html#de301bd59f
6083448145,lancia,delta,Zabrze,Śląskie,120,1368,25000,PLN,,False,False,,,,,,2010,2010-06-29 00:00:00,131102,Firmy,True,Benzyna+LPG,,Kompakt,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-08 07:45:00,https://www.otomoto.pl/oferta/lancia-delta-1-4-t-jet-gaz-klima-tempomat-parktronic-alu-ID6DHvLn.html#de301bd59f
6084042512,lancia,delta,Szczecin,Zachodniopomorskie,120,1598,20000,PLN,Polska,False,False,True,,,,,2010,2010-06-25 00:00:00,134400,Osoby prywatnej,,Diesel,130,Kompakt,Beżowy,Używane,,Na przednie koła,Manualna,2021-04-07 23:01:00,https://www.otomoto.pl/oferta/lancia-delta-lancia-delta-1-6-multijet-zadbany-jasne-skory-panoramiczny-dach-ID6DK1nV.html#de301bd59f
6077937961,lancia,delta,Poznań,Wielkopolskie,120,1598,13700,PLN,,False,,True,,True,,,2009,2009-04-07 00:00:00,174732,Osoby prywatnej,,Diesel,,Kompakt,Srebrny,Używane,,,Manualna,2021-04-07 20:51:00,https://www.otomoto.pl/oferta/lancia-delta-super-wersja-platino-giugaro-zobacz-ID6Dkpjr.html#de301bd59f
6083391769,lancia,delta,Fajsławice,Lubelskie,165,1956,22900,PLN,Luksemburg,False,,True,,True,,,2011,2011-03-09 00:00:00,230000,Firmy,,Diesel,135,Kompakt,Brązowy,Używane,True,Na przednie koła,Manualna,2021-04-07 20:03:00,https://www.otomoto.pl/oferta/lancia-delta-2-0multijet-165km-panorama-skora-navi-ledy-grzane-fotele-serwis-ID6DHi65.html#de301bd59f
6083737063,lancia,delta,Trzebinia,Małopolskie,120,1368,16900,PLN,Austria,False,False,True,,True,,,2008,2008-10-09 00:00:00,228470,Firmy,,Benzyna,,Kompakt,Szary,Używane,,Na przednie koła,Manualna,2021-04-07 16:23:00,https://www.otomoto.pl/oferta/lancia-delta-1-4-turbo-120km-panorama-dach-skora-ledy-ID6DIJWl.html#de301bd59f
6083882476,lancia,delta,Wysogotowo,Wielkopolskie,164,1956,18900,PLN,Polska,False,False,,,,,,2012,2012-08-14 00:00:00,241318,Firmy,True,Diesel,,Kompakt,Szary,Używane,,Na przednie koła,Manualna,2021-04-07 15:59:00,https://www.otomoto.pl/oferta/lancia-delta-salonpl-2-0-diesel-165-km-vat-marza-ID6DJlKI.html#db0ebfe605
6083234600,lancia,delta,Raszyn,Mazowieckie,200,1742,31300,PLN,,False,,,,,,,2012,,115000,Osoby prywatnej,,Benzyna,185,Kompakt,Brązowy,Używane,,Na przednie koła,Automatyczna,2021-04-07 15:52:00,https://www.otomoto.pl/oferta/lancia-delta-lancia-delta-przepiekna-wloszka-1-8t-200-ps-ID6DGDd6.html#db0ebfe605
6082644891,lancia,delta,Sosnowiec,Śląskie,120,1368,22500,PLN,,False,False,True,,True,,,2010,,180000,Firmy,,Benzyna,146,Kompakt,Biały,Używane,True,Na przednie koła,Manualna,2021-04-07 15:08:00,https://www.otomoto.pl/oferta/lancia-delta-1-4turbo-120ps-naviledskorachromalu-felgiasystent-parkowania-ID6DE9NF.html#db0ebfe605
6084022526,lancia,delta,Ostrzeszów,Wielkopolskie,150,1368,18500,PLN,,False,,True,,True,,,2009,,163147,Firmy,,Benzyna,165,Kompakt,Szary,Używane,True,Na przednie koła,Manualna,2021-04-07 12:14:00,https://www.otomoto.pl/oferta/lancia-delta-1-4t-jet-150km-6-biegow-climatronic-elektryczne-szyby-ID6DJVbA.html#db0ebfe605
6012826363,lancia,delta,Zamość,Lubelskie,120,1600,22900,PLN,Belgia,False,,True,,True,,,2013,,271000,Firmy,,Diesel,,Kompakt,Inny kolor,Używane,,Na przednie koła,Manualna,2021-04-07 12:12:00,https://www.otomoto.pl/oferta/lancia-delta-1-6-jtdm-120km-2013r-nawigacja-klimatyzacja-tempomat-alufelgi-ID6yWcOn.html#db0ebfe605
6083435182,lancia,delta,Katowice,Śląskie,190,1910,18000,PLN,,False,False,,,,,,2010,2010-04-07 00:00:00,191433,Firmy,True,Diesel,,Kompakt,Czarny,Używane,,Na przednie koła,Manualna,2021-04-07 11:23:00,https://www.otomoto.pl/oferta/lancia-delta-1-9-multijet-187-km-klimatronic-tempomat-parktronic-alu-ID6DHtoi.html#db0ebfe605
6083727190,lancia,delta,Puławy,Lubelskie,120,1368,18900,PLN,Niemcy,False,False,True,,True,,,2008,,194000,Osoby prywatnej,,Benzyna,156,Kompakt,Szary,Używane,,Na przednie koła,Manualna,2021-04-07 10:37:00,https://www.otomoto.pl/oferta/lancia-delta-lancia-delta-1-4-benzyna-stan-bdb-led-klimatronic-skora-z-niemiec-ID6DIHm6.html#db0ebfe605
6083995365,lancia,delta,Warszawa,Mazowieckie,150,1368,25000,PLN,Polska,False,False,True,,True,,,2009,2010-02-10 00:00:00,112760,Osoby prywatnej,,Benzyna,165,Kompakt,Biały,Używane,True,Na przednie koła,Manualna,2021-04-06 22:50:00,https://www.otomoto.pl/oferta/lancia-delta-bezwypadkowy-1-wlasciciel-auto-z-polskiego-salonu-serwisowana-ID6DJP7w.html#db0ebfe605
6080312340,lancia,delta,Olkusz,Małopolskie,165,1956,18900,PLN,Niemcy,False,,True,,True,,,2008,2009-04-24 00:00:00,250000,Osoby prywatnej,,Diesel,,Kompakt,Czarny,Używane,,Na przednie koła,Manualna,2021-04-06 22:28:00,https://www.otomoto.pl/oferta/lancia-delta-2-0-jtd-16v-165-km-navi-panorama-bose-ID6DumZS.html#db0ebfe605
6082417180,lancia,delta,Nowa Sól,Lubuskie,105,1598,21500,PLN,Belgia,False,False,True,,,True,,2012,2012-04-08 00:00:00,113000,Osoby prywatnej,,Diesel,120,Kompakt,Szary,Używane,,Na przednie koła,Manualna,2021-04-06 21:26:00,https://www.otomoto.pl/oferta/lancia-delta-lancia-delta-iii-2012r-113-000-km-zarejestrowany-w-polsce-ID6DDcyU.html#db0ebfe605
6082588809,lancia,delta,Kośmin,Mazowieckie,120,1598,21700,PLN,,False,False,,,True,,,2012,2012-11-30 00:00:00,162400,Firmy,,Diesel,130,Kompakt,Biały,Używane,True,Na przednie koła,Manualna,2021-04-06 20:26:00,https://www.otomoto.pl/oferta/lancia-delta-platino-od-prywatnej-osoby-gwarancja-ID6DDWd7.html#db0ebfe605
6083993008,lancia,delta,Czechy,Łódzkie,165,1956,25700,PLN,Niemcy,False,,,,True,True,,2011,,179000,Firmy,,Diesel,139,Kompakt,Inny kolor,Używane,,Na przednie koła,Manualna,2021-04-06 19:27:00,https://www.otomoto.pl/oferta/lancia-delta-2-0-165-km-klimatronik-pdc-alcantara-skora-gwarancja-finansowanie-ID6DJOwu.html#db0ebfe605
6083710254,lancia,delta,Chorzów,Śląskie,120,1368,24500,PLN,Niemcy,False,False,True,,,,,2011,,186000,Osoby prywatnej,,Benzyna,,Kompakt,Czarny,Używane,,,Manualna,2021-04-06 18:17:00,https://www.otomoto.pl/oferta/lancia-delta-lancia-delta-ii-wl-kredyt-bez-1-wplaty-ID6DICVV.html#db0ebfe605
6083988956,lancia,delta,Ustroń,Śląskie,120,1598,34900,PLN,Niemcy,False,,True,,,,,2014,,99063,Firmy,,Diesel,,Kompakt,Szary,Używane,,Na przednie koła,Manualna,2021-04-06 16:44:00,https://www.otomoto.pl/oferta/lancia-delta-s-momo-1-6-multijet-16v-rok-gwarancji-gethelp-w-cenie-ID6DJNs8.html#db0ebfe605
6083834768,lancia,delta,Ostrzeszów,Wielkopolskie,165,1956,15900,PLN,Niemcy,False,,,,True,,,2009,,198643,Firmy,,Diesel,139,Kompakt,Czarny,Używane,True,Na przednie koła,Manualna,2021-04-06 13:09:00,https://www.otomoto.pl/oferta/lancia-delta-2-0-climatronic-klimatyzacja-polskora-4-elektryczne-szyby-ID6DJ9le.html#db0ebfe605
6083699396,lancia,delta,Nieporęt,Mazowieckie,120,1368,18900,PLN,,False,,,,True,,,2009,2009-03-24 00:00:00,274000,Firmy,,Benzyna+LPG,146,Kompakt,Niebieski,Używane,True,Na przednie koła,Manualna,2021-04-06 12:41:00,https://www.otomoto.pl/oferta/lancia-delta-1-4-5d-m-t-2009r-120km-gaz-serwisowany-zadbany-ID6DIA7O.html#db0ebfe605
