ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6084028963,lincoln,aviator,Poznań,Wielkopolskie,306,4600,26900,PLN,,False,,,,,,,2003,2003-04-07 00:00:00,345000,Osoby prywatnej,,Benzyna,,SUV,Złoty,Używane,,,Automatyczna,2021-04-07 14:10:00,https://www.otomoto.pl/oferta/lincoln-aviator-lincoln-aviator-navigator-bezwypadek-z-bazy-usa-306km-ID6DJXRp.html#2d2a6a860e
6083888746,lincoln,aviator,Warszawa,Mazowieckie,406,2967,329900,PLN,,False,,True,,,,,2019,2021-02-09 00:00:00,2524,Firmy,True,Benzyna,,Kombi,Czarny,Używane,True,4x4 (dołączany automatycznie),Automatyczna,2021-04-07 18:20:00,https://www.otomoto.pl/oferta/lincoln-aviator-aviator-3-0-v6-406-km-black-label-fv23-6-miejsc-ID6DJnnQ.html#2d2a6a860e
6083932562,lincoln,continental,Warszawa,Mazowieckie,220,7500,48000,PLN,,False,False,,,,,,1976,,52000,Osoby prywatnej,,Benzyna,,Coupe,Złoty,Używane,,Na tylne koła,Automatyczna,2021-04-09 18:29:00,https://www.otomoto.pl/oferta/lincoln-continental-town-car-7-5l-220km-ID6DJyMy.html#043ef2ae5e
6084070816,lincoln,continental,Sulechów,Lubuskie,250,4700,35900,PLN,,False,,,,,,,1947,,100000,Firmy,,Benzyna,,Kabriolet,Czarny,Używane,,Na tylne koła,Automatyczna,2021-04-08 16:14:00,https://www.otomoto.pl/oferta/lincoln-continental-lincoln-continental-convertible-kabrio-1947r-produkcja-738-szt-ID6DK8Ks.html#043ef2ae5e
6083001123,lincoln,continental,Mrowla,Podkarpackie,365,7500,54500,PLN,,True,False,,,,,,1970,,96000,Osoby prywatnej,,Benzyna,,Sedan,Żółty,Używane,,,Automatyczna,2021-04-08 12:29:00,https://www.otomoto.pl/oferta/lincoln-continental-lincoln-ID6DFEtl.html#043ef2ae5e
6083656581,lincoln,continental,Jasło,Podkarpackie,211,7536,64000,PLN,Stany Zjednoczone,True,False,True,,,,,1976,,60000,Osoby prywatnej,,Benzyna,,Coupe,Inny kolor,Używane,,Na tylne koła,Automatyczna,2021-04-07 14:13:00,https://www.otomoto.pl/oferta/lincoln-continental-lincoln-continental-mark-v-1977-ID6DIoZf.html#043ef2ae5e
6084019474,lincoln,continental,Poznań,Wielkopolskie,158,3797,5950,PLN,,False,,,,,,,1991,,110000,Firmy,,Benzyna,,Sedan,Biały,Używane,,,Automatyczna,2021-04-07 10:55:00,https://www.otomoto.pl/oferta/lincoln-continental-mega-okazja-auto-sprawne-ID6DJWom.html#043ef2ae5e
6057324584,lincoln,continental,Włoszczowa,Świętokrzyskie,222,7539,95000,PLN,Stany Zjednoczone,False,False,True,,,,,1972,,31000,Firmy,,Benzyna,,Sedan,Biały,Używane,,,Automatyczna,2021-04-05 12:30:00,https://www.otomoto.pl/oferta/lincoln-continental-zabytkowy-lincoln-continental-72-idealny-stan-ID6BWUPC.html#043ef2ae5e
6083837099,lincoln,continental,Gliwice,Śląskie,275,4595,24500,PLN,,False,,,,,,,2000,,235000,Osoby prywatnej,,Benzyna,,Sedan,Złoty,Używane,,,Automatyczna,2021-03-31 13:53:00,https://www.otomoto.pl/oferta/lincoln-continental-ID6DJ9VP.html#043ef2ae5e
6050765731,lincoln,mark,Schodnia,Opolskie,370,7536,79990,PLN,,False,,,,,,,1969,,94930,Firmy,,Benzyna,,Sedan,Beżowy,Używane,,Na tylne koła,Automatyczna,2021-04-09 19:51:00,https://www.otomoto.pl/oferta/lincoln-mark-1969r-7-5l-460-v8-370km-w-polsce-zamiana-ID6BuozF.html#7b45b49776
6080385143,lincoln,mark,Krośniewice,Łódzkie,365,7536,88000,PLN,Polska,False,,True,,,,,1969,,38798,Osoby prywatnej,,Benzyna,,Coupe,Srebrny,Używane,True,Na tylne koła,Automatyczna,2021-04-08 20:40:00,https://www.otomoto.pl/oferta/lincoln-mark-lincoln-mark-iii-1969-r-w-pieknym-oryginalnym-stanie-ID6DuFV7.html#7b45b49776
6079283129,lincoln,mark,Toruń,Kujawsko-pomorskie,365,7500,55000,PLN,,False,,,,,,,1969,,94000,Osoby prywatnej,,Benzyna,,Coupe,Inny kolor,Używane,,Na tylne koła,Automatyczna,2021-04-07 19:37:00,https://www.otomoto.pl/oferta/lincoln-mark-lincoln-mark-ID6Dq3fH.html#7b45b49776
6069034379,lincoln,mark,Rybnik,Śląskie,227,4942,29000,PLN,Niemcy,False,,,,,,,1991,,52200,Firmy,,Benzyna,,Coupe,Czarny,Używane,,Na tylne koła,Automatyczna,2021-04-05 16:45:00,https://www.otomoto.pl/oferta/lincoln-mark-mark-vii-lsc-kolekcjonerski-ID6CJ35h.html#7b45b49776
6083890029,lincoln,mark-lt,Oświęcim,Małopolskie,304,5409,39000,PLN,Stany Zjednoczone,False,False,True,,,,,2006,2006-01-01 00:00:00,279000,Firmy,,Benzyna+LPG,,SUV,Bordowy,Używane,,4x4 (dołączany ręcznie),Automatyczna,2021-04-01 19:21:00,https://www.otomoto.pl/oferta/lincoln-mark-lt-lincoln-mark-lt-pickup-4x4-5-4-b-lpg-bezwypadkowy-ID6DJnIx.html#3f912a6850
